Date,City,Country,Sex,Distance,Event,MS,Technique,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Pelo,Elo
1983-01-09,Verbier,Switzerland,L,Super G,World Cup,0,N/A,1,Irene Epple,Germany,2083,1983,8,1957-06-18T00:00:00.000000,25.560574948665298,137,1300.0,1337.5
1983-01-09,Verbier,Switzerland,L,Super G,World Cup,0,N/A,2,Hanni Wenzel,Liechtenstein,2130,1983,8,1956-12-14T00:00:00.000000,26.069815195071868,180,1300.0,1332.5
1983-01-09,Verbier,Switzerland,L,Super G,World Cup,0,N/A,3,Tamara McKinney,USA,1892,1983,8,1962-10-16T00:00:00.000000,20.23271731690623,38,1300.0,1327.5
1983-01-09,Verbier,Switzerland,L,Super G,World Cup,0,N/A,4,Cindy Nelson,USA,2085,1983,8,1955-08-19T00:00:00.000000,27.392197125256672,148,1300.0,1322.5
1983-01-09,Verbier,Switzerland,L,Super G,World Cup,0,N/A,5,Fabienne Serrat,France,2136,1983,8,1956-07-05T00:00:00.000000,26.51334702258727,185,1300.0,1317.5
1983-01-09,Verbier,Switzerland,L,Super G,World Cup,0,N/A,6,Maria Epple,Germany,2043,1983,8,1959-03-11T00:00:00.000000,23.83299110198494,57,1300.0,1312.5
1983-01-09,Verbier,Switzerland,L,Super G,World Cup,0,N/A,7,Helene Barbier,France,1888,1983,8,1966-07-03T00:00:00.000000,16.520191649555098,2,1300.0,1307.5
1983-01-09,Verbier,Switzerland,L,Super G,World Cup,0,N/A,8,Elisabeth Chaud,France,2046,1983,8,1960-12-07T00:00:00.000000,22.088980150581794,17,1300.0,1302.5
1983-01-09,Verbier,Switzerland,L,Super G,World Cup,0,N/A,9,Anne Flore Rey,France,2001,1983,8,1962-02-02T00:00:00.000000,20.933607118412045,13,1300.0,1297.5
1983-01-09,Verbier,Switzerland,L,Super G,World Cup,0,N/A,10,Perrine Pelen,France,2037,1983,8,1960-07-03T00:00:00.000000,22.518822724161534,88,1300.0,1292.5
1983-01-09,Verbier,Switzerland,L,Super G,World Cup,0,N/A,11,Elisabeth Kirchler,Austria,1891,1983,8,1963-11-17T00:00:00.000000,19.145790554414784,19,1300.0,1287.5
1983-01-09,Verbier,Switzerland,L,Super G,World Cup,0,N/A,12,Zoe Haas,Switzerland,1770,1983,8,1962-01-24T00:00:00.000000,20.958247775496236,19,1300.0,1280.0
1983-01-09,Verbier,Switzerland,L,Super G,World Cup,0,N/A,12,Ursula Konzett,Liechtenstein,2091,1983,8,1959-11-16T00:00:00.000000,23.148528405201915,43,1300.0,1280.0
1983-01-09,Verbier,Switzerland,L,Super G,World Cup,0,N/A,14,Anni Kronbichler,Austria,1933,1983,8,1963-03-23T00:00:00.000000,19.800136892539356,16,1300.0,1272.5
1983-01-09,Verbier,Switzerland,L,Super G,World Cup,0,N/A,15,Michaela Gerg-Leitner,Germany,1525,1983,8,1965-11-10T00:00:00.000000,17.163586584531142,8,1300.0,1265.0
1983-01-09,Verbier,Switzerland,L,Super G,World Cup,0,N/A,15,Heidi Preuss,USA,2160,1983,8,1961-03-18T00:00:00.000000,21.812457221081452,32,1300.0,1265.0
1983-01-10,Verbier,Switzerland,L,Super G,World Cup,0,N/A,1,Cindy Nelson,USA,2085,1983,9,1955-08-19T00:00:00.000000,27.394934976043807,149,1322.5,1355.8145499790512
1983-01-10,Verbier,Switzerland,L,Super G,World Cup,0,N/A,2,Zoe Haas,Switzerland,1770,1983,9,1962-01-24T00:00:00.000000,20.960985626283367,20,1280.0,1312.8831642431012
1983-01-10,Verbier,Switzerland,L,Super G,World Cup,0,N/A,3,Irene Epple,Germany,2083,1983,9,1957-06-18T00:00:00.000000,25.56331279945243,138,1337.5,1359.2070381124227
1983-01-10,Verbier,Switzerland,L,Super G,World Cup,0,N/A,4,Tamara McKinney,USA,1892,1983,9,1962-10-16T00:00:00.000000,20.23545516769336,39,1327.5,1345.2777301603003
1983-01-10,Verbier,Switzerland,L,Super G,World Cup,0,N/A,5,Hanni Wenzel,Liechtenstein,2130,1983,9,1956-12-14T00:00:00.000000,26.072553045859,181,1332.5,1344.7418204216983
1983-01-10,Verbier,Switzerland,L,Super G,World Cup,0,N/A,6,Maria Epple,Germany,2043,1983,9,1959-03-11T00:00:00.000000,23.835728952772072,58,1312.5,1321.8900434038162
1983-01-10,Verbier,Switzerland,L,Super G,World Cup,0,N/A,7,Elisabeth Chaud,France,2046,1983,9,1960-12-07T00:00:00.000000,22.091718001368925,18,1302.5,1307.966538657387
1983-01-10,Verbier,Switzerland,L,Super G,World Cup,0,N/A,8,Fabienne Serrat,France,2136,1983,9,1956-07-05T00:00:00.000000,26.5160848733744,186,1317.5,1316.3520610466974
1983-01-10,Verbier,Switzerland,L,Super G,World Cup,0,N/A,9,Anni Kronbichler,Austria,1933,1983,9,1963-03-23T00:00:00.000000,19.802874743326488,17,1272.5,1271.1843861037755
1983-01-10,Verbier,Switzerland,L,Super G,World Cup,0,N/A,10,Maria Walliser,Switzerland,1853,1983,9,1963-05-27T00:00:00.000000,19.6249144421629,28,1300.0,1290.7356117290697
1983-01-10,Verbier,Switzerland,L,Super G,World Cup,0,N/A,11,Christin Cooper,USA,2125,1983,9,1959-10-08T00:00:00.000000,23.2580424366872,69,1300.0,1285.7356117290697
1983-01-10,Verbier,Switzerland,L,Super G,World Cup,0,N/A,12,Catherine Quittet,France,1855,1983,9,1964-01-22T00:00:00.000000,18.967830253251197,6,1300.0,1280.7356117290697
1983-01-10,Verbier,Switzerland,L,Super G,World Cup,0,N/A,13,Debbie Armstrong,USA,1976,1983,9,1963-12-06T00:00:00.000000,19.096509240246405,5,1300.0,1275.7356117290697
1983-01-10,Verbier,Switzerland,L,Super G,World Cup,0,N/A,14,Daniela Zini,Italy,2044,1983,9,1959-05-30T00:00:00.000000,23.616700889801507,54,1300.0,1270.7356117290697
1983-01-10,Verbier,Switzerland,L,Super G,World Cup,0,N/A,15,Anne Flore Rey,France,2001,1983,9,1962-02-02T00:00:00.000000,20.93634496919918,14,1297.5,1263.5046092264017
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Perrine Pelen,France,2037,1983,0,1960-07-03T00:00:00.000000,22.518822724161534,88,1292.5,1293.625
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Debbie Armstrong,USA,1976,1983,0,1963-12-06T00:00:00.000000,19.096509240246405,5,1275.7356117290697,1279.3752699697093
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Daniela Zini,Italy,2044,1983,0,1959-05-30T00:00:00.000000,23.616700889801507,54,1270.7356117290697,1275.1252699697093
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Helene Barbier,France,1888,1983,0,1966-07-03T00:00:00.000000,16.520191649555098,2,1307.5,1306.375
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Zoe Haas,Switzerland,1770,1983,0,1962-01-24T00:00:00.000000,20.960985626283367,20,1312.8831642431012,1310.950689606636
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Maria Epple,Germany,2043,1983,0,1959-03-11T00:00:00.000000,23.835728952772072,58,1321.8900434038162,1318.6065368932439
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Maria Walliser,Switzerland,1853,1983,0,1963-05-27T00:00:00.000000,19.6249144421629,28,1290.7356117290697,1292.1252699697093
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Michaela Gerg-Leitner,Germany,1525,1983,0,1965-11-10T00:00:00.000000,17.163586584531142,8,1265.0,1270.25
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Elisabeth Chaud,France,2046,1983,0,1960-12-07T00:00:00.000000,22.091718001368925,18,1307.966538657387,1306.7715578587788
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Elisabeth Kirchler,Austria,1891,1983,0,1963-11-17T00:00:00.000000,19.145790554414784,19,1287.5,1289.375
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Irene Epple,Germany,2083,1983,0,1957-06-18T00:00:00.000000,25.56331279945243,138,1359.2070381124227,1350.3259823955593
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Catherine Quittet,France,1855,1983,0,1964-01-22T00:00:00.000000,18.967830253251197,6,1280.7356117290697,1283.6252699697093
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Tamara McKinney,USA,1892,1983,0,1962-10-16T00:00:00.000000,20.23545516769336,39,1345.2777301603003,1338.4860706362551
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Anne Flore Rey,France,2001,1983,0,1962-02-02T00:00:00.000000,20.93634496919918,14,1263.5046092264017,1268.9789178424414
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Anni Kronbichler,Austria,1933,1983,0,1963-03-23T00:00:00.000000,19.802874743326488,17,1271.1843861037755,1275.506728188209
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Ursula Konzett,Liechtenstein,2091,1983,0,1959-11-16T00:00:00.000000,23.148528405201915,43,1280.0,1283.0
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Fabienne Serrat,France,2136,1983,0,1956-07-05T00:00:00.000000,26.5160848733744,186,1316.3520610466974,1313.8992518896928
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Hanni Wenzel,Liechtenstein,2130,1983,0,1956-12-14T00:00:00.000000,26.072553045859,181,1344.7418204216983,1338.0305473584435
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Cindy Nelson,USA,2085,1983,0,1955-08-19T00:00:00.000000,27.394934976043807,149,1355.8145499790512,1347.4423674821935
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Heidi Preuss,USA,2160,1983,0,1961-03-18T00:00:00.000000,21.812457221081452,32,1265.0,1270.25
1983-05-01,Summer,Break,L,0,Offseason,0,"",0,Christin Cooper,USA,2125,1983,0,1959-10-08T00:00:00.000000,23.2580424366872,69,1285.7356117290697,1287.8752699697093
1984-01-08,Puy St.Vincent,France,L,Super G,World Cup,0,N/A,1,Laurie Graham,Canada,1930,1984,12,1960-03-30T00:00:00.000000,23.77549623545517,26,1300.0,1335.327715847015
1984-01-08,Puy St.Vincent,France,L,Super G,World Cup,0,N/A,2,Michela Figini,Switzerland,1852,1984,12,1966-04-07T00:00:00.000000,17.754962354551676,14,1300.0,1330.327715847015
1984-01-08,Puy St.Vincent,France,L,Super G,World Cup,0,N/A,3,Debbie Armstrong,USA,1976,1984,12,1963-12-06T00:00:00.000000,20.090349075975357,11,1279.3752699697093,1306.9194645528428
1984-01-08,Puy St.Vincent,France,L,Super G,World Cup,0,N/A,4,Irene Epple,Germany,2083,1984,12,1957-06-18T00:00:00.000000,26.55715263518138,157,1350.3259823955593,1365.266980184841
1984-01-08,Puy St.Vincent,France,L,Super G,World Cup,0,N/A,5,Gerry Sorensen,Canada,2131,1984,12,1958-10-15T00:00:00.000000,25.232032854209447,25,1300.0,1315.327715847015
1984-01-08,Puy St.Vincent,France,L,Super G,World Cup,0,N/A,6,Marina Kiehl,Germany,1926,1984,12,1965-01-12T00:00:00.000000,18.986995208761122,10,1300.0,1310.327715847015
1984-01-08,Puy St.Vincent,France,L,Super G,World Cup,0,N/A,7,Hanni Wenzel,Liechtenstein,2130,1984,12,1956-12-14T00:00:00.000000,27.06639288158795,199,1338.0305473584435,1339.2767722187348
1984-01-08,Puy St.Vincent,France,L,Super G,World Cup,0,N/A,8,Olga Charvátová,Czechia,2040,1984,12,1962-06-11T00:00:00.000000,21.57700205338809,63,1300.0,1300.327715847015
1984-01-08,Puy St.Vincent,France,L,Super G,World Cup,0,N/A,9,Diane Haight,Canada,2012,1984,12,1964-04-28T00:00:00.000000,19.696098562628336,8,1300.0,1295.327715847015
1984-01-08,Puy St.Vincent,France,L,Super G,World Cup,0,N/A,10,Claudine Emonet,France,1854,1984,12,1962-02-13T00:00:00.000000,21.900068446269678,10,1300.0,1290.327715847015
1984-01-08,Puy St.Vincent,France,L,Super G,World Cup,0,N/A,11,Elisabeth Chaud,France,2046,1984,12,1960-12-07T00:00:00.000000,23.085557837097877,28,1306.7715578587788,1291.3703099414429
1984-01-08,Puy St.Vincent,France,L,Super G,World Cup,0,N/A,12,Catherine Quittet,France,1855,1984,12,1964-01-22T00:00:00.000000,19.96167008898015,10,1283.6252699697093,1265.7136695507547
1984-01-08,Puy St.Vincent,France,L,Super G,World Cup,0,N/A,13,Brigitte Ortli,Switzerland,1863,1984,12,1962-06-10T00:00:00.000000,21.579739904175224,14,1300.0,1275.327715847015
1984-01-08,Puy St.Vincent,France,L,Super G,World Cup,0,N/A,14,Christin Cooper,USA,2125,1984,12,1959-10-08T00:00:00.000000,24.251882272416154,76,1287.8752699697093,1259.5072584501586
1984-01-08,Puy St.Vincent,France,L,Super G,World Cup,0,N/A,15,Regine Moesenlechner,Germany,1767,1984,12,1961-04-01T00:00:00.000000,22.770704996577685,40,1300.0,1265.327715847015
1984-03-04,Mt. St.Anne,Canada,L,Super G,World Cup,0,N/A,1,Marina Kiehl,Germany,1926,1984,29,1965-01-12T00:00:00.000000,19.14031485284052,15,1310.327715847015,1344.786119075707
1984-03-04,Mt. St.Anne,Canada,L,Super G,World Cup,0,N/A,2,Elisabeth Kirchler,Austria,1891,1984,29,1963-11-17T00:00:00.000000,20.295687885010267,44,1289.375,1321.081097940538
1984-03-04,Mt. St.Anne,Canada,L,Super G,World Cup,0,N/A,3,Christin Cooper,USA,2125,1984,29,1959-10-08T00:00:00.000000,24.40520191649555,84,1259.5072584501586,1289.3925288125631
1984-03-04,Mt. St.Anne,Canada,L,Super G,World Cup,0,N/A,4,Ariane Ehrat,Switzerland,2039,1984,29,1961-02-17T00:00:00.000000,23.041752224503764,16,1300.0,1320.566821469809
1984-03-04,Mt. St.Anne,Canada,L,Super G,World Cup,0,N/A,5,Maria Walliser,Switzerland,1853,1984,29,1963-05-27T00:00:00.000000,20.772073921971252,55,1292.1252699697093,1308.5366839808305
1984-03-04,Mt. St.Anne,Canada,L,Super G,World Cup,0,N/A,6,Tamara McKinney,USA,1892,1984,29,1962-10-16T00:00:00.000000,21.38261464750171,62,1338.4860706362551,1344.932758859837
1984-03-04,Mt. St.Anne,Canada,L,Super G,World Cup,0,N/A,7,Hanni Wenzel,Liechtenstein,2130,1984,29,1956-12-14T00:00:00.000000,27.21971252566735,208,1339.2767722187348,1340.639368101753
1984-03-04,Mt. St.Anne,Canada,L,Super G,World Cup,0,N/A,8,Catherine Quittet,France,1855,1984,29,1964-01-22T00:00:00.000000,20.11498973305955,13,1265.7136695507547,1269.942595283729
1984-03-04,Mt. St.Anne,Canada,L,Super G,World Cup,0,N/A,9,Laurie Graham,Canada,1930,1984,29,1960-03-30T00:00:00.000000,23.928815879534564,33,1335.327715847015,1327.1106494783703
1984-03-04,Mt. St.Anne,Canada,L,Super G,World Cup,0,N/A,10,Liisa Savijarvi,Canada,2007,1984,29,1963-12-29T00:00:00.000000,20.18069815195072,7,1300.0,1290.566821469809
1984-03-04,Mt. St.Anne,Canada,L,Super G,World Cup,0,N/A,11,Brigitte Ortli,Switzerland,1863,1984,29,1962-06-10T00:00:00.000000,21.73305954825462,24,1275.327715847015,1263.5349005939545
