Date,City,Country,Sex,Distance,Event,MS,Technique,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Pelo,Elo
1982-12-12,Val d'Isère,France,M,Super G,World Cup,0,N/A,1,Peter Mueller,Switzerland,703,1983,2,1957-10-06T00:00:00.000000,25.182751540041068,51,1300.0,1321.0
1982-12-12,Val d'Isère,France,M,Super G,World Cup,0,N/A,2,Peter Luscher,Switzerland,856,1983,2,1956-10-14T00:00:00.000000,26.16016427104723,54,1300.0,1318.0
1982-12-12,Val d'Isère,France,M,Super G,World Cup,0,N/A,3,Pirmin Zurbriggen,Switzerland,722,1983,2,1963-02-04T00:00:00.000000,19.852156057494867,18,1300.0,1315.0
1982-12-12,Val d'Isère,France,M,Super G,World Cup,0,N/A,4,Franz Heinzer,Switzerland,641,1983,2,1962-04-11T00:00:00.000000,20.670773442847363,15,1300.0,1312.0
1982-12-12,Val d'Isère,France,M,Super G,World Cup,0,N/A,5,Thomas Burgler,Switzerland,802,1983,2,1960-03-03T00:00:00.000000,22.77618069815195,1,1300.0,1309.0
1982-12-12,Val d'Isère,France,M,Super G,World Cup,0,N/A,6,Hans Enn,Austria,745,1983,2,1958-05-10T00:00:00.000000,24.591375770020534,46,1300.0,1306.0
1982-12-12,Val d'Isère,France,M,Super G,World Cup,0,N/A,7,Jure Franko,Slovenia,827,1983,2,1962-03-28T00:00:00.000000,20.709103353867214,7,1300.0,1303.0
1982-12-12,Val d'Isère,France,M,Super G,World Cup,0,N/A,8,Harti Weirather,Austria,814,1983,2,1958-01-05T00:00:00.000000,24.933607118412045,31,1300.0,1300.0
1982-12-12,Val d'Isère,France,M,Super G,World Cup,0,N/A,9,Bojan Krizaj,Slovenia,742,1983,2,1957-01-03T00:00:00.000000,25.93839835728953,70,1300.0,1297.0
1982-12-12,Val d'Isère,France,M,Super G,World Cup,0,N/A,10,Christian Orlainsky,Austria,743,1983,2,1962-02-17T00:00:00.000000,20.815879534565365,31,1300.0,1294.0
1982-12-12,Val d'Isère,France,M,Super G,World Cup,0,N/A,11,Hubert Strolz,Austria,630,1983,2,1962-06-26T00:00:00.000000,20.462696783025326,9,1300.0,1291.0
1982-12-12,Val d'Isère,France,M,Super G,World Cup,0,N/A,12,Roberto Erlacher,Italy,753,1983,2,1963-09-19T00:00:00.000000,19.23066392881588,1,1300.0,1288.0
1982-12-12,Val d'Isère,France,M,Super G,World Cup,0,N/A,13,Sigfrid Kerschbaumer,Italy,888,1983,2,1961-02-21T00:00:00.000000,21.804243668720055,6,1300.0,1285.0
1982-12-12,Val d'Isère,France,M,Super G,World Cup,0,N/A,14,Martin Hangl,Switzerland,715,1983,2,1962-06-17T00:00:00.000000,20.487337440109513,2,1300.0,1280.5
1982-12-12,Val d'Isère,France,M,Super G,World Cup,0,N/A,14,Andreas Wenzel,Liechtenstein,765,1983,2,1958-03-18T00:00:00.000000,24.736481861738536,86,1300.0,1280.5
