Date,City,Country,Sex,Distance,Event,MS,Technique,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Pelo,Elo
1931-02-23,Muerren,Switzerland,M,Slalom,WSC,0,N/A,1,David Zogg,Switzerland,1518,1931,2,1902-01-01T00:00:00.000000,29.144421629021217,1,1300.0,1310.0
1931-02-23,Muerren,Switzerland,M,Slalom,WSC,0,N/A,2,Anton Seelos,Austria,1513,1931,2,1911-01-01T00:00:00.000000,20.145106091718002,1,1300.0,1305.0
1931-02-23,Muerren,Switzerland,M,Slalom,WSC,0,N/A,3,Friedl Dauber,Germany,1530,1931,2,1911-01-01T00:00:00.000000,20.145106091718002,1,1300.0,1300.0
1931-02-23,Muerren,Switzerland,M,Slalom,WSC,0,N/A,5,Walter Prager,Switzerland,1527,1931,2,1910-01-01T00:00:00.000000,21.144421629021217,2,1300.0,1295.0
1931-02-23,Muerren,Switzerland,M,Slalom,WSC,0,N/A,6,Martin Neuner,Austria,1535,1931,2,1900-01-01T00:00:00.000000,31.143052703627653,1,1300.0,1290.0
1932-02-06,Cortina d'Ampezzo,Italy,M,Slalom,WSC,0,N/A,1,Friedl Dauber,Germany,1530,1932,2,1911-01-01T00:00:00.000000,21.097878165639973,3,1300.0,1312.516007137432
1932-02-06,Cortina d'Ampezzo,Italy,M,Slalom,WSC,0,N/A,2,Otto Furrer,Switzerland,1521,1932,2,1903-01-01T00:00:00.000000,29.097878165639973,3,1300.0,1307.516007137432
1932-02-06,Cortina d'Ampezzo,Italy,M,Slalom,WSC,0,N/A,3,Hans Hauser,Austria,1528,1932,2,1911-01-01T00:00:00.000000,21.097878165639973,3,1300.0,1302.516007137432
1932-02-06,Cortina d'Ampezzo,Italy,M,Slalom,WSC,0,N/A,4,Anton Seelos,Austria,1513,1932,2,1911-01-01T00:00:00.000000,21.097878165639973,4,1302.2246100672824,1299.6445743801219
1932-02-06,Cortina d'Ampezzo,Italy,M,Slalom,WSC,0,N/A,5,Fritz Steuri,Switzerland,1529,1932,2,1903-01-01T00:00:00.000000,29.097878165639973,2,1300.0,1292.516007137432
