FIS_Name,Skier,ID,Nation,In_FIS_List,Elo,Downhill_Elo,Super G_Elo,Giant Slalom_Elo,Slalom_Elo,Combined_Elo,Tech_Elo,Speed_Elo,Race_Elo,Race_Type,Recent_Competitor,City,Country,Discipline,Race_Date
RAST Camille,Camille RAST,,SUI,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
FRIDGEIRSDOTTIR Hofi Dora,Hofi Dora FRIDGEIRSDOTTIR,,ISL,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
HEAYDON Phoebe,Phoebe HEAYDON,,AUS,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
MAHON Sophie,Sophie MAHON,,AUS,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
VORRE Clara-Marie Holmer,Clara-Marie Holmer VORRE,,DEN,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
ATANASOVSKA Jana,Jana ATANASOVSKA,,MKD,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
SALEHHUDDIN Aruwin,Aruwin SALEHHUDDIN,,MAS,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
HOZMANN Szonja,Szonja HOZMANN,,HUN,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
BERTHELSEN Nuunu Chemnitz,Nuunu Chemnitz BERTHELSEN,,DEN,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
YILDIRIM Ceren Reyhan,Ceren Reyhan YILDIRIM,,TUR,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
CONSTANTIN Maria Ioana,Maria Ioana CONSTANTIN,,ROU,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
KARLONAITE Liepa,Liepa KARLONAITE,,LTU,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
TEN RAA Joyce,Joyce TEN RAA,,LUX,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
ALIC Esma,Esma ALIC,,BIH,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
DEVA Lirika,Lirika DEVA,,KOS,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
HOLDENER Wendy,Wendy HOLDENER,,SUI,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
MAKOVETSKA Yuliia,Yuliia MAKOVETSKA,,UKR,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
SHEPILENKO Anastasiia,Anastasiia SHEPILENKO,,UKR,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
LIKIC Ina,Ina LIKIC,,BIH,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
KRYEZIU Kiana,Kiana KRYEZIU,,KOS,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
HABEN RIBEIRO Ariana,Ariana HABEN RIBEIRO,,POR,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
KALTSOGIANNI Maria Nikoleta,Maria Nikoleta KALTSOGIANNI,,GRE,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
CORLATEANU Ioana,Ioana CORLATEANU,,ROU,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
LEE Wen-Yi,Wen-Yi LEE,,TPE,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
LOIZIDOU Andrea,Andrea LOIZIDOU,,CYP,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
SINKUNAITE Gabija,Gabija SINKUNAITE,,LTU,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
BIEZA Annija,Annija BIEZA,,LAT,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
CHAD Manon,Manon CHAD,,LBN,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
BRUCE Abi,Abi BRUCE,,GBR,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
SOMMEROVA Elese,Elese SOMMEROVA,,CZE,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
ZURBRIGGEN Anina,Anina ZURBRIGGEN,,BUL,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
BUTLER Molly,Molly BUTLER,,GBR,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
TIMALSINA Debora,Debora TIMALSINA,,NEP,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
GRIGOREVA Kseniya,Kseniya GRIGOREVA,,UZB,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
SWENN LARSSON Anna,Anna SWENN LARSSON,,SWE,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
COLTURI Lara,Lara COLTURI,,ALB,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
ST-GERMAIN Laurence,Laurence ST-GERMAIN,,CAN,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
DVORNIK Neja,Neja DVORNIK,,SLO,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
AICHER Emma,Emma AICHER,,GER,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
GALLHUBER Katharina,Katharina GALLHUBER,,AUT,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
POGNEAUX Chiara,Chiara POGNEAUX,,FRA,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
SMART Amelia,Amelia SMART,,CAN,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
CHRISTEN Eliane,Eliane CHRISTEN,,SUI,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
STJERNESUND Thea Louise,Thea Louise STJERNESUND,,NOR,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
HILZINGER Jessica,Jessica HILZINGER,,GER,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
HENSIEN Katie,Katie HENSIEN,,USA,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
MAEDA Chisaki,Chisaki MAEDA,,JPN,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
MIJARES RUF Carla,Carla MIJARES RUF,,AND,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
BARUZZI FARRIOL Francesca,Francesca BARUZZI FARRIOL,,ARG,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
LAPANJA Lila,Lila LAPANJA,,SLO,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
TOTH Zita,Zita TOTH,,HUN,True,,,,,,,,,0.0,,False,Saalbach,Austria,,4/5/25
