FISName,Skier,ID,Nation,StartOrder,Bib,Is_Host_Nation,In_Startlist,Year,Run1,Run2,Time,Points,Discipline,Elo,Downhill_Elo,Super G_Elo,Giant Slalom_Elo,Slalom_Elo,Combined_Elo,Tech_Elo,Speed_Elo,Race_Elo,Race1_Prob,City,Country,Race_Type,Race_Date
SHIFFRIN Mikaela,Mikaela Shiffrin,72,USA,,3,False,True,1995,,,,,Slalom,1729.1090781571763,1478.3449331132738,1473.9078475690085,1612.8877677007438,1726.8572542477982,1340.0939293424246,1748.3214809782726,1527.1792901991016,1726.8572542477982,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
HOLDENER Wendy,Wendy Holdener,78,SUI,,6,False,True,1993,,,,,Slalom,1573.2929944743153,1273.150940488221,1402.0942574620974,1417.886151526494,1645.256085556908,1424.898382860412,1575.407809876402,1390.35079892214,1645.256085556908,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
RAST Camille,Camille Rast,3229,SUI,,4,False,True,1999,,,,,Slalom,1678.8277150583654,1265.5709253288426,1289.3417854202744,1558.1157576944288,1639.8833590076654,1297.1618438807686,1681.8533390248328,1284.5984883097835,1639.8833590076654,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
TRUPPE Katharina,Katharina Truppe,1345,AUT,,1,False,True,1996,,,,,Slalom,1544.8749355588986,1265.5709253288426,1272.5450984839335,1228.1973495660734,1609.0355717899656,1289.5884390520164,1552.343242700467,1261.9723462816562,1609.0355717899656,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
SWENN LARSSON Anna,Anna Swenn-Larsson,76,SWE,,5,False,True,1991,,,,,Slalom,1589.2778340980906,1265.5709253288426,1295.3428523716543,1222.2521245112564,1589.3545587297076,1292.6621248260092,1592.7383334303663,1295.0693686313086,1589.3545587297076,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
MOLTZAN Paula,Paula Moltzan,294,USA,,7,False,True,1994,,,,,Slalom,1634.0393384423703,1265.5709253288426,1297.0877806457083,1577.2619670644328,1572.7244569661698,1292.663056018381,1635.07460688593,1296.0446593921183,1572.7244569661698,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
COLTURI Lara,Lara Colturi,5268,ALB,,2,False,True,2006,,,,,Slalom,1601.6212015422486,1301.1336469591154,1286.2346605425253,1522.635134950267,1542.2941254708771,1301.7899224030173,1602.8091820488728,1289.162455762647,1542.2941254708771,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
HUBER Katharina,Katharina Huber,1324,AUT,,15,False,True,1995,,,,,Slalom,1488.0225964704491,1264.783288753941,1284.3006056918186,1163.9082153630266,1538.652486236288,1340.3374788379551,1492.8088809084013,1286.9714356979778,1538.652486236288,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
AICHER Emma,Emma Aicher,4194,GER,,10,False,True,2003,,,,,Slalom,1624.395860498789,1513.2408447628216,1436.6741469432309,1374.3423794195326,1515.629098889272,1309.6619942602183,1509.463699618612,1579.9908807332597,1515.629098889272,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
MEILLARD Melanie,Melanie Meillard,1322,SUI,,9,False,True,1998,,,,,Slalom,1478.4857803337495,1265.5709253288426,1305.5499639576706,1272.0560177542798,1491.556343482718,1296.6008946235647,1480.5753978436226,1304.9963864350784,1491.556343482718,1.0,Are,Sweden,Ladies' Slalom,03/15/2026
