FISName,Skier,ID,Nation,StartOrder,Bib,Is_Host_Nation,In_Startlist,Year,Run1,Run2,Time,Points,Discipline,Elo,Downhill_Elo,Super G_Elo,Giant Slalom_Elo,Slalom_Elo,Combined_Elo,Tech_Elo,Speed_Elo,Race_Elo,Race1_Prob,City,Country,Race_Type,Race_Date
HAUGAN Timon,Timon Haugan,3049,NOR,,3,False,True,1996,,,,,Slalom,1674.005254796546,1295.4564201256371,1298.7984138428676,1541.1187410464952,1646.626975515507,1302.5317973780434,1669.446712875837,1294.4710556625848,1646.626975515507,1.0,Kranjska Gora,Slovenia,Men's Slalom,03/08/2026
KRISTOFFERSEN Henrik,Henrik Kristoffersen,2391,NOR,,4,False,True,1994,,,,,Slalom,1697.1595482174876,1299.9273901225738,1308.2983200041792,1640.736790990643,1646.1110527647716,1328.2471281623991,1694.218307773304,1310.3038153114098,1646.1110527647716,1.0,Kranjska Gora,Slovenia,Men's Slalom,03/08/2026
PINHEIRO BRAATHEN Lucas,Lucas Pinheiro Braathen,4748,BRA,,2,False,True,2000,,,,,Slalom,1700.9621472829376,1251.597619033734,1284.8478753647914,1639.1765073705365,1627.0730169718822,1300.6905807243122,1719.0088047975137,1285.8609897144538,1627.0730169718822,1.0,Kranjska Gora,Slovenia,Men's Slalom,03/08/2026
MEILLARD Loic,Loic Meillard,2565,SUI,,5,False,True,1996,,,,,Slalom,1666.222319729812,1287.15088185567,1367.3083336119262,1657.003249192613,1608.82628744374,1392.2711385699945,1694.4027993623406,1390.1394908838615,1608.82628744374,1.0,Kranjska Gora,Slovenia,Men's Slalom,03/08/2026
NEF Tanguy,Tanguy Nef,3065,SUI,,11,False,True,1996,,,,,Slalom,1550.421188235123,1270.2133512438331,1274.0618000964578,1236.5136298688255,1556.842679642226,1289.228287691531,1546.2322042987107,1266.2341938519185,1556.842679642226,1.0,Kranjska Gora,Slovenia,Men's Slalom,03/08/2026
GSTREIN Fabio,Fabio Gstrein,3066,AUT,,14,False,True,1997,,,,,Slalom,1503.545677125706,1251.597619033734,1274.0618000964578,1193.9575433401542,1554.517430778157,1289.228287691531,1501.1407844942437,1252.7094849685836,1554.517430778157,1.0,Kranjska Gora,Slovenia,Men's Slalom,03/08/2026
STRASSER Linus,Linus Strasser,1932,GER,,8,False,True,1992,,,,,Slalom,1512.0298085750312,1293.7944260773506,1282.9316670596704,1254.7912358810067,1547.915102384551,1333.872019989272,1512.174147061432,1295.6767835107637,1547.915102384551,1.0,Kranjska Gora,Slovenia,Men's Slalom,03/08/2026
NOEL Clement,Clement Noel,2758,FRA,,1,False,True,1997,,,,,Slalom,1498.701134957636,1251.597619033734,1275.5144056786191,1226.7622272081458,1523.207670272092,1289.228287691531,1499.3263062929827,1265.5875492435096,1523.207670272092,1.0,Kranjska Gora,Slovenia,Men's Slalom,03/08/2026
MCGRATH Atle Lie,Atle Lie McGrath,4711,NOR,,6,False,True,2000,,,,,Slalom,1576.0109086161217,1271.1812435670545,1347.4423957192687,1559.3463088689532,1506.9301800410851,1345.8838478767912,1571.3225354286403,1356.132183741967,1506.9301800410851,1.0,Kranjska Gora,Slovenia,Men's Slalom,03/08/2026
VINATZER Alex,Alex Vinatzer,4040,ITA,,12,False,True,1999,,,,,Slalom,1426.0049740452337,1251.597619033734,1299.3508152933769,1382.5768235016617,1487.4852230389918,1299.0334471513524,1427.799107849926,1299.874567899635,1487.4852230389918,1.0,Kranjska Gora,Slovenia,Men's Slalom,03/08/2026
AMIEZ Steven,Steven Amiez,5409,FRA,,15,False,True,1998,,,,,Slalom,1477.4776143583142,1251.597619033734,1274.0618000964578,1273.6734509729201,1481.1301104444678,1289.228287691531,1477.1004739226305,1252.7094849685836,1481.1301104444678,1.0,Kranjska Gora,Slovenia,Men's Slalom,03/08/2026
MARCHANT Armand,Armand Marchant,2603,BEL,,13,False,True,1997,,,,,Slalom,1474.8056067643188,1279.6236130950797,1294.299621326188,1308.3759302745073,1480.1367686348008,1304.607797138371,1472.3677197846075,1268.0973067614834,1480.1367686348008,1.0,Kranjska Gora,Slovenia,Men's Slalom,03/08/2026
RASSAT Paco,Paco Rassat,5371,FRA,,7,False,True,1998,,,,,Slalom,1467.822846586728,1251.597619033734,1297.1801692529564,1246.0258962407197,1473.613664851354,1300.6679862174192,1463.3347244357744,1295.788112147262,1473.613664851354,1.0,Kranjska Gora,Slovenia,Men's Slalom,03/08/2026
HALLBERG Eduard,Eduard Hallberg,6820,FIN,,9,False,True,2003,,,,,Slalom,1402.367512959252,1300.0,1276.0938300240744,1233.6269152348373,1466.619497104291,1297.9138262593751,1398.942070201248,1273.545190552088,1466.619497104291,1.0,Kranjska Gora,Slovenia,Men's Slalom,03/08/2026
POPOV Albert,Albert Popov,2597,BUL,,20,False,True,1997,,,,,Slalom,1461.1148571805727,1297.309401621903,1299.4318132359867,1284.4311720421676,1464.8367674409546,1302.0801404745314,1461.4472394663087,1295.5955435258863,1464.8367674409546,1.0,Kranjska Gora,Slovenia,Men's Slalom,03/08/2026
YULE Daniel,Daniel Yule,2404,SUI,,19,False,True,1993,,,,,Slalom,1461.341259950765,1251.597619033734,1300.0,1271.8022564558532,1463.8191631713405,1289.228287691531,1462.5393417599796,1300.0,1463.8191631713405,1.0,Kranjska Gora,Slovenia,Men's Slalom,03/08/2026
