"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Run1","Run2","Time","Points","Discipline","Elo","Downhill_Elo","Super.G_Elo","Giant.Slalom_Elo","Slalom_Elo","Combined_Elo","Tech_Elo","Speed_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Race2_Prob","Race3_Prob","Race4_Prob","Sex"
"Lara Gut-Behrami","Lara Gut-Behrami",10,"Switzerland",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1695.17300130626,1560.41485663291,1627.50846030194,1620.80443299461,1311.63654081725,1308.79026658169,1635.55294153938,1682.73165771445,1627.50846030194,NA,"Lillehammer","Norway","Ladies' Super G","03/21/2026",0.695652173913043,0.0181818181818182,0.641509433962264,"L"
"GOGGIA Sofia","Sofia Goggia",331,"ITA",NA,9,"False","True",1992,NA,NA,NA,NA,"Downhill",1653.99984921777,1600.83589993374,1566.6448018377,1509.6087391807,1301.53640028646,1326.12565717539,1523.37788139396,1655.36035580124,1600.83589993374,1,"Lillehammer","Norway","Ladies' Downhill","03/21/2026",0.673913043478261,0,0.452830188679245,"L"
"JOHNSON Breezy","Breezy Johnson",497,"USA",NA,10,"False","True",1996,NA,NA,NA,NA,"Downhill",1509.04521958356,1583.79214113641,1284.37148928763,1270.61757549457,1274.24777728623,1290.44408129875,1261.85307709838,1491.73601975851,1583.79214113641,1,"Lillehammer","Norway","Ladies' Downhill","03/21/2026",0.521739130434783,0,0,"L"
"HUETTER Cornelia","Cornelia Hütter",94,"AUT",NA,13,"False","True",1992,NA,NA,NA,NA,"Downhill",1633.19777617298,1582.13248906953,1528.46564384562,1277.51377683959,1299.36929031904,1292.40608482034,1279.25173797057,1617.02093257577,1582.13248906953,1,"Lillehammer","Norway","Ladies' Downhill","03/21/2026",0.804347826086957,0,0,"L"
"PIROVANO Laura","Laura Pirovano",2916,"ITA",NA,14,"False","True",1997,NA,NA,NA,NA,"Downhill",1594.48645729934,1572.48821181419,1459.08268998867,1210.14064071434,1283.52326748054,1312.29235716081,1218.28729201595,1595.39853479255,1572.48821181419,1,"Lillehammer","Norway","Ladies' Downhill","03/21/2026",0.695652173913043,0,0.207547169811321,"L"
"Federica Brignone","Federica Brignone",127,"Italy",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1700.00503909454,1532.76286904135,1569.67578247549,1645.14152343374,1330.79619245908,1408.03079949545,1642.57234834985,1628.27812060436,1569.67578247549,NA,"Lillehammer","Norway","Ladies' Super G","03/21/2026",0.91304347826087,0.109090909090909,0.735849056603774,"L"
"WEIDLE-WINKELMANN Kira","Kira Weidle-Winkelmann",1340,"GER",NA,6,"False","True",1996,NA,NA,NA,NA,"Downhill",1563.54062661372,1535.24611028066,1433.83660516665,1241.34427792592,1300.8288349645,1273.45433250769,1242.67023666315,1546.12860402068,1535.24611028066,1,"Lillehammer","Norway","Ladies' Downhill","03/21/2026",0.869565217391304,0,0,"L"
"Lindsey Vonn","Lindsey Vonn",2,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1613.09875143067,1551.94238316217,1532.20820016315,1429.09763732206,1405.72557753998,1367.53070834646,1423.41904051027,1607.57158220527,1532.20820016315,NA,"Lillehammer","Norway","Ladies' Super G","03/21/2026",0.195652173913043,0,0,"L"
"SUTER Corinne","Corinne Suter",177,"SUI",NA,7,"False","True",1994,NA,NA,NA,NA,"Downhill",1560.31626905961,1528.07245442644,1473.14231167766,1293.38950402963,1296.19682815462,1286.47171964961,1296.20673541157,1548.93384598478,1528.07245442644,1,"Lillehammer","Norway","Ladies' Downhill","03/21/2026",0.826086956521739,0,0.113207547169811,"L"
"AICHER Emma","Emma Aicher",4194,"GER",NA,11,"False","True",2003,NA,NA,NA,NA,"Downhill",1632.28810770384,1513.24084476282,1436.67414694323,1374.34237941953,1524.92024677582,1309.66199426022,1523.15725485595,1579.99088073326,1513.24084476282,1,"Lillehammer","Norway","Ladies' Downhill","03/21/2026",0.478260869565217,0.763636363636364,0.547169811320755,"L"
"LEDECKA Ester","Ester Ledecka",2957,"CZE",NA,4,"False","True",1995,NA,NA,NA,NA,"Downhill",1591.98868717258,1510.90639905221,1513.58277308807,1315.77226358634,1287.60574170734,1384.1584170093,1305.37576107806,1576.43115926035,1510.90639905221,1,"Lillehammer","Norway","Ladies' Downhill","03/21/2026",0.608695652173913,0,0.0188679245283019,"L"
"STUHEC Ilka","Ilka Stuhec",43,"SLO",NA,5,"False","True",1990,NA,NA,NA,NA,"Downhill",1488.56770041136,1507.01365905629,1335.93814627972,1298.19291292803,1300.47976848231,1315.72807573224,1315.91705559004,1471.49234646704,1507.01365905629,1,"Lillehammer","Norway","Ladies' Downhill","03/21/2026",0.652173913043478,0,0,"L"
"LIE Kajsa Vickhoff","Kajsa Vickhoff Lie",2963,"NOR",NA,15,"False","True",1998,NA,NA,NA,NA,"Downhill",1557.38856629134,1507.00553886916,1538.32402445667,1348.71570695641,1274.8773745575,1266.00378146695,1359.25962482819,1595.68804257816,1507.00553886916,1,"Lillehammer","Norway","Ladies' Downhill","03/21/2026",0.717391304347826,0,0.207547169811321,"L"
"WILES Jacqueline","Jacqueline Wiles",378,"USA",NA,16,"False","True",1992,NA,NA,NA,NA,"Downhill",1413.37628109234,1478.8544209501,1213.72460340108,1257.63921958875,1297.06267284144,1258.83623483414,1253.31717666746,1397.39021602397,1478.8544209501,1,"Lillehammer","Norway","Ladies' Downhill","03/21/2026",0.521739130434783,0,0,"L"
"Mikaela Shiffrin","Mikaela Shiffrin",72,"USA",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1734.84393038955,1478.34493311327,1473.90784756901,1612.88776770074,1726.77007387919,1340.09392934242,1751.46800011699,1527.1792901991,1473.90784756901,NA,"Lillehammer","Norway","Ladies' Super G","03/21/2026",0.347826086956522,0.836363636363636,0.754716981132076,"L"
"RAEDLER Ariane","Ariane Rädler",3633,"AUT",NA,17,"False","True",1995,NA,NA,NA,NA,"Downhill",1532.38856060859,1473.27508165831,1443.54930762963,1237.4341155088,1283.52048181592,1279.03401539979,1235.46162408312,1516.29080123622,1473.27508165831,1,"Lillehammer","Norway","Ladies' Downhill","03/21/2026",0.875,0,0,"L"
"PUCHNER Mirjam","Mirjam Puchner",175,"AUT",NA,18,"False","True",1992,NA,NA,NA,NA,"Downhill",1486.08445135193,1471.48802222382,1415.39656571228,1250.07590534369,1294.07345597037,1293.87346140446,1251.35519375886,1468.90028203758,1471.48802222382,1,"Lillehammer","Norway","Ladies' Downhill","03/21/2026",0.847826086956522,0,0,"L"
