"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Run1","Run2","Time","Points","Discipline","Elo","Downhill_Elo","Super.G_Elo","Giant.Slalom_Elo","Slalom_Elo","Combined_Elo","Tech_Elo","Speed_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Race2_Prob","Race3_Prob","Race4_Prob","Sex"
"ODERMATT Marco","Marco Odermatt",3040,"SUI",NA,10,"False","True",1997,NA,NA,NA,NA,"Downhill",1823.45274622583,1712.30570347062,1635.27939760445,1704.09489116989,1298.37316437589,1302.80195270302,1711.16699633242,1781.02029931066,1712.30570347062,1,"Lillehammer","Norway","Men's Downhill","03/21/2026",0.975,0.92,0,"M"
"VON ALLMEN Franjo","Franjo Von Allmen",5674,"SUI",NA,14,"False","True",2001,NA,NA,NA,NA,"Downhill",1650.28002969987,1618.7818479052,1487.84262120452,1268.01482627333,1298.29859008885,1297.91382625938,1277.18090981923,1669.6080253926,1618.7818479052,1,"Lillehammer","Norway","Men's Downhill","03/21/2026",0.72,0,0,"M"
"PARIS Dominik","Dominik Paris",91,"ITA",NA,13,"False","True",1989,NA,NA,NA,NA,"Downhill",1630.05602670577,1615.34314118894,1491.29224400925,1249.47744316343,1280.27477602789,1349.43951479573,1245.22463162012,1641.3842306485,1615.34314118894,1,"Lillehammer","Norway","Men's Downhill","03/21/2026",0.775,0.02,0,"M"
"KRIECHMAYR Vincent","Vincent Kriechmayr",1912,"AUT",NA,11,"False","True",1991,NA,NA,NA,NA,"Downhill",1632.89703547115,1597.60617781198,1580.45790721412,1276.01893200074,1287.42874707643,1319.47459580891,1275.41412856551,1654.22332232792,1597.60617781198,1,"Lillehammer","Norway","Men's Downhill","03/21/2026",0.925,0.08,0,"M"
"MONNEY Alexis","Alexis Monney",5493,"SUI",NA,9,"False","True",2000,NA,NA,NA,NA,"Downhill",1542.59018454402,1551.36070522501,1406.45918293152,1299.33827321911,1277.54675735995,1297.24810885912,1299.79217021873,1553.34788797838,1551.36070522501,1,"Lillehammer","Norway","Men's Downhill","03/21/2026",0.594594594594595,0.0208333333333333,0,"M"
"ALLEGRE Nils","Nils Allegre",2395,"FRA",NA,7,"False","True",1994,NA,NA,NA,NA,"Downhill",1575.67852102245,1540.9692939781,1481.99374757358,1301.10190273652,1198.10026217758,1325.77011675798,1300.78526426285,1583.5159173536,1540.9692939781,1,"Lillehammer","Norway","Men's Downhill","03/21/2026",0.925,0,0,"M"
"HINTERMANN Niels","Niels Hintermann",2768,"SUI",NA,24,"False","True",1995,NA,NA,NA,NA,"Downhill",1487.86017560578,1536.45520518542,1302.06491273902,1300.5497272428,1277.54675735995,1329.52609252579,1300.50862572799,1490.378425336,1536.45520518542,1,"Lillehammer","Norway","Men's Downhill","03/21/2026",0.35,0,0,"M"
"ALEXANDER Cameron","Cameron Alexander",4306,"CAN",NA,17,"False","True",1997,NA,NA,NA,NA,"Downhill",1502.64740679717,1524.56008672093,1377.65649429078,1273.82863896548,1277.54675735995,1299.57741462074,1267.3201166527,1506.16662597301,1524.56008672093,1,"Lillehammer","Norway","Men's Downhill","03/21/2026",0.475,0,0,"M"
"SCHIEDER Florian","Florian Schieder",3043,"ITA",NA,8,"False","True",1995,NA,NA,NA,NA,"Downhill",1480.58866384201,1523.07283655136,1251.76369782475,1281.51422473263,1277.54675735995,1276.30470062935,1282.20169509048,1491.08596879903,1523.07283655136,1,"Lillehammer","Norway","Men's Downhill","03/21/2026",0.3,0,0,"M"
"Franjo von Allmen","Franjo von Allmen",5674,"Switzerland",999,999,"False","False",NA,NA,NA,NA,NA,"Super G",1669.58372165512,1625.48786831042,1515.74075580672,1268.01482627333,1298.29859008885,1297.91382625938,1277.18090981923,1689.84296509349,1515.74075580672,NA,"Lillehammer","Norway","Men's Super G","03/21/2026",1,0,0,"M"
