Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,1,Anna Sprung,Austria,215,1997,27,1975-05-16T00:00:00.000000,21.83436002737851,19,0,1300.0,1360.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,2,Svetlana Paramyguina,Belarus,259,1997,27,1965-04-05T00:00:00.000000,31.94524298425736,106,0,1300.0,1355.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,3,Magdalena Forsberg,Sweden,237,1997,27,1967-07-25T00:00:00.000000,29.642710472279262,53,0,1300.0,1350.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,4,Uschi Disl,Germany,186,1997,27,1970-11-15T00:00:00.000000,26.33264887063655,143,0,1300.0,1345.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,5,Ekaterina Dafovska,Bulgaria,184,1997,27,1975-11-28T00:00:00.000000,21.297741273100616,62,0,1300.0,1340.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,6,Annette Sikveland,Norway,278,1997,27,1972-04-25T00:00:00.000000,24.889801505817932,101,0,1300.0,1335.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,7,Eva Hakova,Czechia,243,1997,27,1969-07-08T00:00:00.000000,27.68788501026694,110,0,1300.0,1330.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,8,Nadejda Talanova,Russia,279,1997,27,1967-04-17T00:00:00.000000,29.913757700205338,76,0,1300.0,1325.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,9,Corinne Niogret,France,217,1997,27,1972-11-20T00:00:00.000000,24.317590691307323,134,0,1300.0,1320.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,10,Andreja Koblar,Slovenia,202,1997,27,1971-09-02T00:00:00.000000,25.535934291581107,61,0,1300.0,1315.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,11,Emmanuelle Claret,France,271,1997,27,1968-10-30T00:00:00.000000,28.375085557837096,80,0,1300.0,1310.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,12,Annukka Mallat,Finland,267,1997,27,1974-05-19T00:00:00.000000,22.82546201232033,41,0,1300.0,1305.0
1997-03-16,Novosibirsk,Russia,L,7.5,Mass Start,1,World Cup,13,Martina Zellner,Germany,239,1997,27,1974-02-26T00:00:00.000000,23.04996577686516,48,0,1300.0,1300.0
