Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,1,Sven Fischer,Germany,154,1997,2,1971-04-16T00:00:00.000000,25.6290212183436,77,0,1300.0,1369.1121495327102
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,2,Pavel Rostovtsev,Russia,155,1997,2,1971-09-21T00:00:00.000000,25.196440793976727,6,0,1300.0,1366.728971962617
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,3,Rene Cattarinussi,Italy,210,1997,2,1972-04-12T00:00:00.000000,24.637919233401778,37,0,1300.0,1364.3457943925234
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,4,Viktor Maigourov,Russia,208,1997,2,1969-02-07T00:00:00.000000,27.813826146475016,72,0,1300.0,1361.96261682243
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,5,Sylfest Glimsdal,Norway,237,1997,2,1966-10-09T00:00:00.000000,30.146475017111566,83,0,1300.0,1359.5794392523364
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,6,Pavel Mouslimov,Russia,258,1997,2,1967-06-15T00:00:00.000000,29.464750171115675,40,0,1300.0,1357.196261682243
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,7,Frank Luck,Germany,204,1997,2,1967-12-05T00:00:00.000000,28.99110198494182,141,0,1300.0,1354.8130841121495
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,8,Raphaël Poiree,France,36,1997,2,1974-08-09T00:00:00.000000,22.313483915126625,25,0,1300.0,1352.4299065420562
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,9,Patrice Bailly-Salins,France,280,1997,2,1964-06-21T00:00:00.000000,32.446269678302535,102,0,1300.0,1350.0467289719627
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,10,Vadim Sashurin,Belarus,185,1997,2,1970-02-19T00:00:00.000000,26.781656399726213,70,0,1300.0,1347.6635514018692
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,11,Sergei Sen. Tarasov,Russia,255,1997,2,1965-02-15T00:00:00.000000,31.79192334017796,67,0,1300.0,1345.2803738317757
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,12,Mark Kirchner,Germany,266,1997,2,1970-04-04T00:00:00.000000,26.661190965092402,123,0,1300.0,1342.8971962616822
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,13,Halvard Hanevold,Norway,105,1997,2,1969-12-03T00:00:00.000000,26.99520876112252,56,0,1300.0,1340.5140186915887
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,14,Peter Sendel,Germany,198,1997,2,1972-03-06T00:00:00.000000,24.739219712525667,47,0,1300.0,1338.1308411214952
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,15,Oleg Ryzhenkov,Belarus,156,1997,2,1967-12-15T00:00:00.000000,28.9637234770705,65,0,1300.0,1335.747663551402
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,16,Sergei Rozhkov,Russia,151,1997,2,1972-04-01T00:00:00.000000,24.66803559206023,15,0,1300.0,1333.3644859813085
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,17,Frode Andresen,Norway,136,1997,2,1973-09-08T00:00:00.000000,23.23066392881588,50,0,1300.0,1330.981308411215
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,18,Alexei Aidarov,Ukraine,172,1997,2,1974-11-15T00:00:00.000000,22.04517453798768,35,0,1300.0,1328.5981308411215
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,19,Ricco Gross,Germany,158,1997,2,1970-08-22T00:00:00.000000,26.27789185489391,111,0,1300.0,1326.214953271028
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,20,Alexei Kobelev,Russia,234,1997,2,1971-07-27T00:00:00.000000,25.349760438056126,66,0,1300.0,1323.8317757009345
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,21,Egil Gjelland,Norway,174,1997,2,1973-11-12T00:00:00.000000,23.052703627652292,14,0,1300.0,1321.4485981308412
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,22,Ludwig Gredler,Austria,159,1997,2,1967-11-19T00:00:00.000000,29.034907597535934,103,0,1300.0,1319.0654205607477
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,23,Jon Åge Tyldum,Norway,285,1997,2,1968-10-26T00:00:00.000000,28.098562628336754,122,0,1300.0,1316.6822429906542
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,24,Wieslaw Ziemianin,Poland,169,1997,2,1970-09-07T00:00:00.000000,26.234086242299796,63,0,1300.0,1314.2990654205607
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,25,Carsten Heymann,Germany,203,1997,2,1972-01-07T00:00:00.000000,24.90075290896646,14,0,1300.0,1311.9158878504672
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,26,Dag Bjørndalen,Norway,207,1997,2,1970-04-02T00:00:00.000000,26.666666666666668,34,0,1300.0,1309.5327102803737
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,27,Tomas Globocnik,Slovenia,209,1997,2,1972-04-17T00:00:00.000000,24.62422997946612,37,0,1300.0,1307.1495327102805
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,28,Patrick Favre,Italy,229,1997,2,1972-07-30T00:00:00.000000,24.33949349760438,59,0,1300.0,1304.766355140187
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,29,Jonas Eriksson,Sweden,288,1997,2,1970-12-21T00:00:00.000000,25.946611909650922,47,0,1300.0,1302.3831775700935
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,30,Ole Einar Bjørndalen,Norway,2,1997,2,1974-01-27T00:00:00.000000,22.84462696783025,58,0,1300.0,1300.0
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,31,Bård Mjølne,Norway,293,1997,2,1971-01-18T00:00:00.000000,25.869952087611225,2,0,1300.0,1297.6168224299065
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,32,Herve Flandin,France,291,1997,2,1965-06-04T00:00:00.000000,31.49349760438056,152,0,1300.0,1295.233644859813
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,33,Joze Poklukar,Slovenia,279,1997,2,1973-01-30T00:00:00.000000,23.835728952772072,53,0,1300.0,1292.8504672897195
1996-12-01,Lillehammer,Norway,M,12.5,Pursuit,0,World Cup,34,Kyoji Suga,Japan,167,1997,2,1968-05-11T00:00:00.000000,28.55852156057495,48,0,1300.0,1290.4672897196263
