Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,1,Wolfgang Perner,Austria,176,1997,39,1967-09-17T00:00:00.000000,29.49486652977413,115,0,1300.0,1352.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,2,Pieralberto Carrara,Italy,242,1997,39,1966-02-14T00:00:00.000000,31.082819986310746,170,0,1300.0,1347.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,3,Vladimir Drachev,Belarus,152,1997,39,1966-03-07T00:00:00.000000,31.025325119780973,91,0,1300.0,1342.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,4,Frode Andresen,Norway,136,1997,39,1973-09-08T00:00:00.000000,23.51813826146475,68,0,1300.0,1337.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,5,Viktor Maigourov,Russia,208,1997,39,1969-02-07T00:00:00.000000,28.101300479123886,96,0,1300.0,1332.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,6,Halvard Hanevold,Norway,105,1997,39,1969-12-03T00:00:00.000000,27.28268309377139,73,0,1300.0,1327.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,7,Peter Sendel,Germany,198,1997,39,1972-03-06T00:00:00.000000,25.026694045174537,66,0,1300.0,1322.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,8,Sergei Sen. Tarasov,Russia,255,1997,39,1965-02-15T00:00:00.000000,32.07939767282683,88,0,1300.0,1317.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,9,Carsten Heymann,Germany,203,1997,39,1972-01-07T00:00:00.000000,25.18822724161533,34,0,1300.0,1312.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,10,Ricco Gross,Germany,158,1997,39,1970-08-22T00:00:00.000000,26.56536618754278,134,0,1300.0,1307.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,11,Ole Einar Bjørndalen,Norway,2,1997,39,1974-01-27T00:00:00.000000,23.132101300479125,82,0,1300.0,1302.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,12,Sergei Rozhkov,Russia,151,1997,39,1972-04-01T00:00:00.000000,24.9555099247091,32,0,1300.0,1297.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,13,Alexei Kobelev,Russia,234,1997,39,1971-07-27T00:00:00.000000,25.637234770704996,85,0,1300.0,1292.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,14,Vesa Hietalahti,Finland,186,1997,39,1969-09-27T00:00:00.000000,27.46611909650924,104,0,1300.0,1287.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,15,Frank Luck,Germany,204,1997,39,1967-12-05T00:00:00.000000,29.27857631759069,165,0,1300.0,1282.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,16,Pavel Mouslimov,Russia,258,1997,39,1967-06-15T00:00:00.000000,29.752224503764545,62,0,1300.0,1277.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,17,Ludwig Gredler,Austria,159,1997,39,1967-11-19T00:00:00.000000,29.322381930184804,128,0,1300.0,1272.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,18,Sven Fischer,Germany,154,1997,39,1971-04-16T00:00:00.000000,25.91649555099247,98,0,1300.0,1267.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,19,Jekabs Nakums,Latvia,232,1997,39,1972-02-04T00:00:00.000000,25.111567419575632,60,0,1300.0,1262.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,20,Rene Cattarinussi,Italy,210,1997,39,1972-04-12T00:00:00.000000,24.92539356605065,58,0,1300.0,1257.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,21,Vadim Sashurin,Belarus,185,1997,39,1970-02-19T00:00:00.000000,27.069130732375086,91,0,1300.0,1252.5
1997-03-16,Novosibirsk,Russia,M,10,Mass Start,1,World Cup,22,Mark Kirchner,Germany,266,1997,39,1970-04-04T00:00:00.000000,26.94866529774127,146,0,1300.0,1247.5
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Pieralberto Carrara,Italy,242,1997,0,1966-02-14T00:00:00.000000,31.082819986310746,170,0,1347.5,1340.375
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Mark Kirchner,Germany,266,1997,0,1970-04-04T00:00:00.000000,26.94866529774127,146,0,1247.5,1255.375
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Vesa Hietalahti,Finland,186,1997,0,1969-09-27T00:00:00.000000,27.46611909650924,104,0,1287.5,1289.375
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Alexei Kobelev,Russia,234,1997,0,1971-07-27T00:00:00.000000,25.637234770704996,85,0,1292.5,1293.625
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Jekabs Nakums,Latvia,232,1997,0,1972-02-04T00:00:00.000000,25.111567419575632,60,0,1262.5,1268.125
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Ricco Gross,Germany,158,1997,0,1970-08-22T00:00:00.000000,26.56536618754278,134,0,1307.5,1306.375
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Frank Luck,Germany,204,1997,0,1967-12-05T00:00:00.000000,29.27857631759069,165,0,1282.5,1285.125
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Sergei Rozhkov,Russia,151,1997,0,1972-04-01T00:00:00.000000,24.9555099247091,32,0,1297.5,1297.875
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Viktor Maigourov,Russia,208,1997,0,1969-02-07T00:00:00.000000,28.101300479123886,96,0,1332.5,1327.625
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Sven Fischer,Germany,154,1997,0,1971-04-16T00:00:00.000000,25.91649555099247,98,0,1267.5,1272.375
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Vladimir Drachev,Belarus,152,1997,0,1966-03-07T00:00:00.000000,31.025325119780973,91,0,1342.5,1336.125
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Rene Cattarinussi,Italy,210,1997,0,1972-04-12T00:00:00.000000,24.92539356605065,58,0,1257.5,1263.875
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Sergei Sen. Tarasov,Russia,255,1997,0,1965-02-15T00:00:00.000000,32.07939767282683,88,0,1317.5,1314.875
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Wolfgang Perner,Austria,176,1997,0,1967-09-17T00:00:00.000000,29.49486652977413,115,0,1352.5,1344.625
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Vadim Sashurin,Belarus,185,1997,0,1970-02-19T00:00:00.000000,27.069130732375086,91,0,1252.5,1259.625
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Carsten Heymann,Germany,203,1997,0,1972-01-07T00:00:00.000000,25.18822724161533,34,0,1312.5,1310.625
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Pavel Mouslimov,Russia,258,1997,0,1967-06-15T00:00:00.000000,29.752224503764545,62,0,1277.5,1280.875
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Frode Andresen,Norway,136,1997,0,1973-09-08T00:00:00.000000,23.51813826146475,68,0,1337.5,1331.875
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Ludwig Gredler,Austria,159,1997,0,1967-11-19T00:00:00.000000,29.322381930184804,128,0,1272.5,1276.625
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Ole Einar Bjørndalen,Norway,2,1997,0,1974-01-27T00:00:00.000000,23.132101300479125,82,0,1302.5,1302.125
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Peter Sendel,Germany,198,1997,0,1972-03-06T00:00:00.000000,25.026694045174537,66,0,1322.5,1319.125
1997-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Halvard Hanevold,Norway,105,1997,0,1969-12-03T00:00:00.000000,27.28268309377139,73,0,1327.5,1323.375
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,1,Raphaël Poiree,France,36,1999,20,1974-08-09T00:00:00.000000,24.42984257357974,77,0,1300.0,1358.063810771927
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,2,Frank Luck,Germany,204,1999,20,1967-12-05T00:00:00.000000,31.107460643394933,197,0,1285.125,1340.7479151503394
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,3,Sergei Rozhkov,Russia,151,1999,20,1972-04-01T00:00:00.000000,26.784394250513348,60,0,1297.875,1346.3047392494486
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,4,Peter Sendel,Germany,198,1999,20,1972-03-06T00:00:00.000000,26.85557837097878,93,0,1319.125,1358.8968334765038
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,5,Ole Einar Bjørndalen,Norway,2,1999,20,1974-01-27T00:00:00.000000,24.960985626283367,113,0,1302.125,1339.8228405452605
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,6,Ricco Gross,Germany,158,1999,20,1970-08-22T00:00:00.000000,28.39425051334702,167,0,1306.375,1338.3408834767338
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,7,Oleg Ryzhenkov,Belarus,156,1999,20,1967-12-15T00:00:00.000000,31.080082135523615,118,0,1300.0,1328.063810771927
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,8,Sven Fischer,Germany,154,1999,20,1971-04-16T00:00:00.000000,27.745379876796715,132,0,1272.375,1300.1827801832121
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,9,Wolfgang Perner,Austria,176,1999,20,1967-09-17T00:00:00.000000,31.32375085557837,142,0,1344.625,1355.0363112658122
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,10,Alexei Aidarov,Ukraine,172,1999,20,1974-11-15T00:00:00.000000,24.161533196440793,83,0,1300.0,1313.063810771927
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,11,Vladimir Drachev,Belarus,152,1999,20,1966-03-07T00:00:00.000000,32.85420944558521,121,0,1336.125,1337.9837436127264
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,12,Halvard Hanevold,Norway,105,1999,20,1969-12-03T00:00:00.000000,29.111567419575632,103,0,1323.375,1322.4168123749853
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,13,Carsten Heymann,Germany,203,1999,20,1972-01-07T00:00:00.000000,27.017111567419576,58,0,1310.625,1306.8590853029018
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,14,Dag Bjørndalen,Norway,207,1999,20,1970-04-02T00:00:00.000000,28.78302532511978,71,0,1300.0,1293.063810771927
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,15,Jean Marc Chabloz,Switzerland,211,1999,20,1967-05-27T00:00:00.000000,31.633127994524298,125,0,1300.0,1288.063810771927
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,16,Vesa Hietalahti,Finland,186,1999,20,1969-09-27T00:00:00.000000,29.295003422313485,121,0,1289.375,1274.2674931271445
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,17,Vadim Sashurin,Belarus,185,1999,20,1970-02-19T00:00:00.000000,28.89801505817933,117,0,1259.625,1244.6035893409826
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,18,Ivan Masarik,Czechia,225,1999,20,1967-09-14T00:00:00.000000,31.33196440793977,132,0,1300.0,1273.063810771927
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,19,Sergei Konovalov,Russia,187,1999,20,1973-04-09T00:00:00.000000,25.763175906913073,7,0,1300.0,1268.063810771927
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,20,Pavel Rostovtsev,Russia,155,1999,20,1971-09-21T00:00:00.000000,27.312799452429843,43,0,1300.0,1263.063810771927
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,21,Wolfgang Rottmann,Austria,170,1999,20,1973-05-15T00:00:00.000000,25.66461327857632,50,0,1300.0,1258.063810771927
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,22,Frode Andresen,Norway,136,1999,20,1973-09-08T00:00:00.000000,25.347022587268995,98,0,1331.875,1279.4600544027517
1999-01-13,Ruhpolding,Germany,M,15,Mass Start,1,World Cup,23,Janez Ozbolt,Slovenia,189,1999,20,1970-08-22T00:00:00.000000,28.39425051334702,171,0,1300.0,1248.063810771927
