City,Country,Coordinates,Elevation
Altenberg,Germany,"50.73960328566234, 13.7351622310665",845
Annecy-Le Grand-Bornand,France,"45.94071699186384, 6.431694584346119",919
Antholz-Anterselva,Italy,"46.88529456748561, 12.152579127034125",1629
Bad Gastein,Austria,"47.16995695744568, 13.109158868479915",862
Bardufoss,Norway,"69.05362115808713, 18.478186756533184",146
Beitostølen,Norway,"61.23805707724988, 8.916212452855115",822
Boden,Sweden,"65.84152459587425, 21.62813197024281",67
Borovetz,Bulgaria,"42.26701964208332, 23.60321012387584",1318
Brezno-Osrblie,Slovakia,"48.75530276427257, 19.511700098110428",635
Canmore,Canada,"51.09145521016187, -115.3861398478319",1427
Chamonix,France,"45.927954726280774, 6.874718834145327",1039
Courmayeur,Italy,"45.84489802768194, 7.014946772998464",1631
Egg am Etzel,Switzerland,"47.1621067485049, 8.78253922969642",850
Elverum,Norway,"60.910162687126025, 11.565376929047035",194
Fagernes,Norway,"60.98910395283122, 9.229784195061246",382
Falun,Sweden,"60.62016449039085, 15.65639838091256",171
Feistritz,Austria,"46.7053009638123, 13.671809468681861",513
Fort Kent ME,USA,"47.232817907242875, -68.5936711037839",297
Garmisch Partenkirchen,Germany,"47.480611093223885, 11.118206954879161",748
Grenoble,France,"45.17821306648117, 5.537854015922314",1048
Hämeenlinna,Finland,"61.002429826095174, 24.42138165012495",88
Hedenäset,Sweden,"66.23484990934887, 23.681837205175874",33
Hinton,Canada,"53.41885322339438, -117.75050136840935",1375
Hochfilzen,Austria,"47.474940433609845, 12.63746836260514",1012
Holmenkollen,Norway,"59.96498122867258, 10.669387631979896",327
Jáchymov,Czechia,"50.36695805338365, 12.907774814620206",809
Jyväskylä,Finland,"62.259020523657455, 25.683455962453234",218
Keuruu,Finland,"62.21159988282642, 24.644739940600108",122
Khanty-Mansijsk,Russia,"60.98512529600711, 69.03021354272028",104
Kontiolahti,Finland,"62.72035991983927, 29.815644183271544",127
Lahti,Finland,"60.98338793578833, 25.63403789121366",93
Lake Placid NY,USA,"44.21915175297378, -73.92309872594957",618
Lappeenranta,Finland,"61.113556541077415, 28.590931127588476",89
Lenzerheide,Switzerland,"46.69235034822952, 9.559366126879038",1401
Les Saisies,France,"45.76067590269186, 6.526806617300709",1611
Lillehammer,Norway,"61.13453884882541, 10.507580954375609",473
Lygna,Norway,"60.462466706594256, 10.63590326711824",619
McKinney Creek CA,USA,"49.105326938240516, -119.29121585954795",1387
Minsk-Raubichi,Belarus,"54.059082784269755, 27.734538634439364",206
Murmansk,Russia,"68.91912495820681, 33.10466677487036",64
Nove Mesto,Czechia,"49.57753936625831, 16.05389405580767",634
Novosibirsk,Russia,"55.0553351180382, 83.04179818483128",183
Nozawa Onsen,Japan,"36.90926852108203, 138.44563754551123",613
Oberhof,Germany,"50.70748700979734, 10.694329227799015",823
Obertauern,Austria,"47.2685346608432, 13.496538248559391",1285
Östersund,Sweden,"63.19045561531085, 14.659019535494638",366
Otepää,Estonia,"58.05132245906922, 26.501870894665295",153
Pokljuka,Slovenia,"46.34480035785677, 13.921988974425007",1331
Pontresina,Switzerland,"46.49325147701696, 9.901811039585867",1802
Pragelato,Italy,"44.95913177694841, 6.815426330004156",1671
Presque Isle ME,USA,"46.730035456488096, -67.9296050731198",266
Pyeongchang,South Korea,"37.66363733687237, 128.68816546738833",760
Ruhpolding,Germany,"47.71516241126133, 12.646282706572999",710
Saalfelden,Austria,"47.421871961018084, 12.844498039679483",760
Sapporo,Japan,"42.98008794868296, 141.3712582949047",141
Seefeld,Austria,"47.326576829760484, 11.17647305620554",1194
Sochi,Russia,"43.69019481818333, 40.325497982611225",1397
Sodankylä,Finland,"67.41597328529292, 26.58854029912651",180
Soldier Hollow UT,USA,"40.47873371474441, -111.49791901748254",1697
Steinkjer,Norway,"64.03598135156103, 11.495237327497907",104
Summer,Break,0,0
Taizicheng,China,"40.90825427170903, 115.46753114252623",1638
Trondheim,Norway,"63.39671131716474, 10.319223189989966",215
Tyumen,Russia,"57.167213916386075, 65.45579801015616",84
Umeå,Sweden,"63.8388089426035, 20.342113250519997",38
Val Cartier,Canada,"46.923081307812325, -71.48868216490581",173
Val Ridanna,Italy,"46.922096675890515, 11.27613017106157",1395
Veliko Polje,Croatia,"43.748196510332505, 18.26509085862915",1181
Vingrom,Norway,"61.046074589838746, 10.430216101857537",125
Walchsee,Austria,"47.67491843769192, 12.46660806583027",668
Whistler,Canada,"50.13928448784038, -123.11400063067855",856
Zakopane,Poland,"49.28273857003448, 19.873330129289503",932
