Skier,ID,Nation,Ranking,Points,Wins,Prone_Percentage,Standing_Percentage
Lou Jeanmonnot,1769,France,1,718,3,93.68,87.37
Suvi Minkkinen,1233,Finland,2,582,1,92.63,90.53
Maren Kirkeeide,2898,Norway,3,576,1,90.53,87.37
Hanna Öberg,1384,Sweden,4,560,2,85.26,82.11
Elvira Öberg,2266,Sweden,5,506,2,86.32,86.32
Anna Magnusson,1305,Sweden,6,501,0,91.58,88.42
Camille Bened,2166,France,7,441,0,96.84,94.74
Dorothea Wierer,54,Italy,8,399,1,91.25,82.5
Lisa Vittozzi,1292,Italy,9,395,1,87.14,92.86
Justine Braisaz-Bouchet,1217,France,10,363,0,82.11,80.0
Oceane Michelon,2736,France,11,326,0,86.32,82.11
Franziska Preuß,926,Germany,12,301,0,95.38,87.69
Amy Baserga,2261,Switzerland,13,286,0,91.58,82.11
Julia Simon,1300,France,14,280,0,91.67,88.33
Vanessa Voigt,2165,Germany,15,245,0,96.84,89.47
Karoline Offigstad Knotten,1275,Norway,16,223,0,87.06,82.35
Lisa Theresa Hauser,1006,Austria,17,213,1,85.0,82.5
Jeanne Richard,2680,France,18,206,0,92.5,75.0
Regina Ermits,1314,Estonia,19,201,0,89.41,92.94
Ella Halvarsson,2456,Sweden,20,199,0,92.5,83.75
Marthe Kråkstad Johansen,1802,Norway,21,191,0,89.41,89.41
Maya Cloetens,2588,Belgium,22,188,0,98.95,84.21
Polona Klemencic,1606,Slovenia,23,185,0,87.37,80.0
Paulina Batovska Fialkova,947,Slovakia,24,178,0,85.0,75.0
Julia Tannheimer,2896,Germany,25,177,0,75.29,77.65
Anna Weidel,1337,Germany,26,176,0,88.75,87.5
Janina Hettich-Walz,1579,Germany,27,158,0,91.76,70.59
Tereza Vobornikova,2442,Czechia,28,156,0,89.41,83.53
Marketa Davidova,1394,Czechia,29,145,0,81.25,73.75
Lucie Charvatova,1083,Czechia,30,136,0,83.53,69.41
Anna Gandler,2264,Austria,30,136,0,89.33,84.0
Rebecca Passler,2533,Italy,32,135,0,90.91,89.09
Deedra Irwin,2437,USA,33,127,0,85.71,85.71
Joanna Jakiela,1612,Poland,34,105,0,85.0,81.67
Lotte Lie,1237,Belgium,34,105,0,92.0,86.67
Lea Meier,2505,Switzerland,36,99,0,92.0,72.0
Selina Grotian,2783,Germany,37,94,0,75.56,86.67
Anna-Karin Heijdenberg,2635,Sweden,38,93,0,80.0,77.78
Alina Stremous,2758,Moldova,39,86,0,90.0,90.0
Inka Hämäläinen,2794,Finland,40,84,0,80.0,80.0
Ingrid Landmark Tandrevold,1553,Norway,41,82,0,88.33,71.67
Milena Todorova,1598,Bulgaria,42,79,0,95.0,76.67
Sonja Leinamo,2793,Finland,43,75,0,90.0,56.67
Nadia Moser,1786,Canada,44,74,0,88.0,82.67
Lena Repinc,2555,Slovenia,45,65,0,92.94,80.0
Michela Carrara,1596,Italy,46,64,0,70.0,66.67
Anna Andexer,2690,Austria,47,62,0,87.14,78.57
Khrystyna Dmytrenko,1589,Ukraine,48,59,0,94.67,89.33
Anastasiya Kuzmina,12,Slovakia,49,55,0,68.33,75.0
Baiba Bendika,531,Latvia,50,54,0,77.33,68.0
Marit Øygard,1804,Norway,50,54,0,96.0,86.0
Shilo Rousseau,2262,Canada,52,52,0,92.0,77.33
Natalia Sidorowicz,2951,Poland,53,47,0,81.67,85.0
Linn Gestblom,1301,Sweden,54,45,0,90.0,66.67
Susan Külm,1043,Estonia,55,42,0,76.36,85.45
Kamila Zuk,1554,Poland,55,42,0,81.43,80.0
Venla Lehtonen,2309,Finland,57,41,0,88.0,84.0
Anna Juppe,2776,Austria,58,40,0,86.67,68.0
Sara Andersson,2547,Sweden,59,37,0,82.5,60.0
Anamarija Lampic,2354,Slovenia,60,33,0,73.33,55.0
Estere Volfa,2865,Latvia,61,31,0,97.14,77.14
Gilonne Guigonnat,1805,France,62,30,0,80.0,80.0
Hannah Auchentaller,2552,Italy,63,29,0,78.18,81.82
Dunja Zdouc,1080,Austria,63,29,0,90.0,90.0
Valentina Dimitrova,2573,Bulgaria,65,27,0,86.67,91.11
Lora Hristova,2569,Bulgaria,65,27,0,94.67,86.67
Samuela Comola,1803,Italy,67,23,0,90.0,78.33
Luci Anderson,3247,USA,68,20,0,80.0,56.0
Anna Maka,941,Poland,68,20,0,94.29,71.43
Siri Skar,3083,Norway,70,19,0,86.67,93.33
Lena Häcki-Gross,1238,Switzerland,71,18,0,86.15,83.08
Tuuli Tomingas,1245,Estonia,72,15,0,88.89,75.56
Sophia Schneider,1592,Germany,73,11,0,73.33,80.0
Marlene Fichtner,2697,Germany,74,10,0,87.5,85.0
Juni Arnekleiv,2384,Norway,75,9,0,93.33,80.0
Paula Botet,2417,France,75,9,0,80.0,86.67
Margie Freed,3044,USA,75,9,0,84.29,68.57
Tereza Vinklarkova,1782,Czechia,78,8,0,88.57,80.0
Maria Remenova,2249,Slovakia,79,7,0,80.0,77.5
Aita Gasparin,1003,Switzerland,80,6,0,90.77,75.38
Noora Kaisa Keränen,2469,Finland,80,6,0,88.0,84.0
Åsne Skrede,2629,Norway,80,6,0,73.33,66.67
Zuzana Remenova,2428,Slovakia,83,4,0,75.0,82.5
Amandine Mengin,2916,France,84,3,0,84.0,88.0
Pascale Paradis,2454,Canada,84,3,0,92.0,64.0
Johanna Skottheim,1340,Sweden,84,3,0,90.0,70.0
Linda Zingerle,2595,Italy,87,1,0,93.33,70.0
