Skier,ID,Nation,Ranking,Points,Wins,Prone_Percentage,Standing_Percentage
Eric Perrot,4591,France,1,999,4,92.59,93.33
Tommaso Giacomel,4387,Italy,2,797,4,85.22,84.35
Sebastian Samuelsson,1345,Sweden,3,723,1,85.19,80.74
Johan-Olav Smørdal Botn,4479,Norway,4,707,3,90.48,94.29
Sturla Holm Lægreid,2753,Norway,5,569,1,98.0,88.0
Johannes Dale-Skjevdal,3027,Norway,6,563,1,92.22,85.56
Vetle Sjåstad Christiansen,509,Norway,7,559,1,87.62,92.38
Martin Ponsiluoma,1135,Sweden,8,550,0,83.7,75.56
Quentin Fillon Maillet,992,France,9,540,1,79.26,85.93
Emilien Jacquelin,1333,France,10,536,0,88.8,80.0
Philipp Nawrath,1091,Germany,11,476,0,92.17,82.61
Martin Uldal,4612,Norway,12,449,0,94.44,80.0
Campbell Wright,4498,USA,13,442,0,91.85,79.26
Lukas Hofer,9,Italy,14,424,0,94.4,84.0
Fabien Claude,1089,France,15,406,0,84.44,79.26
Isak Leknes Frey,4740,Norway,16,359,0,89.63,82.22
Jesper Nelin,1266,Sweden,17,327,0,83.7,82.96
Philipp Horn,1707,Germany,18,293,0,85.56,76.67
Vitezslav Hornig,1786,Czechia,19,282,0,87.83,83.48
Oscar Lombardot,4524,France,20,269,0,90.0,80.91
Tero Seppälä,1427,Finland,21,255,0,85.0,80.0
Michal Krcmar,477,Czechia,22,254,0,91.11,79.26
Justus Strelow,1389,Germany,23,235,0,98.95,78.95
Sivert Guttorm Bakken,1868,Norway,24,224,0,90.0,94.0
Joscha Burkhalter,1401,Switzerland,25,222,0,89.6,85.6
David Zobel,1571,Germany,26,186,0,85.0,85.0
Vitalii Mandzyn,4760,Ukraine,27,177,0,80.87,87.83
Sebastian Stalder,1873,Switzerland,28,171,0,91.3,90.43
Simon Eder,11,Austria,29,161,0,93.68,89.47
Sverre Dahlen Aspenes,2779,Norway,30,149,0,86.0,88.0
Vytautas Strolia,1164,Lithuania,31,147,0,86.67,78.1
Victor Brandt,3526,Sweden,32,144,0,85.56,74.44
Olli Hiidensalo,920,Finland,33,134,0,92.5,85.0
Andrejs Rastorgujevs,65,Latvia,34,128,0,91.25,80.0
Malte Stefansson,4445,Sweden,35,122,0,81.74,75.65
Tuomas Harjula,1768,Finland,36,121,0,81.9,88.57
Jan Gunka,4559,Poland,37,119,0,80.95,78.1
Emilien Claude,1773,France,38,113,0,87.14,88.57
Renars Birkentals,4452,Latvia,39,109,0,85.22,73.04
Danilo Riethmueller,1871,Germany,40,108,0,78.89,82.22
Dmytro Pidruchnyi,471,Ukraine,41,103,0,88.75,83.75
Konrad Badacz,4730,Poland,42,102,0,91.43,80.95
Martin Nevland,4610,Norway,43,94,0,85.71,85.71
Maxime Germain,4448,USA,44,88,0,83.53,78.82
Lucas Fratzscher,3127,Germany,45,84,0,85.45,74.55
Niklas Hartweg,3521,Switzerland,46,80,0,81.82,85.45
Roman Rees,890,Germany,47,78,0,100.0,95.0
Thierry Langer,917,Belgium,48,67,0,86.67,86.67
Florent Claude,494,Belgium,49,66,0,85.71,84.29
Leonhard Pfund,5003,Germany,49,66,0,100.0,76.67
Lovro Planko,3459,Slovenia,49,66,0,86.32,74.74
Sean Doherty,1073,USA,52,64,0,85.33,85.33
Jakov Fak,19,Slovenia,53,62,0,93.33,86.67
Dmitrii Shamaev,1312,Romania,54,58,0,92.0,92.0
Anton Vidmar,1692,Slovenia,55,52,0,83.53,87.06
Tomas Mikyska,3483,Czechia,56,50,0,88.0,82.0
Mikulas Karlik,3124,Czechia,57,49,0,77.89,73.68
Vladislav Kireyev,3528,Kazakhstan,58,47,0,92.0,86.67
Kristo Siimer,1578,Estonia,59,46,0,87.06,81.18
Henning Sjökvist,1877,Sweden,60,44,0,87.27,85.45
Vladimir Iliev,123,Bulgaria,61,39,0,78.18,63.64
Patrick Braunhofer,1872,Italy,62,35,0,92.94,82.35
Grzegorz Galica,5077,Poland,62,35,0,77.5,82.5
Simon Kaiser,4685,Germany,64,32,0,78.46,67.69
Nicola Romanin,1294,Italy,64,32,0,96.0,92.0
Miha Dovzan,1098,Slovenia,66,29,0,93.68,78.95
Jakob Kulbin,4854,Estonia,66,29,0,73.33,84.44
Arttu Heikkinen,4789,Finland,68,28,0,85.71,62.86
Antonin Guigonnat,903,France,69,24,0,88.0,76.0
Patrick Jakob,1395,Austria,70,22,0,85.71,88.57
Maksim Fomin,3534,Lithuania,71,21,0,82.0,78.0
Paul Schommer,1932,USA,71,21,0,90.67,82.67
Jonas Marecek,4423,Czechia,73,20,0,87.27,76.36
Dominic Unterweger,1884,Austria,74,18,0,85.71,97.14
Pavel Magazeev,544,Moldova,75,17,0,84.0,90.67
Elia Zeni,4787,Italy,76,16,0,80.0,81.33
Otto Invenius,3486,Finland,77,15,0,87.27,63.64
Mark-Markos Kehva,4856,Estonia,78,14,0,89.33,84.0
Adam Runnalls,1772,Canada,78,14,0,87.69,76.92
Didier Bionaz,4389,Italy,80,13,0,86.67,61.67
Bohdan Borkovskyi,5061,Ukraine,80,13,0,71.58,81.05
Rene Zahkna,1099,Estonia,80,13,0,85.45,76.36
Jakub Borgula,4974,Slovakia,83,12,0,84.0,76.0
Blagoy Todev,4563,Bulgaria,83,12,0,91.11,80.0
Konstantin Vasilev,4870,Bulgaria,85,11,0,84.0,70.0
Jimi Klemettinen,5123,Finland,86,10,0,85.71,68.57
Oscar Andersson,4616,Sweden,87,9,0,93.33,73.33
Vetle Paulsen,4536,Norway,87,9,0,90.0,70.0
George Coltea,3484,Romania,89,7,0,88.0,72.0
Taras Lesiuk,1520,Ukraine,90,5,0,86.67,86.67
Xingyuan Yan,1346,China,90,5,0,84.44,71.11
