Date,Startlist,Sex,City,Country,Distance,RaceType,Period,Elevation,Championship,Race
11/29/2025,,M,Östersund,Sweden,N/A,Relay,1,366,0,1
11/29/2025,,L,Östersund,Sweden,N/A,Relay,1,366,0,1
11/30/2025,,Mixed,Östersund,Sweden,N/A,Single Mixed Relay,1,366,0,1
11/30/2025,,Mixed,Östersund,Sweden,N/A,Mixed Relay,1,366,0,2
12/02/2025,,L,Östersund,Sweden,15,Individual,1,366,0,2
12/03/2025,,M,Östersund,Sweden,20,Individual,1,366,0,2
12/05/2025,,L,Östersund,Sweden,7.5,Sprint,1,366,0,3
12/06/2025,,M,Östersund,Sweden,10,Sprint,1,366,0,3
12/07/2025,,M,Östersund,Sweden,12.5,Pursuit,1,366,0,4
12/07/2025,,L,Östersund,Sweden,10,Pursuit,1,366,0,4
12/12/2025,,M,Hochfilzen,Austria,10,Sprint,1,1012,0,5
12/12/2025,,L,Hochfilzen,Austria,7.5,Sprint,1,1012,0,5
12/13/2025,,M,Hochfilzen,Austria,12.5,Pursuit,1,1012,0,6
12/13/2025,,L,Hochfilzen,Austria,N/A,Relay,1,1012,0,6
12/14/2025,,M,Hochfilzen,Austria,N/A,Relay,2,1012,0,7
12/14/2025,,L,Hochfilzen,Austria,10,Pursuit,2,1012,0,7
12/18/2025,,L,Annecy-G.Bornand,France,7.5,Sprint,2,919,0,8
12/19/2025,,M,Annecy-G.Bornand,France,10,Sprint,2,919,0,8
12/20/2025,,M,Annecy-G.Bornand,France,12.5,Pursuit,2,919,0,9
12/20/2025,,L,Annecy-G.Bornand,France,10,Pursuit,2,919,0,9
12/21/2025,,M,Annecy-G.Bornand,France,15,Mass Start,2,919,0,10
12/21/2025,,L,Annecy-G.Bornand,France,12.5,Mass Start,2,919,0,10
01/08/2026,,M,Oberhof,Germany,10,Sprint,2,823,0,11
01/09/2026,,L,Oberhof,Germany,7.5,Sprint,2,823,0,11
01/10/2026,,M,Oberhof,Germany,12.5,Pursuit,2,823,0,12
01/10/2026,,L,Oberhof,Germany,N/A,Relay,2,823,0,12
01/11/2026,,M,Oberhof,Germany,N/A,Relay,3,823,0,13
01/11/2026,,L,Oberhof,Germany,10,Pursuit,3,823,0,13
01/14/2026,,L,Ruhpolding,Germany,N/A,Relay,3,710,0,14
01/15/2026,,M,Ruhpolding,Germany,N/A,Relay,3,710,0,14
01/16/2026,,L,Ruhpolding,Germany,7.5,Sprint,3,710,0,15
01/17/2026,,M,Ruhpolding,Germany,12.5,Pursuit,3,710,0,15
01/18/2026,,M,Ruhpolding,Germany,12.5,Pursuit,3,710,0,16
01/18/2026,,L,Ruhpolding,Germany,10,Pursuit,3,710,0,16
01/22/2026,,M,Mesto,Czechia,20,Individual,3,634,0,17
01/23/2026,,L,Mesto,Czechia,15,Individual,3,634,0,17
01/24/2026,,Mixed,Mesto,Czechia,N/A,Mixed Relay,3,634,0,3
01/24/2026,,Mixed,Mesto,Czechia,N/A,Single Mixed Relay,3,634,0,4
01/25/2026,,M,Mesto,Czechia,15,Mass Start,3,634,0,18
01/25/2026,,L,Mesto,Czechia,12.5,Mass Start,3,634,0,18
02/08/2026,,Mixed,Antholz-Anterselva,Italy,N/A,Mixed Relay,4,1629,1,5
02/10/2026,,M,Antholz-Anterselva,Italy,20,Individual,4,1629,1,19
02/11/2026,,L,Antholz-Anterselva,Italy,15,Individual,4,1629,1,19
02/13/2026,,M,Antholz-Anterselva,Italy,10,Sprint,4,1629,1,20
02/14/2026,,L,Antholz-Anterselva,Italy,7.5,Sprint,4,1629,1,20
02/15/2026,,M,Antholz-Anterselva,Italy,12.5,Pursuit,4,1629,1,21
02/15/2026,,L,Antholz-Anterselva,Italy,10,Pursuit,4,1629,1,21
02/17/2026,,M,Antholz-Anterselva,Italy,N/A,Relay,4,1629,1,22
02/18/2026,,L,Antholz-Anterselva,Italy,N/A,Relay,4,1629,1,22
02/20/2026,,M,Antholz-Anterselva,Italy,15,Mass Start,4,1629,1,23
02/21/2026,,L,Antholz-Anterselva,Italy,12.5,Mass Start,4,1629,1,23
03/05/2026,,M,Kontiolahti,Finland,20,Individual,5,127,0,24
03/05/2026,,L,Kontiolahti,Finland,15,Individual,5,127,0,24
03/07/2026,,M,Kontiolahti,Finland,N/A,Relay,5,127,0,25
03/07/2026,,L,Kontiolahti,Finland,12.5,Mass Start,5,127,0,25
03/08/2026,,M,Kontiolahti,Finland,15,Mass Start,5,127,0,26
03/08/2026,,L,Kontiolahti,Finland,N/A,Relay,5,127,0,26
03/12/2026,,M,Otepää,Estonia,10,Sprint,5,153,0,27
03/13/2026,,L,Otepää,Estonia,7.5,Sprint,5,153,0,27
03/14/2026,,M,Otepää,Estonia,12.5,Pursuit,5,153,0,28
03/14/2026,,L,Otepää,Estonia,10,Pursuit,5,153,0,28
03/15/2026,,Mixed,Otepää,Estonia,N/A,Mixed Relay,5,153,0,6
03/15/2026,,Mixed,Otepää,Estonia,N/A,Single Mixed Relay,5,153,0,7
03/19/2026,,L,Holmenkollen,Norway,7.5,Sprint,5,327,0,29
03/20/2026,,M,Holmenkollen,Norway,10,Sprint,5,327,0,29
03/21/2026,,M,Holmenkollen,Norway,12.5,Pursuit,5,327,0,30
03/21/2026,,L,Holmenkollen,Norway,10,Pursuit,5,327,0,30
03/22/2026,,M,Holmenkollen,Norway,15,Mass Start,5,327,0,31
03/22/2026,,L,Holmenkollen,Norway,12.5,Mass Start,5,327,0,31
