"Skier","Nation","Price","ID","Elo","Individual_Elo","Sprint_Elo","Pursuit_Elo","MassStart_Elo","Race1_Prob","Race2_Prob","Race3_Prob","Race4_Prob"
"Simon Eder","Austria",0,11,1508.71794869123,1536.99779635003,1492.71956995537,1372.20657271827,1326.39706262181,1,1,1,1
"David Komatz","Austria",0,493,1501.21059311665,1554.66843859037,1468.1898050323,1244.78399794871,1243.67836295518,1,1,1,1
"Felix Leitner","Austria",0,1392,1350.25475622195,1423.69920747708,1292.20813332585,1320.93016794964,1271.69097575812,1,0.98533724340176,0.956909361069837,1
"Fabian Müllauer","Austria",0,4798,1288.22205263296,1217.0619990246,1263.66341279421,1251.69531172592,1281.55465091278,0,0.688172043010753,0.463595839524517,0
"Florent Claude","Belgium",0,494,1478.56577308611,1430.02071997423,1453.97831760853,1335.34651262144,1232.97717631816,1,1,1,1
"Thierry Langer","Belgium",0,917,1370.23253134394,1490.86689629921,1360.46711485475,1238.77171235764,1300.33057069261,1,1,1,0.533333333333333
"Marek Mackels","Belgium",0,1804,1122.20122932531,1150.49415915053,1147.2012263677,1249.46109768075,1281.55465091278,0.652173913043478,0.852346104175635,0,0
"Cesar Beauvais","Belgium",0,1802,1090.12737883382,1172.8697169083,1090.96814789433,1249.46109768075,1281.55465091278,0.956521739130435,0.606112785191563,0,0
"Blagoy Todev","Bulgaria",0,4563,1365.49000860449,1336.58526269875,1318.82848835839,1267.7908641395,1281.55465091278,1,1,0.949677419354839,0
"Vladimir Iliev","Bulgaria",0,123,1317.9542603984,1169.09885637203,1402.41642559932,1200.50956073884,1242.62432566148,1,1,1,1
"Konstantin Vasilev","Bulgaria",0,4870,1175.4491747724,1178.26755205769,1180.88835401308,1300,1281.55465091278,0.891112699547296,0.372359997056443,0.201290322580645,0
"Vasil Zashev","Bulgaria",0,4567,1119.98799165246,1300,1086.76848956073,1249.46109768075,1281.55465091278,0.194424588992137,0.621679299433365,0,0
"Adam Runnalls","Canada",0,1772,1367.38447809341,1451.26774043466,1354.09890155624,1196.08735570904,1300,1,1,1,1
