IBUName,Skier,ID,Nation,StartOrder,Bib,Is_Host_Nation,In_Startlist,Elo,Individual_Elo,Sprint_Elo,Pursuit_Elo,MassStart_Elo,Race_Elo,Race1_Prob,City,Country,Race_Type,Race_Date
JEANMONNOT Lou,Lou Jeanmonnot,1769,FRA,6,6,False,True,1831.0940722655068,1639.630623180744,1762.917549925177,1606.3291422871448,1402.6712418557283,1606.3291422871448,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
VITTOZZI Lisa,Lisa Vittozzi,1292,ITA,2,2,False,True,1802.498501369968,1598.9452847702091,1742.99482024726,1587.3580537725156,1344.443011643188,1587.3580537725156,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
SIMON Julia,Julia Simon,1300,FRA,4,4,False,True,1773.2703500982225,1639.7855481812635,1687.7503966813551,1581.303791712375,1415.505071647532,1581.303791712375,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
OEBERG Elvira,Elvira Öberg,2266,SWE,3,3,False,True,1761.3959276625972,1633.4078229863642,1665.450362402033,1573.877817688896,1381.7730549212415,1573.877817688896,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
OEBERG Hanna,Hanna Öberg,1384,SWE,1,1,False,True,1716.2121405140374,1575.197318707474,1645.4703604661088,1556.63829809112,1355.504727383193,1556.63829809112,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
BRAISAZ-BOUCHET Justine,Justine Braisaz-Bouchet,1217,FRA,35,35,False,True,1539.5640534399547,1362.8756888260748,1584.5822109320634,1553.5702924651553,1324.855612792115,1553.5702924651553,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
MINKKINEN Suvi,Suvi Minkkinen,1233,FIN,11,11,False,True,1742.172632419715,1550.590429307553,1671.5297693791213,1534.8275352726134,1307.5381207567025,1534.8275352726134,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
MICHELON Oceane,Oceane Michelon,2736,FRA,28,28,False,True,1710.813393526346,1516.3428508967525,1613.6381706940813,1504.7206608503477,1383.7890309866048,1504.7206608503477,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
MAGNUSSON Anna,Anna Magnusson,1305,SWE,7,7,False,True,1707.4553788014775,1601.440581124477,1612.0166465008074,1481.063533048694,1332.711832874189,1481.063533048694,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
KIRKEEIDE Maren,Maren Kirkeeide,2898,NOR,40,40,False,True,1595.1988530705853,1409.4227361376504,1606.3675991331245,1478.7800442149712,1308.096716347499,1478.7800442149712,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
VOIGT Vanessa,Vanessa Voigt,2165,GER,16,16,False,True,1633.470342656516,1528.6465433035664,1560.1337220177213,1475.545668858341,1360.4135046822482,1475.545668858341,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
GESTBLOM Linn,Linn Gestblom,1301,SWE,9,9,False,True,1625.0619830466867,1523.8760039836015,1590.775906514172,1464.462244676949,1297.8844865742435,1464.462244676949,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
HAUSER Lisa Theresa,Lisa Theresa Hauser,1006,AUT,36,36,False,True,1529.7299875934198,1467.9670190529675,1519.7235214064058,1431.7897275185892,1307.0153475976354,1431.7897275185892,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
BENED Camille,Camille Bened,2166,FRA,19,19,False,True,1579.2321642515917,1444.9921750075364,1514.2867083758265,1409.013094018337,1329.1372292383453,1409.013094018337,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
TANDREVOLD Ingrid Landmark,Ingrid Landmark Tandrevold,1553,NOR,5,5,False,True,1532.4799625159878,1444.5120432648102,1558.5605098165372,1404.624443543711,1334.0042087419042,1404.624443543711,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
GROTIAN Selina,Selina Grotian,2783,GER,26,26,False,True,1494.6327310880802,1410.545192885011,1492.888738378091,1390.873306838196,1300.4444011814694,1390.873306838196,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
VOBORNIKOVA Tereza,Tereza Vobornikova,2442,CZE,10,10,False,True,1640.294482138407,1541.8339119943034,1541.9245044477882,1388.3295811387045,1336.077222154321,1388.3295811387045,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
HETTICH-WALZ Janina,Janina Hettich-Walz,1579,GER,23,23,False,True,1600.5426743169603,1561.0241755788188,1560.339602978517,1384.089604387763,1299.235818899219,1384.089604387763,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
TANNHEIMER Julia,Julia Tannheimer,2896,GER,22,22,False,True,1556.1992312328025,1311.1586022787385,1549.5941097579278,1368.9801073820263,1311.8464367684458,1368.9801073820263,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
BATOVSKA FIALKOVA Paulina,Paulina Batovska Fialkova,947,SVK,15,15,False,True,1557.4587767890823,1466.3541510974324,1518.5171736579964,1368.9069723866223,1320.1087169646687,1368.9069723866223,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
HALVARSSON Ella,Ella Halvarsson,2456,SWE,18,18,False,True,1481.1788874675512,1423.146125451944,1468.7233428879367,1352.183119170875,1292.1585399400371,1352.183119170875,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
GANDLER Anna,Anna Gandler,2264,AUT,34,34,False,True,1505.916029863921,1455.829951716949,1482.6670982771657,1351.0880148486074,1311.8932521195802,1351.0880148486074,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
GALMACE PAULIN Voldiya,Voldiya Galmace Paulin,2993,FRA,49,49,False,True,1315.7152665314848,1436.01617696979,1316.099996215952,1344.5886944718372,1324.3825546286917,1344.5886944718372,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
JOHANSEN Marthe Krakstad,Marthe Kråkstad Johansen,1802,NOR,47,47,False,True,1507.5674473420452,1473.7421625832071,1441.4282636457576,1344.1729022621305,1324.3841368161052,1344.1729022621305,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
ARNEKLEIV Juni,Juni Arnekleiv,2384,NOR,56,56,False,True,1377.1010685370532,1355.8625071319889,1359.5816082084148,1340.5157320324167,1306.4132746482671,1340.5157320324167,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
CHAUVEAU Sophie,Sophie Chauveau,2177,FRA,55,55,False,True,1427.5078680421827,1361.5544091049092,1420.924584003318,1338.876794394579,1301.8840852781502,1338.876794394579,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
PASSLER Rebecca,Rebecca Passler,2533,ITA,30,30,False,True,1487.530902556417,1352.596387601981,1447.444699092482,1326.0995373625517,1307.8613063139098,1326.0995373625517,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
CLOETENS Maya,Maya Cloetens,2588,BEL,21,21,False,True,1478.9171112442432,1412.226576532316,1488.4774813055444,1315.5987633282384,1280.438895163909,1315.5987633282384,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
HEIJDENBERG Anna-Karin,Anna-Karin Heijdenberg,2635,SWE,8,8,False,True,1557.573248531252,1431.254935268647,1517.6826826261083,1306.7101556120715,1295.7726940607597,1306.7101556120715,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
GASPARIN Aita,Aita Gasparin,1003,SUI,57,57,False,True,1399.6086623247338,1441.876867247406,1371.1322832000028,1297.606759561797,1268.070666801976,1297.606759561797,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
KUZMINA Anastasiya,Anastasiya Kuzmina,12,SVK,37,37,False,True,1360.5416451885285,1322.7402424735903,1411.6056735621994,1293.237321341986,1345.2276460800415,1293.237321341986,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
SIDOROWICZ Natalia,Natalia Sidorowicz,2951,POL,24,24,False,True,1501.7127621476002,1485.901103528448,1449.3233316123265,1291.3797151757606,1265.9896599777987,1291.3797151757606,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
DE BESCHE Anne,Anne De Besche,2544,DEN,58,58,False,True,1314.463688924825,1269.5065869416671,1323.9131663806809,1287.5627887785547,1281.0509167867365,1287.5627887785547,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
JAKIELA Joanna,Joanna Jakiela,1612,POL,46,46,False,True,1378.2848556711724,1199.2219040172058,1425.727421792819,1285.6422740376422,1299.7717613205823,1285.6422740376422,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
ERMITS Regina,Regina Ermits,1314,EST,42,42,False,True,1449.1602557810995,1372.4515116873058,1418.673108983495,1284.291085132438,1286.6582311155778,1284.291085132438,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
MEIER Lea,Lea Meier,2505,SUI,31,31,False,True,1516.6608568593012,1488.493154263675,1432.6949848949364,1279.2855725820218,1285.3643091175986,1279.2855725820218,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
HAECKI-GROSS Lena,Lena Häcki-Gross,1238,SUI,29,29,False,True,1416.4514186472586,1462.3441510844834,1456.0408147413546,1277.933346540299,1275.035325377998,1277.933346540299,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
ERDAL Karoline,Karoline Erdal,1768,NOR,33,33,False,True,1410.4982024671638,1295.9740926207858,1410.2147559635025,1276.3288507939703,1294.2419221194489,1276.3288507939703,1.0,Holmenkollen,Norway,Pursuit,03/21/2026
