IBUName,Skier,ID,Nation,StartOrder,Bib,Is_Host_Nation,In_Startlist,Elo,Individual_Elo,Sprint_Elo,Pursuit_Elo,MassStart_Elo,Race_Elo,Race1_Prob,City,Country,Race_Type,Race_Date
LAEGREID Sturla Holm,Sturla Holm Lægreid,2753,NOR,9,9,False,True,1897.779633822956,1728.450683783835,1786.7455914681968,1623.5054047560957,1424.1022048782102,1424.1022048782102,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
CHRISTIANSEN Vetle Sjaastad,Vetle Sjåstad Christiansen,509,NOR,8,8,False,True,1773.5259383564126,1655.9000592942823,1662.9990429439522,1551.5364118133598,1420.224319131866,1420.224319131866,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
DALE-SKJEVDAL Johannes,Johannes Dale-Skjevdal,3027,NOR,4,4,False,True,1833.201695241038,1612.2466645078694,1740.1956988790748,1578.7297373558831,1383.550289364092,1383.550289364092,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
FILLON MAILLET Quentin,Quentin Fillon Maillet,992,FRA,5,5,False,True,1788.19661135099,1644.6440104901887,1754.5469968250577,1587.3446399795353,1382.145008334802,1382.145008334802,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
PERROT Eric,Eric Perrot,4591,FRA,1,1,False,True,1896.588328546334,1739.0873026503568,1765.8049132422195,1589.3376133933552,1378.1433441579156,1378.1433441579156,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
JACQUELIN Emilien,Emilien Jacquelin,1333,FRA,6,6,False,True,1708.2106467313383,1562.8647280310536,1635.2681639624573,1577.5081906398368,1363.0442226169237,1363.0442226169237,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
BOTN Johan-Olav Smoerdal,Johan-Olav Smørdal Botn,4479,NOR,3,3,False,True,1779.736671430927,1560.7366800475718,1649.0036854445543,1468.3433409546433,1352.6555407471574,1352.6555407471574,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
SAMUELSSON Sebastian,Sebastian Samuelsson,1345,SWE,2,2,False,True,1762.6644926333022,1567.128416451536,1776.8922265441463,1606.4147874866087,1338.836958045101,1338.836958045101,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
FAK Jakov,Jakov Fak,19,SLO,23,23,False,True,1577.8547066609085,1590.8613179468016,1513.5602991723854,1401.0152387243868,1332.229552300112,1332.229552300112,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
FREY Isak Leknes,Isak Leknes Frey,4740,NOR,15,15,False,True,1633.1015289437644,1464.15611629392,1565.3562114272918,1403.0959895111137,1324.657273663483,1324.657273663483,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
RASTORGUJEVS Andrejs,Andrejs Rastorgujevs,65,LAT,24,24,False,True,1533.022035254844,1585.0808803775487,1504.7860648330404,1307.6512813923107,1322.6362814141885,1322.6362814141885,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
ULDAL Martin,Martin Uldal,4612,NOR,12,12,False,True,1732.628410214357,1542.8800350183292,1626.3205305591157,1469.0861171155534,1315.7812664195071,1315.7812664195071,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
NAWRATH Philipp,Philipp Nawrath,1091,GER,10,10,False,True,1745.719688379959,1612.2039160218717,1698.536539529465,1474.2430215985034,1315.1010100047015,1315.1010100047015,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
WRIGHT Campbell,Campbell Wright,4498,USA,11,11,False,True,1592.570426979495,1448.7434341376547,1611.265169122527,1474.0716258499158,1312.8317920712043,1312.8317920712043,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
STALDER Sebastian,Sebastian Stalder,1873,SUI,29,29,False,True,1535.923474846851,1441.400548123508,1527.6279894597596,1331.3783795114775,1312.197609565882,1312.197609565882,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
CLAUDE Fabien,Fabien Claude,1089,FRA,14,14,False,True,1634.959251379379,1597.7430073792068,1553.9791337558695,1480.1682656719945,1311.175927684575,1311.175927684575,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
KRCMAR Michal,Michal Krcmar,477,CZE,20,20,False,True,1595.9345239064332,1498.5929121826798,1579.390928606775,1373.920891831822,1308.765397294428,1308.765397294428,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
PONSILUOMA Martin,Martin Ponsiluoma,1135,SWE,7,7,False,True,1733.536343014168,1545.0581690144331,1721.3235628120633,1583.758931603253,1308.578101407011,1308.578101407011,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
HARJULA Tuomas,Tuomas Harjula,1768,FIN,25,25,False,True,1552.4173519159483,1465.863360951127,1472.3250871653647,1252.3927900078893,1306.837702700545,1306.837702700545,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
LOMBARDOT Oscar,Oscar Lombardot,4524,FRA,19,19,False,True,1566.8921438884624,1466.2168991529763,1525.9400510729972,1323.9890698032275,1303.5334638705492,1303.5334638705492,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
FRATZSCHER Lucas,Lucas Fratzscher,3127,GER,33,,False,True,1512.9458060438203,1411.1776455762188,1453.98778512562,1308.379130067047,1303.134250860699,1303.134250860699,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
HORN Philipp,Philipp Horn,1707,GER,17,17,False,True,1647.1665478141542,1504.8521663847046,1655.3494373606088,1404.5294472248495,1297.6684098219675,1297.6684098219675,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
BURKHALTER Joscha,Joscha Burkhalter,1401,SUI,22,22,False,True,1506.3524274199297,1409.5137325586338,1529.7548659843078,1303.2191868782295,1294.5649117018052,1294.5649117018052,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
BRANDT Viktor,Victor Brandt,3526,SWE,30,30,False,True,1518.1405333028122,1448.033108652407,1483.1597652054186,1302.630956422806,1292.7461538734296,1292.7461538734296,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
GERMAIN Maxime,Maxime Germain,4448,USA,31,,False,True,1368.4910599033387,1359.7953701538447,1305.2843320752363,1283.276314215041,1288.112529233038,1288.112529233038,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
HORNIG Vitezslav,Vitezslav Hornig,1786,CZE,18,18,False,True,1612.3695270298165,1510.570626599871,1579.544451448928,1404.4200358699854,1284.1356349504892,1284.1356349504892,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
HOFER Lukas,Lukas Hofer,9,ITA,13,13,False,True,1706.8533859187278,1571.743105578712,1641.0545739089723,1440.2775255733304,1280.4232459903264,1280.4232459903264,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
ROMANIN Nicola,Nicola Romanin,1294,ITA,34,,False,True,1441.6640101547268,1359.7676767604332,1411.42118273691,1311.1466818449214,1274.9387052188858,1274.9387052188858,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
SHAMAEV Dmitrii,Dmitrii Shamaev,1312,ROU,26,26,False,True,1357.7649464137237,1427.2806427703322,1237.141606780399,1226.3472241014408,1271.3606129559194,1271.3606129559194,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
SEPPALA Tero,Tero Seppälä,1427,FIN,21,21,False,True,1595.9502969300456,1490.4857963936863,1615.1571872019565,1393.830005074859,1269.2005007077628,1269.2005007077628,1.0,Kontiolahti,Finland,Mass Start,03/08/2026
