"IBUName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Elo","Individual_Elo","Sprint_Elo","Pursuit_Elo","MassStart_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Sex","Race2_Prob","Race3_Prob"
"JEANMONNOT Lou","Lou Jeanmonnot",1769,"FRA",46,46,"False","True",1828.57279405997,1639.63062318074,1766.94928805244,1606.32914228714,1402.67124185573,1766.94928805244,1,"Holmenkollen","Norway","Sprint","03/19/2026","L",0.789473684210526,0.769230769230769
"VITTOZZI Lisa","Lisa Vittozzi",1292,"ITA",58,58,"False","True",1793.66144829669,1598.94528477021,1737.33808568482,1587.35805377252,1344.44301164319,1737.33808568482,1,"Holmenkollen","Norway","Sprint","03/19/2026","L",0.657894736842105,0.653846153846154
"MINKKINEN Suvi","Suvi Minkkinen",1233,"FIN",68,68,"False","True",1741.63477387555,1550.59042930755,1673.77641150239,1534.82753527261,1307.5381207567,1673.77641150239,1,"Holmenkollen","Norway","Sprint","03/19/2026","L",0.921052631578947,0.576923076923077
"SIMON Julia","Julia Simon",1300,"FRA",48,48,"False","True",1765.9314302534,1639.78554818126,1672.14795884122,1581.30379171237,1415.50507164753,1672.14795884122,1,"Holmenkollen","Norway","Sprint","03/19/2026","L",0.894736842105263,1
"OEBERG Elvira","Elvira Öberg",2266,"SWE",60,60,"False","True",1751.54740343418,1633.40782298636,1651.43908610349,1573.8778176889,1381.77305492124,1651.43908610349,1,"Holmenkollen","Norway","Sprint","03/19/2026","L",0.894736842105263,0.807692307692308
"KIRKEEIDE Maren","Maren Kirkeeide",2898,"NOR",54,54,"False","True",1610.70791195298,1409.42273613765,1638.46167517951,1478.78004421497,1308.0967163475,1638.46167517951,1,"Holmenkollen","Norway","Sprint","03/19/2026","L",0.68,0.473684210526316
"MICHELON Oceane","Oceane Michelon",2736,"FRA",64,64,"False","True",1730.24078346772,1516.34285089675,1631.95393835714,1504.72066085035,1383.7890309866,1631.95393835714,1,"Holmenkollen","Norway","Sprint","03/19/2026","L",0.842105263157895,0.714285714285714
"OEBERG Hanna","Hanna Öberg",1384,"SWE",66,66,"False","True",1699.80499191487,1575.19731870747,1626.41756162374,1556.63829809112,1355.50472738319,1626.41756162374,1,"Holmenkollen","Norway","Sprint","03/19/2026","L",0.921052631578947,0.846153846153846
"MAGNUSSON Anna","Anna Magnusson",1305,"SWE",52,52,"False","True",1698.68927046554,1601.44058112448,1596.77536690318,1481.06353304869,1332.71183287419,1596.77536690318,1,"Holmenkollen","Norway","Sprint","03/19/2026","L",0.894736842105263,0.769230769230769
"BRAISAZ-BOUCHET Justine","Justine Braisaz-Bouchet",1217,"FRA",50,50,"False","True",1540.06408109774,1362.87568882607,1594.89577443895,1553.57029246516,1324.85561279211,1594.89577443895,1,"Holmenkollen","Norway","Sprint","03/19/2026","L",0.763157894736842,0.807692307692308
