"IBUName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Elo","Individual_Elo","Sprint_Elo","Pursuit_Elo","MassStart_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Sex","Race2_Prob"
"PERROT Eric","Eric Perrot",4591,"FRA",52,52,"False","True",1918.22825864315,1681.7044836858,1772.63733110457,1589.78295020426,1407.07418221142,1681.7044836858,1,"Mesto","Czechia","Individual","01/22/2026","M",0.565217391304348
"SAMUELSSON Sebastian","Sebastian Samuelsson",1345,"SWE",48,48,"False","True",1896.34254222978,1664.70060380636,1778.87185635347,1616.17104854327,1365.96953214109,1664.70060380636,1,"Mesto","Czechia","Individual","01/22/2026","M",0.84
"GIACOMEL Tommaso","Tommaso Giacomel",4387,"ITA",42,42,"False","True",1902.76924284675,1664.65752346627,1774.0640247806,1590.0952279153,1385.60118409874,1664.65752346627,1,"Mesto","Czechia","Individual","01/22/2026","M",0.76
"FILLON MAILLET Quentin","Quentin Fillon Maillet",992,"FRA",46,46,"False","True",1805.42087832298,1654.6773898476,1740.05426587243,1583.14227164942,1332.26172116289,1654.6773898476,1,"Mesto","Czechia","Individual","01/22/2026","M",0.96
"NELIN Jesper","Jesper Nelin",1266,"SWE",28,28,"False","True",1673.74263238763,1645.43123218239,1663.36633041949,1387.37694201458,1247.319619716,1645.43123218239,1,"Mesto","Czechia","Individual","01/22/2026","M",0.6
"JACQUELIN Emilien","Emilien Jacquelin",1333,"FRA",44,44,"False","True",1707.74680237615,1614.93945396104,1599.59464894341,1567.95485274261,1373.19633764694,1614.93945396104,1,"Mesto","Czechia","Individual","01/22/2026","M",0.88
"BOTN Johan-Olav","Johan-Olav Botn",4479,"NOR",38,38,"False","True",1820.79844274106,1586.57727112662,1644.23341752579,1469.582900077,1357.73586885711,1586.57727112662,1,"Mesto","Czechia","Individual","01/22/2026","M",0.181818181818182
"PONSILUOMA Martin","Martin Ponsiluoma",1135,"SWE",50,50,"False","True",1836.77286981407,1560.75953233208,1719.45553795392,1576.33592922201,1338.96571678245,1560.75953233208,1,"Mesto","Czechia","Individual","01/22/2026","M",0.96
"CLAUDE Fabien","Fabien Claude",1089,"FRA",32,32,"False","True",1682.4401238085,1552.88355586303,1583.55017793305,1499.48312950655,1303.25411559954,1552.88355586303,1,"Mesto","Czechia","Individual","01/22/2026","M",0.96
"HORNIG Vitezslav","Vitezslav Hornig",1786,"CZE",36,36,"False","True",1647.39125033852,1546.62405466493,1572.87864113196,1405.92486342532,1310.54682216998,1546.62405466493,1,"Mesto","Czechia","Individual","01/22/2026","M",0.16
"KOMATZ David","David Komatz",493,"AUT",73,73,"False","True",1330.15959599849,1540.37145171109,1349.96124102268,1226.91172731108,1232.16644329888,1540.37145171109,1,"Mesto","Czechia","Individual","01/22/2026","M",0.36
"EDER Simon","Simon Eder",11,"AUT",26,26,"False","True",1460.42249844154,1539.92881047789,1461.80456788074,1357.60647819221,1274.14874847803,1539.92881047789,1,"Mesto","Czechia","Individual","01/22/2026","M",0.6
"REES Roman","Roman Rees",890,"GER",61,61,"False","True",1520.96336580219,1533.71323772724,1488.65230345203,1372.60294290124,1284.31216936066,1533.71323772724,1,"Mesto","Czechia","Individual","01/22/2026","M",0.64
"WRIGHT Campbell","Campbell Wright",4498,"USA",40,40,"False","True",1633.88008231141,1517.48450237231,1585.86912070253,1459.7121459747,1344.40671966636,1517.48450237231,1,"Mesto","Czechia","Individual","01/22/2026","M",0.375
"STALDER Sebastian","Sebastian Stalder",1873,"SUI",11,11,"False","True",1547.37525932644,1514.01522553371,1497.35148458267,1330.95600387276,1308.88048510874,1514.01522553371,1,"Mesto","Czechia","Individual","01/22/2026","M",0.52
"KRCMAR Michal","Michal Krcmar",477,"CZE",30,30,"False","True",1619.27386851513,1513.15150735036,1594.4144287956,1362.13480411393,1284.82466716118,1513.15150735036,1,"Mesto","Czechia","Individual","01/22/2026","M",0.72
"PLANKO Lovro","Lovro Planko",3459,"SLO",53,53,"False","True",1485.89452159993,1508.51253817023,1493.18388004923,1195.49636930547,1283.1274077075,1508.51253817023,1,"Mesto","Czechia","Individual","01/22/2026","M",0.0454545454545455
"BURKHALTER Joscha","Joscha Burkhalter",1401,"SUI",22,22,"False","True",1521.11367247615,1502.92141010946,1500.14948096085,1310.01882034519,1316.55568590562,1502.92141010946,1,"Mesto","Czechia","Individual","01/22/2026","M",0.16
"PAULSEN Vetle","Vetle Paulsen",4536,"NOR",79,79,"False","True",1598.08653172732,1500.21907049698,1533.8636953118,1344.00267926135,1304.77239539812,1500.21907049698,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"FOMIN Maksim","Maksim Fomin",3534,"LTU",8,8,"False","True",1200.28952458819,1489.42747487113,1159.12511718959,1250.88689413369,1293.58224470487,1489.42747487113,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"CLAUDE Emilien","Emilien Claude",1773,"FRA",6,6,"False","True",1490.18654335096,1477.48274507517,1471.84123806634,1328.99315398141,1270.66823915788,1477.48274507517,1,"Mesto","Czechia","Individual","01/22/2026","M",0.16
"KUEHN Johannes","Johannes Kühn",463,"GER",39,39,"False","True",1397.37401639605,1476.83880451689,1427.31535944942,1319.77712343903,1279.55539668568,1476.83880451689,1,"Mesto","Czechia","Individual","01/22/2026","M",0.64
"DOVZAN Miha","Miha Dovzan",1098,"SLO",56,56,"False","True",1343.38332335924,1462.02919751058,1355.6946341346,1201.80916867602,1297.82542305738,1462.02919751058,1,"Mesto","Czechia","Individual","01/22/2026","M",0.04
"FREY Isak Leknes","Isak Leknes Frey",4740,"NOR",54,54,"False","True",1698.91643483583,1459.65598080445,1589.46010971917,1415.33859851316,1313.89443839234,1459.65598080445,1,"Mesto","Czechia","Individual","01/22/2026","M",1
"LOMBARDOT Oscar","Oscar Lombardot",4524,"FRA",20,20,"False","True",1599.99803816551,1435.8710683552,1548.64249199386,1328.16543446068,1310.02988911031,1435.8710683552,1,"Mesto","Czechia","Individual","01/22/2026","M",0.12
"HOFER Lukas","Lukas Hofer",9,"ITA",34,34,"False","True",1694.66859023412,1429.20925333202,1637.92922606481,1436.14819632597,1253.0986874913,1429.20925333202,1,"Mesto","Czechia","Individual","01/22/2026","M",0.6
"SEPPALA Tero","Tero Seppälä",1427,"FIN",24,24,"False","True",1656.69986689133,1428.21314418584,1617.66768416004,1382.3272459833,1296.82442380684,1428.21314418584,1,"Mesto","Czechia","Individual","01/22/2026","M",0.56
"STROEMSHEIM Endre","Endre Strømsheim",1764,"NOR",65,65,"False","True",1487.23561957023,1423.37319406511,1526.6953292884,1393.34088749038,1323.0104812688,1423.37319406511,1,"Mesto","Czechia","Individual","01/22/2026","M",0.44
"RIETHMUELLER Danilo","Danilo Riethmueller",1871,"GER",43,43,"False","True",1461.71909317945,1419.98707196544,1409.96328742735,1326.98638576701,1290.87779514043,1419.98707196544,1,"Mesto","Czechia","Individual","01/22/2026","M",0.636363636363636
"ASPENES Sverre Dahlen","Sverre Dahlen Aspenes",2779,"NOR",29,29,"False","True",1439.54654168101,1416.70110575368,1417.07411777181,1305.81637731798,1324.23388921997,1416.70110575368,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"KAISER Simon","Simon Kaiser",4685,"GER",4,4,"False","True",1441.56442476986,1416.57727112662,1438.67150814381,1245.64942921019,1300.74738201913,1416.57727112662,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"SJOKVIST Henning","Henning Sjökvist",1877,"SWE",68,68,"False","True",1372.05925970638,1409.59900398167,1329.44120282701,1289.96400007548,1288.58308092621,1409.59900398167,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"ZENI Elia","Elia Zeni",4787,"ITA",41,41,"False","True",1347.27947737101,1402.59158467947,1331.39244052641,1191.58621281497,1277.91126986451,1402.59158467947,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"BRAUNHOFER Patrick","Patrick Braunhofer",1872,"ITA",19,19,"False","True",1389.31608301459,1402.07862580945,1431.02450480933,1192.55649354285,1286.67473426743,1402.07862580945,1,"Mesto","Czechia","Individual","01/22/2026","M",0.04
"HAK Petr","Petr Hak",4744,"CZE",80,80,"False","True",1323.6405020825,1401.78756600606,1332.09500279258,1284.31299052495,1285.29511307584,1401.78756600606,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"KEHVA Mark-Markos","Mark-Markos Kehva",4856,"EST",45,45,"False","True",1280.71852371311,1394.52409462425,1264.07357184776,1263.67492263237,1296.93941885903,1394.52409462425,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"LANGER Thierry","Thierry Langer",917,"BEL",13,13,"False","True",1426.90462284647,1375.71012435244,1417.63769166724,1241.11037485874,1290.34569460596,1375.71012435244,1,"Mesto","Czechia","Individual","01/22/2026","M",0.08
"BORKOVSKYI Bohdan","Bohdan Borkovskyi",5061,"UKR",9,9,"False","True",1350.93831319309,1371.57727112662,1375.65534178111,1201.57365692329,1297.95941885903,1371.57727112662,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"NEVLAND Martin","Martin Nevland",4610,"NOR",59,59,"False","True",1379.47506260766,1366.47271660409,1389.05337485106,1278.01819845375,1337.97075260342,1366.47271660409,1,"Mesto","Czechia","Individual","01/22/2026","M",0
"TSYMBAL Bogdan","Bogdan Tsymbal",1779,"UKR",60,60,"False","True",1339.18175780164,1361.59955067354,1341.5635000039,1205.17268434364,1282.41443474387,1361.59955067354,1,"Mesto","Czechia","Individual","01/22/2026","M",0
