Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,1,Simone Greiner-Petter-Memm,Germany,270,1997,2,1967-09-15T00:00:00.000000,29.21286789869952,69,0,1300.0,1369.6666666666667
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,2,Galina Koukleva,Russia,228,1997,2,1972-11-21T00:00:00.000000,24.02737850787132,35,0,1300.0,1367.2222222222222
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,3,Magdalena Forsberg,Sweden,237,1997,2,1967-07-25T00:00:00.000000,29.35523613963039,31,0,1300.0,1364.7777777777778
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,4,Olga Romasko,Russia,272,1997,2,1968-04-18T00:00:00.000000,28.621492128678987,14,0,1300.0,1362.3333333333333
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,5,Petra Behle,Germany,299,1997,2,1969-01-05T00:00:00.000000,27.904175222450377,149,0,1300.0,1359.888888888889
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,6,Olga Melnik,Russia,296,1997,2,1974-05-12T00:00:00.000000,22.55715263518138,27,0,1300.0,1357.4444444444443
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,7,Annette Sikveland,Norway,278,1997,2,1972-04-25T00:00:00.000000,24.602327173169062,77,0,1300.0,1355.0
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,8,Svetlana Paramyguina,Belarus,259,1997,2,1965-04-05T00:00:00.000000,31.657768651608485,88,0,1300.0,1352.5555555555557
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,9,Svetlana Paniutina,Russia,312,1997,2,1967-12-08T00:00:00.000000,28.982888432580424,38,0,1300.0,1350.111111111111
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,10,Annukka Mallat,Finland,267,1997,2,1974-05-19T00:00:00.000000,22.537987679671456,24,0,1300.0,1347.6666666666667
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,11,Florence Baverel-Robert,France,164,1997,2,1974-05-24T00:00:00.000000,22.524298425735797,41,0,1300.0,1345.2222222222222
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,12,Åse Idland,Norway,300,1997,2,1973-04-02T00:00:00.000000,23.665982203969882,47,0,1300.0,1342.7777777777778
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,13,Katrin Apel,Germany,163,1997,2,1973-05-04T00:00:00.000000,23.578370978781656,20,0,1300.0,1340.3333333333333
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,14,Nathalie Santer,Italy,169,1997,2,1972-03-28T00:00:00.000000,24.67898699520876,80,0,1300.0,1337.888888888889
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,15,Ann Elen Skjelbreid,Norway,220,1997,2,1971-09-13T00:00:00.000000,25.218343600273784,56,0,1300.0,1335.4444444444443
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,16,Anne Briand,France,275,1997,2,1968-06-02T00:00:00.000000,28.49828884325804,119,0,1300.0,1333.0
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,17,Nadejda Talanova,Russia,279,1997,2,1967-04-17T00:00:00.000000,29.626283367556468,55,0,1300.0,1330.5555555555557
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,18,Anna Sprung,Austria,215,1997,2,1975-05-16T00:00:00.000000,21.546885694729635,2,0,1300.0,1328.111111111111
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,19,Uschi Disl,Germany,186,1997,2,1970-11-15T00:00:00.000000,26.04517453798768,122,0,1300.0,1325.6666666666667
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,20,Kathi Schwaab,Germany,287,1997,2,1972-11-26T00:00:00.000000,24.01368925393566,30,0,1300.0,1323.2222222222222
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,21,Corinne Niogret,France,217,1997,2,1972-11-20T00:00:00.000000,24.030116358658454,110,0,1300.0,1320.7777777777778
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,22,Martina Zellner,Germany,239,1997,2,1974-02-26T00:00:00.000000,22.76249144421629,32,0,1300.0,1318.3333333333333
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,23,Liv Grete Skjelbreid,Norway,183,1997,2,1974-07-07T00:00:00.000000,22.403832991101986,24,0,1300.0,1315.888888888889
1996-12-01,Lillehammer,Norway,L,10,Pursuit,0,World Cup,24,Kristina Brouneus,Sweden,235,1997,2,1974-11-25T00:00:00.000000,22.017796030116358,10,0,1300.0,1313.4444444444443
