"Date","City","Country","Nation","RaceType","Season","Race","Event","Elevation","Place","Points","Avg_Elo","Avg_Individual_Elo","Avg_Sprint_Elo","Avg_Pursuit_Elo","Avg_MassStart_Elo","Avg_Pelo","Avg_Individual_Pelo","Avg_Sprint_Pelo","Avg_Pursuit_Pelo","Avg_MassStart_Pelo","MassStart","Sex"
2015-02-06,"Nove Mesto","Czechia","Austria","Single Mixed Relay",2015,20,"World Cup",634,16,25,1336.60881351935,1371.88495131565,1315.77344217456,1273.18035309624,NA,1339.6833281461,1449.78460660989,1310.5872711634,1264.81143340059,NA,0,"Mixed"
2015-02-06,"Nove Mesto","Czechia","Belarus","Single Mixed Relay",2015,20,"World Cup",634,7,41,1361.61686090173,1247.75392691532,1344.30136454843,1253.91556346189,NA,1360.00353386071,1371.01575033458,1350.44023811219,1244.16264421461,NA,0,"Mixed"
2015-02-06,"Nove Mesto","Czechia","Bulgaria","Single Mixed Relay",2015,20,"World Cup",634,8,37,1358.95638065315,1433.4132305127,1332.70272575617,1264.85751182964,1260.58479872488,1357.70587470452,1382.43523398058,1351.67973435167,1277.4028806298,1272.32419109297,0,"Mixed"
2015-02-06,"Nove Mesto","Czechia","Czechia","Single Mixed Relay",2015,20,"World Cup",634,13,28,1419.72639721114,1298.75713392787,1358.38537328918,1285.56913643143,NA,1422.24555272143,1326.37933205141,1343.87246712216,1278.25679192862,NA,0,"Mixed"
2015-02-06,"Nove Mesto","Czechia","Finland","Single Mixed Relay",2015,20,"World Cup",634,12,29,1360.6633082067,1263.3053756053,1381.53362923971,1188.49016209909,1249.97886670882,1361.86048241891,1275.6624639524,1389.26927159291,1196.08538629,1261.0434407485,0,"Mixed"
2015-02-06,"Nove Mesto","Czechia","France","Single Mixed Relay",2015,20,"World Cup",634,5,50,1581.529423973,1516.38793531425,1517.23759081475,1389.05122684686,1290.39248483443,1581.38186260534,1440.76131489734,1500.96524867574,1376.17538816263,1292.92080242018,0,"Mixed"
2015-02-06,"Nove Mesto","Czechia","Germany","Single Mixed Relay",2015,20,"World Cup",634,4,55,1514.83024619578,1557.37424121966,1454.39832614773,1334.37068271132,1258.48556187453,1513.29809083075,1453.06495075425,1429.55061364177,1326.10405898338,1265.05962502377,0,"Mixed"
2015-02-06,"Nove Mesto","Czechia","Great Britain","Single Mixed Relay",2015,20,"World Cup",634,20,21,1058.94793854388,1069.449929644,1106.83802717846,NA,NA,1060.94860386116,1138.3367841448,1099.77953292682,NA,NA,0,"Mixed"
2015-02-06,"Nove Mesto","Czechia","Japan","Single Mixed Relay",2015,20,"World Cup",634,10,31,1297.57906815514,1311.10473655468,1310.43128120973,1222.87283176367,1290.52961971996,1296.83268815272,1285.1420654174,1328.12856607868,1232.0323664038,1294.62685804017,0,"Mixed"
2015-02-06,"Nove Mesto","Czechia","Lithuania","Single Mixed Relay",2015,20,"World Cup",634,18,23,1155.27859665987,1139.59578588653,1178.69405201641,1251.8563692614,NA,1157.14399550085,1111.03997132646,1180.12798314693,1268.06504062434,NA,0,"Mixed"
2015-02-06,"Nove Mesto","Czechia","Norway","Single Mixed Relay",2015,20,"World Cup",634,2,75,1518.06673768036,1415.72837748855,1459.1688881265,1333.03838495731,1309.26639395976,1515.53822615478,1481.1820314616,1440.1788599825,1314.33758977437,1313.4993180557,0,"Mixed"
2015-02-06,"Nove Mesto","Czechia","Poland","Single Mixed Relay",2015,20,"World Cup",634,17,24,1262.97544551204,1325.16183298469,1288.23609804922,1308.84764287549,1290.09888888497,1265.74935316453,1304.80623597837,1312.51056528345,1320.5545696458,1288.35163398232,0,"Mixed"
2015-02-06,"Nove Mesto","Czechia","Romania","Single Mixed Relay",2015,20,"World Cup",634,14,27,1319.1037859117,1433.21316147993,1319.27797202769,1298.4243982452,1261.26856517632,1320.87731692105,1425.42326113895,1318.28304386839,1305.99845748222,1267.55604148904,0,"Mixed"
2015-02-06,"Nove Mesto","Czechia","Russia","Single Mixed Relay",2015,20,"World Cup",634,1,90,1513.50017831475,1502.57540451925,1456.17119095857,1378.01233160446,1291.15401269717,1510.3916427311,1545.12977925488,1466.51836322293,1388.68177281205,1302.73603384089,0,"Mixed"
2015-02-06,"Nove Mesto","Czechia","Slovakia","Single Mixed Relay",2015,20,"World Cup",634,11,30,1255.23959975189,1307.95067632695,1243.66313410419,1239.24136648473,NA,1254.40312549715,1290.11131818658,1216.58107347569,1257.72705983368,NA,0,"Mixed"
2015-02-06,"Nove Mesto","Czechia","Slovenia","Single Mixed Relay",2015,20,"World Cup",634,19,22,1177.41929250847,1222.00970345755,1181.89161847093,1222.94206272436,1281.40293488346,1180.13656260667,1231.8281143651,1188.73484857151,1224.76782785003,1274.99872767181,0,"Mixed"
2015-02-06,"Nove Mesto","Czechia","Sweden","Single Mixed Relay",2015,20,"World Cup",634,6,45,1199.0318308103,1200.37121870578,1207.25246702457,1277.31810931561,NA,1194.65878216,1218.38958654311,1219.51715672457,1300,NA,0,"Mixed"
2015-02-06,"Nove Mesto","Czechia","Switzerland","Single Mixed Relay",2015,20,"World Cup",634,15,26,1298.71283051541,1241.41071753718,1304.83152143373,1247.42116538425,NA,1300.72765521131,1316.74365421641,1323.67147829928,1256.534707516,NA,0,"Mixed"
2015-02-06,"Nove Mesto","Czechia","USA","Single Mixed Relay",2015,20,"World Cup",634,9,34,1360.89933095662,1381.26914669313,1352.26247676612,1308.67079782373,1304.94241316318,1360.26502175168,1349.23538388874,1360.6558905787,1317.2079044736,1319.10266158928,0,"Mixed"
2015-02-06,"Nove Mesto","Czechia","Ukraine","Single Mixed Relay",2015,20,"World Cup",634,3,65,1415.90314594615,1499.88670767201,1364.67246265311,1358.23186687648,1288.26521695304,1412.73751292665,1444.03453042395,1363.83892737573,1351.71526814508,1299.72916434865,0,"Mixed"
2015-11-29,"Östersund","Sweden","Austria","Single Mixed Relay",2016,1,"World Cup",366,11,30,1404.66953191806,1418.79652799318,1350.36275138902,1288.00523135237,1285.93929655322,1404.26768164624,1315.35096664841,1323.22889387642,1280.24224600198,1283.45799594497,0,"Mixed"
2015-11-29,"Östersund","Sweden","Belarus","Single Mixed Relay",2016,1,"World Cup",366,19,22,1445.254974069,1459.03213022704,1425.77609572672,1239.9398133347,1280.99590045478,1450.08210520239,1305.19161834348,1409.6545593223,1229.34095686436,1285.0015010233,0,"Mixed"
2015-11-29,"Östersund","Sweden","Bulgaria","Single Mixed Relay",2016,1,"World Cup",366,18,23,1222.30282019239,1310.07143480045,1199.8367896632,1208.61522212605,1303.5717435023,1222.74382742107,1271.75744687781,1193.80769486366,1206.86722949261,1300,0,"Mixed"
2015-11-29,"Östersund","Sweden","Canada","Single Mixed Relay",2016,1,"World Cup",366,2,75,1537.71529859151,1399.30522010284,1526.77558789087,1398.59096929459,1291.28555300168,1534.31721725276,1514.8757886632,1513.71707316089,1389.68904644971,1292.96425718429,0,"Mixed"
2015-11-29,"Östersund","Sweden","Czechia","Single Mixed Relay",2016,1,"World Cup",366,13,28,1416.1935072611,1420.14254964821,1370.8700876619,1286.27708090758,1294.9907347951,1417.14765513377,1313.79804006648,1361.34169613063,1273.28951161853,1294.10674681776,0,"Mixed"
2015-11-29,"Östersund","Sweden","Estonia","Single Mixed Relay",2016,1,"World Cup",366,25,16,1312.29982748379,1398.60725853581,1310.16972217224,1260.9401046009,NA,1318.2476224716,1286.69056417026,1305.79155047368,1281.3449247003,NA,0,"Mixed"
2015-11-29,"Östersund","Sweden","Finland","Single Mixed Relay",2016,1,"World Cup",366,6,45,1488.8502998021,1554.47303070368,1466.8779547994,1415.13951458206,1396.37817534054,1486.54381354242,1543.00943682708,1453.70810105993,1403.67391512803,1413.38608863593,0,"Mixed"
2015-11-29,"Östersund","Sweden","France","Single Mixed Relay",2016,1,"World Cup",366,21,20,1659.01726553132,1677.08681234234,1598.52404337679,1502.62883360052,1355.38617756005,1667.87968588698,1633.17226496404,1588.82936134551,1495.12415798085,1365.16020889418,0,"Mixed"
2015-11-29,"Östersund","Sweden","Germany","Single Mixed Relay",2016,1,"World Cup",366,3,65,1488.00976256698,1476.42263585652,1457.19524058303,1354.70624607345,1287.04963724109,1484.17504099579,1482.20979244603,1451.56683262408,1340.68689628379,1284.76427910716,0,"Mixed"
2015-11-29,"Östersund","Sweden","Great Britain","Single Mixed Relay",2016,1,"World Cup",366,24,17,1106.06597268988,1107.11663619804,1102.1106210513,1245.6786546564,NA,1108.22988004293,1099.18297912277,1097.16495881947,1263.36887868242,NA,0,"Mixed"
2015-11-29,"Östersund","Sweden","Italy","Single Mixed Relay",2016,1,"World Cup",366,9,34,1395.81680680101,1590.60419944185,1346.28463593532,1279.4679749241,1257.74001925374,1394.13668742299,1468.89756471506,1331.15622924448,1274.75812136188,1250.28237559264,0,"Mixed"
2015-11-29,"Östersund","Sweden","Japan","Single Mixed Relay",2016,1,"World Cup",366,10,31,1297.68818725606,1266.94667127642,1320.59130343573,1239.91703015767,1290.5255743541,1294.97529355025,1291.22510071278,1310.45833651979,1222.87283176367,1288.85361688718,0,"Mixed"
