"Team_Name","Nation","Team_Rank","Race_Date","City","Country","Race_Type","Distance","Is_Present","Race1_Prob","Team_Points","TeamMembers","Total_Elo","Avg_Elo","Total_Individual_Elo","Avg_Individual_Elo","Total_Sprint_Elo","Avg_Sprint_Elo","Total_Pursuit_Elo","Avg_Pursuit_Elo","Total_MassStart_Elo","Avg_MassStart_Elo","Member_1_Elo","Member_1_Individual_Elo","Member_1_Sprint_Elo","Member_1_Pursuit_Elo","Member_1_MassStart_Elo","Member_1","Member_1_ID","Member_2_Elo","Member_2_Individual_Elo","Member_2_Sprint_Elo","Member_2_Pursuit_Elo","Member_2_MassStart_Elo","Member_2","Member_2_ID","Member_3_Elo","Member_3_Individual_Elo","Member_3_Sprint_Elo","Member_3_Pursuit_Elo","Member_3_MassStart_Elo","Member_3","Member_3_ID","Member_4_Elo","Member_4_Individual_Elo","Member_4_Sprint_Elo","Member_4_Pursuit_Elo","Member_4_MassStart_Elo","Member_4","Member_4_ID","MemberIDs"
"Austria","Austria",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Lisa Theresa Hauser,Anna Gandler,Tamara Steiner,Anna Andexer",5902.52183828285,1475.63045957071,5737.29599708894,1434.32399927224,5767.1048271582,1441.77620678955,5338.16947082933,1334.54236770733,5201.89985923815,1300.47496480954,1535.91000239779,1445.60242870829,1510.28066944251,1440.04256589003,1330.28583853727,"Lisa Theresa Hauser",1006,1501.64535079613,1431.11494588421,1490.37553704842,1363.15141243845,1311.89325211958,"Anna Gandler",2264,1448.95492396271,1488.79946499568,1346.46385616124,1284.66847605543,1285.99815595348,"Tamara Steiner",1587,1416.01156112623,1371.77915750077,1419.98476450603,1250.30701644542,1273.72261262782,"Anna Andexer",2690,"1006,2264,1587,2690"
"Belgium","Belgium",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Maya Cloetens,Lotte Lie,Marisa Emonts,Eve Bouvard",5350.95058780739,1337.73764695185,5434.97864600176,1358.74466150044,5312.43649371902,1328.10912342975,5207.69313496671,1301.92328374168,5103.62767859677,1275.90691964919,1553.50130907105,1501.1619261971,1538.59249858316,1329.44958034557,1262.93140920522,"Maya Cloetens",2588,1454.10863200877,1509.35180327433,1431.47013244992,1343.84846964132,1285.00770495619,"Lotte Lie",1237,1219.99753728997,1236.36982738475,1211.8935294878,1300,1279.41754520584,"Marisa Emonts",2778,1123.3431094376,1188.09508914558,1130.48033319814,1234.39508497982,1276.27101922953,"Eve Bouvard",2761,"2588,1237,2778,2761"
"Bulgaria","Bulgaria",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Milena Todorova,Lora Hristova,Valentina Dimitrova,Maria Zdravkova",5258.1244364403,1314.53110911008,5241.3395617974,1310.33489044935,5289.69868531159,1322.4246713279,5017.64179458855,1254.41044864714,5170.61659147794,1292.65414786949,1492.98213544919,1272.40191007385,1541.00695907171,1306.23782623995,1294.67599768937,"Milena Todorova",1598,1340.7285458398,1432.0471735298,1340.88367511327,1206.34211101191,1290.07452910369,"Lora Hristova",2569,1268.54475438701,1353.01290182185,1252.80992309302,1250.36353670673,1298.99734073726,"Valentina Dimitrova",2573,1155.8690007643,1183.87757637191,1154.99812803359,1254.69832062996,1286.86872394762,"Maria Zdravkova",1398,"1598,2569,2573,1398"
"Canada","Canada",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Nadia Moser,Shilo Rousseau,Pascale Paradis,Benita Peiffer",5239.24180828466,1309.81045207117,4949.71748974674,1237.42937243669,5229.92054635802,1307.48013658951,4994.86000994099,1248.71500248525,5164.52845708963,1291.13211427241,1446.02420041563,1343.04539780421,1437.68379858441,1223.40946322046,1286.86872394762,"Nadia Moser",1786,1398.06399403153,1248.14043551092,1364.82908042873,1282.24236492751,1295.80837469211,"Shilo Rousseau",2262,1235.4031224586,1154.20294995866,1267.74057215472,1224.67032675865,1291.19110445669,"Pascale Paradis",2454,1159.7504913789,1204.32870647295,1159.66709519016,1264.53785503437,1290.66025399321,"Benita Peiffer",2216,"1786,2262,2454,2216"
"Czechia","Czechia",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Marketa Davidova,Tereza Vobornikova,Lucie Charvatova,Jessica Jislova",5661.83834090386,1415.45958522596,5522.86616214223,1380.71654053556,5649.67549381246,1412.41887345312,5348.03913983419,1337.00978495855,5064.12264773233,1266.03066193308,1579.87964354652,1449.36312898143,1570.59706428662,1440.75405363179,1277.9210624555,"Marketa Davidova",1394,1506.48796721527,1529.03685660052,1440.23516103216,1357.3294049652,1303.85442973774,"Tereza Vobornikova",2442,1342.14828180165,1261.73231437878,1395.56219290893,1241.90539851366,1228.0823021361,"Lucie Charvatova",1083,1233.32244834042,1282.73386218151,1243.28107558476,1308.05028272354,1254.26485340299,"Jessica Jislova",958,"1394,2442,1083,958"
"Estonia","Estonia",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Regina Ermits,Susan Külm,Tuuli Tomingas,Johanna Talihaerm",5420.49840700259,1355.12460175065,5273.00549226673,1318.25137306668,5374.80884731482,1343.70221182871,4948.05744263478,1237.0143606587,5146.08335893183,1286.52083973296,1583.52264244063,1314.15408159543,1554.3263383012,1315.14400676926,1276.65163570069,"Regina Ermits",1314,1368.78946416375,1390.72316916274,1358.61546802596,1221.91289586626,1288.00454219628,"Susan Külm",1043,1319.70973363183,1381.83642701919,1301.38952586997,1249.47980064558,1294.55845708724,"Tuuli Tomingas",1245,1148.47656676638,1186.29181448937,1160.4775151177,1161.52073935369,1286.86872394762,"Johanna Talihaerm",894,"1314,1043,1245,894"
"Finland","Finland",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Suvi Minkkinen,Venla Lehtonen,Inka Hämäläinen,Noora Kaisa Keränen",5677.18164153315,1419.29541038329,5596.84350846763,1399.21087711691,5529.12990446875,1382.28247611719,5296.15857203657,1324.03964300914,5155.80821679665,1288.95205419916,1748.50967089565,1550.1190071824,1672.12107774796,1530.12824532645,1306.16499571488,"Suvi Minkkinen",1233,1395.78681003535,1432.03384743669,1355.5507304987,1255.38571512263,1262.35200927336,"Venla Lehtonen",2309,1306.10750231412,1314.63499192264,1312.15598515217,1239.62432202344,1294.08415350114,"Inka Hämäläinen",2794,1226.77765828802,1300.05566192591,1189.30211106992,1271.02028956405,1293.20705830727,"Noora Kaisa Keränen",2469,"1233,2309,2794,2469"
"France","France",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Lou Jeanmonnot,Julia Simon,Justine Braisaz-Bouchet,Oceane Michelon",7031.18377761569,1757.79594440392,6365.36672170383,1591.34168042596,6663.97392440061,1665.99348110015,6228.2602368498,1557.06505921245,5573.48730977475,1393.37182744369,1885.45181728136,1693.0083753088,1765.78342152935,1601.54866821565,1440.95628715556,"Lou Jeanmonnot",1769,1748.2755408109,1614.17000874413,1675.43736652223,1583.47809091729,1390.22867038354,"Julia Simon",1300,1710.3287408062,1520.35574915548,1643.41829476479,1551.81411873909,1370.71624709337,"Justine Braisaz-Bouchet",1217,1687.12767871723,1537.83258849542,1579.33484158424,1491.41935897777,1371.58610514228,"Oceane Michelon",2736,"1769,1300,1217,2736"
"Germany","Germany",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Franziska Preuss,Vanessa Voigt,Selina Grotian,Julia Tannheimer",6513.44134129626,1628.36033532406,5707.96568178147,1426.99142044537,6336.10235886297,1584.02558971574,5829.33424416754,1457.33356104189,5390.0925278849,1347.52313197123,1790.0438673713,1628.73183851645,1704.28339809417,1563.66644420454,1421.93716546764,"Franziska Preuss",926,1581.78041892381,1467.90462921457,1526.660429778,1465.28818280862,1358.05922606579,"Vanessa Voigt",2165,1578.24849307242,1379.0056533556,1549.01839275028,1432.10316448756,1298.24969958303,"Selina Grotian",2783,1563.36856192873,1232.32356069486,1556.14013824051,1368.27645266682,1311.84643676845,"Julia Tannheimer",2896,"926,2165,2783,2896"
"Italy","Italy",0,"02/08/2026","Antholz-Anterselva","Italy","Relay",NA,"True",1,NA,"Lisa Vittozzi,Dorothea Wierer,Hannah Auchentaller,Michela Carrara",6299.07751212717,1574.76937803179,5939.11416813561,1484.7785420339,6266.82183849635,1566.70545962409,5527.95959881265,1381.98989970316,5263.12397993887,1315.78099498472,1812.28172623837,1641.59941025847,1723.09419751456,1567.74461084045,1360.24666542794,"Lisa Vittozzi",1292,1663.58984851522,1555.1615048344,1672.7809698085,1476.57682662737,1321.21226735446,"Dorothea Wierer",54,1415.91956286372,1371.8085684361,1414.00173546039,1227.71378779494,1290.24717856775,"Hannah Auchentaller",2552,1407.28637450985,1370.54468460664,1456.9449357129,1255.92437354989,1291.41786858872,"Michela Carrara",1596,"1292,54,2552,1596"
