Team_Name,Nation,Team_Rank,Race_Date,City,Country,Race_Type,Is_Present,Total_Elo,Avg_Elo,Total_Individual_Elo,Avg_Individual_Elo,Total_Sprint_Elo,Avg_Sprint_Elo,Total_Pursuit_Elo,Avg_Pursuit_Elo,Total_MassStart_Elo,Avg_MassStart_Elo,Member_1,Member_1_ID,Member_1_Sex,Member_1_Elo,Member_1_Individual_Elo,Member_1_Sprint_Elo,Member_1_Pursuit_Elo,Member_1_MassStart_Elo,Member_2,Member_2_ID,Member_2_Sex,Member_2_Elo,Member_2_Individual_Elo,Member_2_Sprint_Elo,Member_2_Pursuit_Elo,Member_2_MassStart_Elo,Member_3,Member_3_ID,Member_3_Sex,Member_3_Elo,Member_3_Individual_Elo,Member_3_Sprint_Elo,Member_3_Pursuit_Elo,Member_3_MassStart_Elo,Member_4,Member_4_ID,Member_4_Sex,Member_4_Elo,Member_4_Individual_Elo,Member_4_Sprint_Elo,Member_4_Pursuit_Elo,Member_4_MassStart_Elo
SWEDEN,SWE,,11/30/2025,Östersund,Sweden,Mixed Relay,True,6146.312993001708,1536.578248250427,5878.429260675756,1469.607315168939,5960.579972454554,1490.1449931136385,5657.1954800702015,1414.2988700175504,5282.602702069033,1320.6506755172582,Jesper Nelin,1266,M,1640.0390494661394,1582.9983371583307,1581.4127544485711,1378.1131841333972,1302.4708128566608,Martin Ponsiluoma,1135,M,1673.6310312915082,1528.339415735657,1613.2635082017043,1535.3475077365315,1319.8355152137349,GESTBLOM Linn,BTSWE22706199401,M,1199.9960872165252,1217.061999024604,1221.9504114536605,1249.4610976807508,1281.554650912779,Hanna Öberg,1384,F,1632.6468250275343,1550.0295087571649,1543.9532983506178,1494.2736905195225,1378.741723085858
FRANCE,FRA,,11/30/2025,Östersund,Sweden,Mixed Relay,True,6995.131396030749,1748.7828490076872,6544.472299198887,1636.1180747997219,6751.0849307911285,1687.7712326977821,6170.589470263818,1542.6473675659545,5470.44893396951,1367.6122334923775,Emilien Jacquelin,1333,M,1667.788408768896,1513.3903446629351,1693.509300372536,1552.5192570863182,1356.0794989868905,Eric Perrot,4591,M,1812.0485639204069,1733.193844036878,1675.6614566807125,1515.357144250496,1354.384480988785,Justine Braisaz-Bouchet,1217,F,1685.2565373289171,1562.7424710769508,1706.6296152034297,1542.5962910997282,1355.846559752303,Lou Jeanmonnot,1769,F,1830.0378860125288,1735.145639422123,1675.2845585344503,1560.1167778272752,1404.138394241531
NORWAY,NOR,,11/30/2025,Östersund,Sweden,Mixed Relay,True,6292.943296477527,1573.2358241193817,5995.564180344604,1498.891045086151,6133.920568556538,1533.4801421391344,5640.222917154279,1410.0557292885696,5272.098013952209,1318.0245034880522,Endre Strømsheim,1764,M,1699.2942686350923,1691.1140717883604,1597.0243114853283,1431.835357873822,1327.0631035530555,Johan-Olav Botn,4479,M,1478.631949233877,1217.061999024604,1388.7498211881489,1327.8696601724798,1302.6341691429066,Karoline Offigstad Knotten,1275,F,1540.536008542274,1501.924760009992,1527.766060703634,1416.9898371835477,1282.8641654711423,Ingrid Landmark Tandrevold,1553,F,1574.481070066283,1585.4633495216483,1620.3803751794262,1463.5280619244288,1359.5365757851048
GERMANY,GER,,11/30/2025,Östersund,Sweden,Mixed Relay,True,5987.294507871332,1496.823626967833,5650.840969667952,1412.710242416988,5885.747362110602,1471.4368405276505,5404.390707526677,1351.0976768816693,5200.521230307746,1300.1303075769365,Justus Strelow,1389,M,1623.8112581899834,1515.5636751167856,1576.6219904834088,1414.9681621419434,1306.5444763679827,Simon Kaiser,4685,M,1340.8720746250938,1217.061999024604,1332.0375431383009,1265.616518902598,1281.554650912779,Janina Hettich-Walz,1579,F,1567.599471682115,1569.9866530825764,1510.8212766521349,1381.3590855163627,1301.1729185582417,Julia Tannheimer,2896,F,1455.01170337414,1348.228642443986,1466.2665518367571,1342.446940965773,1311.249184468743
ITALY,ITA,,11/30/2025,Östersund,Sweden,Mixed Relay,True,6594.034123311089,1648.5085308277723,6283.785127955676,1570.946281988919,6484.215163060282,1621.0537907650705,5891.213318197008,1472.803329549252,5253.7958441458195,1313.4489610364549,Tommaso Giacomel,4387,M,1786.8640720781043,1625.512763565217,1693.7110830046468,1523.522469086787,1314.8773587111225,Lukas Hofer,9,M,1508.513333551365,1504.5215145645966,1544.030661517997,1377.1947942131478,1279.7124123487824,Dorothea Wierer,54,F,1574.4595175415918,1520.498947029078,1630.6927574205502,1485.9994727741507,1334.7061253757947,Lisa Vittozzi,1292,F,1724.1972001400284,1633.2519027967844,1615.7806611170884,1504.4965821229232,1324.4999477101196
SWITZERLAND,SUI,,11/30/2025,Östersund,Sweden,Mixed Relay,True,5849.543421935516,1462.385855483879,5834.195113721823,1458.5487784304557,5623.950864651947,1405.9877161629868,5264.537231827625,1316.1343079569062,5100.649510201406,1275.1623775503515,James Pacal,4851,M,1276.183777439772,1244.3075171750825,1221.9504114536605,1249.4610976807508,1281.554650912779,Joscha Burkhalter,1401,M,1446.7513742086855,1555.3205362658623,1404.3761548569803,1239.9000781762138,1288.3150886374035,Aita Gasparin,1003,F,1569.3750643978194,1446.793664081085,1480.8367631156175,1361.7686298676722,1258.2462246723353,Lena Häcki-Gross,1238,F,1557.2332058892391,1587.7733961997935,1516.7875352256888,1413.407426102988,1272.5335459788882
AUSTRIA,AUT,,11/30/2025,Östersund,Sweden,Mixed Relay,True,5504.419125779236,1376.104781444809,5573.628275376208,1393.407068844052,5429.0782727674505,1357.2695681918626,5131.1553420599375,1282.7888355149844,5116.251325060737,1279.0628312651843,Fredrik Mühlbacher,4999,M,1252.31447016869,1276.1081749008022,1255.5246098663115,1290.0620291625646,1281.554650912779,David Komatz,493,M,1501.2105931166516,1554.668438590373,1468.1898050322995,1244.783997948709,1243.6783629551771,Anna Juppe,2776,F,1284.097288027077,1311.2385860869977,1280.5423726677586,1221.2700981231562,1279.6509961565264,Anna Gandler,2264,F,1466.796774466818,1431.6130757980354,1424.8214852010806,1375.039216825508,1311.367315036255
UKRAINE,UKR,,11/30/2025,Östersund,Sweden,Mixed Relay,True,5087.028402824274,1271.7571007060685,5065.038184648158,1266.2595461620394,5102.701623465205,1275.6754058663012,5009.975630801799,1252.4939077004497,5122.190043890667,1280.5475109726667,Bogdan Tsymbal,1779,M,1256.7767907879263,1312.674059256554,1277.9711927207595,1230.1822552388758,1281.554650912779,BORKOVSKYI Bohdan,BTUKR11804200401,F,1202.542878909351,1205.8839921857946,1221.3000237158492,1250.4921158060874,1279.6509961565264,Anastasiya Merkushyna,1289,F,1303.5665460412338,1299.251601684562,1377.2994079280843,1256.8431246812686,1275.5379176469935,Olena Horodna,2735,F,1324.142187085763,1247.228531521247,1226.130999100512,1272.4581350755668,1285.4464791743685
CZECHIA,CZE,,11/30/2025,Östersund,Sweden,Mixed Relay,True,6267.393444521905,1566.8483611304762,6225.270643644725,1556.3176609111813,6019.68569338643,1504.9214233466075,5492.714430530452,1373.178607632613,5192.652319926822,1298.1630799817056,Vitezslav Hornig,1786,M,1596.3210225268206,1500.8749212008397,1486.963879319382,1313.4150217282963,1314.7814220551245,Michal Krcmar,477,M,1550.1669670902784,1663.7235887068032,1544.915765929061,1343.709333451781,1261.4188333445904,Tereza Vobornikova,2442,F,1542.16309043503,1502.0542259989954,1465.3215096691897,1376.1219370019903,1295.969757199039,Marketa Davidova,1394,F,1578.7423644697762,1558.6179077380864,1522.4845384687967,1459.4681383483849,1320.4823073280688
POLAND,POL,,11/30/2025,Östersund,Sweden,Mixed Relay,True,5116.996475088149,1279.2491187720373,5041.872581239855,1260.4681453099638,5135.591661733085,1283.8979154332712,4921.175987863107,1230.2939969657768,5138.576674037737,1284.6441685094342,Jan Gunka,4559,M,1303.7744042085894,1285.4672832400922,1302.8675153661547,1206.003037236953,1281.554650912779,Konrad Badacz,4730,M,1293.325438709712,1372.9483740630194,1271.502786026375,1262.7577901855925,1281.554650912779,Anna Nedza-Kubiniec,2582,F,1275.9073261764495,1205.8839921857946,1271.2912495274895,1250.4921158060874,1279.6509961565264,Kamila Zuk,1554,F,1243.9893059933986,1177.5729317509497,1289.9301108130655,1201.9230446344743,1295.8163760556524
