Team_Name,Nation,Team_Rank,Race_Date,City,Country,Race_Type,Is_Present,Race1_Prob,Total_Elo,Avg_Elo,Total_Individual_Elo,Avg_Individual_Elo,Total_Sprint_Elo,Avg_Sprint_Elo,Total_Pursuit_Elo,Avg_Pursuit_Elo,Total_MassStart_Elo,Avg_MassStart_Elo,Member_1,Member_1_ID,Member_1_Elo,Member_1_Individual_Elo,Member_1_Sprint_Elo,Member_1_Pursuit_Elo,Member_1_MassStart_Elo,Member_2,Member_2_ID,Member_2_Elo,Member_2_Individual_Elo,Member_2_Sprint_Elo,Member_2_Pursuit_Elo,Member_2_MassStart_Elo,Member_3,Member_3_ID,Member_3_Elo,Member_3_Individual_Elo,Member_3_Sprint_Elo,Member_3_Pursuit_Elo,Member_3_MassStart_Elo,Member_4,Member_4_ID,Member_4_Elo,Member_4_Individual_Elo,Member_4_Sprint_Elo,Member_4_Pursuit_Elo,Member_4_MassStart_Elo
FRANCE,FRA,1,03/03/2026,Östersund,Sweden,Relay,True,1.0,7315.665923436511,1828.9164808591277,6165.65911638742,1541.414779096855,6968.562538130918,1742.1406345327296,6319.2515660496765,1579.8128915124191,5639.469834044949,1409.8674585112371,Jeanne Richard,2680,1724.101199637125,1566.9143606758248,1705.3064400116614,1468.1766693931634,1360.3204836656782,Oceane Michelon,2736,1786.4359358704817,1534.0103995188897,1686.0047498297013,1568.4905762417334,1379.2521277945748,Justine Braisaz-Bouchet,1217,1822.8892038405108,1418.473231014214,1734.4241684341248,1609.8203792799495,1435.671868547282,Lou Jeanmonnot,1769,1982.2395840883928,1646.2611251784915,1842.8271798554304,1672.7639411348302,1464.225354037413
ITALY,ITA,2,03/03/2026,Östersund,Sweden,Relay,True,1.0,6845.238289259067,1711.3095723147667,6037.786902207099,1509.4467255517748,6679.1047474460465,1669.7761868615116,5701.455200234042,1425.3638000585106,5471.58255511087,1367.8956387777175,Dorothea Wierer,54,1803.165591165062,1590.4573953272054,1765.2314836271987,1521.706181273284,1398.148933580999,Michela Carrara,1596,1608.5173937507434,1465.1394512085092,1594.5080025598988,1292.004083113375,1388.5027115056926,Lisa Vittozzi,1292,1900.4980618503264,1603.7171996130764,1800.693474516845,1630.2712445502907,1387.027416256458,Hannah Auchentaller,2552,1533.0572424929342,1378.4728560583078,1518.6717867421044,1257.4736912970927,1297.9034937677206
CZECHIA,CZE,3,03/03/2026,Östersund,Sweden,Relay,True,1.0,6107.667411713064,1526.916852928266,5632.425193817253,1408.1062984543132,6074.123781913211,1518.5309454783028,5491.911829239661,1372.9779573099152,5252.062091586621,1313.0155228966553,Jessica Jislova,958,1373.8809222256498,1383.2283755297435,1360.9563199804095,1341.3664012030229,1292.081177204709,Lucie Charvatova,1083,1472.3385420928691,1289.5502653309666,1505.5245103063685,1278.4907875725876,1275.3006616284,Tereza Vobornikova,2442,1569.3742723545083,1487.6205033043168,1547.781562327052,1391.9892490534676,1342.088538346424,Marketa Davidova,1394,1692.0736750400374,1472.0260496522255,1659.861389299382,1480.0653914105824,1342.591714407088
SWEDEN,SWE,4,03/03/2026,Östersund,Sweden,Relay,True,1.0,6921.3924517990945,1730.3481129497736,6095.937330674992,1523.984332668748,6621.391251172541,1655.3478127931353,5977.396557977232,1494.349139494308,5400.7514675342045,1350.1878668835511,Johanna Skottheim,1340,1550.7831412065282,1433.5478613460093,1540.4790901182569,1373.960310795038,1347.495827145386,Anna Magnusson,1305,1837.2993935823888,1569.873553151712,1723.3988064896776,1578.090224017221,1318.9355722950204,Ella Halvarsson,2456,1639.19370553237,1483.043233870412,1612.529613404406,1391.3088266651785,1318.0801150243688,Hanna Öberg,1384,1894.1162114778076,1609.4726823068586,1744.9837411601998,1634.0371964997953,1416.2399530694297
AUSTRIA,AUT,5,03/03/2026,Östersund,Sweden,Relay,True,1.0,6349.117418716215,1587.2793546790538,5905.647646985206,1476.4119117463015,6254.74794606198,1563.686986515495,5447.7654080065095,1361.9413520016274,5376.862698197715,1344.2156745494287,Dunja Zdouc,1080,1510.312955467961,1488.0930470378837,1500.4416412621424,1272.9951167456013,1301.5407714642993,Lisa Theresa Hauser,1006,1620.7662716691802,1447.0586000582962,1610.308874777707,1475.0564698329276,1372.976341249766,Anna Gandler,2264,1666.9410597516944,1513.70166412358,1586.52344902245,1410.4850070315456,1334.0840183277735,Anna Andexer,2690,1551.0971318273796,1456.7943357654458,1557.4739809996795,1289.2288143964347,1368.2615671558758
FINLAND,FIN,6,03/03/2026,Östersund,Sweden,Relay,True,1.0,6205.132241291931,1551.2830603229827,5828.162414504084,1457.040603626021,5900.547855840312,1475.136963960078,5342.867264445744,1335.716816111436,5169.64146301602,1292.410365754005,Inka Hämäläinen,2794,1465.0839195681324,1392.4313263474364,1409.9204004890842,1217.7062486511074,1255.144698375244,Sonja Leinamo,2793,1370.258161738302,1489.6803008193524,1279.411132883938,1244.0723378917994,1345.5627250368082,Venla Lehtonen,2309,1499.5587047513682,1402.24781425722,1455.7501440225965,1274.954770228666,1296.426692309223,Suvi Minkkinen,1233,1870.2314552341288,1543.8029730800756,1755.4661784446926,1606.1339076741713,1272.5073472947454
SWITZERLAND,SUI,7,03/03/2026,Östersund,Sweden,Relay,True,1.0,5920.861960678456,1480.215490169614,5685.8324546763815,1421.4581136690954,5941.195007089998,1485.2987517724996,5311.255021425332,1327.813755356333,5190.083073642646,1297.5207684106615,Amy Baserga,2261,1707.42681983988,1574.130001011173,1630.8171489467777,1451.0412847164046,1331.3509826385718,Aita Gasparin,1003,1435.5985319803751,1439.1454602265303,1442.9588180455776,1325.6615907646833,1267.392074309599,Lydia Mettler,2952,1268.3333476984187,1182.2253379336096,1318.4180854054548,1219.2133545856238,1281.3031366668315,Lena Häcki-Gross,1238,1509.5032611597812,1490.3316555050685,1549.000954692188,1315.3387913586205,1310.036880027644
SLOVAKIA,SVK,8,03/03/2026,Östersund,Sweden,Relay,True,1.0,5971.329077411362,1492.8322693528405,5317.651882703407,1329.4129706758517,5919.674983202695,1479.9187458006738,5225.898502533602,1306.4746256334006,5456.594485206733,1364.1486213016833,Ema Kapustova,2575,1396.702782871737,1296.880217604608,1383.4505203970944,1278.3615349653064,1373.6219725672747,Paulina Batovska Fialkova,947,1688.4036362407617,1351.4484713447894,1642.276982115559,1412.7233363848409,1334.930813507355,Anastasiya Kuzmina,12,1508.5346287975344,1283.665450718856,1539.311621366363,1287.2207773358953,1446.3801482063743,Zuzana Remenova,2428,1377.6880295013286,1385.6577430351535,1354.6358593236791,1247.5928538475598,1301.661550925729
BULGARIA,BUL,9,03/03/2026,Östersund,Sweden,Relay,True,1.0,5681.296563795706,1420.3241409489265,5464.371483615713,1366.0928709039283,5707.49859863774,1426.874649659435,5011.74102207255,1252.9352555181374,5241.594825949819,1310.3987064874548,Valentina Dimitrova,2573,1373.8575151002572,1431.9892120616164,1374.095304487205,1270.3742432762836,1342.3075728188212,Milena Todorova,1598,1588.566566596951,1320.6619168569212,1636.2767683214397,1341.423702059662,1313.958161093242,Maria Zdravkova,1398,1273.154341876039,1240.4591687369402,1249.01664966956,1177.6463323122823,1263.8180569281794,Lora Hristova,2569,1445.718140222459,1471.2611859602357,1448.109876159535,1222.296744424321,1321.5110351095766
POLAND,POL,10,03/03/2026,Östersund,Sweden,Relay,True,1.0,6029.353857636974,1507.3384644092434,5593.690624442628,1398.422656110657,5906.832232812654,1476.7080582031635,5103.095640631022,1275.7739101577556,5289.581933534786,1322.3954833836965,Natalia Sidorowicz,2951,1460.3561561967194,1453.7707399163753,1480.2293142931985,1276.9934198899807,1304.1806710706685,Kamila Zuk,1554,1542.7720920056995,1293.5365219509924,1489.59528988372,1280.6042105389035,1362.4418378204084,Anna Maka,941,1452.092355835592,1517.6098711995246,1418.7228058140568,1188.6719465529989,1304.191689666551,Joanna Jakiela,1612,1574.1332535989632,1328.773491375736,1518.2848228216787,1356.8260636491395,1318.767734977158
