Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,1,Ida Marie Hagen,Norway,60,2024,4,2000-08-18T00:00:00.000000,23.326488706365502,23,0,1300.0,1313.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,2,Gyda Westvold Hansen,Norway,4,2024,4,2002-04-20T00:00:00.000000,21.65639972621492,24,0,1300.0,1312.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,3,Lisa Hirner,Austria,52,2024,4,2003-10-03T00:00:00.000000,20.202600958247775,23,0,1300.0,1311.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,4,Haruka Kasai,Japan,88,2024,4,2004-02-04T00:00:00.000000,19.863107460643395,17,0,1300.0,1310.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,5,Minja Korhonen,Finland,200,2024,4,2007-05-19T00:00:00.000000,16.577686516084874,11,0,1300.0,1309.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,6,Nathalie Armbruster,Germany,168,2024,4,2006-01-02T00:00:00.000000,17.95208761122519,17,0,1300.0,1308.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,7,Mari Leinan Lund,Norway,8,2024,4,1999-05-28T00:00:00.000000,24.553045859000683,14,0,1300.0,1307.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,8,Annika Malacinski,USA,61,2024,4,2001-05-09T00:00:00.000000,22.60369609856263,24,0,1300.0,1306.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,9,Jenny Nowak,Germany,25,2024,4,2002-08-20T00:00:00.000000,21.322381930184804,23,0,1300.0,1305.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,10,Daniela Dejori,Italy,37,2024,4,2002-08-01T00:00:00.000000,21.374401095140314,19,0,1300.0,1304.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,11,Anju Nakamura,Japan,67,2024,4,2000-01-23T00:00:00.000000,23.89596167008898,25,0,1300.0,1303.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,12,Léna Brocard,France,53,2024,4,2000-05-19T00:00:00.000000,23.575633127994525,24,0,1300.0,1302.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,13,Marte Leinan Lund,Norway,7,2024,4,2001-04-01T00:00:00.000000,22.707734428473646,21,0,1300.0,1301.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,14,Yuna Kasai,Japan,161,2024,4,2004-02-04T00:00:00.000000,19.863107460643395,23,0,1300.0,1300.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,15,Jonna Kil,Poland,68,2024,4,2000-07-09T00:00:00.000000,23.436002737850785,7,0,1300.0,1299.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,16,Svenja Wuerth,Germany,165,2024,4,1993-08-20T00:00:00.000000,30.321697467488022,18,0,1300.0,1298.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,17,Sana Azegami,Japan,162,2024,4,2001-11-04T00:00:00.000000,22.11362080766598,14,0,1300.0,1297.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,18,Alexa Brabec,USA,81,2024,4,2004-10-08T00:00:00.000000,19.186858316221766,11,0,1300.0,1296.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,19,Maria Gerboth,Germany,66,2024,4,2002-06-19T00:00:00.000000,21.492128678986994,25,0,1300.0,1295.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,20,Veronica Gianmoena,Italy,29,2024,4,1995-10-25T00:00:00.000000,28.142368240930868,24,0,1300.0,1294.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,21,Silva Verbič,Slovenia,40,2024,4,2002-03-31T00:00:00.000000,21.711156741957563,22,0,1300.0,1293.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,22,Sophia Maurus,Germany,23,2024,4,2001-11-30T00:00:00.000000,22.042436687200546,15,0,1300.0,1292.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,23,Claudia Purker,Austria,177,2024,4,1999-01-15T00:00:00.000000,24.917180013689254,14,0,1300.0,1291.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,24,Laura Pletz,Austria,95,2024,4,2005-07-14T00:00:00.000000,18.422997946611908,2,0,1300.0,1290.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,25,Annalena Slamik,Austria,41,2024,4,2003-03-23T00:00:00.000000,20.7337440109514,19,0,1300.0,1289.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,26,Heta Hirvonen,Finland,218,2024,4,2008-10-16T00:00:00.000000,15.16495550992471,2,0,1300.0,1288.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,27,Tereza Koldovska,Czechia,89,2024,4,2004-10-19T00:00:00.000000,19.156741957563312,16,0,1300.0,1287.5
2023-12-16,Ramsau,Austria,L,N/A,Individual Compact,0,World Cup,28,Clara Mentil,Austria,99,2024,4,2006-08-02T00:00:00.000000,17.371663244353183,2,0,1300.0,1286.5
2024-01-14,Oberstdorf,Germany,L,N/A,Individual Compact,0,World Cup,1,Ida Marie Hagen,Norway,60,2024,6,2000-08-18T00:00:00.000000,23.405886379192335,25,0,1313.5,1326.4931316499412
2024-01-14,Oberstdorf,Germany,L,N/A,Individual Compact,0,World Cup,2,Gyda Westvold Hansen,Norway,4,2024,6,2002-04-20T00:00:00.000000,21.73579739904175,26,0,1312.5,1324.533362743783
2024-01-14,Oberstdorf,Germany,L,N/A,Individual Compact,0,World Cup,3,Mari Leinan Lund,Norway,8,2024,6,1999-05-28T00:00:00.000000,24.632443531827516,16,0,1307.5,1318.734620634749
2024-01-14,Oberstdorf,Germany,L,N/A,Individual Compact,0,World Cup,4,Marte Leinan Lund,Norway,7,2024,6,2001-04-01T00:00:00.000000,22.78713210130048,23,0,1301.5,1311.9762676316639
2024-01-14,Oberstdorf,Germany,L,N/A,Individual Compact,0,World Cup,5,Nathalie Armbruster,Germany,168,2024,6,2006-01-02T00:00:00.000000,18.031485284052017,19,0,1308.5,1317.6943576154956
2024-01-14,Oberstdorf,Germany,L,N/A,Individual Compact,0,World Cup,6,Daniela Dejori,Italy,37,2024,6,2002-08-01T00:00:00.000000,21.453798767967147,21,0,1304.5,1312.8554333695597
2024-01-14,Oberstdorf,Germany,L,N/A,Individual Compact,0,World Cup,7,Haruka Kasai,Japan,88,2024,6,2004-02-04T00:00:00.000000,19.942505133470224,19,0,1310.5,1317.6138474088418
2024-01-14,Oberstdorf,Germany,L,N/A,Individual Compact,0,World Cup,8,Anju Nakamura,Japan,67,2024,6,2000-01-23T00:00:00.000000,23.975359342915812,27,0,1303.5,1309.895709953459
2024-01-14,Oberstdorf,Germany,L,N/A,Individual Compact,0,World Cup,9,Minja Korhonen,Finland,200,2024,6,2007-05-19T00:00:00.000000,16.657084188911703,13,0,1309.5,1314.654099651807
2024-01-14,Oberstdorf,Germany,L,N/A,Individual Compact,0,World Cup,10,Maria Gerboth,Germany,66,2024,6,2002-06-19T00:00:00.000000,21.571526351813826,27,0,1295.5,1300.21792875796
2024-01-14,Oberstdorf,Germany,L,N/A,Individual Compact,0,World Cup,11,Jenny Nowak,Germany,25,2024,6,2002-08-20T00:00:00.000000,21.401779603011637,25,0,1305.5,1308.8151591776875
2024-01-14,Oberstdorf,Germany,L,N/A,Individual Compact,0,World Cup,12,Annika Malacinski,USA,61,2024,6,2001-05-09T00:00:00.000000,22.68309377138946,26,0,1306.5,1308.774888044074
2024-01-14,Oberstdorf,Germany,L,N/A,Individual Compact,0,World Cup,13,Léna Brocard,France,53,2024,6,2000-05-19T00:00:00.000000,23.655030800821354,26,0,1302.5,1303.9359882629951
