Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,1,Thomas Rettenegger,Austria,1467,2026,3,2000-02-05T00:00:00.000000,25.83436002737851,3,0,1300.0,1328.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,2,Wendelin Thannheimer,Germany,1461,2026,3,1999-11-25T00:00:00.000000,26.031485284052017,3,0,1300.0,1327.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,3,Franz-Josef Rehrl,Austria,72,2026,3,1993-03-15T00:00:00.000000,32.728268309377135,3,0,1300.0,1326.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,4,Ilkka Herola,Finland,97,2026,3,1995-06-22T00:00:00.000000,30.458590006844627,3,0,1300.0,1325.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,5,Paul Walcher,Austria,1988,2026,3,2005-04-30T00:00:00.000000,20.602327173169062,3,0,1300.0,1324.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,6,Johannes Lamparter,Austria,1469,2026,3,2001-11-08T00:00:00.000000,24.076659822039698,3,0,1300.0,1323.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,7,Martin Fritz,Austria,1090,2026,3,1994-10-24T00:00:00.000000,31.11841204654346,3,0,1300.0,1321.5
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,7,Julian Schmid,Germany,1348,2026,3,1999-09-01T00:00:00.000000,26.264202600958246,3,0,1300.0,1321.5
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,9,Einar Lurås Oftebro,Norway,1217,2026,3,1998-08-06T00:00:00.000000,27.3347022587269,3,0,1300.0,1320.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,10,Florian Kolb,Austria,1982,2026,3,2001-11-24T00:00:00.000000,24.032854209445585,3,0,1300.0,1319.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,11,Richard Stenzel,Germany,2351,2026,3,2005-10-26T00:00:00.000000,20.112251882272417,3,0,1300.0,1318.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,12,Ryota Yamamoto,Japan,1154,2026,3,1997-05-13T00:00:00.000000,28.566735112936346,3,0,1300.0,1317.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,13,Stefan Rettenegger,Austria,1775,2026,3,2002-02-03T00:00:00.000000,23.838466803559207,3,0,1300.0,1316.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,14,Jiri Konvalinka,Czechia,2037,2026,3,2004-11-27T00:00:00.000000,21.023956194387406,3,0,1300.0,1315.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,15,Marco Heinis,France,1903,2026,3,2003-04-14T00:00:00.000000,22.647501711156742,3,0,1300.0,1314.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,16,Niklas Malacinski,USA,1429,2026,3,2003-12-07T00:00:00.000000,21.998631074606433,3,0,1300.0,1313.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,17,Eidar Johan Strøm,Norway,2344,2026,3,2004-03-30T00:00:00.000000,21.686516084873375,1,0,1300.0,1312.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,18,Laurent Muhlethaler,France,1146,2026,3,1997-09-27T00:00:00.000000,28.191649555099247,3,0,1300.0,1311.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,19,Vinzenz Geiger,Germany,1182,2026,3,1997-07-24T00:00:00.000000,28.369609856262834,1,0,1300.0,1310.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,20,Yoshito Watabe,Japan,32,2026,3,1991-10-04T00:00:00.000000,34.17385352498289,3,0,1300.0,1309.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,21,Jan Vytrval,Czechia,1239,2026,3,1998-05-08T00:00:00.000000,27.581108829568787,3,0,1300.0,1308.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,22,Johannes Rydzek,Germany,14,2026,3,1991-12-09T00:00:00.000000,33.99315537303217,3,0,1300.0,1307.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,23,Akito Watabe,Japan,3,2026,3,1988-05-26T00:00:00.000000,37.530458590006845,3,0,1300.0,1305.5
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,23,Kristjan Ilves,Estonia,403,2026,3,1996-06-10T00:00:00.000000,29.489390828199863,3,0,1300.0,1305.5
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,25,Jens Lurås Oftebro,Norway,1329,2026,3,2000-07-21T00:00:00.000000,25.377138945927445,2,0,1300.0,1304.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,26,Simon Mach,Germany,1981,2026,3,2002-10-20T00:00:00.000000,23.12936344969199,3,0,1300.0,1303.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,27,David Mach,Germany,1468,2026,3,2000-05-14T00:00:00.000000,25.56331279945243,3,0,1300.0,1302.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,28,Jens Dahlseide Kvamme,Norway,2364,2026,3,2004-12-24T00:00:00.000000,20.95003422313484,1,0,1300.0,1301.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,29,Jørgen Berget Storsveen,Norway,2419,2026,3,2005-01-05T00:00:00.000000,20.917180013689254,1,0,1300.0,1300.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,30,Eero Hirvonen,Finland,1155,2026,3,1996-01-30T00:00:00.000000,29.8507871321013,3,0,1300.0,1299.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,31,Aleksander Skoglund,Norway,1220,2026,3,1999-05-06T00:00:00.000000,26.587268993839835,3,0,1300.0,1298.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,32,Samuel Costa,Italy,84,2026,3,1992-11-30T00:00:00.000000,33.01574264202601,3,0,1300.0,1297.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,33,Espen Andersen,Norway,345,2026,3,1993-10-28T00:00:00.000000,32.10677618069815,3,0,1300.0,1296.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,34,Terence Weber,Germany,1137,2026,3,1996-09-24T00:00:00.000000,29.199178644763858,3,0,1300.0,1294.5
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,34,Matteo Baud,France,1765,2026,3,2002-06-26T00:00:00.000000,23.446954140999313,3,0,1300.0,1294.5
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,36,Gael Blondeau,France,1485,2026,3,2000-12-28T00:00:00.000000,24.93908281998631,3,0,1300.0,1293.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,37,Gašper Brecl,Slovenia,1295,2026,3,1999-11-18T00:00:00.000000,26.050650239561943,3,0,1300.0,1292.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,38,Atsushi Narita,Japan,2388,2026,3,2005-07-07T00:00:00.000000,20.416153319644078,2,0,1300.0,1291.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,39,Pascal Müller,Switzerland,1475,2026,3,2001-07-17T00:00:00.000000,24.38877481177276,3,0,1300.0,1290.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,40,Aaron Kostner,Italy,1193,2026,3,1999-07-08T00:00:00.000000,26.414784394250514,3,0,1300.0,1289.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,41,Andreas Skoglund,Norway,1449,2026,3,2001-03-22T00:00:00.000000,24.709103353867214,2,0,1300.0,1288.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,42,Kasper Moen Flatla,Norway,1230,2026,3,1999-02-22T00:00:00.000000,26.78713210130048,3,0,1300.0,1286.5
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,42,Vid Vrhovnik,Slovenia,1196,2026,3,1999-07-12T00:00:00.000000,26.403832991101986,3,0,1300.0,1286.5
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,44,Edgar Vallet,France,1317,2026,3,2000-06-26T00:00:00.000000,25.44558521560575,3,0,1300.0,1285.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,45,Alessandro Pittin,Italy,8,2026,3,1990-02-11T00:00:00.000000,35.81656399726215,1,0,1300.0,1284.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,46,Jiawen Zhao,China,1705,2026,3,2001-01-16T00:00:00.000000,24.8870636550308,2,0,1300.0,1283.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,47,Herman Happonen,Finland,2346,2026,3,2004-02-10T00:00:00.000000,21.820670773442846,3,0,1300.0,1282.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,48,Even Leinan Lund,Norway,2404,2026,3,2005-04-07T00:00:00.000000,20.6652977412731,1,0,1300.0,1281.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,49,Simen Tiller,Norway,370,2026,3,1995-11-25T00:00:00.000000,30.031485284052017,3,0,1300.0,1280.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,50,Shogo Azegami,Japan,2307,2026,3,2001-11-04T00:00:00.000000,24.087611225188226,3,0,1300.0,1279.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,51,Mario Seidl,Austria,88,2026,3,1992-12-08T00:00:00.000000,32.993839835728956,3,0,1300.0,1278.0
2025-12-06,Trondheim,Norway,M,10.0,Mass Start,1,World Cup,52,Ben Loomis,USA,1179,2026,3,1998-06-09T00:00:00.000000,27.49349760438056,2,0,1300.0,1277.0
