Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo
2025-08-30,Chaux-Neuve,France,L,5,Individual,0,Saturday 30.Aug 2025,1,Nathalie Armbruster,Germany,168,2026,2,2006-01-02T00:00:00.000000,19.657768651608485,2,0,1300.0,1307.5
2025-08-30,Chaux-Neuve,France,L,5,Individual,0,Saturday 30.Aug 2025,2,Minja Korhonen,Finland,200,2026,2,2007-05-19T00:00:00.000000,18.28336755646817,2,0,1300.0,1306.5
2025-08-30,Chaux-Neuve,France,L,5,Individual,0,Saturday 30.Aug 2025,3,Ema Volavsek,Slovenia,49,2026,2,2002-12-15T00:00:00.000000,22.707734428473646,2,0,1300.0,1305.5
2025-08-30,Chaux-Neuve,France,L,5,Individual,0,Saturday 30.Aug 2025,4,Tara Geraghty-Moats,USA,58,2026,2,1993-04-12T00:00:00.000000,32.38329911019849,2,0,1300.0,1304.5
2025-08-30,Chaux-Neuve,France,L,5,Individual,0,Saturday 30.Aug 2025,5,Jenny Nowak,Germany,25,2026,2,2002-08-20T00:00:00.000000,23.028062970568104,2,0,1300.0,1303.5
2025-08-30,Chaux-Neuve,France,L,5,Individual,0,Saturday 30.Aug 2025,6,Teja Pavec,Slovenia,209,2026,2,2007-04-15T00:00:00.000000,18.376454483230663,1,0,1300.0,1302.5
2025-08-30,Chaux-Neuve,France,L,5,Individual,0,Saturday 30.Aug 2025,7,Trine Göpfert,Germany,107,2026,2,2005-06-19T00:00:00.000000,20.197125256673512,2,0,1300.0,1301.5
2025-08-30,Chaux-Neuve,France,L,5,Individual,0,Saturday 30.Aug 2025,8,Romane Baud,France,206,2026,2,2006-09-23T00:00:00.000000,18.934976043805612,2,0,1300.0,1300.5
2025-08-30,Chaux-Neuve,France,L,5,Individual,0,Saturday 30.Aug 2025,9,Léna Brocard,France,53,2026,2,2000-05-19T00:00:00.000000,25.281314168377822,1,0,1300.0,1299.5
2025-08-30,Chaux-Neuve,France,L,5,Individual,0,Saturday 30.Aug 2025,10,Maria Gerboth,Germany,66,2026,2,2002-06-19T00:00:00.000000,23.197809719370294,2,0,1300.0,1298.5
2025-08-30,Chaux-Neuve,France,L,5,Individual,0,Saturday 30.Aug 2025,11,Ronja Loh,Germany,171,2026,2,2005-04-21T00:00:00.000000,20.358658453114305,2,0,1300.0,1297.5
2025-08-30,Chaux-Neuve,France,L,5,Individual,0,Saturday 30.Aug 2025,12,Marion Droz Vincent,France,229,2026,2,2008-01-08T00:00:00.000000,17.642710472279262,1,0,1300.0,1296.5
2025-08-30,Chaux-Neuve,France,L,5,Individual,0,Saturday 30.Aug 2025,13,Anna Kerko,Finland,211,2026,2,2007-08-25T00:00:00.000000,18.015058179329227,1,0,1300.0,1295.5
2025-08-30,Chaux-Neuve,France,L,5,Individual,0,Saturday 30.Aug 2025,14,Karina Kozlova,Ukraine,246,2026,2,2009-05-01T00:00:00.000000,16.331279945242983,1,0,1300.0,1294.5
2025-08-30,Chaux-Neuve,France,L,5,Individual,0,Saturday 30.Aug 2025,15,Clara Mentil,Austria,99,2026,2,2006-08-02T00:00:00.000000,19.07734428473648,1,0,1300.0,1293.5
2025-08-30,Chaux-Neuve,France,L,5,Individual,0,Saturday 30.Aug 2025,16,Anaelle Paris,France,217,2026,2,2007-01-16T00:00:00.000000,18.62012320328542,1,0,1300.0,1292.5
2025-09-19,Val di Fiemme,Italy,L,5,Individual,0,Friday 19.Sep 2025,1,Minja Korhonen,Finland,200,2026,4,2007-05-19T00:00:00.000000,18.338124572210813,4,0,1306.5,1319.264740016904
2025-09-19,Val di Fiemme,Italy,L,5,Individual,0,Friday 19.Sep 2025,2,Yuna Kasai,Japan,161,2026,4,2004-02-04T00:00:00.000000,21.623545516769337,1,0,1300.0,1312.0172666823798
2025-09-19,Val di Fiemme,Italy,L,5,Individual,0,Friday 19.Sep 2025,3,Heta Hirvonen,Finland,218,2026,4,2008-10-16T00:00:00.000000,16.92539356605065,2,0,1300.0,1311.0172666823798
2025-09-19,Val di Fiemme,Italy,L,5,Individual,0,Friday 19.Sep 2025,4,Nathalie Armbruster,Germany,168,2026,4,2006-01-02T00:00:00.000000,19.71252566735113,4,0,1307.5,1317.2258999491826
2025-09-19,Val di Fiemme,Italy,L,5,Individual,0,Friday 19.Sep 2025,5,Jenny Nowak,Germany,25,2026,4,2002-08-20T00:00:00.000000,23.082819986310746,4,0,1303.5,1312.3812810245904
2025-09-19,Val di Fiemme,Italy,L,5,Individual,0,Friday 19.Sep 2025,6,Ema Volavsek,Slovenia,49,2026,4,2002-12-15T00:00:00.000000,22.76249144421629,4,0,1305.5,1313.3035839807321
2025-09-19,Val di Fiemme,Italy,L,5,Individual,0,Friday 19.Sep 2025,7,Alexa Brabec,USA,81,2026,4,2004-10-08T00:00:00.000000,20.947296372347708,1,0,1300.0,1307.0172666823798
2025-09-19,Val di Fiemme,Italy,L,5,Individual,0,Friday 19.Sep 2025,8,Haruka Kasai,Japan,88,2026,4,2004-02-04T00:00:00.000000,21.623545516769337,1,0,1300.0,1306.0172666823798
2025-09-19,Val di Fiemme,Italy,L,5,Individual,0,Friday 19.Sep 2025,9,Claudia Purker,Austria,177,2026,4,1999-01-15T00:00:00.000000,26.677618069815196,2,0,1300.0,1305.0172666823798
