Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo
2025-08-27,Oberstdorf,Germany,L,5,Individual Compact,0,Wednesday 27.Aug 2025,1,Nathalie Armbruster,Germany,168,2026,1,2006-01-02T00:00:00.000000,19.64955509924709,1,0,1300.0,1309.0
2025-08-27,Oberstdorf,Germany,L,5,Individual Compact,0,Wednesday 27.Aug 2025,2,Ema Volavsek,Slovenia,49,2026,1,2002-12-15T00:00:00.000000,22.699520876112253,1,0,1300.0,1308.0
2025-08-27,Oberstdorf,Germany,L,5,Individual Compact,0,Wednesday 27.Aug 2025,3,Lisa-Marie Hirner,Austria,52,2026,1,2003-10-03T00:00:00.000000,21.900068446269678,1,0,1300.0,1307.0
2025-08-27,Oberstdorf,Germany,L,5,Individual Compact,0,Wednesday 27.Aug 2025,4,Tara Geraghty-Moats,USA,58,2026,1,1993-04-12T00:00:00.000000,32.375085557837096,1,0,1300.0,1306.0
2025-08-27,Oberstdorf,Germany,L,5,Individual Compact,0,Wednesday 27.Aug 2025,5,Tia Malovrh,Slovenia,221,2026,1,2008-07-16T00:00:00.000000,17.114305270362767,1,0,1300.0,1305.0
2025-08-27,Oberstdorf,Germany,L,5,Individual Compact,0,Wednesday 27.Aug 2025,6,Minja Korhonen,Finland,200,2026,1,2007-05-19T00:00:00.000000,18.275154004106774,1,0,1300.0,1304.0
2025-08-27,Oberstdorf,Germany,L,5,Individual Compact,0,Wednesday 27.Aug 2025,7,Masa Likozar Brankovic,Slovenia,243,2026,1,2009-04-13T00:00:00.000000,16.372347707049965,1,0,1300.0,1303.0
2025-08-27,Oberstdorf,Germany,L,5,Individual Compact,0,Wednesday 27.Aug 2025,8,Jenny Nowak,Germany,25,2026,1,2002-08-20T00:00:00.000000,23.019849418206707,1,0,1300.0,1302.0
2025-08-27,Oberstdorf,Germany,L,5,Individual Compact,0,Wednesday 27.Aug 2025,9,Katharina Gruber,Austria,219,2026,1,2008-08-26T00:00:00.000000,17.00205338809035,1,0,1300.0,1301.0
2025-08-27,Oberstdorf,Germany,L,5,Individual Compact,0,Wednesday 27.Aug 2025,10,Claudia Purker,Austria,177,2026,1,1999-01-15T00:00:00.000000,26.614647501711158,1,0,1300.0,1300.0
2025-08-27,Oberstdorf,Germany,L,5,Individual Compact,0,Wednesday 27.Aug 2025,11,Jonna Kil,Poland,68,2026,1,2000-07-09T00:00:00.000000,25.13347022587269,1,0,1300.0,1299.0
2025-08-27,Oberstdorf,Germany,L,5,Individual Compact,0,Wednesday 27.Aug 2025,12,Maria Gerboth,Germany,66,2026,1,2002-06-19T00:00:00.000000,23.189596167008897,1,0,1300.0,1298.0
2025-08-27,Oberstdorf,Germany,L,5,Individual Compact,0,Wednesday 27.Aug 2025,13,Heta Hirvonen,Finland,218,2026,1,2008-10-16T00:00:00.000000,16.862422997946613,1,0,1300.0,1297.0
2025-08-27,Oberstdorf,Germany,L,5,Individual Compact,0,Wednesday 27.Aug 2025,14,Annalena Slamik,Austria,41,2026,1,2003-03-23T00:00:00.000000,22.431211498973305,1,0,1300.0,1296.0
2025-08-27,Oberstdorf,Germany,L,5,Individual Compact,0,Wednesday 27.Aug 2025,15,Romane Baud,France,206,2026,1,2006-09-23T00:00:00.000000,18.926762491444215,1,0,1300.0,1295.0
2025-08-27,Oberstdorf,Germany,L,5,Individual Compact,0,Wednesday 27.Aug 2025,16,Ronja Loh,Germany,171,2026,1,2005-04-21T00:00:00.000000,20.35044490075291,1,0,1300.0,1294.0
2025-08-27,Oberstdorf,Germany,L,5,Individual Compact,0,Wednesday 27.Aug 2025,17,Trine Göpfert,Germany,107,2026,1,2005-06-19T00:00:00.000000,20.188911704312115,1,0,1300.0,1293.0
2025-08-27,Oberstdorf,Germany,L,5,Individual Compact,0,Wednesday 27.Aug 2025,18,Anna-Sophie Gredler,Austria,223,2026,1,2008-01-21T00:00:00.000000,17.598904859685145,1,0,1300.0,1292.0
2025-08-27,Oberstdorf,Germany,L,5,Individual Compact,0,Wednesday 27.Aug 2025,19,Sofia Eggensberger,Germany,213,2026,1,2007-08-24T00:00:00.000000,18.00958247775496,1,0,1300.0,1291.0
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,1,Ida Marie Hagen,Norway,60,2026,5,2000-08-18T00:00:00.000000,25.297741273100616,2,0,1300.0,1317.0043164532499
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,2,Nathalie Armbruster,Germany,168,2026,5,2006-01-02T00:00:00.000000,19.923340177960302,5,0,1309.0,1324.5511386086932
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,3,Alexa Brabec,USA,81,2026,5,2004-10-08T00:00:00.000000,21.15811088295688,2,0,1300.0,1315.0043164532499
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,4,Katharina Gruber,Austria,219,2026,5,2008-08-26T00:00:00.000000,17.27583846680356,3,0,1301.0,1314.9539525254609
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,5,Minja Korhonen,Finland,200,2026,5,2007-05-19T00:00:00.000000,18.548939082819984,5,0,1304.0,1316.802868654876
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,6,Lisa-Marie Hirner,Austria,52,2026,5,2003-10-03T00:00:00.000000,22.17385352498289,2,0,1307.0,1318.6518141659483
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,7,Yuna Kasai,Japan,161,2026,5,2004-02-04T00:00:00.000000,21.83436002737851,2,0,1300.0,1311.0043164532499
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,8,Ingrid Låte,Norway,201,2026,5,2007-07-23T00:00:00.000000,18.3709787816564,1,0,1300.0,1310.0043164532499
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,9,Heta Hirvonen,Finland,218,2026,5,2008-10-16T00:00:00.000000,17.136208076659823,3,0,1297.0,1306.1554044710945
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,10,Yuzuki Kainuma,Japan,239,2026,5,2007-07-22T00:00:00.000000,18.373716632443532,1,0,1300.0,1308.0043164532499
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,11,Marte Leinan Lund,Norway,7,2026,5,2001-04-01T00:00:00.000000,24.67898699520876,1,0,1300.0,1307.0043164532499
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,12,Jenny Nowak,Germany,25,2026,5,2002-08-20T00:00:00.000000,23.293634496919918,5,0,1302.0,1307.903589360392
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,13,Trine Göpfert,Germany,107,2026,5,2005-06-19T00:00:00.000000,20.462696783025326,3,0,1293.0,1298.3568152393475
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,14,Ronja Loh,Germany,171,2026,5,2005-04-21T00:00:00.000000,20.62422997946612,4,0,1294.0,1298.3064693257677
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,15,Masa Likozar Brankovic,Slovenia,243,2026,5,2009-04-13T00:00:00.000000,16.646132785763175,2,0,1303.0,1305.853227792185
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,16,Tia Malovrh,Slovenia,221,2026,5,2008-07-16T00:00:00.000000,17.388090349075974,3,0,1305.0,1306.7525127823394
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,17,Annika Malacinski,USA,61,2026,5,2001-05-09T00:00:00.000000,24.57494866529774,2,0,1300.0,1301.0043164532499
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,18,Anna-Sophie Gredler,Austria,223,2026,5,2008-01-21T00:00:00.000000,17.872689938398356,3,0,1292.0,1292.4071552453356
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,19,Tara Geraghty-Moats,USA,58,2026,5,1993-04-12T00:00:00.000000,32.648870636550306,3,0,1306.0,1304.7021610082345
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,20,Teja Pavec,Slovenia,209,2026,5,2007-04-15T00:00:00.000000,18.642026009582477,3,0,1300.0,1298.0043164532499
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,21,Mille Marie Hagen,Norway,180,2026,5,2002-12-13T00:00:00.000000,22.978781656399725,2,0,1300.0,1297.0043164532499
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,22,Claudia Purker,Austria,177,2026,5,1999-01-15T00:00:00.000000,26.888432580424368,3,0,1300.0,1296.0043164532499
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,23,Léna Brocard,France,53,2026,5,2000-05-19T00:00:00.000000,25.546885694729635,3,0,1300.0,1295.0043164532499
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,24,Daniela Dejori,Italy,37,2026,5,2002-08-01T00:00:00.000000,23.345653661875428,2,0,1300.0,1294.0043164532499
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,25,Annalena Slamik,Austria,41,2026,5,2003-03-23T00:00:00.000000,22.704996577686515,3,0,1296.0,1289.2057631081655
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,26,Nora Helene Evans,Norway,231,2026,5,2008-09-11T00:00:00.000000,17.232032854209447,1,0,1300.0,1292.0043164532499
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,27,Veronica Gianmoena,Italy,29,2026,5,1995-10-25T00:00:00.000000,30.11362080766598,2,0,1300.0,1291.0043164532499
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,28,Greta Pinzani,Italy,96,2026,5,2005-02-14T00:00:00.000000,20.804928131416837,2,0,1300.0,1290.0043164532499
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,29,Jonna Kil,Poland,68,2026,5,2000-07-09T00:00:00.000000,25.4072553045859,3,0,1299.0,1288.054680309567
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,30,Marion Droz Vincent,France,229,2026,5,2008-01-08T00:00:00.000000,17.908281998631075,4,0,1300.0,1288.0043164532499
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,31,Romane Baud,France,206,2026,5,2006-09-23T00:00:00.000000,19.200547570157426,5,0,1295.0,1282.2561183375951
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,32,Hanna Midtsundstad,Norway,3,2026,5,1999-09-22T00:00:00.000000,26.203969883641342,1,0,1300.0,1286.0043164532499
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,33,Ingrid Græsli,Norway,248,2026,5,2009-09-04T00:00:00.000000,16.251882272416154,1,0,1300.0,1285.0043164532499
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,34,Jolana Hradilova,Czechia,87,2026,5,2004-06-29T00:00:00.000000,21.43463381245722,2,0,1300.0,1284.0043164532499
2025-12-05,Trondheim,Norway,L,5,Individual Compact,0,World Cup,35,Tereza Koldovska,Czechia,89,2026,5,2004-10-19T00:00:00.000000,21.127994524298426,1,0,1300.0,1283.0043164532499
2026-01-11,Otepää,Estonia,L,5,Individual Compact,0,World Cup,1,Ida Marie Hagen,Norway,60,2026,11,2000-08-18T00:00:00.000000,25.399041752224502,8,0,1317.0043164532499,1331.2967803090874
2026-01-11,Otepää,Estonia,L,5,Individual Compact,0,World Cup,2,Minja Korhonen,Finland,200,2026,11,2007-05-19T00:00:00.000000,18.650239561943874,11,0,1316.802868654876,1330.1042939792812
2026-01-11,Otepää,Estonia,L,5,Individual Compact,0,World Cup,3,Alexa Brabec,USA,81,2026,11,2004-10-08T00:00:00.000000,21.259411362080765,8,0,1315.0043164532499,1327.3857709635201
2026-01-11,Otepää,Estonia,L,5,Individual Compact,0,World Cup,4,Lisa-Marie Hirner,Austria,52,2026,11,2003-10-03T00:00:00.000000,22.275154004106774,7,0,1318.6518141659483,1329.8710068809048
