Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo
2025-12-06,Trondheim,Norway,L,5,Mass Start,1,World Cup,1,Katharina Gruber,Austria,219,2026,6,2008-08-26T00:00:00.000000,17.27857631759069,4,0,1300.0,1316.0
2025-12-06,Trondheim,Norway,L,5,Mass Start,1,World Cup,2,Ida Marie Hagen,Norway,60,2026,6,2000-08-18T00:00:00.000000,25.300479123887747,3,0,1300.0,1315.0
2025-12-06,Trondheim,Norway,L,5,Mass Start,1,World Cup,3,Nathalie Armbruster,Germany,168,2026,6,2006-01-02T00:00:00.000000,19.926078028747433,6,0,1300.0,1314.0
2025-12-06,Trondheim,Norway,L,5,Mass Start,1,World Cup,4,Alexa Brabec,USA,81,2026,6,2004-10-08T00:00:00.000000,21.16084873374401,3,0,1300.0,1313.0
2025-12-06,Trondheim,Norway,L,5,Mass Start,1,World Cup,5,Minja Korhonen,Finland,200,2026,6,2007-05-19T00:00:00.000000,18.55167693360712,6,0,1300.0,1312.0
2025-12-06,Trondheim,Norway,L,5,Mass Start,1,World Cup,6,Yuna Kasai,Japan,161,2026,6,2004-02-04T00:00:00.000000,21.83709787816564,3,0,1300.0,1311.0
2025-12-06,Trondheim,Norway,L,5,Mass Start,1,World Cup,7,Heta Hirvonen,Finland,218,2026,6,2008-10-16T00:00:00.000000,17.138945927446954,4,0,1300.0,1310.0
2025-12-06,Trondheim,Norway,L,5,Mass Start,1,World Cup,8,Ingrid Låte,Norway,201,2026,6,2007-07-23T00:00:00.000000,18.373716632443532,2,0,1300.0,1309.0
2025-12-06,Trondheim,Norway,L,5,Mass Start,1,World Cup,9,Yuzuki Kainuma,Japan,239,2026,6,2007-07-22T00:00:00.000000,18.376454483230663,2,0,1300.0,1308.0
2025-12-06,Trondheim,Norway,L,5,Mass Start,1,World Cup,10,Jenny Nowak,Germany,25,2026,6,2002-08-20T00:00:00.000000,23.29637234770705,6,0,1300.0,1307.0
2025-12-06,Trondheim,Norway,L,5,Mass Start,1,World Cup,11,Marte Leinan Lund,Norway,7,2026,6,2001-04-01T00:00:00.000000,24.68172484599589,2,0,1300.0,1306.0
2025-12-06,Trondheim,Norway,L,5,Mass Start,1,World Cup,12,Lisa-Marie Hirner,Austria,52,2026,6,2003-10-03T00:00:00.000000,22.17659137577002,3,0,1300.0,1305.0
2025-12-06,Trondheim,Norway,L,5,Mass Start,1,World Cup,13,Trine Göpfert,Germany,107,2026,6,2005-06-19T00:00:00.000000,20.465434633812457,4,0,1300.0,1304.0
2025-12-06,Trondheim,Norway,L,5,Mass Start,1,World Cup,14,Annika Malacinski,USA,61,2026,6,2001-05-09T00:00:00.000000,24.577686516084874,3,0,1300.0,1303.0
2025-12-06,Trondheim,Norway,L,5,Mass Start,1,World Cup,15,Ronja Loh,Germany,171,2026,6,2005-04-21T00:00:00.000000,20.62696783025325,5,0,1300.0,1302.0
