Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo
2025-12-06,Trondheim,Norway,M,10,Mass Start,1,World Cup,1,Thomas Rettenegger,Austria,1467,2026,7,2000-02-05T00:00:00.000000,25.83436002737851,5,0,1300.0,1328.0
2025-12-06,Trondheim,Norway,M,10,Mass Start,1,World Cup,2,Wendelin Thannheimer,Germany,1461,2026,7,1999-11-25T00:00:00.000000,26.031485284052017,5,0,1300.0,1327.0
2025-12-06,Trondheim,Norway,M,10,Mass Start,1,World Cup,3,Franz-Josef Rehrl,Austria,72,2026,7,1993-03-15T00:00:00.000000,32.728268309377135,4,0,1300.0,1326.0
2025-12-06,Trondheim,Norway,M,10,Mass Start,1,World Cup,4,Ilkka Herola,Finland,97,2026,7,1995-06-22T00:00:00.000000,30.458590006844627,4,0,1300.0,1325.0
2025-12-06,Trondheim,Norway,M,10,Mass Start,1,World Cup,5,Paul Walcher,Austria,1988,2026,7,2005-04-30T00:00:00.000000,20.602327173169062,5,0,1300.0,1324.0
2025-12-06,Trondheim,Norway,M,10,Mass Start,1,World Cup,6,Johannes Lamparter,Austria,1469,2026,7,2001-11-08T00:00:00.000000,24.076659822039698,5,0,1300.0,1323.0
2025-12-06,Trondheim,Norway,M,10,Mass Start,1,World Cup,7,Martin Fritz,Austria,1090,2026,7,1994-10-24T00:00:00.000000,31.11841204654346,5,0,1300.0,1321.5
2025-12-06,Trondheim,Norway,M,10,Mass Start,1,World Cup,7,Julian Schmid,Germany,1348,2026,7,1999-09-01T00:00:00.000000,26.264202600958246,5,0,1300.0,1321.5
2025-12-06,Trondheim,Norway,M,10,Mass Start,1,World Cup,9,Einar Lurås Oftebro,Norway,1217,2026,7,1998-08-06T00:00:00.000000,27.3347022587269,4,0,1300.0,1320.0
2025-12-06,Trondheim,Norway,M,10,Mass Start,1,World Cup,10,Florian Kolb,Austria,1982,2026,7,2001-11-24T00:00:00.000000,24.032854209445585,7,0,1300.0,1319.0
