Date,City,Country,Event,HillSize,Distance,RaceType,MassStart,TeamEvent,Season,Race,Sex,Place,Skier,Nation,ID,Birthday,Leg,TeamID,SJ_Pos,CC_Pos,Age,Exp
2015-03-18,Lierberget,Norway,Wednesday 18.Mar 2015,70,4,Individual,0,0,2015,3,L,2,Tonje Bakke,Norway,10,1979-01-21T00:00:00.000000,0,"",2,2,36.153319644079396,1
2016-03-08,Tolga,Norway,National Championship,60,5,Individual,0,0,2016,5,L,5,Tonje Bakke,Norway,10,1979-01-21T00:00:00.000000,0,"","","",37.12799452429842,2
2019-08-05,Klingenthal,Germany,Monday 5.Aug 2019,85,3,Individual,0,0,2020,1,L,23,Hana Fadrhonsova,Czechia,100,2004-05-18T00:00:00.000000,0,"",24,24,15.214236824093087,1
2019-08-09,Bischofsgruen,Germany,Friday 9.Aug 2019,71,4,Individual,0,0,2020,2,L,24,Hana Fadrhonsova,Czechia,100,2004-05-18T00:00:00.000000,0,"",29,23,15.225188227241615,2
2020-02-22,Villach,Austria,Saturday 22.Feb 2020,65,4,Individual,0,0,2020,21,L,11,Hana Fadrhonsova,Czechia,100,2004-05-18T00:00:00.000000,0,"",9,10,15.764544832306639,3
2020-02-23,Villach,Austria,Sunday 23.Feb 2020,65,2,Team,0,1,2020,22,L,7,Hana Fadrhonsova,Czechia,100,2004-05-18T00:00:00.000000,2,7,8-2,5,15.767282683093772,4
2019-08-05,Klingenthal,Germany,Monday 5.Aug 2019,85,3,Individual,0,0,2020,1,L,25,Karolina Sadvarova,Czechia,101,2003-10-09T00:00:00.000000,0,"",27,23,15.822039698836413,1
2020-02-22,Villach,Austria,Saturday 22.Feb 2020,65,4,Individual,0,0,2020,21,L,12,Karolina Sadvarova,Czechia,101,2003-10-09T00:00:00.000000,0,"",7,12,16.372347707049965,2
2020-02-23,Villach,Austria,Sunday 23.Feb 2020,65,2,Team,0,1,2020,22,L,9,Karolina Sadvarova,Czechia,101,2003-10-09T00:00:00.000000,2,9,9-2,9,16.375085557837096,3
2017-12-16,Seefeld,Austria,Saturday 16.Dec 2017,75,5,Individual,0,0,2018,5,L,18,Neza Kejzar,Slovenia,102,2003-09-06T00:00:00.000000,0,"",18,18,14.277891854893909,1
2017-12-17,Seefeld,Austria,Sunday 17.Dec 2017,75,2.5,Individual,0,0,2018,6,L,18,Neza Kejzar,Slovenia,102,2003-09-06T00:00:00.000000,0,"",18,16,14.28062970568104,2
2018-02-24,Planica,Slovenia,Saturday 24.Feb 2018,80,4,Individual,0,0,2018,15,L,13,Neza Kejzar,Slovenia,102,2003-09-06T00:00:00.000000,0,"",12,14,14.469541409993155,3
2018-03-10,Chaux-Neuve,France,Saturday 10.Mar 2018,60,4,Individual,0,0,2018,17,L,15,Neza Kejzar,Slovenia,102,2003-09-06T00:00:00.000000,0,"",12,17,14.507871321013004,4
2018-08-06,Klingenthal,Germany,Monday 6.Aug 2018,85,3,Individual,0,0,2019,1,L,22,Neza Kejzar,Slovenia,102,2003-09-06T00:00:00.000000,0,"",22,22,14.915811088295687,5
2018-08-10,Bischofsgruen,Germany,Friday 10.Aug 2018,71,5,Individual,0,0,2019,2,L,23,Neza Kejzar,Slovenia,102,2003-09-06T00:00:00.000000,0,"",21,22,14.926762491444215,6
2018-10-06,Val di Fiemme,Italy,Saturday 6.Oct 2018,106,5,Individual,0,0,2019,5,L,16,Neza Kejzar,Slovenia,102,2003-09-06T00:00:00.000000,0,"",15,16,15.082819986310746,7
2018-10-07,Val di Fiemme,Italy,Sunday 7.Oct 2018,106,2.5,Individual,0,0,2019,6,L,17,Neza Kejzar,Slovenia,102,2003-09-06T00:00:00.000000,0,"",16,16,15.085557837097879,8
2019-01-12,Schonach,Germany,Saturday 12.Jan 2019,106,5,Individual,0,0,2019,16,L,16,Neza Kejzar,Slovenia,102,2003-09-06T00:00:00.000000,0,"",13,16,15.351129363449692,9
2019-01-13,Schonach,Germany,Sunday 13.Jan 2019,106,2.5,Individual,0,0,2019,17,L,15,Neza Kejzar,Slovenia,102,2003-09-06T00:00:00.000000,0,"",15,15,15.353867214236823,10
