Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo,pred_Pelo,pred_Elo
2015-02-21,Seefeld,Austria,L,4,Individual,0,Saturday 21.Feb 2015,1,Timma Moser,Austria,135,2015,1,1999-12-26T00:00:00.000000,15.156741957563312,1,0,,,1300.0,1300.0
2015-02-21,Seefeld,Austria,L,4,Individual,0,Saturday 21.Feb 2015,2,Anna Berktold,Germany,156,2015,1,1984-02-01T00:00:00.000000,31.055441478439423,1,0,,,1300.0,1300.0
2015-02-21,Seefeld,Austria,L,4,Individual,0,Saturday 21.Feb 2015,1,Lisa Eder,Austria,128,2015,2,2001-08-12T00:00:00.000000,13.527720739219712,1,0,,,1300.0,1300.0
2015-02-21,Seefeld,Austria,L,4,Individual,0,Saturday 21.Feb 2015,2,Oceane Paillard,France,137,2015,2,2000-12-08T00:00:00.000000,14.203969883641342,1,0,,,1300.0,1300.0
2015-02-21,Seefeld,Austria,L,4,Individual,0,Saturday 21.Feb 2015,3,Lisa Moreschini,Italy,136,2015,2,2001-05-18T00:00:00.000000,13.763175906913073,1,0,,,1300.0,1300.0
2015-02-21,Seefeld,Austria,L,4,Individual,0,Saturday 21.Feb 2015,4,Sarah Rieder,Austria,157,2015,2,2001-07-10T00:00:00.000000,13.618069815195073,1,0,,,1300.0,1300.0
2015-02-21,Seefeld,Austria,L,4,Individual,0,Saturday 21.Feb 2015,5,Maja Drinovec,Slovenia,152,2015,2,2001-05-05T00:00:00.000000,13.79876796714579,1,0,,,1300.0,1300.0
2015-02-21,Seefeld,Austria,L,4,Individual,0,Saturday 21.Feb 2015,6,Jerneja Brecl,Slovenia,151,2015,2,2001-08-09T00:00:00.000000,13.535934291581109,1,0,,,1300.0,1300.0
2015-02-21,Seefeld,Austria,L,4,Individual,0,Saturday 21.Feb 2015,7,Josephine Pagnier,France,132,2015,2,2002-06-04T00:00:00.000000,12.71731690622861,1,0,,,1300.0,1300.0
2015-03-18,Lierberget,Norway,L,4,Individual,0,Wednesday 18.Mar 2015,1,Anna Oline Strøm,Norway,2,2015,3,1998-04-17T00:00:00.000000,16.917180013689254,1,0,,,1300.0,1302.5
2015-03-18,Lierberget,Norway,L,4,Individual,0,Wednesday 18.Mar 2015,2,Tonje Bakke,Norway,10,2015,3,1979-01-21T00:00:00.000000,36.153319644079396,1,0,,,1300.0,1302.5
2015-03-18,Lierberget,Norway,L,4,Individual,0,Wednesday 18.Mar 2015,3,Hanna Midtsundstad,Norway,3,2015,3,1999-09-22T00:00:00.000000,15.485284052019164,1,0,1300.0,1300.0,1300.0,1300.0
2015-03-18,Lierberget,Norway,L,4,Individual,0,Wednesday 18.Mar 2015,4,Silje Opseth,Norway,11,2015,3,1979-03-03T00:00:00.000000,36.04106776180698,1,0,,,1300.0,1297.5
2015-03-18,Lierberget,Norway,L,4,Individual,0,Wednesday 18.Mar 2015,5,Anniken Mork,Norway,12,2015,3,1977-08-25T00:00:00.000000,37.5605749486653,1,0,,,1300.0,1297.5
2015-03-18,Lierberget,Norway,L,4,Individual,0,Wednesday 18.Mar 2015,6,Gyda Westvold Hansen,Norway,4,2015,3,2002-04-20T00:00:00.000000,12.908966461327857,1,0,,,1300.0,1297.5
