Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo,pred_Pelo,pred_Elo
2023-09-02,Villach,Austria,L,,Individual Compact,0,Saturday 2.Sep 2023,1,Ida Marie Hagen,Norway,60,2024,5,2000-08-18T00:00:00.000000,23.039014373716633,43,0,1300.0,1312.8434782608695,1300.0,1312.8434782608695
2023-09-02,Villach,Austria,L,,Individual Compact,0,Saturday 2.Sep 2023,2,Ema Volavsek,Slovenia,49,2024,5,2002-12-15T00:00:00.000000,20.71457905544148,86,0,1300.0,1311.0086956521739,1300.0,1311.0086956521739
2023-09-02,Villach,Austria,L,,Individual Compact,0,Saturday 2.Sep 2023,3,Nathalie Armbruster,Germany,168,2024,5,2006-01-02T00:00:00.000000,17.66461327857632,35,0,1300.0,1309.1739130434783,1300.0,1309.1739130434783
2023-09-02,Villach,Austria,L,,Individual Compact,0,Saturday 2.Sep 2023,4,Minja Korhonen,Finland,200,2024,5,2007-05-19T00:00:00.000000,16.290212183436,14,0,1300.0,1307.3391304347826,1300.0,1307.3391304347826
2023-09-02,Villach,Austria,L,,Individual Compact,0,Saturday 2.Sep 2023,5,Jenny Nowak,Germany,25,2024,5,2002-08-20T00:00:00.000000,21.034907597535934,102,0,1300.0,1305.504347826087,1300.0,1305.504347826087
2023-09-02,Villach,Austria,L,,Individual Compact,0,Saturday 2.Sep 2023,6,Léna Brocard,France,53,2024,5,2000-05-19T00:00:00.000000,23.28815879534565,74,0,1300.0,1303.6695652173912,1300.0,1303.6695652173912
2023-09-02,Villach,Austria,L,,Individual Compact,0,Saturday 2.Sep 2023,7,Anju Nakamura,Japan,67,2024,5,2000-01-23T00:00:00.000000,23.60848733744011,32,0,,,1300.0,1302.7521739130434
2023-09-02,Villach,Austria,L,,Individual Compact,0,Saturday 2.Sep 2023,8,Veronica Gianmoena,Italy,29,2024,5,1995-10-25T00:00:00.000000,27.854893908281998,61,0,1300.0,1301.8347826086956,1300.0,1301.8347826086956
2023-09-02,Villach,Austria,L,,Individual Compact,0,Saturday 2.Sep 2023,9,Maria Gerboth,Germany,66,2024,5,2002-06-19T00:00:00.000000,21.204654346338124,92,0,1300.0,1300.0,1300.0,1300.0
2023-09-02,Villach,Austria,L,,Individual Compact,0,Saturday 2.Sep 2023,10,Lisa-Marie Hirner,Austria,52,2024,5,2003-10-03T00:00:00.000000,19.915126625598905,78,0,1300.0,1298.1652173913044,1300.0,1298.1652173913044
2023-09-02,Villach,Austria,L,,Individual Compact,0,Saturday 2.Sep 2023,11,Daniela Dejori,Italy,37,2024,5,2002-08-01T00:00:00.000000,21.086926762491444,73,0,1300.0,1296.3304347826088,1300.0,1296.3304347826088
2023-09-02,Villach,Austria,L,,Individual Compact,0,Saturday 2.Sep 2023,12,Jonna Kil,Poland,68,2024,5,2000-07-09T00:00:00.000000,23.148528405201915,20,0,1300.0,1294.495652173913,1300.0,1294.495652173913
2023-09-02,Villach,Austria,L,,Individual Compact,0,Saturday 2.Sep 2023,13,Marie Nähring,Germany,33,2024,5,2003-09-26T00:00:00.000000,19.93429158110883,37,0,,,1300.0,1293.5782608695652
2023-09-02,Villach,Austria,L,,Individual Compact,0,Saturday 2.Sep 2023,14,Alexa Brabec,USA,81,2024,5,2004-10-08T00:00:00.000000,18.899383983572896,27,0,1300.0,1292.6608695652174,1300.0,1292.6608695652174
2023-09-02,Villach,Austria,L,,Individual Compact,0,Saturday 2.Sep 2023,15,Silva Verbič,Slovenia,40,2024,5,2002-03-31T00:00:00.000000,21.423682409308693,89,0,,,1300.0,1291.7434782608696
2023-09-02,Villach,Austria,L,,Individual Compact,0,Saturday 2.Sep 2023,16,Heta Hirvonen,Finland,218,2024,5,2008-10-16T00:00:00.000000,14.877481177275838,2,0,1300.0,1290.8260869565217,1300.0,1290.8260869565217
2023-09-02,Villach,Austria,L,,Individual Compact,0,Saturday 2.Sep 2023,17,Greta Pinzani,Italy,96,2024,5,2005-02-14T00:00:00.000000,18.546201232032853,58,0,1300.0,1288.9913043478261,1300.0,1288.9913043478261
2023-09-02,Villach,Austria,L,,Individual Compact,0,Saturday 2.Sep 2023,18,Teja Pavec,Slovenia,209,2024,5,2007-04-15T00:00:00.000000,16.383299110198493,17,0,1300.0,1287.1565217391305,1300.0,1287.1565217391305
2023-09-02,Villach,Austria,L,,Individual Compact,0,Saturday 2.Sep 2023,19,Clara Mentil,Austria,99,2024,5,2006-08-02T00:00:00.000000,17.084188911704313,32,0,,,1300.0,1286.2391304347825
2023-12-16,Ramsau,Austria,L,,Individual Compact,0,World Cup,1,Ida Marie Hagen,Norway,60,2024,14,2000-08-18T00:00:00.000000,23.326488706365502,48,0,1312.8434782608695,1327.8629800025794,1300.0,1327.8629800025794
2023-12-16,Ramsau,Austria,L,,Individual Compact,0,World Cup,2,Gyda Westvold Hansen,Norway,4,2024,14,2002-04-20T00:00:00.000000,21.65639972621492,75,0,,,1300.0,1314.7121581779666
2023-12-16,Ramsau,Austria,L,,Individual Compact,0,World Cup,3,Lisa-Marie Hirner,Austria,52,2024,14,2003-10-03T00:00:00.000000,20.202600958247775,84,0,1298.1652173913044,1312.0471652473766,1300.0,1312.0471652473766
2023-12-16,Ramsau,Austria,L,,Individual Compact,0,World Cup,4,Haruka Kasai,Japan,88,2024,14,2004-02-04T00:00:00.000000,19.863107460643395,24,0,,,1300.0,1312.877375569271
2023-12-16,Ramsau,Austria,L,,Individual Compact,0,World Cup,5,Minja Korhonen,Finland,200,2024,14,2007-05-19T00:00:00.000000,16.577686516084874,21,0,1307.3391304347826,1318.950420475858,1300.0,1318.950420475858
2023-12-16,Ramsau,Austria,L,,Individual Compact,0,World Cup,6,Nathalie Armbruster,Germany,168,2024,14,2006-01-02T00:00:00.000000,17.95208761122519,40,0,1309.1739130434783,1318.8632786319995,1300.0,1318.8632786319995
2023-12-16,Ramsau,Austria,L,,Individual Compact,0,World Cup,7,Mari Leinan Lund,Norway,8,2024,14,1999-05-28T00:00:00.000000,24.553045859000683,40,0,,,1300.0,1309.2078103518797
2023-12-16,Ramsau,Austria,L,,Individual Compact,0,World Cup,8,Annika Malacinski,USA,61,2024,14,2001-05-09T00:00:00.000000,22.60369609856263,61,0,1300.0,1308.290419047532,1300.0,1308.290419047532
2023-12-16,Ramsau,Austria,L,,Individual Compact,0,World Cup,9,Jenny Nowak,Germany,25,2024,14,2002-08-20T00:00:00.000000,21.322381930184804,107,0,1305.504347826087,1311.6984494249364,1300.0,1311.6984494249364
