Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo,pred_Pelo,pred_Elo
2019-03-09,Nizhniy Tagil,Russia,L,5,Mass Start,1,Saturday 9.Mar 2019,1,Tara Geraghty-Moats,USA,58,2019,26,1993-04-12T00:00:00.000000,25.90554414784394,11,0,1300.0,1312.5,1300.0,1312.5
2019-03-09,Nizhniy Tagil,Russia,L,5,Mass Start,1,Saturday 9.Mar 2019,2,Jenny Nowak,Germany,25,2019,26,2002-08-20T00:00:00.000000,16.550308008213552,38,0,1300.0,1307.5,1300.0,1307.5
2019-03-09,Nizhniy Tagil,Russia,L,5,Mass Start,1,Saturday 9.Mar 2019,3,Gyda Westvold Hansen,Norway,4,2019,26,2002-04-20T00:00:00.000000,16.88432580424367,19,0,,,1300.0,1305.0
2019-03-09,Nizhniy Tagil,Russia,L,5,Mass Start,1,Saturday 9.Mar 2019,4,Veronica Gianmoena,Italy,29,2019,26,1995-10-25T00:00:00.000000,23.370294318959616,13,0,1300.0,1302.5,1300.0,1302.5
2019-03-09,Nizhniy Tagil,Russia,L,5,Mass Start,1,Saturday 9.Mar 2019,5,Lisa-Marie Hirner,Austria,52,2019,26,2003-10-03T00:00:00.000000,15.430527036276523,21,0,1300.0,1297.5,1300.0,1297.5
2019-03-09,Nizhniy Tagil,Russia,L,5,Mass Start,1,Saturday 9.Mar 2019,6,Maria Gerboth,Germany,66,2019,26,2002-06-19T00:00:00.000000,16.720054757015742,24,0,,,1300.0,1295.0
2019-03-09,Nizhniy Tagil,Russia,L,5,Mass Start,1,Saturday 9.Mar 2019,7,Anastasia Goncharova,Russia,45,2019,26,1999-10-10T00:00:00.000000,19.411362080766597,12,0,,,1300.0,1295.0
2019-03-09,Nizhniy Tagil,Russia,L,5,Mass Start,1,Saturday 9.Mar 2019,8,Hanna Midtsundstad,Norway,3,2019,26,1999-09-22T00:00:00.000000,19.460643394934976,12,0,1300.0,1292.5,1300.0,1292.5
2019-03-09,Nizhniy Tagil,Russia,L,5,Mass Start,1,Saturday 9.Mar 2019,9,Sophia Maurus,Germany,23,2019,26,2001-11-30T00:00:00.000000,17.270362765229294,32,0,,,1300.0,1290.0
2019-03-09,Nizhniy Tagil,Russia,L,5,Mass Start,1,Saturday 9.Mar 2019,10,Marte Leinan Lund,Norway,7,2019,26,2001-04-01T00:00:00.000000,17.935660506502394,11,0,1300.0,1287.5,1300.0,1287.5
2019-03-09,Nizhniy Tagil,Russia,L,5,Mass Start,1,Saturday 9.Mar 2019,11,Svetlana Gladikova,Russia,24,2019,26,1992-05-25T00:00:00.000000,26.78713210130048,9,0,,,1300.0,1285.0
2019-03-09,Nizhniy Tagil,Russia,L,5,Mass Start,1,Saturday 9.Mar 2019,12,Chulpan Valieva,Russia,73,2019,26,2001-01-27T00:00:00.000000,18.11088295687885,1,0,,,1300.0,1285.0
2019-03-09,Nizhniy Tagil,Russia,L,5,Mass Start,1,Saturday 9.Mar 2019,13,Alexandra Glazunova,Russia,50,2019,26,2000-04-27T00:00:00.000000,18.863791923340177,6,0,,,1300.0,1285.0
2019-03-09,Nizhniy Tagil,Russia,L,5,Mass Start,1,Saturday 9.Mar 2019,14,Anna Aleksandrova,Russia,57,2019,26,2001-03-02T00:00:00.000000,18.017796030116358,7,0,,,1300.0,1285.0
2019-03-09,Nizhniy Tagil,Russia,L,5,Mass Start,1,Saturday 9.Mar 2019,15,Sofia Kuznetcova,Russia,74,2019,26,2000-09-23T00:00:00.000000,18.455852156057496,3,0,,,1300.0,1285.0
2019-03-09,Nizhniy Tagil,Russia,L,5,Mass Start,1,Saturday 9.Mar 2019,16,Diana Fazlinurova,Russia,75,2019,26,1997-12-04T00:00:00.000000,21.259411362080765,1,0,,,1300.0,1285.0
2019-03-09,Nizhniy Tagil,Russia,L,5,Mass Start,1,Saturday 9.Mar 2019,17,Ekaterina Tikhonova,Russia,54,2019,26,1998-02-21T00:00:00.000000,21.04312114989733,3,0,,,1300.0,1285.0
