Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo,pred_Pelo,pred_Elo
2023-02-18,Rena,Norway,L,1,Sprint,0,Saturday 18.Feb 2023,1,Trine Göpfert,Germany,107,2023,29,2005-06-19T00:00:00.000000,17.66735112936345,21,0,,,1300.0,1300.0
2023-02-18,Rena,Norway,L,1,Sprint,0,Saturday 18.Feb 2023,2,Daniela Dejori,Italy,37,2023,29,2002-08-01T00:00:00.000000,20.550308008213552,68,0,,,1300.0,1300.0
2023-02-18,Rena,Norway,L,1,Sprint,0,Saturday 18.Feb 2023,3,Veronica Gianmoena,Italy,29,2023,29,1995-10-25T00:00:00.000000,27.318275154004105,56,0,,,1300.0,1300.0
2023-02-18,Rena,Norway,L,1,Sprint,0,Saturday 18.Feb 2023,4,Jonna Kil,Poland,68,2023,29,2000-07-09T00:00:00.000000,22.611909650924023,13,0,,,1300.0,1300.0
2023-02-18,Rena,Norway,L,1,Sprint,0,Saturday 18.Feb 2023,4,Annika Malacinski,USA,61,2023,29,2001-05-09T00:00:00.000000,21.779603011635867,47,0,,,1300.0,1300.0
2023-02-18,Rena,Norway,L,1,Sprint,0,Saturday 18.Feb 2023,6,Kjersti Græsli,Norway,202,2023,29,2007-12-01T00:00:00.000000,15.216974674880218,4,0,,,1300.0,1300.0
2023-02-18,Rena,Norway,L,1,Sprint,0,Saturday 18.Feb 2023,7,Sophia Maurus,Germany,23,2023,29,2001-11-30T00:00:00.000000,21.218343600273784,85,0,,,1300.0,1300.0
2023-02-18,Rena,Norway,L,1,Sprint,0,Saturday 18.Feb 2023,8,Ingvild Synnøve Midtskogen,Norway,203,2023,29,2007-12-21T00:00:00.000000,15.162217659137577,3,0,,,1300.0,1300.0
2023-02-18,Rena,Norway,L,1,Sprint,0,Saturday 18.Feb 2023,9,Ingrid Låte,Norway,201,2023,29,2007-07-23T00:00:00.000000,15.575633127994523,5,0,,,1300.0,1300.0
2023-02-18,Rena,Norway,L,1,Sprint,0,Saturday 18.Feb 2023,10,Hanna Midtsundstad,Norway,3,2023,29,1999-09-22T00:00:00.000000,23.408624229979466,34,0,,,1300.0,1300.0
2023-02-18,Rena,Norway,L,1,Sprint,0,Saturday 18.Feb 2023,11,Giada Delugan,Italy,184,2023,29,2006-01-01T00:00:00.000000,17.130732375085557,16,0,,,1300.0,1300.0
2023-02-18,Rena,Norway,L,1,Sprint,0,Saturday 18.Feb 2023,12,Eva Hubinger,Austria,59,2023,29,1993-05-03T00:00:00.000000,29.796030116358658,21,0,,,1300.0,1300.0
2023-02-18,Rena,Norway,L,1,Sprint,0,Saturday 18.Feb 2023,13,Thea Øihaugen,Norway,6,2023,29,2001-05-11T00:00:00.000000,21.7741273100616,36,0,,,1300.0,1300.0
2023-02-18,Rena,Norway,L,1,Sprint,0,Saturday 18.Feb 2023,14,Alexa Brabec,USA,81,2023,29,2004-10-08T00:00:00.000000,18.362765229295004,19,0,,,1300.0,1300.0
2023-02-18,Rena,Norway,L,1,Sprint,0,Saturday 18.Feb 2023,15,Lily Grossmann,Germany,176,2023,29,2005-01-01T00:00:00.000000,18.130047912388775,5,0,,,1300.0,1300.0
2023-02-18,Rena,Norway,L,1,Sprint,0,Saturday 18.Feb 2023,16,Laura Pletz,Austria,95,2023,29,2005-07-14T00:00:00.000000,17.598904859685145,39,0,,,1300.0,1300.0
2023-02-18,Rena,Norway,L,1,Sprint,0,Saturday 18.Feb 2023,17,Anja Rathgeb,Austria,104,2023,29,2005-04-25T00:00:00.000000,17.817932922655714,32,0,,,1300.0,1300.0
2023-02-18,Rena,Norway,L,1,Sprint,0,Saturday 18.Feb 2023,18,Tess Arnone,USA,36,2023,29,2003-10-13T00:00:00.000000,19.35112936344969,31,0,,,1300.0,1300.0
2023-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Veronica Gianmoena,Italy,29,2023,0,1995-10-25T00:00:00.000000,27.318275154004105,56,0,,,1300.0,1300.0
2023-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Giada Delugan,Italy,184,2023,0,2006-01-01T00:00:00.000000,17.130732375085557,16,0,,,1300.0,1300.0
2023-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Daniela Dejori,Italy,37,2023,0,2002-08-01T00:00:00.000000,20.550308008213552,68,0,,,1300.0,1300.0
2023-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Thea Øihaugen,Norway,6,2023,0,2001-05-11T00:00:00.000000,21.7741273100616,36,0,,,1300.0,1300.0
2023-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Ingvild Synnøve Midtskogen,Norway,203,2023,0,2007-12-21T00:00:00.000000,15.162217659137577,3,0,,,1300.0,1300.0
2023-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Annika Malacinski,USA,61,2023,0,2001-05-09T00:00:00.000000,21.779603011635867,47,0,,,1300.0,1300.0
2023-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Alexa Brabec,USA,81,2023,0,2004-10-08T00:00:00.000000,18.362765229295004,19,0,,,1300.0,1300.0
2023-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Eva Hubinger,Austria,59,2023,0,1993-05-03T00:00:00.000000,29.796030116358658,21,0,,,1300.0,1300.0
2023-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Hanna Midtsundstad,Norway,3,2023,0,1999-09-22T00:00:00.000000,23.408624229979466,34,0,,,1300.0,1300.0
2023-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Laura Pletz,Austria,95,2023,0,2005-07-14T00:00:00.000000,17.598904859685145,39,0,,,1300.0,1300.0
2023-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Tess Arnone,USA,36,2023,0,2003-10-13T00:00:00.000000,19.35112936344969,31,0,,,1300.0,1300.0
2023-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Trine Göpfert,Germany,107,2023,0,2005-06-19T00:00:00.000000,17.66735112936345,21,0,,,1300.0,1300.0
2023-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Sophia Maurus,Germany,23,2023,0,2001-11-30T00:00:00.000000,21.218343600273784,85,0,,,1300.0,1300.0
2023-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Anja Rathgeb,Austria,104,2023,0,2005-04-25T00:00:00.000000,17.817932922655714,32,0,,,1300.0,1300.0
2023-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Jonna Kil,Poland,68,2023,0,2000-07-09T00:00:00.000000,22.611909650924023,13,0,,,1300.0,1300.0
2023-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Ingrid Låte,Norway,201,2023,0,2007-07-23T00:00:00.000000,15.575633127994523,5,0,,,1300.0,1300.0
2023-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Kjersti Græsli,Norway,202,2023,0,2007-12-01T00:00:00.000000,15.216974674880218,4,0,,,1300.0,1300.0
2023-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Lily Grossmann,Germany,176,2023,0,2005-01-01T00:00:00.000000,18.130047912388775,5,0,,,1300.0,1300.0
2024-12-21,Seefeld,Austria,L,5,Sprint,0,Saturday 21.Dec 2024,1,Tia Malovrh,Slovenia,221,2025,13,2008-07-16T00:00:00.000000,16.432580424366872,24,0,,,1300.0,1300.0
2024-12-21,Seefeld,Austria,L,5,Sprint,0,Saturday 21.Dec 2024,2,Masa Likozar Brankovic,Slovenia,243,2025,13,2009-04-13T00:00:00.000000,15.690622861054072,4,0,,,1300.0,1300.0
2024-12-21,Seefeld,Austria,L,5,Sprint,0,Saturday 21.Dec 2024,3,Maja Loh,Germany,215,2025,13,2007-04-18T00:00:00.000000,17.678302532511978,18,0,,,1300.0,1300.0
2024-12-21,Seefeld,Austria,L,5,Sprint,0,Saturday 21.Dec 2024,4,Magdalena Burger,Germany,108,2025,13,2005-11-05T00:00:00.000000,19.12662559890486,52,0,,,1300.0,1300.0
2024-12-21,Seefeld,Austria,L,5,Sprint,0,Saturday 21.Dec 2024,5,Anne Häckel,Germany,110,2025,13,2005-01-10T00:00:00.000000,19.94524298425736,48,0,,,1300.0,1300.0
2024-12-21,Seefeld,Austria,L,5,Sprint,0,Saturday 21.Dec 2024,6,Marion Droz Vincent,France,229,2025,13,2008-01-08T00:00:00.000000,16.95277207392197,13,0,,,1300.0,1300.0
2024-12-21,Seefeld,Austria,L,5,Sprint,0,Saturday 21.Dec 2024,7,Sofia Eggensberger,Germany,213,2025,13,2007-08-24T00:00:00.000000,17.32785763175907,28,0,,,1300.0,1300.0
2024-12-21,Seefeld,Austria,L,5,Sprint,0,Saturday 21.Dec 2024,8,Fabienne Klumpf,Germany,220,2025,13,2008-12-01T00:00:00.000000,16.05475701574264,17,0,,,1300.0,1300.0
2024-12-21,Seefeld,Austria,L,5,Sprint,0,Saturday 21.Dec 2024,9,Anna Senoner,Italy,208,2025,13,2007-11-14T00:00:00.000000,17.103353867214235,33,0,,,1300.0,1300.0
2024-12-21,Seefeld,Austria,L,5,Sprint,0,Saturday 21.Dec 2024,10,Romane Baud,France,206,2025,13,2006-09-23T00:00:00.000000,18.245037645448324,26,0,,,1300.0,1300.0
2024-12-21,Seefeld,Austria,L,5,Sprint,0,Saturday 21.Dec 2024,11,Anja Rathgeb,Austria,104,2025,13,2005-04-25T00:00:00.000000,19.657768651608485,46,0,,,1300.0,1300.0
2024-12-21,Seefeld,Austria,L,5,Sprint,0,Saturday 21.Dec 2024,12,Giulia Belz,Switzerland,228,2025,13,2008-04-12T00:00:00.000000,16.692676249144423,13,0,,,1300.0,1300.0
2024-12-21,Seefeld,Austria,L,5,Sprint,0,Saturday 21.Dec 2024,13,Ludovica Del Bianco,Italy,224,2025,13,2008-03-31T00:00:00.000000,16.725530458590008,12,0,,,1300.0,1300.0
2024-12-21,Seefeld,Austria,L,5,Sprint,0,Saturday 21.Dec 2024,14,Julia Schmidt,Austria,214,2025,13,2007-06-12T00:00:00.000000,17.527720739219713,27,0,,,1300.0,1300.0
2024-12-21,Seefeld,Austria,L,5,Sprint,0,Saturday 21.Dec 2024,15,Clara Mentil,Austria,99,2025,13,2006-08-02T00:00:00.000000,18.38740588637919,45,0,,,1300.0,1300.0
2024-12-21,Seefeld,Austria,L,5,Sprint,0,Saturday 21.Dec 2024,16,Amelie Steiner,Germany,197,2025,13,2005-11-09T00:00:00.000000,19.11567419575633,22,0,,,1300.0,1300.0
2024-12-21,Seefeld,Austria,L,5,Sprint,0,Saturday 21.Dec 2024,17,Oriane Didier,France,170,2025,13,2005-08-28T00:00:00.000000,19.315537303216974,12,0,,,1300.0,1300.0
2024-12-21,Seefeld,Austria,L,5,Sprint,0,Saturday 21.Dec 2024,18,Anaelle Paris,France,217,2025,13,2007-01-16T00:00:00.000000,17.930184804928132,17,0,,,1300.0,1300.0
2024-12-21,Seefeld,Austria,L,5,Sprint,0,Saturday 21.Dec 2024,19,Manca Kobentar,Slovenia,222,2025,13,2008-05-17T00:00:00.000000,16.596851471594796,15,0,,,1300.0,1300.0
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Tia Malovrh,Slovenia,221,2025,0,2008-07-16T00:00:00.000000,16.432580424366872,24,0,,,1300.0,1300.0
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Anne Häckel,Germany,110,2025,0,2005-01-10T00:00:00.000000,19.94524298425736,48,0,,,1300.0,1300.0
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Oriane Didier,France,170,2025,0,2005-08-28T00:00:00.000000,19.315537303216974,12,0,,,1300.0,1300.0
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Giulia Belz,Switzerland,228,2025,0,2008-04-12T00:00:00.000000,16.692676249144423,13,0,,,1300.0,1300.0
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Clara Mentil,Austria,99,2025,0,2006-08-02T00:00:00.000000,18.38740588637919,45,0,,,1300.0,1300.0
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Fabienne Klumpf,Germany,220,2025,0,2008-12-01T00:00:00.000000,16.05475701574264,17,0,,,1300.0,1300.0
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Sofia Eggensberger,Germany,213,2025,0,2007-08-24T00:00:00.000000,17.32785763175907,28,0,,,1300.0,1300.0
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Masa Likozar Brankovic,Slovenia,243,2025,0,2009-04-13T00:00:00.000000,15.690622861054072,4,0,,,1300.0,1300.0
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Julia Schmidt,Austria,214,2025,0,2007-06-12T00:00:00.000000,17.527720739219713,27,0,,,1300.0,1300.0
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Anaelle Paris,France,217,2025,0,2007-01-16T00:00:00.000000,17.930184804928132,17,0,,,1300.0,1300.0
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Magdalena Burger,Germany,108,2025,0,2005-11-05T00:00:00.000000,19.12662559890486,52,0,,,1300.0,1300.0
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Ludovica Del Bianco,Italy,224,2025,0,2008-03-31T00:00:00.000000,16.725530458590008,12,0,,,1300.0,1300.0
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Marion Droz Vincent,France,229,2025,0,2008-01-08T00:00:00.000000,16.95277207392197,13,0,,,1300.0,1300.0
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Anna Senoner,Italy,208,2025,0,2007-11-14T00:00:00.000000,17.103353867214235,33,0,,,1300.0,1300.0
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Amelie Steiner,Germany,197,2025,0,2005-11-09T00:00:00.000000,19.11567419575633,22,0,,,1300.0,1300.0
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Anja Rathgeb,Austria,104,2025,0,2005-04-25T00:00:00.000000,19.657768651608485,46,0,,,1300.0,1300.0
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Manca Kobentar,Slovenia,222,2025,0,2008-05-17T00:00:00.000000,16.596851471594796,15,0,,,1300.0,1300.0
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Maja Loh,Germany,215,2025,0,2007-04-18T00:00:00.000000,17.678302532511978,18,0,,,1300.0,1300.0
2025-05-01,Summer,Break,L,0,Offseason,0,Offseason,0,Romane Baud,France,206,2025,0,2006-09-23T00:00:00.000000,18.245037645448324,26,0,,,1300.0,1300.0
