Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo,pred_Pelo,pred_Elo
2023-09-02,Villach,Austria,M,,Individual Compact,0,Saturday 2.Sep 2023,1,Johannes Rydzek,Germany,14,2024,3,1991-12-09T00:00:00.000000,31.731690622861052,390,0,1300.0,1342.9540229885058,1300.0,1342.9540229885058
2023-09-02,Villach,Austria,M,,Individual Compact,0,Saturday 2.Sep 2023,2,Terence Weber,Germany,1137,2024,3,1996-09-24T00:00:00.000000,26.937713894592743,245,0,1300.0,1340.632183908046,1300.0,1340.632183908046
2023-09-02,Villach,Austria,M,,Individual Compact,0,Saturday 2.Sep 2023,3,Johannes Lamparter,Austria,1469,2024,3,2001-11-08T00:00:00.000000,21.815195071868583,138,0,1300.0,1338.3103448275863,1300.0,1338.3103448275863
2023-09-02,Villach,Austria,M,,Individual Compact,0,Saturday 2.Sep 2023,4,Laurent Muhlethaler,France,1146,2024,3,1997-09-27T00:00:00.000000,25.930184804928132,235,0,1300.0,1335.9885057471265,1300.0,1335.9885057471265
2023-09-02,Villach,Austria,M,,Individual Compact,0,Saturday 2.Sep 2023,5,David Mach,Germany,1468,2024,3,2000-05-14T00:00:00.000000,23.301848049281315,156,0,1300.0,1333.6666666666667,1300.0,1333.6666666666667
2023-09-02,Villach,Austria,M,,Individual Compact,0,Saturday 2.Sep 2023,6,Franz-Josef Rehrl,Austria,72,2024,3,1993-03-15T00:00:00.000000,30.466803559206024,281,0,1300.0,1331.344827586207,1300.0,1331.344827586207
2023-09-02,Villach,Austria,M,,Individual Compact,0,Saturday 2.Sep 2023,7,Martin Fritz,Austria,1090,2024,3,1994-10-24T00:00:00.000000,28.856947296372347,280,0,1300.0,1329.0229885057472,1300.0,1329.0229885057472
2023-09-02,Villach,Austria,M,,Individual Compact,0,Saturday 2.Sep 2023,8,Fabio Obermeyr,Austria,1777,2024,3,2000-08-08T00:00:00.000000,23.06639288158795,115,0,1300.0,1326.7011494252874,1300.0,1326.7011494252874
2023-09-02,Villach,Austria,M,,Individual Compact,0,Saturday 2.Sep 2023,9,Eero Hirvonen,Finland,1155,2024,3,1996-01-30T00:00:00.000000,27.589322381930184,192,0,1300.0,1324.3793103448277,1300.0,1324.3793103448277
2023-09-02,Villach,Austria,M,,Individual Compact,0,Saturday 2.Sep 2023,10,Matteo Baud,France,1765,2024,3,2002-06-26T00:00:00.000000,21.1854893908282,122,0,1300.0,1322.057471264368,1300.0,1322.057471264368
2023-09-02,Villach,Austria,M,,Individual Compact,0,Saturday 2.Sep 2023,11,Samuel Costa,Italy,84,2024,3,1992-11-30T00:00:00.000000,30.754277891854894,293,0,1300.0,1319.7356321839081,1300.0,1319.7356321839081
