Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo,pred_Pelo,pred_Elo
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,1,Bjarte Engen Vik,Norway,294,2000,14,1971-03-03T00:00:00.000000,28.843258042436688,92,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,2,Samppa Lajunen,Finland,244,2000,14,1979-04-23T00:00:00.000000,20.70362765229295,51,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,3,Mario Stecher,Austria,16,2000,14,1971-12-04T00:00:00.000000,28.087611225188226,68,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,4,Kenji Ogiwara,Japan,272,2000,14,1969-12-20T00:00:00.000000,30.042436687200546,96,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,5,Ladislav Rygl,Czechia,214,2000,14,1976-05-15T00:00:00.000000,23.641341546885695,50,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,6,Ronny Ackermann,Germany,142,2000,14,1973-12-03T00:00:00.000000,26.088980150581794,31,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,7,Jari Mantila,Finland,270,2000,14,1971-07-14T00:00:00.000000,28.479123887748116,76,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,8,Satoshi Mori,Japan,254,2000,14,1971-05-19T00:00:00.000000,28.632443531827516,31,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,9,Jaakko Tallus,Finland,141,2000,14,1975-03-08T00:00:00.000000,24.829568788501025,15,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,10,Ludovic Roux,France,222,2000,14,1979-04-04T00:00:00.000000,20.75564681724846,35,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,11,Alexej Fadejev,Russia,282,2000,14,1977-12-10T00:00:00.000000,22.069815195071868,24,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,12,Daito Takahashi,Japan,67,2000,14,1980-12-16T00:00:00.000000,19.052703627652292,7,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,13,Felix Gottwald,Austria,104,2000,14,1976-01-13T00:00:00.000000,23.978097193702943,70,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,14,Halldor Skard,Norway,292,2000,14,1973-04-11T00:00:00.000000,26.73511293634497,50,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,15,Kristian Hammer,Norway,167,2000,14,1976-03-20T00:00:00.000000,23.79466119096509,34,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,16,Nicolas Bal,France,206,2000,14,1978-06-02T00:00:00.000000,21.593429158110883,29,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,17,Kenneth Braaten,Norway,234,2000,14,1974-09-24T00:00:00.000000,25.281314168377822,31,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,18,Todd Lodwick,USA,53,2000,14,1976-11-21T00:00:00.000000,23.121149897330596,58,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,19,Sebastian Haseney,Germany,123,2000,14,1978-08-27T00:00:00.000000,21.357973990417523,17,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,20,Baptist Rousset,France,314,2000,14,1979-05-25T00:00:00.000000,20.61601642710472,7,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,21,Bill Demong,USA,21,2000,14,1980-03-29T00:00:00.000000,19.770020533880903,12,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,22,David Kreiner,Austria,43,2000,14,1981-03-08T00:00:00.000000,18.82819986310746,18,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,23,Milan Kučera,Czechia,284,2000,14,1974-06-18T00:00:00.000000,25.54962354551677,54,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,24,Fred Børre Lundberg,Norway,318,2000,14,1969-12-25T00:00:00.000000,30.028747433264886,101,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,25,Hannu Manninen,Finland,110,2000,14,1978-04-17T00:00:00.000000,21.71937029431896,62,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,26,Knut Tore Apeland,Norway,312,2000,14,1968-12-11T00:00:00.000000,31.06639288158795,103,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,27,Takanori Hagiwara,Japan,291,2000,14,1973-11-17T00:00:00.000000,26.132785763175907,3,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,28,Walerij Stoljarov,Russia,300,2000,14,1971-01-18T00:00:00.000000,28.9637234770705,31,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,28,Andreas Hartmann,Switzerland,228,2000,14,1980-01-29T00:00:00.000000,19.93429158110883,37,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,30,Trond Einar Elden,Norway,313,2000,14,1970-02-21T00:00:00.000000,29.869952087611225,100,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,31,Kouji Takasawa,Japan,288,2000,14,1974-08-13T00:00:00.000000,25.39630390143737,15,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,32,Sylvain Guillaume,France,274,2000,14,1968-07-06T00:00:00.000000,31.498973305954824,69,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,33,Andrea Longo,Italy,265,2000,14,1971-11-16T00:00:00.000000,28.136892539356605,46,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,34,Ivan Rieder,Switzerland,198,2000,14,1976-08-26T00:00:00.000000,23.359342915811087,9,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,35,Gen Tomii,Japan,252,2000,14,1973-05-30T00:00:00.000000,26.600958247775495,18,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,36,Michael Gruber,Austria,168,2000,14,1979-12-05T00:00:00.000000,20.084873374401095,13,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,37,Jens Deimel,Germany,273,2000,14,1972-09-14T00:00:00.000000,27.307323750855577,56,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,38,Preben Fjære Brynemo,Norway,255,2000,14,1977-08-14T00:00:00.000000,22.392881587953458,11,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,39,Sven Koch,Germany,310,2000,14,1973-12-03T00:00:00.000000,26.088980150581794,23,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,40,Marko Baacke,Germany,251,2000,14,1980-02-10T00:00:00.000000,19.901437371663246,5,0,,,1300.0,1300.0
2000-01-05,Reit im Winkl,Germany,M,10,Mass Start,1,World Cup,41,Antti Kuisma,Finland,170,2000,14,1978-02-23T00:00:00.000000,21.864476386036962,4,0,,,1300.0,1300.0
