City,Country,Coordinates,Elevation
Oberwiesenthal,Germany,"50.42309882259365, 12.960079999736534",1028
Reit im Winkl,Germany,"47.66644249906154, 12.481587674358371",692
Schonach,Germany,"48.13539832026372, 8.202677457671859",939
Salt Lake City UT,USA,"40.70954173453475, -111.559376",2143
Lahti,Finland,"60.98329248429445, 25.631389769417588",86
Trondheim,Norway,"63.37665642352916, 10.306734626896596",235
Holmenkollen,Norway,"59.96441152004346, 10.67097503813059",340
Harrachov,Czechia,"50.76625378763352, 15.428228711385307",831
Oberhof,Germany,"50.69781959163366, 10.680174440205978",728
Val di Fiemme,Italy,"46.328475859580976, 11.60322008446853",1082
Kuusamo,Finland,"66.17049534239847, 29.146676915127593",388
Seefeld,Austria,"47.321918029474595, 11.176085600861992",1203
Sapporo,Japan,"43.051149319310696, 141.29048501814697",171
Oberstdorf,Germany,"47.40459989531029, 10.29526300226987",932
Liberec,Czechia,"50.73196437243107, 14.995304999721828",744
Pragelato,Italy,"45.00744690030712, 6.9401665922800655",1563
Lillehammer,Norway,"61.12498147445702, 10.48571558455765",323
Ramsau,Austria,"47.41770193996606, 13.655252131909668",1106
Ruhpolding,Germany,"47.71313247085665, 12.644305999703102",763
Zakopane,Poland,"49.280174810451456, 19.967902269723783",908
Klingenthal,Germany,"50.38519861685424, 12.45003844149004",645
Whistler,Canada,"50.13925698250008, -123.1140650049844",845
Vikersund,Norway,"59.93700312389822, 10.00538462675835",237
Chaux-Neuve,France,"46.67027053461687, 6.137501542123266",1098
Almaty,Kazakhstan,"43.213436548138816, 76.93294499982214",915
Sochi,Russia,"43.67503307865269, 40.24019145764839",686
Falun,Sweden,"60.620740849777846, 15.663019169312566",204
Kuopio,Finland,"62.90911565784506, 27.652104457527678",206
PyeongChang,South Korea,"37.66185782543184, 128.67991845767187",805
Hakuba,Japan,"36.69527221856287, 137.8375943581144",771
Lake Placid NY,USA,"44.2554238438226, -73.96592925396885",550
St. Moritz,Switzerland,"46.4743233323989, 9.825119169312568",1812
Johannisbad,Czechia,"50.62912741711658, 15.778514542208857",676
Cortina d'Ampezza,Italy,"46.51088129171841, 12.146229542104543",1172
Chaikovsky,Russia,"56.73845261234112, 54.045806253968856",189
Otepää,Estonia,"58.04930007129377, 26.51959812396463",139
Chamonix,France,"45.898712603702755, 6.841671025816254",1106
Saalfelden,Austria,"47.43430225060009, 12.814628525454077",728
Strbske Pleso,Slovakia,"49.12812612376792, 20.055943169312567",1443
Vuokatti,Finland,"64.12960095583905, 28.268653999705784",267
Murau,Austria,"47.10711725591836, 14.158373740237927",924
Rovaniemi,Finland,"66.5058212078332, 25.781370635335218",133
Steamboat Springs CO,USA,"40.482085679104046, -106.84041183068743",2054
Nagano,Japan,"36.69527221856287, 137.8375943581144",771
Breitenwang,Austria,"47.47078473836805, 10.737795084328113",958
Nozawa Onsen,Japan,"36.91731604419095, 138.44978345739526",625
Santa Caterina,Italy,"46.41102698743546, 10.497840540643274",1731
Nayoro,Japan,"44.39770766576093, 142.51111283054806",248
Taizicheng,China,"40.90825427170903, 115.46753114252623",1636
Planica,Slovenia,"46.47838654016881, 13.719896373015574",972
Calgary,Canada,"51.07764616628422, -114.21267127146182",1203
Bad Goisern,Austria,"47.624323359746086, 13.604302679506604",632
Thunder Bay,Canada,"48.283975924240615, -89.38552736469053",381
Solleftea,Sweden,"63.15834626467733, 17.248536253968847",109
Vysoke Tatra,Slovakia,"49.16051425673266, 20.270408084656285",878
Albertville,France,"45.432182542667334, 6.61716252573286",1265
Courchevel,France,"45.432182542667334, 6.61716252573286",1265
St. Petersburg,Russia,"60.16528072638252, 30.54689945767184",110
Örnsköldsvik,Sweden,"63.289237224742, 18.701316830687432",20
Autrans,France,"45.169650436066924, 5.546913999764627",1139
Tarvisio,Italy,"46.49918992678128, 13.591429084448464",721
Le Brassus,Switzerland,"46.585444241793525, 6.22179",1118
Canmore,Canada,"51.07764616628422, -114.21267127146182",1203
Sarajevo,Bosnia and Herzegovina,"43.768324810814214, 18.246260906457362",1230
Innsbruck,Austria,"47.24749146231524, 11.399780092946164",727
Grenoble,France,"45.16579087111661, 5.636131635285741",1158
Squaw Valley CA,USA,"39.194993518789055, -120.23124083068743",1892
Garmisch,Germany,"47.48138809563866, 11.117482605615876",734
Bad Mitterndorf,Austria,"47.547929317133715, 13.993352898153463",835
