Skier,ID,Nation,Ranking,Points,Wins
Ida Marie Hagen,60,Norway,1,1270,10
Alexa Brabec,81,USA,2,1045,1
Minja Korhonen,200,Finland,3,917,1
Nathalie Armbruster,168,Germany,4,840,0
Yuna Kasai,161,Japan,5,718,0
Katharina Gruber,219,Austria,6,668,1
Marte Leinan Lund,7,Norway,7,650,0
Ema Volavsek,49,Slovenia,8,585,0
Jenny Nowak,25,Germany,9,536,0
Annika Malacinski,61,USA,10,498,0
Tara Geraghty-Moats,58,USA,11,491,0
Lisa-Marie Hirner,52,Austria,12,484,0
Yuzuki Kainuma,239,Japan,13,442,0
Léna Brocard,53,France,14,384,0
Ingrid Låte,201,Norway,15,377,0
Claudia Purker,177,Austria,16,368,0
Heta Hirvonen,218,Finland,17,345,0
Trine Göpfert,107,Germany,18,329,0
Mille Marie Hagen,180,Norway,19,318,0
Ronja Loh,171,Germany,20,288,0
Jonna Kil,68,Poland,21,271,0
Teja Pavec,209,Slovenia,22,259,0
Veronica Gianmoena,29,Italy,23,245,0
Daniela Dejori,37,Italy,24,237,0
Hanna Midtsundstad,3,Norway,25,233,0
Annalena Slamik,41,Austria,26,228,0
Greta Pinzani,96,Italy,27,192,0
Romane Baud,206,France,28,154,0
Anna Kerko,211,Finland,29,127,0
Tia Malovrh,221,Slovenia,30,122,0
Silva Verbič,40,Slovenia,31,85,0
Nora Helene Evans,231,Norway,32,83,0
Tereza Koldovska,89,Czechia,33,78,0
Jolana Hradilova,87,Czechia,34,77,0
Sofia Eggensberger,213,Germany,35,67,0
Maja Loh,215,Germany,36,64,0
Anna-Sophie Gredler,223,Austria,37,63,0
Masa Likozar Brankovic,243,Slovenia,38,54,0
Karina Kozlova,246,Ukraine,39,29,0
Marion Droz Vincent,229,France,40,28,0
Lily Grossmann,176,Germany,41,24,0
Ingrid Græsli,248,Norway,42,16,0
