Elo,Individual_Elo,IndividualCompact_Elo,Sprint_Elo,MassStart_Elo,Pelo,Individual_Pelo,IndividualCompact_Pelo,Sprint_Pelo,MassStart_Pelo,Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg
1328.0,,1328.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,1,Johannes Lamparter,Austria,1469,2026,1,2001-11-08T00:00:00.000000,24.05475701574264,1,0
1327.0,,1327.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,2,Julian Schmid,Germany,1348,2026,1,1999-09-01T00:00:00.000000,26.24229979466119,1,0
1326.0,,1326.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,3,Ilkka Herola,Finland,97,2026,1,1995-06-22T00:00:00.000000,30.43668720054757,1,0
1325.0,,1325.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,4,Kristjan Ilves,Estonia,403,2026,1,1996-06-10T00:00:00.000000,29.467488021902806,1,0
1324.0,,1324.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,5,Jens Lurås Oftebro,Norway,1329,2026,1,2000-07-21T00:00:00.000000,25.35523613963039,1,0
1323.0,,1323.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,6,Franz-Josef Rehrl,Austria,72,2026,1,1993-03-15T00:00:00.000000,32.70636550308008,1,0
1322.0,,1322.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,7,Thomas Rettenegger,Austria,1467,2026,1,2000-02-05T00:00:00.000000,25.812457221081452,1,0
1321.0,,1321.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,8,Eero Hirvonen,Finland,1155,2026,1,1996-01-30T00:00:00.000000,29.828884325804243,1,0
1320.0,,1320.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,9,Einar Lurås Oftebro,Norway,1217,2026,1,1998-08-06T00:00:00.000000,27.312799452429843,1,0
1319.0,,1319.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,10,Johannes Rydzek,Germany,14,2026,1,1991-12-09T00:00:00.000000,33.97125256673511,1,0
1318.0,,1318.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,11,Terence Weber,Germany,1137,2026,1,1996-09-24T00:00:00.000000,29.1772758384668,1,0
1317.0,,1317.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,12,David Mach,Germany,1468,2026,1,2000-05-14T00:00:00.000000,25.541409993155373,1,0
1316.0,,1316.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,13,Akito Watabe,Japan,3,2026,1,1988-05-26T00:00:00.000000,37.50855578370979,1,0
1315.0,,1315.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,14,Martin Fritz,Austria,1090,2026,1,1994-10-24T00:00:00.000000,31.096509240246405,1,0
1314.0,,1314.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,15,Stefan Rettenegger,Austria,1775,2026,1,2002-02-03T00:00:00.000000,23.81656399726215,1,0
1313.0,,1313.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,16,Wendelin Thannheimer,Germany,1461,2026,1,1999-11-25T00:00:00.000000,26.00958247775496,1,0
1312.0,,1312.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,17,Paul Walcher,Austria,1988,2026,1,2005-04-30T00:00:00.000000,20.580424366872005,1,0
1311.0,,1311.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,18,Aleksander Skoglund,Norway,1220,2026,1,1999-05-06T00:00:00.000000,26.56536618754278,1,0
1310.0,,1310.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,19,Samuel Costa,Italy,84,2026,1,1992-11-30T00:00:00.000000,32.993839835728956,1,0
1309.0,,1309.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,20,Florian Kolb,Austria,1982,2026,1,2001-11-24T00:00:00.000000,24.01095140314853,1,0
1308.0,,1308.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,21,Tristan Sommerfeldt,Germany,1992,2026,1,2004-12-16T00:00:00.000000,20.95003422313484,1,0
1307.0,,1307.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,22,Kasper Moen Flatla,Norway,1230,2026,1,1999-02-22T00:00:00.000000,26.765229295003422,1,0
1306.0,,1306.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,23,Jiri Konvalinka,Czechia,2037,2026,1,2004-11-27T00:00:00.000000,21.00205338809035,1,0
1305.0,,1305.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,24,Gael Blondeau,France,1485,2026,1,2000-12-28T00:00:00.000000,24.917180013689254,1,0
1304.0,,1304.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,25,Edgar Vallet,France,1317,2026,1,2000-06-26T00:00:00.000000,25.423682409308693,1,0
1303.0,,1303.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,26,Ben Loomis,USA,1179,2026,1,1998-06-09T00:00:00.000000,27.471594798083505,1,0
1302.0,,1302.0,,,1300.0,,1300.0,,,2025-11-28,Kuusamo,Finland,M,7.5,Individual Compact,0,World Cup,27,Espen Andersen,Norway,345,2026,1,1993-10-28T00:00:00.000000,32.08487337440109,1,0
