Skier,ID,Nation,Ranking,Points,Wins
Johannes Lamparter,1469,Austria,1,1382,6
Jens Lurås Oftebro,1329,Norway,2,1229,4
Einar Lurås Oftebro,1217,Norway,3,1080,1
Ilkka Herola,97,Finland,4,1008,1
Julian Schmid,1348,Germany,5,940,1
Johannes Rydzek,14,Germany,6,934,0
Thomas Rettenegger,1467,Austria,7,924,2
Stefan Rettenegger,1775,Austria,8,901,0
Vinzenz Geiger,1182,Germany,9,755,2
Andreas Skoglund,1449,Norway,10,670,0
Wendelin Thannheimer,1461,Germany,11,655,0
Kristjan Ilves,403,Estonia,12,633,0
Eero Hirvonen,1155,Finland,13,541,0
Franz-Josef Rehrl,72,Austria,14,509,0
Martin Fritz,1090,Austria,15,504,0
Richard Stenzel,2351,Germany,16,430,0
David Mach,1468,Germany,17,424,0
Paul Walcher,1988,Austria,18,360,0
Lukas Greiderer,1088,Austria,19,343,0
Ryota Yamamoto,1154,Japan,20,335,0
Fabio Obermeyr,1777,Austria,21,324,0
Aleksander Skoglund,1220,Norway,22,305,0
Niklas Malacinski,1429,USA,23,301,0
Samuel Costa,84,Italy,24,298,0
Espen Andersen,345,Norway,25,290,0
Simon Mach,1981,Germany,26,286,0
Marco Heinis,1903,France,27,250,0
Eidar Johan Strøm,2344,Norway,28,226,0
Florian Kolb,1982,Austria,29,224,0
Laurent Muhlethaler,1146,France,30,223,0
Akito Watabe,3,Japan,31,191,0
Jan Vytrval,1239,Czechia,32,181,0
Aaron Kostner,1193,Italy,33,177,0
Otto Niittykoski,1347,Finland,34,136,0
Terence Weber,1137,Germany,35,130,0
Jiri Konvalinka,2037,Czechia,36,128,0
Ben Loomis,1179,USA,37,122,0
Vid Vrhovnik,1196,Slovenia,38,111,0
Mael Tyrode,1318,France,39,105,0
Edgar Vallet,1317,France,40,96,0
Alessandro Pittin,8,Italy,41,95,0
Sora Yachi,1774,Japan,42,87,0
Manuel Faißt,36,Germany,43,86,0
Andreas Gfrerer,2378,Austria,44,72,0
Tristan Sommerfeldt,1992,Germany,45,65,0
Kasper Moen Flatla,1230,Norway,46,62,0
Matteo Baud,1765,France,47,57,0
Yoshito Watabe,32,Japan,48,52,0
Jens Dahlseide Kvamme,2364,Norway,49,50,0
Herman Happonen,2346,Finland,50,46,0
Kodai Kimura,1459,Japan,51,44,0
Wille Karhumaa,1250,Finland,52,43,0
Atsushi Narita,2388,Japan,53,35,0
Iacopo Bortolas,1768,Italy,54,34,0
Mario Seidl,88,Austria,55,32,0
Lukas Dolezal,2060,Czechia,56,29,0
Shogo Azegami,2307,Japan,57,28,0
Gael Blondeau,1485,France,57,28,0
Erik Lynch,372,USA,59,22,0
Raffaele Buzzi,1103,Italy,60,18,0
Henry Johnstone,1432,USA,60,18,0
Pascal Müller,1475,Switzerland,62,16,0
Simen Tiller,370,Norway,63,15,0
Domenico Mariotti,1471,Italy,64,14,0
Jørgen Berget Storsveen,2419,Norway,65,12,0
Gašper Brecl,1295,Slovenia,66,10,0
Eemeli Kurttila,2455,Finland,67,8,0
Even Leinan Lund,2404,Norway,67,8,0
Matic Garbajs,1996,Slovenia,69,6,0
Jiawen Zhao,1705,China,70,5,0
Felix Brieden,2441,Germany,71,2,0
