Skier,Nation,Price,ID,Elo,Individual_Elo,Sprint_Elo,MassStart_Elo,IndividualCompact_Elo
Johannes Lamparter,Austria,0.0,1469,1842.4883145917872,1812.518783291689,1264.8545960442495,1533.4002256957044,1544.322091594486
Stefan Rettenegger,Austria,0.0,1775,1738.2800197341726,1721.1740171611816,1264.8545960442495,1478.028953984862,1497.5011764103876
Thomas Rettenegger,Austria,0.0,1467,1685.5355816200747,1661.4167286187817,1300.0,1472.6640813176648,1454.2445069482628
Jiawen Zhao,China,0.0,1705,1117.2548961679563,1146.5144072984774,1300.0,1224.0995933599531,1205.690651299072
Zihe Zhao,China,0.0,1704,1142.6673715492268,1153.42920634881,1300.0,1249.8599433221927,1272.040790670449
Jiri Konvalinka,Czechia,0.0,2037,1234.5477344058202,1256.4067408801973,1264.8545960442495,1241.436813913676,1235.936885950351
Jan Vytrval,Czechia,0.0,1239,1302.1842569493135,1257.1513543723615,1264.8545960442495,1284.8120875201914,1283.881608990739
Kristjan Ilves,Estonia,0.0,403,1653.492400471471,1635.956814869537,1264.8545960442495,1453.8306279854992,1484.1078640701294
Ruubert Teder,Estonia,0.0,2526,1209.18136557401,1227.0088312999685,1264.8545960442495,1275.6128747234404,1255.1132247913206
Ilkka Herola,Finland,0.0,97,1733.0872905958431,1733.0396530069595,1264.8545960442495,1488.1263131993155,1484.2330399436942
Eero Hirvonen,Finland,0.0,1155,1562.834115837495,1579.0738754637573,1264.8545960442495,1374.5886716665743,1409.35085993546
Wille Karhumaa,Finland,0.0,1250,1226.0989229458646,1271.5859093813606,1300.0,1204.2463491508038,1204.6149087054637
Marco Heinis,France,0.0,1903,1299.4966969932286,1308.1691188184143,1264.8545960442495,1292.814005949098,1209.1574449152542
Laurent Muhlethaler,France,0.0,1146,1396.519689702175,1372.585440192311,1264.8545960442495,1363.928707280344,1330.7110970415283
Mael Tyrode,France,0.0,1318,1264.671754931249,1286.4767112208071,1300.0,1266.7886018111517,1258.2228822933405
Vinzenz Geiger,Germany,0.0,1182,1725.706259380978,1687.9405951586386,1264.8545960442495,1464.711181997522,1510.8611973881189
Johannes Rydzek,Germany,0.0,14,1700.9464247897167,1691.5444549275462,1270.736719628069,1460.9577821252533,1504.680284509228
Julian Schmid,Germany,0.0,1348,1723.7455469914626,1704.9247080983946,1264.8545960442495,1501.1940119500075,1494.856352756129
Samuel Costa,Italy,0.0,84,1465.818317191667,1455.714006600205,1300.0,1311.007121285544,1355.4453043234755
Aaron Kostner,Italy,0.0,1193,1358.4930849213638,1376.7212585360642,1264.8545960442495,1263.2663287531573,1301.6784479764517
Alessandro Pittin,Italy,0.0,8,1291.8210099374774,1273.2470857788912,1288.0593284580068,1269.3541867736658,1297.7839824319865
Akito Watabe,Japan,0.0,3,1430.7015572945008,1402.8739183963703,1295.9759966338936,1375.4894364137294,1329.7674695327385
Sora Yachi,Japan,0.0,1774,1241.6318581794785,1272.8798742099734,1264.8545960442495,1225.347688203345,1252.216240383871
Ryota Yamamoto,Japan,0.0,1154,1437.0054703073376,1452.0996023583396,1264.8545960442495,1390.5033686925683,1327.9219125046347
Chingiz Rakparov,Kazakhstan,0.0,1170,1063.6928919135669,1062.8814004318435,1300.0,1179.512441334074,1210.8157925068806
Einar Lurås Oftebro,Norway,0.0,1217,1654.5039678463968,1642.0562887587223,1300.0,1366.9261840101822,1437.5800285967675
Jens Lurås Oftebro,Norway,0.0,1329,1783.3813222528158,1797.5324543378774,1264.8545960442495,1448.1152586789797,1513.379196418477
Andreas Skoglund,Norway,0.0,1449,1595.3777109258474,1597.7597849501483,1264.8545960442495,1351.2350312366102,1407.873680047006
Kacper Jarzabek,Poland,0.0,2391,1230.6944411755344,1209.5635115271098,1300.0,1299.4662014080195,1277.8197077703294
Milosz Kzempek,Poland,0.0,2360,1266.347091927067,1242.3857455343505,1264.8545960442495,1290.8985526925442,1253.7193728005857
Gašper Brecl,Slovenia,0.0,1295,1098.1002909418523,1092.7687816484104,1264.8545960442495,1197.3070112355429,1132.1437328669551
Vid Vrhovnik,Slovenia,0.0,1196,1275.0436262409842,1271.4098972636766,1264.8545960442495,1271.6866841773146,1241.7951661548336
Ben Loomis,USA,0.0,1179,1330.2170202262291,1304.3769934947138,1264.8545960442495,1262.5664031369145,1313.11949103155
Niklas Malacinski,USA,0.0,1429,1410.389923219359,1414.4098893729106,1300.0,1313.2816315973687,1316.5315366097625
Dmytro Mazurchuk,Ukraine,0.0,1197,1117.9803886892146,1130.3002443281412,1300.0,1190.730624695814,1196.459181592026
Oleksandr Shumbarets,Ukraine,0.0,1478,1066.510132737846,1070.924104650628,1300.0,1232.1009230204952,1185.249962422398
