FISName,Skier,ID,Nation,StartOrder,Bib,Is_Host_Nation,In_Startlist,Rank,Year,Jump,Points,JumpRank,Time,TimeDiff,Elo,Individual_Elo,Sprint_Elo,MassStart_Elo,IndividualCompact_Elo,Race_Elo,Race1_Prob,City,Country,Race_Type,Race_Date
HAGEN Ida Marie,Ida Marie Hagen,60,NOR,,23,False,True,,2000,,,,,,1613.864296573926,1559.2839674241532,1300.0,1414.3428393282124,1446.597464819262,1559.2839674241532,1.0,Lahti,Finland,Individual,03/06/2026
ARMBRUSTER Nathalie,Nathalie Armbruster,168,GER,,20,False,True,,2006,,,,,,1546.7001641455936,1494.9999380165405,1300.0,1390.9371167190332,1416.648911615259,1494.9999380165405,1.0,Lahti,Finland,Individual,03/06/2026
KASAI Yuna,Yuna Kasai,161,JPN,,19,False,True,,2004,,,,,,1494.874346946013,1451.8206834551468,1300.0,1384.500573143746,1365.6682737225503,1451.8206834551468,1.0,Lahti,Finland,Individual,03/06/2026
KORHONEN Minja,Minja Korhonen,200,FIN,,21,False,True,,2007,,,,,,1463.0528040038218,1430.305620458351,1300.0,1346.9803692754683,1384.8433892416087,1430.305620458351,1.0,Lahti,Finland,Individual,03/06/2026
VOLAVSEK Ema,Ema Volavsek,49,SLO,,17,False,True,,2002,,,,,,1444.1832060023455,1419.1645322779614,1300.0,1344.5920173807087,1353.2967193689494,1419.1645322779614,1.0,Lahti,Finland,Individual,03/06/2026
LUND Marte Leinan,Marte Leinan Lund,7,NOR,,18,False,True,,2001,,,,,,1449.045347448947,1408.9242309232327,1300.0,1359.9978825324245,1388.1825886683916,1408.9242309232327,1.0,Lahti,Finland,Individual,03/06/2026
GERAGHTY-MOATS Tara,Tara Geraghty-Moats,58,USA,,14,False,True,,1993,,,,,,1403.5016833197278,1406.5697401547643,1300.0,1299.8314470384837,1331.4700951272528,1406.5697401547643,1.0,Lahti,Finland,Individual,03/06/2026
NOWAK Jenny,Jenny Nowak,25,GER,,16,False,True,,2002,,,,,,1423.0890429134995,1389.6954238555556,1300.0,1359.8962088761082,1347.0169165628513,1389.6954238555556,1.0,Lahti,Finland,Individual,03/06/2026
BRABEC Alexa,Alexa Brabec,81,USA,,22,False,True,,2004,,,,,,1452.047497274562,1384.4412554477565,1300.0,1355.5926933047715,1377.0385974308429,1384.4412554477565,1.0,Lahti,Finland,Individual,03/06/2026
BROCARD Lena,Léna Brocard,53,FRA,,11,False,True,,2000,,,,,,1355.270885115395,1346.6927022621337,1300.0,1335.3107354177585,1304.770875026786,1346.6927022621337,1.0,Lahti,Finland,Individual,03/06/2026
LAATE Ingrid,Ingrid Låte,201,NOR,,12,False,True,,2007,,,,,,1368.9586875830153,1339.2855817283055,1300.0,1340.0266707903395,1320.886753409105,1339.2855817283055,1.0,Lahti,Finland,Individual,03/06/2026
