"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Elo","Individual_Elo","Sprint_Elo","MassStart_Elo","IndividualCompact_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Sex"
"HAGEN Ida Marie","Ida Marie Hagen",60,"NOR",NA,30,"False","True",2000,1613.66959139607,1558.45376792036,1300,1414.34283932821,1446.59746481926,1558.45376792036,1,"Oslo","Norway","Individual","03/15/2026","L"
"ARMBRUSTER Nathalie","Nathalie Armbruster",168,"GER",NA,27,"False","True",2006,1544.51593354373,1490.84409277874,1300,1390.93711671903,1416.64891161526,1490.84409277874,1,"Oslo","Norway","Individual","03/15/2026","L"
"KASAI Yuna","Yuna Kasai",161,"JPN",NA,26,"False","True",2004,1490.78781576304,1445.86627179427,1300,1384.50057314375,1365.66827372255,1445.86627179427,1,"Oslo","Norway","Individual","03/15/2026","L"
"KORHONEN Minja","Minja Korhonen",200,"FIN",NA,28,"False","True",2007,1467.43718450977,1435.89998946956,1300,1346.98036927547,1384.84338924161,1435.89998946956,1,"Oslo","Norway","Individual","03/15/2026","L"
"VOLAVSEK Ema","Ema Volavsek",49,"SLO",NA,23,"False","True",2002,1447.29307027399,1422.56518076356,1300,1344.59201738071,1353.29671936895,1422.56518076356,1,"Oslo","Norway","Individual","03/15/2026","L"
"LUND Marte Leinan","Marte Leinan Lund",7,"NOR",NA,24,"False","True",2001,1450.85477305916,1412.23403847648,1300,1359.99788253242,1388.18258866839,1412.23403847648,1,"Oslo","Norway","Individual","03/15/2026","L"
"GERAGHTY-MOATS Tara","Tara Geraghty-Moats",58,"USA",NA,20,"False","True",1993,1400.67314880409,1400.61664456084,1300,1299.83144703848,1331.47009512725,1400.61664456084,1,"Oslo","Norway","Individual","03/15/2026","L"
"NOWAK Jenny","Jenny Nowak",25,"GER",NA,22,"False","True",2002,1421.51765549469,1388.15609596228,1300,1359.89620887611,1347.01691656285,1388.15609596228,1,"Oslo","Norway","Individual","03/15/2026","L"
"BRABEC Alexa","Alexa Brabec",81,"USA",NA,29,"False","True",2004,1452.21140186591,1384.58612527152,1300,1355.59269330477,1377.03859743084,1384.58612527152,1,"Oslo","Norway","Individual","03/15/2026","L"
"GRUBER Katharina","Katharina Gruber",219,"AUT",NA,25,"False","True",2008,1378.54631221709,1347.58133247216,1300,1328.60561663389,1330.59049956291,1347.58133247216,1,"Oslo","Norway","Individual","03/15/2026","L"
"BROCARD Lena","Léna Brocard",53,"FRA",NA,17,"False","True",2000,1353.02744387273,1341.25771878232,1300,1335.31073541776,1304.77087502679,1341.25771878232,1,"Oslo","Norway","Individual","03/15/2026","L"
"LAATE Ingrid","Ingrid Låte",201,"NOR",NA,16,"False","True",2007,1367.22712589874,1338.27006359206,1300,1340.02667079034,1320.88675340911,1338.27006359206,1,"Oslo","Norway","Individual","03/15/2026","L"
"HIRVONEN Heta","Heta Hirvonen",218,"FIN",NA,14,"False","True",2008,1308.61566835211,1306.47013904471,1300,1312.04185493071,1272.87215846006,1306.47013904471,1,"Oslo","Norway","Individual","03/15/2026","L"
"MALOVRH Tia","Tia Malovrh",221,"SLO",NA,5,"False","True",2008,1309.58021131901,1306.01496044087,1300,1304.80437629248,1302.36809504802,1306.01496044087,1,"Oslo","Norway","Individual","03/15/2026","L"
"PAVEC Teja","Teja Pavec",209,"SLO",NA,10,"False","True",2007,1269.43655611891,1300.43838827514,1300,1295.34866364582,1252.03323038849,1300.43838827514,1,"Oslo","Norway","Individual","03/15/2026","L"
"KAINUMA Yuzuki","Yuzuki Kainuma",239,"JPN",NA,18,"False","True",2007,1336.00015868017,1297.87380999243,1300,1331.96042859815,1309.72394458121,1297.87380999243,1,"Oslo","Norway","Individual","03/15/2026","L"
"GROSSMANN Lilly","Lily Grossmann",176,"GER",NA,2,"False","True",2005,1291.84952046844,1286.64257357918,1300,1298.1472301562,1294.82662897915,1286.64257357918,1,"Oslo","Norway","Individual","03/15/2026","L"
"MALACINSKI Annika","Annika Malacinski",61,"USA",NA,21,"False","True",2001,1316.73508406705,1281.64057627594,1300,1302.25357057386,1322.19593218446,1281.64057627594,1,"Oslo","Norway","Individual","03/15/2026","L"
"PURKER Claudia","Claudia Purker",177,"AUT",NA,15,"False","True",1999,1281.60477734447,1278.67020660592,1300,1286.91873572802,1279.15302246308,1278.67020660592,1,"Oslo","Norway","Individual","03/15/2026","L"
"GOEPFERT Trine","Trine Göpfert",107,"GER",NA,13,"False","True",2005,1271.4991887648,1270.89254393632,1300,1303.36933574052,1275.48975976661,1270.89254393632,1,"Oslo","Norway","Individual","03/15/2026","L"
"LOH Ronja","Ronja Loh",171,"GER",NA,11,"False","True",2005,1255.23699415019,1263.78585599324,1300,1300.49306431745,1251.30199686536,1263.78585599324,1,"Oslo","Norway","Individual","03/15/2026","L"
"GRAESLI Ingrid","Ingrid Græsli",248,"NOR",NA,1,"False","True",2009,1266.14179162568,1261.11093340108,1300,1284.11770056227,1274.69292393018,1261.11093340108,1,"Oslo","Norway","Individual","03/15/2026","L"
"KERKO Anna","Anna Kerko",211,"FIN",NA,6,"False","True",2007,1231.13338766441,1260.35682358238,1300,1271.84829168246,1274.5275894208,1260.35682358238,1,"Oslo","Norway","Individual","03/15/2026","L"
