"FISName","Skier","ID","Nation","StartOrder","Bib","Is_Host_Nation","In_Startlist","Year","Elo","Individual_Elo","Sprint_Elo","MassStart_Elo","IndividualCompact_Elo","Race_Elo","Race1_Prob","City","Country","Race_Type","Race_Date","Race2_Prob","Race3_Prob","Sex"
"LAMPARTER Johannes","Johannes Lamparter",1469,"AUT",NA,2,"False","True",2001,1841.05315833176,1811.2431406171,1264.85459604425,1530.34364055945,1561.87625244142,1530.34364055945,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.975,"M"
"SCHMID Julian","Julian Schmid",1348,"GER",NA,3,"False","True",1999,1765.58645539356,1750.25751698963,1264.85459604425,1508.56142897557,1514.08942144108,1508.56142897557,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.9625,"M"
"HEROLA Ilkka","Ilkka Herola",97,"FIN",NA,5,"False","True",1995,1723.34852712846,1719.84510750763,1264.85459604425,1491.05443177524,1487.48557493849,1491.05443177524,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.925,"M"
"RETTENEGGER Thomas","Thomas Rettenegger",1467,"AUT",NA,1,"False","True",2000,1721.00446482101,1692.43202738245,1300,1477.86075713411,1481.45260684387,1477.86075713411,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.6,"M"
"RETTENEGGER Stefan","Stefan Rettenegger",1775,"AUT",NA,6,"False","True",2002,1724.06421148741,1713.77465659004,1264.85459604425,1472.70252485967,1495.01969410643,1472.70252485967,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.7875,"M"
"RYDZEK Johannes","Johannes Rydzek",14,"GER",NA,10,"False","True",1991,1725.34773659089,1713.20209434435,1270.73671962807,1464.54435766184,1523.30760166813,1464.54435766184,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.9375,"M"
"FRITZ Martin","Martin Fritz",1090,"AUT",NA,9,"False","True",1994,1583.1771028887,1537.42562979433,1264.85459604425,1455.48500245445,1439.55712839702,1455.48500245445,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.9,"M"
"GEIGER Vinzenz","Vinzenz Geiger",1182,"GER",NA,12,"False","True",1997,1699.5140405717,1674.39505913591,1264.85459604425,1455.16055134298,1504.88550733848,1455.16055134298,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.9125,"M"
"ILVES Kristjan","Kristjan Ilves",403,"EST",NA,20,"False","True",1996,1647.7211423566,1630.68237665523,1264.85459604425,1446.03786523609,1508.71802381686,1446.03786523609,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.9625,"M"
"REHRL Franz-Josef","Franz-Josef Rehrl",72,"AUT",NA,11,"False","True",1993,1581.18864721082,1618.59685734427,1264.85459604425,1444.30877288755,1387.91752214853,1444.30877288755,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.775,"M"
"OFTEBRO Jens Luraas","Jens Lurås Oftebro",1329,"NOR",NA,4,"False","True",2000,1770.70776415295,1781.40319967592,1264.85459604425,1444.09153893465,1525.28343811506,1444.09153893465,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.95,"M"
"YAMAMOTO Ryota","Ryota Yamamoto",1154,"JPN",NA,14,"False","True",1997,1520.42419957361,1490.04491476142,1264.85459604425,1419.15909315915,1367.1874599834,1419.15909315915,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.8625,"M"
"THANNHEIMER Wendelin","Wendelin Thannheimer",1461,"GER",NA,7,"False","True",1999,1615.91382917999,1599.3795077831,1300,1414.28284373971,1440.40291819152,1414.28284373971,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.55,"M"
"GREIDERER Lukas","Lukas Greiderer",1088,"AUT",NA,23,"False","True",1993,1553.67970448409,1519.91644761917,1264.85459604425,1392.24273703679,1403.75924631775,1392.24273703679,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.8375,"M"
"MUHLETHALER Laurent","Laurent Muhlethaler",1146,"FRA",NA,19,"False","True",1997,1423.35076523178,1370.68569715665,1264.85459604425,1389.57915112466,1321.53618733071,1389.57915112466,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.8,"M"
"HIRVONEN Eero","Eero Hirvonen",1155,"FIN",NA,16,"False","True",1996,1547.4124448028,1550.61001846616,1264.85459604425,1373.57828719976,1422.06082079889,1373.57828719976,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.7375,"M"
"WATABE Akito","Akito Watabe",3,"JPN",NA,30,"False","True",1988,1394.6866577312,1370.86593316192,1295.97599663389,1369.45095564344,1324.99898555842,1369.45095564344,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.875,"M"
"MACH David","David Mach",1468,"GER",NA,17,"False","True",2000,1487.4054766574,1446.25702749348,1300,1368.78898884132,1433.01006687916,1368.78898884132,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.4875,"M"
"SEIDL Mario","Mario Seidl",88,"AUT",NA,54,"False","True",1992,1389.10813718225,1440.06848917653,1295.95462509396,1365.32854430337,1266.68028874098,1365.32854430337,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.5375,"M"
"OFTEBRO Einar Luraas","Einar Lurås Oftebro",1217,"NOR",NA,8,"False","True",1998,1664.58171076511,1659.30816595325,1300,1364.00911624765,1455.78409606406,1364.00911624765,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.425,"M"
"STENZEL Richard","Richard Stenzel",2351,"GER",NA,13,"False","True",2005,1460.26115108755,1479.39321192699,1300,1349.45946444579,1264.28771451602,1349.45946444579,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.392857142857143,"M"
"OBERMEYR Fabio","Fabio Obermeyr",1777,"AUT",NA,27,"False","True",2000,1517.83898413772,1513.81344886739,1300,1338.98307283964,1375.13464284019,1338.98307283964,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.426470588235294,"M"
"STROEM Eidar Johan","Eidar Johan Strøm",2344,"NOR",NA,18,"False","True",2004,1415.12444001988,1393.33628290912,1300,1338.74121592234,1315.79539260248,1338.74121592234,1,"Seefeld","Austria","Mass Start","01/30/2026",0,1,"M"
"SKOGLUND Aleksander","Aleksander Skoglund",1220,"NOR",NA,24,"False","True",1999,1442.86249211425,1415.58856587486,1300,1330.66855718102,1362.25569927364,1330.66855718102,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.25,"M"
"SKOGLUND Andreas","Andreas Skoglund",1449,"NOR",NA,26,"False","True",2001,1549.0227298898,1567.99275503573,1264.85459604425,1329.63941427333,1399.86118967189,1329.63941427333,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.475,"M"
"WALCHER Paul","Paul Walcher",1988,"AUT",NA,15,"False","True",2005,1399.87327741579,1395.5742917931,1264.85459604425,1325.43321478641,1303.08811040872,1325.43321478641,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.742857142857143,"M"
"BAUD Matteo","Matteo Baud",1765,"FRA",NA,41,"False","True",2002,1275.21571766402,1269.2619578876,1264.85459604425,1322.83583767281,1254.9315711085,1322.83583767281,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.8125,"M"
"KOLB Florian","Florian Kolb",1982,"AUT",NA,25,"False","True",2001,1383.47087917167,1367.82705509101,1300,1317.7525078845,1317.93754528194,1317.7525078845,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.391304347826087,"M"
"HEINIS Marco","Marco Heinis",1903,"FRA",NA,22,"False","True",2003,1350.94488317499,1328.56044221056,1264.85459604425,1313.80511032624,1246.03059244553,1313.80511032624,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.625,"M"
"MALACINSKI Niklas","Niklas Malacinski",1429,"USA",NA,28,"False","True",2003,1411.66671653732,1431.08471065571,1300,1313.57311466483,1299.51423527433,1313.57311466483,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.575,"M"
"MACH Simon","Simon Mach",1981,"GER",NA,29,"False","True",2002,1382.79753189617,1418.54790937231,1300,1313.32669269357,1237.86418322788,1313.32669269357,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.384615384615385,"M"
"COSTA Samuel","Samuel Costa",84,"ITA",NA,21,"False","True",1992,1484.22368761401,1477.68880119504,1300,1312.74813521995,1369.25988623249,1312.74813521995,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.725,"M"
"GFRERER Andreas","Andreas Gfrerer",2378,"AUT",NA,36,"False","True",2006,1328.08557172432,1319.72736872054,1300,1309.09747841314,1288.90332142291,1309.09747841314,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.166666666666667,"M"
"ANDERSEN Espen","Espen Andersen",345,"NOR",NA,34,"False","True",1993,1418.76852995721,1432.40620358027,1300,1305.39389371299,1341.03654174305,1305.39389371299,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.9125,"M"
"VYTRVAL Jan","Jan Vytrval",1239,"CZE",NA,31,"False","True",1998,1313.77636061731,1254.50768026255,1264.85459604425,1291.11736287626,1308.13764121715,1291.11736287626,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.625,"M"
"VRHOVNIK Vid","Vid Vrhovnik",1196,"SLO",NA,33,"False","True",1999,1316.75421900799,1285.23197323605,1264.85459604425,1279.11862241305,1280.8951019702,1279.11862241305,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.4875,"M"
"LE Alvin","Alvin Le",2539,"NOR",NA,57,"False","True",2008,1227.16441357329,1182.05666869795,1264.85459604425,1275.31349867055,1296.87434850012,1275.31349867055,1,"Seefeld","Austria","Mass Start","01/30/2026",0,1,"M"
"VALLET Edgar","Edgar Vallet",1317,"FRA",NA,37,"False","True",2000,1241.84362758926,1247.16347551452,1300,1265.62380708957,1237.5735658843,1265.62380708957,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.3375,"M"
"PITTIN Alessandro","Alessandro Pittin",8,"ITA",NA,40,"False","True",1990,1297.27295013803,1277.15193332412,1288.05932845801,1262.19679373571,1320.94263518238,1262.19679373571,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.5375,"M"
"WATABE Yoshito","Yoshito Watabe",32,"JPN",NA,35,"False","True",1991,1197.24114659803,1198.85742773306,1289.15895966853,1259.68315181125,1175.80785839647,1259.68315181125,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.7375,"M"
"KOSTNER Aaron","Aaron Kostner",1193,"ITA",NA,39,"False","True",1999,1381.38773897806,1398.92554712924,1264.85459604425,1258.42701005778,1324.75326396022,1258.42701005778,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.75,"M"
"JOHNSTONE Henry","Henry Johnstone",1432,"USA",NA,50,"False","True",2001,1207.44912037771,1200.15967864946,1264.85459604425,1258.22931380162,1274.18581218342,1258.22931380162,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.333333333333333,"M"
"TYRODE Mael","Mael Tyrode",1318,"FRA",NA,42,"False","True",2000,1242.07099229875,1285.89525749856,1300,1255.8967219668,1243.65124845834,1255.8967219668,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.24,"M"
"ZHAO Zihe","Zihe Zhao",1704,"CHN",NA,52,"False","True",2000,1166.23824756808,1198.59608643806,1300,1250.06104545202,1272.04079067045,1250.06104545202,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.0375,"M"
"LOOMIS Benjamin","Ben Loomis",1179,"USA",NA,38,"False","True",1998,1269.61464308051,1256.65403764459,1264.85459604425,1243.40020854649,1307.13562126823,1243.40020854649,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.7375,"M"
"KONVALINKA Jiri","Jiri Konvalinka",2037,"CZE",NA,32,"False","True",2004,1246.53481967222,1273.45429026918,1264.85459604425,1242.15805581859,1245.91559974065,1242.15805581859,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.567567567567568,"M"
"SOMMERFELDT Tristan","Tristan Sommerfeldt",1992,"GER",NA,48,"False","True",2004,1283.73621113406,1278.17120612707,1300,1238.43023369517,1306.17815703288,1238.43023369517,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.407407407407407,"M"
"YACHI Sora","Sora Yachi",1774,"JPN",NA,49,"False","True",2000,1247.52192392895,1248.95286215621,1264.85459604425,1236.01558798644,1259.75177270485,1236.01558798644,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.8625,"M"
"ZHAO Jiawen","Jiawen Zhao",1705,"CHN",NA,58,"False","True",2001,1149.41422826285,1182.14361329804,1300,1230.85321724601,1217.79291874478,1230.85321724601,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.1125,"M"
"AZEGAMI Shogo","Shogo Azegami",2307,"JPN",NA,53,"False","True",2001,1136.71900088933,1157.67298203702,1300,1230.13998876989,1175.70273036747,1230.13998876989,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.333333333333333,"M"
"BUZZI Raffaele","Raffaele Buzzi",1103,"ITA",NA,51,"False","True",1995,1220.86450328194,1293.60318593592,1264.85459604425,1225.69468243994,1222.61848979934,1225.69468243994,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.75,"M"
"MUELLER Pascal","Pascal Müller",1475,"SUI",NA,45,"False","True",2001,1123.56130191502,1139.73225613424,1300,1214.49447222481,1135.46834649,1214.49447222481,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.34375,"M"
"LYNCH Erik","Erik Lynch",372,"USA",NA,56,"False","True",1994,1133.56140262592,1118.19818303248,1300,1212.94995389073,1240.79172564323,1212.94995389073,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.424242424242424,"M"
"HAPPONEN Herman","Herman Happonen",2346,"FIN",NA,46,"False","True",2004,1193.08364678034,1213.14886372937,1300,1208.89006045066,1225.79303127362,1208.89006045066,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.304347826086957,"M"
"BRECL Gasper","Gašper Brecl",1295,"SLO",NA,44,"False","True",1999,1105.50369853291,1077.86178660709,1264.85459604425,1205.47250073248,1132.67943806027,1205.47250073248,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.7875,"M"
"KARHUMAA Wille","Wille Karhumaa",1250,"FIN",NA,47,"False","True",2000,1216.75775452909,1268.06979104896,1300,1198.18395072697,1208.2101677093,1198.18395072697,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.2625,"M"
"MAZURCHUK Dmytro","Dmytro Mazurchuk",1197,"UKR",NA,55,"False","True",1999,1120.64186661369,1122.47110907247,1300,1188.97650711572,1181.58360620806,1188.97650711572,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.3125,"M"
"KIMURA Kodai","Kodai Kimura",1459,"JPN",NA,43,"False","True",2001,1153.14711893052,1143.7711041582,1264.85459604425,1187.20232477128,1246.23014943256,1187.20232477128,1,"Seefeld","Austria","Mass Start","01/30/2026",0,0.7,"M"
"Manuel Faißt","Manuel Faißt",36,"Germany",999,999,"False","False",NA,1507.48532248967,1501.02595933341,1299.34416881614,1451.95793406109,1384.46394288759,1451.95793406109,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.85,"M"
"Terence Weber","Terence Weber",1137,"Germany",999,999,"False","False",NA,1449.84838429861,1428.6696207995,1300,1381.7390899281,1428.50728265239,1381.7390899281,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.775,"M"
"Jens Dahlseide Kvamme","Jens Dahlseide Kvamme",2364,"Norway",999,999,"False","False",NA,1261.84884369631,1184.82476943828,1300,1313.00654162991,1268.85820158777,1313.00654162991,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.526315789473684,"M"
"Jørgen Berget Storsveen","Jørgen Berget Storsveen",2419,"Norway",999,999,"False","False",NA,1271.41000861289,1243.09254013257,1300,1302.38252943449,1287.43338389347,1302.38252943449,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.1,"M"
"Andreas Ottesen","Andreas Ottesen",1976,"Norway",999,999,"False","False",NA,1281.6710918804,1275.79450812599,1300,1301.94061597582,1290.98701495849,1301.94061597582,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.111111111111111,"M"
"Andrzej Szczechowicz","Andrzej Szczechowicz",1473,"Poland",999,999,"False","False",NA,1186.47638540019,1184.93858936051,1300,1301.1683724513,1273.82215801424,1301.1683724513,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.155844155844156,"M"
"Takuya Nakazawa","Takuya Nakazawa",2389,"Japan",999,999,"False","False",NA,1243.78668835144,1233.33379446824,1264.85459604425,1300.9931165836,1296.43910881683,1300.9931165836,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Lubin Martin","Lubin Martin",2407,"France",999,999,"False","False",NA,1233.46479537037,1220.8680273296,1300,1300.4633032665,1296.62568547693,1300.4633032665,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0,"M"
"Andrzej Waliczek","Andrzej Waliczek",2383,"Poland",999,999,"False","False",NA,1249.96673525473,1230.41583875985,1300,1299.46868244379,1281.48436585543,1299.46868244379,0,"Seefeld","Austria","Mass Start","01/30/2026",0,0.133333333333333,"M"
