Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Pelo,Elo
1988-03-06,Lahti,Finland,M,N/A,Team Sprint,0,World Cup,1,Bård Jørgen Elden,Norway,527,1988,7,1968-06-17T00:00:00.000000,19.718001368925393,4,1,1300.0,1307.0
1988-03-06,Lahti,Finland,M,N/A,Team Sprint,0,World Cup,1,Trond Einar Elden,Norway,313,1988,7,1970-02-21T00:00:00.000000,18.036960985626283,2,2,1300.0,1307.0
1988-03-06,Lahti,Finland,M,N/A,Team Sprint,0,World Cup,2,Jouko Karjalainen,Finland,668,1988,7,1956-07-27T00:00:00.000000,31.60848733744011,14,2,1300.0,1305.0
1988-03-06,Lahti,Finland,M,N/A,Team Sprint,0,World Cup,2,Sami Leinonen,Finland,615,1988,7,1963-09-30T00:00:00.000000,24.432580424366872,10,1,1300.0,1305.0
1988-03-06,Lahti,Finland,M,N/A,Team Sprint,0,World Cup,3,Pasi Saapunki,Finland,586,1988,7,1968-02-24T00:00:00.000000,20.030116358658454,4,1,1300.0,1303.0
1988-03-06,Lahti,Finland,M,N/A,Team Sprint,0,World Cup,3,Jukka Ylipulli,Finland,602,1988,7,1963-02-06T00:00:00.000000,25.078713210130047,14,2,1300.0,1303.0
1988-03-06,Lahti,Finland,M,N/A,Team Sprint,0,World Cup,4,Michal Pustejovsky,Czechia,614,1988,7,1968-09-09T00:00:00.000000,19.488021902806295,1,2,1300.0,1301.0
1988-03-06,Lahti,Finland,M,N/A,Team Sprint,0,World Cup,4,Radek Skopek,Czechia,644,1988,7,1970-01-01T00:00:00.000000,18.17659137577002,1,1,1300.0,1301.0
1988-03-06,Lahti,Finland,M,N/A,Team Sprint,0,World Cup,5,Knut Tore Apeland,Norway,312,1988,7,1968-12-11T00:00:00.000000,19.23340177960301,1,2,1300.0,1299.0
1988-03-06,Lahti,Finland,M,N/A,Team Sprint,0,World Cup,5,Jon Andersen,Norway,645,1988,7,,,2,1,1300.0,1299.0
1988-03-06,Lahti,Finland,M,N/A,Team Sprint,0,World Cup,6,John Riiber,Norway,620,1988,7,1965-05-05T00:00:00.000000,22.836413415468858,7,1,1300.0,1297.0
1988-03-06,Lahti,Finland,M,N/A,Team Sprint,0,World Cup,6,Ansgar Danielsen,Norway,616,1988,7,1966-06-09T00:00:00.000000,21.741273100616016,2,2,1300.0,1297.0
1988-03-06,Lahti,Finland,M,N/A,Team Sprint,0,World Cup,7,Göran Andersson,Sweden,1600,1988,7,,,2,2,1300.0,1295.0
1988-03-06,Lahti,Finland,M,N/A,Team Sprint,0,World Cup,7,Kari Jääskeläinen,Finland,1743,1988,7,,,3,1,1300.0,1295.0
1988-03-06,Lahti,Finland,M,N/A,Team Sprint,0,World Cup,8,Arto Immonen,Finland,1752,1988,7,,,1,1,1300.0,1293.0
1988-03-06,Lahti,Finland,M,N/A,Team Sprint,0,World Cup,8,Jyri Pelkonen,Finland,629,1988,7,1965-12-21T00:00:00.000000,22.206707734428473,5,2,1300.0,1293.0
1988-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Bård Jørgen Elden,Norway,527,1988,0,1968-06-17T00:00:00.000000,19.718001368925393,4,1,1307.0,1305.95
1988-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Jyri Pelkonen,Finland,629,1988,0,1965-12-21T00:00:00.000000,22.206707734428473,5,2,1293.0,1294.05
1988-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Kari Jääskeläinen,Finland,1743,1988,0,1700-01-01T00:00:00.000000,0.0,3,1,1295.0,1295.75
1988-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Göran Andersson,Sweden,1600,1988,0,1700-01-01T00:00:00.000000,0.0,2,2,1295.0,1295.75
1988-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Knut Tore Apeland,Norway,312,1988,0,1968-12-11T00:00:00.000000,19.23340177960301,1,2,1299.0,1299.1499999999999
1988-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Sami Leinonen,Finland,615,1988,0,1963-09-30T00:00:00.000000,24.432580424366872,10,1,1305.0,1304.25
1988-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Jukka Ylipulli,Finland,602,1988,0,1963-02-06T00:00:00.000000,25.078713210130047,14,2,1303.0,1302.55
1988-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Jon Andersen,Norway,645,1988,0,1700-01-01T00:00:00.000000,0.0,2,1,1299.0,1299.1499999999999
1988-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Michal Pustejovsky,Czechia,614,1988,0,1968-09-09T00:00:00.000000,19.488021902806295,1,2,1301.0,1300.85
1988-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Jouko Karjalainen,Finland,668,1988,0,1956-07-27T00:00:00.000000,31.60848733744011,14,2,1305.0,1304.25
1988-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Arto Immonen,Finland,1752,1988,0,1700-01-01T00:00:00.000000,0.0,1,1,1293.0,1294.05
1988-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Ansgar Danielsen,Norway,616,1988,0,1966-06-09T00:00:00.000000,21.741273100616016,2,2,1297.0,1297.45
1988-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Pasi Saapunki,Finland,586,1988,0,1968-02-24T00:00:00.000000,20.030116358658454,4,1,1303.0,1302.55
1988-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Radek Skopek,Czechia,644,1988,0,1970-01-01T00:00:00.000000,18.17659137577002,1,1,1301.0,1300.85
1988-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,Trond Einar Elden,Norway,313,1988,0,1970-02-21T00:00:00.000000,18.036960985626283,2,2,1307.0,1305.95
1988-05-01,Summer,Break,M,0,Offseason,0,Offseason,0,John Riiber,Norway,620,1988,0,1965-05-05T00:00:00.000000,22.836413415468858,7,1,1297.0,1297.45
2007-01-03,Ruhpolding,Germany,M,7.5,Team Sprint,0,World Cup,1,Anssi Koivuranta,Finland,140,2007,7,1988-07-03T00:00:00.000000,18.50239561943874,38,1,1300.0,1320.0
2007-01-03,Ruhpolding,Germany,M,7.5,Team Sprint,0,World Cup,1,Hannu Manninen,Finland,110,2007,7,1978-04-17T00:00:00.000000,28.71457905544148,185,2,1300.0,1320.0
2007-01-03,Ruhpolding,Germany,M,7.5,Team Sprint,0,World Cup,2,Sebastian Haseney,Germany,123,2007,7,1978-08-27T00:00:00.000000,28.35318275154004,129,2,1300.0,1318.0
2007-01-03,Ruhpolding,Germany,M,7.5,Team Sprint,0,World Cup,2,Ronny Ackermann,Germany,142,2007,7,1977-05-16T00:00:00.000000,29.634496919917865,156,1,1300.0,1318.0
2007-01-03,Ruhpolding,Germany,M,7.5,Team Sprint,0,World Cup,3,Mario Stecher,Austria,16,2007,7,1977-07-17T00:00:00.000000,29.464750171115675,174,1,1300.0,1316.0
2007-01-03,Ruhpolding,Germany,M,7.5,Team Sprint,0,World Cup,3,Christoph Bieler,Austria,19,2007,7,1977-10-28T00:00:00.000000,29.182751540041068,140,2,1300.0,1316.0
2007-01-03,Ruhpolding,Germany,M,7.5,Team Sprint,0,World Cup,4,Maxime Laheurte,France,23,2007,7,1985-05-20T00:00:00.000000,21.623545516769337,20,1,1300.0,1314.0
2007-01-03,Ruhpolding,Germany,M,7.5,Team Sprint,0,World Cup,4,Jason Lamy Chappuis,France,2,2007,7,1986-09-09T00:00:00.000000,20.317590691307323,46,2,1300.0,1314.0
2007-01-03,Ruhpolding,Germany,M,7.5,Team Sprint,0,World Cup,5,Petter Tande,Norway,122,2007,7,1985-06-11T00:00:00.000000,21.56331279945243,80,1,1300.0,1312.0
2007-01-03,Ruhpolding,Germany,M,7.5,Team Sprint,0,World Cup,5,Magnus Moan,Norway,13,2007,7,1983-08-26T00:00:00.000000,23.356605065023956,70,2,1300.0,1312.0
2007-01-03,Ruhpolding,Germany,M,7.5,Team Sprint,0,World Cup,6,Felix Gottwald,Austria,104,2007,7,1976-01-13T00:00:00.000000,30.973305954825463,199,2,1300.0,1310.0
2007-01-03,Ruhpolding,Germany,M,7.5,Team Sprint,0,World Cup,6,Bernhard Gruber,Austria,5,2007,7,1982-08-12T00:00:00.000000,24.39425051334702,37,1,1300.0,1310.0
2007-01-03,Ruhpolding,Germany,M,7.5,Team Sprint,0,World Cup,7,Michael Gruber,Austria,168,2007,7,1979-12-05T00:00:00.000000,27.080082135523615,129,1,1300.0,1308.0
2007-01-03,Ruhpolding,Germany,M,7.5,Team Sprint,0,World Cup,7,Lukas Klapfer,Austria,46,2007,7,1985-12-25T00:00:00.000000,21.023956194387406,3,2,1300.0,1308.0
2007-01-03,Ruhpolding,Germany,M,7.5,Team Sprint,0,World Cup,8,Johnny Spillane,USA,29,2007,7,1980-11-24T00:00:00.000000,26.10814510609172,95,1,1300.0,1306.0
2007-01-03,Ruhpolding,Germany,M,7.5,Team Sprint,0,World Cup,8,Bill Demong,USA,21,2007,7,1980-03-29T00:00:00.000000,26.765229295003422,98,2,1300.0,1306.0
