Elo,Individual_Elo,IndividualCompact_Elo,Sprint_Elo,MassStart_Elo,Pelo,Individual_Pelo,IndividualCompact_Pelo,Sprint_Pelo,MassStart_Pelo,Date,City,Country,Sex,Distance,RaceType,MassStart,Event,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Leg,Elevation
1372.5,1372.5,,,,1300.0,1300.0,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,1,Tara Geraghty-Moats,USA,58,2021,1,1993-04-12T00:00:00.000000,27.685147159479808,1,0,1106.0
1367.5,1367.5,,,,1300.0,1300.0,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,2,Gyda Westvold Hansen,Norway,4,2021,1,2002-04-20T00:00:00.000000,18.663928815879533,1,0,1106.0
1362.5,1362.5,,,,1300.0,1300.0,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,3,Anju Nakamura,Japan,67,2021,1,2000-01-23T00:00:00.000000,20.903490759753595,1,0,1106.0
1357.5,1357.5,,,,1300.0,1300.0,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,4,Marte Leinan Lund,Norway,7,2021,1,2001-04-01T00:00:00.000000,19.71526351813826,1,0,1106.0
1352.5,1352.5,,,,1300.0,1300.0,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,5,Sigrun Kleinrath,Austria,76,2021,1,2004-01-16T00:00:00.000000,16.922655715263517,1,0,1106.0
1347.5,1347.5,,,,1300.0,1300.0,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,6,Lisa Hirner,Austria,52,2021,1,2003-10-03T00:00:00.000000,17.21013004791239,1,0,1106.0
1342.5,1342.5,,,,1300.0,1300.0,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,7,Mari Leinan Lund,Norway,8,2021,1,1999-05-28T00:00:00.000000,21.560574948665295,1,0,1106.0
1337.5,1337.5,,,,1300.0,1300.0,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,8,Veronica Gianmoena,Italy,29,2021,1,1995-10-25T00:00:00.000000,25.149897330595483,1,0,1106.0
1332.5,1332.5,,,,1300.0,1300.0,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,9,Annika Sieff,Italy,47,2021,1,2003-10-27T00:00:00.000000,17.144421629021217,1,0,1106.0
1327.5,1327.5,,,,1300.0,1300.0,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,10,Anastasia Goncharova,Russia,45,2021,1,1999-10-10T00:00:00.000000,21.190965092402465,1,0,1106.0
1322.5,1322.5,,,,1300.0,1300.0,,,,2020-12-18,Ramsau,Austria,L,,Individual,0,World Cup,11,Hanna Midtsundstad,Norway,3,2021,1,1999-09-22T00:00:00.000000,21.24024640657084,1,0,1106.0
