"Date","City","Country","Nation","RaceType","Season","Race","Event","Elevation","Place","Points","Avg_Elo","Avg_Individual_Elo","Avg_Sprint_Elo","Avg_MassStart_Elo","Avg_IndividualCompact_Elo","Avg_Pelo","Avg_Individual_Pelo","Avg_Sprint_Pelo","Avg_MassStart_Pelo","Avg_IndividualCompact_Pelo","MassStart","Sex"
1988-03-06,"Lahti","Finland","Czechia","Team Sprint",1988,7,"World Cup",86,4,70,1301.18601468263,NA,NA,NA,NA,1300,NA,NA,NA,NA,0,"M"
1988-03-06,"Lahti","Finland","Finland","Team Sprint",1988,7,"World Cup",86,2,90,1299.38479122097,1302.33290344779,NA,NA,NA,1300.27813755833,1291.57455528416,NA,NA,NA,0,"M"
1988-03-06,"Lahti","Finland","Norway","Team Sprint",1988,7,"World Cup",86,1,100,1288.07161605879,1283.42367178787,NA,NA,NA,1286.43551260267,1288.61523473245,NA,NA,NA,0,"M"
1988-03-06,"Lahti","Finland","Sweden","Team Sprint",1988,7,"World Cup",86,7,52,1246.34459851722,1254.65082118887,NA,NA,NA,1252.27982425761,1246.64802492809,NA,NA,NA,0,"M"
2007-01-03,"Ruhpolding","Germany","Austria","Team Sprint",2007,7,"World Cup",763,3,80,1440.84085757571,1425.773084667,1401.35337541563,1345.44394370015,NA,1437.73262521633,1411.22722196722,1392.23786086106,1337.7203949877,NA,0,"M"
2007-01-03,"Ruhpolding","Germany","Canada","Team Sprint",2007,7,"World Cup",763,20,22,1223.89220779188,1196.996499018,1270.75822268946,NA,NA,1231.67788220646,1229.45187613704,1265.59790904642,NA,NA,0,"M"
2007-01-03,"Ruhpolding","Germany","Czechia","Team Sprint",2007,7,"World Cup",763,18,26,1220.12308493363,1214.10854230801,1251.87176478936,1262.67950598204,NA,1224.61855443491,1251.76927267293,1255.9812716818,1276.58043918742,NA,0,"M"
2007-01-03,"Ruhpolding","Germany","Finland","Team Sprint",2007,7,"World Cup",763,1,100,1524.42743829102,1537.45980502844,1420.70096364589,1367.59362317593,NA,1525.43911956984,1537.23589697345,1419.59058128142,1357.35247184682,NA,0,"M"
2007-01-03,"Ruhpolding","Germany","France","Team Sprint",2007,7,"World Cup",763,4,70,1343.18315569014,1348.22956382919,1309.12447609408,1293.15273067092,NA,1340.82127007375,1362.04737794957,1295.29676085931,1298.85517311338,NA,0,"M"
2007-01-03,"Ruhpolding","Germany","Germany","Team Sprint",2007,7,"World Cup",763,2,90,1410.63644044472,1444.11922793779,1380.45190329612,1324.40926037517,NA,1412.31377191884,1431.53567352493,1382.86562739829,1327.13048271004,NA,0,"M"
2007-01-03,"Ruhpolding","Germany","Italy","Team Sprint",2007,7,"World Cup",763,21,20,1220.76877513613,1222.74827972759,1254.0548919769,1235.95347560147,NA,1230.03579056302,1235.3254522439,1245.94693173753,1252.81869210377,NA,0,"M"
2007-01-03,"Ruhpolding","Germany","Norway","Team Sprint",2007,7,"World Cup",763,5,60,1410.02966380446,1417.26038635186,1377.50526479774,1322.0439736085,NA,1410.96161695815,1430.19782744985,1369.35773539246,1312.62731061147,NA,0,"M"
