Team_Name,Nation,Team_Rank,Race_Date,City,Country,Race_Type,Is_Present,Race1_Prob,Team_Time,Team_TimeDiff,Team_Points,Total_Elo,Avg_Elo,Total_Individual_Elo,Avg_Individual_Elo,Total_Sprint_Elo,Avg_Sprint_Elo,Total_MassStart_Elo,Avg_MassStart_Elo,Total_IndividualCompact_Elo,Avg_IndividualCompact_Elo,Member_1,Member_1_ID,Member_1_FisCode,Member_1_Sex,Member_1_Year,Member_1_Leg,Member_1_Jump,Member_1_Points,Member_1_Elo,Member_1_Individual_Elo,Member_1_Sprint_Elo,Member_1_MassStart_Elo,Member_1_IndividualCompact_Elo,Member_2,Member_2_ID,Member_2_FisCode,Member_2_Sex,Member_2_Year,Member_2_Leg,Member_2_Jump,Member_2_Points,Member_2_Elo,Member_2_Individual_Elo,Member_2_Sprint_Elo,Member_2_MassStart_Elo,Member_2_IndividualCompact_Elo,Member_3,Member_3_ID,Member_3_FisCode,Member_3_Sex,Member_3_Year,Member_3_Leg,Member_3_Jump,Member_3_Points,Member_3_Elo,Member_3_Individual_Elo,Member_3_Sprint_Elo,Member_3_MassStart_Elo,Member_3_IndividualCompact_Elo,Member_4,Member_4_ID,Member_4_FisCode,Member_4_Sex,Member_4_Year,Member_4_Leg,Member_4_Jump,Member_4_Points,Member_4_Elo,Member_4_Individual_Elo,Member_4_Sprint_Elo,Member_4_MassStart_Elo,Member_4_IndividualCompact_Elo
UNITED STATES OF AMERICA II,USA,1,03/07/2026,Lahti,Finland,Team Sprint,True,1.0,,,186944,5034.524569744848,1258.631142436212,5029.891208210265,1257.4728020525663,5164.85459604425,1291.2136490110624,5084.520958385395,1271.1302395963487,5096.586715502751,1274.1466788756877,Tara Geraghty-Moats,58,101262,F,1993,1,,,1400.673148804085,1400.6166445608385,1300.0,1299.8314470384837,1331.4700951272528,Erik Lynch,372,100163,M,1994,2,,,1129.9846852661324,1120.3430301268077,1300.0,1219.4825174377995,1225.6249705852128,Unknown USA Male 3,,,M,,3,,,1235.13561204982,1235.6285361191476,1264.8545960442495,1275.7332209415003,1264.8813931147943,Unknown USA Female 4,,,F,,4,,,1268.7311236248108,1273.3029974034712,1300.0,1289.473772967611,1274.6102566754905
FINLAND II,FIN,2,03/07/2026,Lahti,Finland,Team Sprint,True,1.0,,,186862,5083.42278958565,1270.8556973964126,5130.365550115881,1282.5913875289702,5164.85459604425,1291.2136490110624,5108.170927527506,1277.0427318818765,5057.545575245111,1264.3863938112777,Heta Hirvonen,218,187403,F,2008,1,,,1308.6156683521128,1306.4701390447094,1300.0,1312.0418549307144,1272.8721584600614,Otto Niittykoski,1347,100587,M,2001,2,,,1270.9403855589064,1314.9638775485532,1300.0,1230.9220786876806,1245.1817669947643,Unknown FIN Male 3,,,M,,3,,,1235.13561204982,1235.6285361191476,1264.8545960442495,1275.7332209415003,1264.8813931147943,Unknown FIN Female 4,,,F,,4,,,1268.7311236248108,1273.3029974034712,1300.0,1289.473772967611,1274.6102566754905
NORWAY II,NOR,3,03/07/2026,Lahti,Finland,Team Sprint,True,1.0,,,186909,5624.5306333768185,1406.1326583442046,5572.119719838925,1393.0299299597314,5164.85459604425,1291.2136490110624,5292.131060451718,1323.0327651129296,5382.854723642478,1345.7136809106196,Marte Leinan Lund,7,100988,F,2001,1,,,1450.854773059163,1412.234038476475,1300.0,1359.9978825324245,1388.1825886683916,Einar Lurås Oftebro,1217,100797,M,1998,2,,,1669.8091246430242,1650.954147839832,1300.0,1366.9261840101822,1455.1804851838012,Unknown NOR Male 3,,,M,,3,,,1235.13561204982,1235.6285361191476,1264.8545960442495,1275.7332209415003,1264.8813931147943,Unknown NOR Female 4,,,F,,4,,,1268.7311236248108,1273.3029974034712,1300.0,1289.473772967611,1274.6102566754905
GERMANY II,GER,4,03/07/2026,Lahti,Finland,Team Sprint,True,1.0,,,186866,5639.63696333994,1409.909240834985,5586.547974345183,1396.6369935862958,5129.7091920885,1282.427298022125,5389.814384782741,1347.4535961956853,5384.790723062891,1346.1976807657227,Jenny Nowak,25,100696,F,2002,1,,,1421.5176554946888,1388.156095962275,1300.0,1359.8962088761082,1347.0169165628513,Vinzenz Geiger,1182,100119,M,1997,2,,,1714.2525721706206,1689.46034486029,1264.8545960442495,1464.711181997522,1498.2821567097544,Unknown GER Male 3,,,M,,3,,,1235.13561204982,1235.6285361191476,1264.8545960442495,1275.7332209415003,1264.8813931147943,Unknown GER Female 4,,,F,,4,,,1268.7311236248108,1273.3029974034712,1300.0,1289.473772967611,1274.6102566754905
AUSTRIA II,AUT,5,03/07/2026,Lahti,Finland,Team Sprint,True,1.0,,,186832,5458.584118193879,1364.6460295484696,5431.087617480958,1357.7719043702396,5164.85459604425,1291.2136490110624,5324.789810954799,1331.1974527386997,5275.841009339084,1318.960252334771,Claudia Purker,177,187079,F,1999,1,,,1281.6047773444693,1278.6702066059238,1300.0,1286.918735728022,1279.153022463081,Thomas Rettenegger,1467,100485,M,2000,2,,,1673.1126051747783,1643.485877352415,1300.0,1472.6640813176648,1457.1963370857177,Unknown AUT Male 3,,,M,,3,,,1235.13561204982,1235.6285361191476,1264.8545960442495,1275.7332209415003,1264.8813931147943,Unknown AUT Female 4,,,F,,4,,,1268.7311236248108,1273.3029974034712,1300.0,1289.473772967611,1274.6102566754905
CZECHIA,CZE,6,03/07/2026,Lahti,Finland,Team Sprint,True,1.0,,,101803,4881.883575063712,1220.470893765928,4986.743930692957,1246.6859826732393,5129.7091920885,1282.427298022125,5030.473774785533,1257.6184436963833,5015.359850170919,1253.8399625427298,Jolana Hradilova,87,101236,F,2004,1,,,1134.493824902918,1201.7071635972588,1300.0,1223.829966962746,1253.3975643921597,Jiri Konvalinka,2037,101122,M,2004,2,,,1243.523014486163,1276.10523357308,1264.8545960442495,1241.436813913676,1222.4706359884751,Unknown CZE Male 3,,,M,,3,,,1235.13561204982,1235.6285361191476,1264.8545960442495,1275.7332209415003,1264.8813931147943,Unknown CZE Female 4,,,F,,4,,,1268.7311236248108,1273.3029974034712,1300.0,1289.473772967611,1274.6102566754905
SLOVENIA,SLO,7,03/07/2026,Lahti,Finland,Team Sprint,True,1.0,,,101876,5230.124735717788,1307.531183929447,5210.2233927644875,1302.5558481911219,5129.7091920885,1282.427298022125,5181.485695467135,1295.3714238667837,5134.583535314068,1283.645883828517,Ema Volavsek,49,101146,F,2002,1,,,1447.293070273991,1422.5651807635609,1300.0,1344.5920173807087,1353.2967193689494,Vid Vrhovnik,1196,100395,M,1999,2,,,1278.964929769166,1278.7266784783078,1264.8545960442495,1271.6866841773146,1241.7951661548336,Unknown SLO Male 3,,,M,,3,,,1235.13561204982,1235.6285361191476,1264.8545960442495,1275.7332209415003,1264.8813931147943,Unknown SLO Female 4,,,F,,4,,,1268.7311236248108,1273.3029974034712,1300.0,1289.473772967611,1274.6102566754905
FRANCE,FRA,8,03/07/2026,Lahti,Finland,Team Sprint,True,1.0,,,101815,5175.157611890316,1293.789402972579,5166.554648403302,1291.6386621008255,5129.7091920885,1282.427298022125,5193.331735275968,1298.332933818992,5070.437381216547,1267.6093453041367,Léna Brocard,53,101072,F,2000,1,,,1353.027443872727,1341.2577187823208,1300.0,1335.3107354177585,1304.770875026786,Marco Heinis,1903,101168,M,2003,2,,,1318.2634323429577,1316.3653960983625,1264.8545960442495,1292.814005949098,1226.174856399476,Unknown FRA Male 3,,,M,,3,,,1235.13561204982,1235.6285361191476,1264.8545960442495,1275.7332209415003,1264.8813931147943,Unknown FRA Female 4,,,F,,4,,,1268.7311236248108,1273.3029974034712,1300.0,1289.473772967611,1274.6102566754905
JAPAN,JPN,9,03/07/2026,Lahti,Finland,Team Sprint,True,1.0,,,101836,5432.281523017017,1358.0703807542543,5402.989449864486,1350.7473624661216,5129.7091920885,1282.427298022125,5340.210935745426,1335.0527339363564,5232.189211877788,1308.047302969447,Yuna Kasai,161,101204,F,2004,1,,,1490.7878157630444,1445.8662717942682,1300.0,1384.500573143746,1365.6682737225503,Ryota Yamamoto,1154,100547,M,1997,2,,,1437.626971579342,1448.1916445475997,1264.8545960442495,1390.5033686925683,1327.0292883649524,Unknown JPN Male 3,,,M,,3,,,1235.13561204982,1235.6285361191476,1264.8545960442495,1275.7332209415003,1264.8813931147943,Unknown JPN Female 4,,,F,,4,,,1268.7311236248108,1273.3029974034712,1300.0,1289.473772967611,1274.6102566754905
UNITED STATES OF AMERICA I,USA,10,03/07/2026,Lahti,Finland,Team Sprint,True,1.0,,,186820,5373.415588466656,1343.353897116664,5327.157000791127,1331.7892501977817,5164.85459604425,1291.2136490110624,5234.081318811252,1308.520329702813,5221.526572351727,1305.3816430879317,Alexa Brabec,81,101376,F,2004,1,,,1452.2114018659142,1384.5861252715176,1300.0,1355.5926933047715,1377.0385974308429,Niklas Malacinski,1429,100908,M,2003,2,,,1417.337450926111,1433.6393419969904,1300.0,1313.2816315973687,1304.9963251305992,Unknown USA Male 3,,,M,,3,,,1235.13561204982,1235.6285361191476,1264.8545960442495,1275.7332209415003,1264.8813931147943,Unknown USA Female 4,,,F,,4,,,1268.7311236248108,1273.3029974034712,1300.0,1289.473772967611,1274.6102566754905
