"Team_Name","Nation","Team_Rank","Race_Date","City","Country","Race_Type","Is_Present","Team_Time","Team_TimeDiff","Team_Points","Total_Elo","Avg_Elo","Total_Individual_Elo","Avg_Individual_Elo","Total_Sprint_Elo","Avg_Sprint_Elo","Total_MassStart_Elo","Avg_MassStart_Elo","Total_IndividualCompact_Elo","Avg_IndividualCompact_Elo","Member_1","Member_1_ID","Member_1_FisCode","Member_1_Sex","Member_1_Year","Member_1_Leg","Member_1_Jump","Member_1_Points","Member_1_Elo","Member_1_Individual_Elo","Member_1_Sprint_Elo","Member_1_MassStart_Elo","Member_1_IndividualCompact_Elo","Member_2","Member_2_ID","Member_2_FisCode","Member_2_Sex","Member_2_Year","Member_2_Leg","Member_2_Jump","Member_2_Points","Member_2_Elo","Member_2_Individual_Elo","Member_2_Sprint_Elo","Member_2_MassStart_Elo","Member_2_IndividualCompact_Elo","Member_3","Member_3_ID","Member_3_FisCode","Member_3_Sex","Member_3_Year","Member_3_Leg","Member_3_Jump","Member_3_Points","Member_3_Elo","Member_3_Individual_Elo","Member_3_Sprint_Elo","Member_3_MassStart_Elo","Member_3_IndividualCompact_Elo","Member_4","Member_4_ID","Member_4_FisCode","Member_4_Sex","Member_4_Year","Member_4_Leg","Member_4_Jump","Member_4_Points","Member_4_Elo","Member_4_Individual_Elo","Member_4_Sprint_Elo","Member_4_MassStart_Elo","Member_4_IndividualCompact_Elo","Race1_Prob"
"NORWAY","NOR",1,"06/08/2025","Trondheim","Norway","Team","True","36:37.5","",101861,6723.75798432416,1680.93949608104,6628.64840028935,1657.16210007234,NA,NA,5593.90083140106,1398.47520785026,5758.75233772199,1439.6880844305,"Jens Lurås Oftebro",1329,100474,"M",2000,1,99.5,117.7,1719.29994281625,1727.88247529167,1258.4239288172,1392.92531987937,1466.07320443093,"Gyda Westvold Hansen",4,100845,FALSE,2002,2,102,115.6,1591.1302418045,1525.21721742443,NA,1356.38804687506,1400.88669139788,"Ida Marie Hagen",60,100733,FALSE,2000,3,95,105.5,1568.54426473525,1520.40197720697,NA,1350.83916926817,1406.73626667128,"Jarl Magnus Riiber",1150,100100,"M",1997,4,107,133.1,1844.78353496816,1855.14673036628,1258.4239288172,1493.74829537845,1485.0561752219,1
"GERMANY","GER",2,"06/08/2025","Trondheim","Norway","Team","True","37:54.3","+1:16.8",101818,6487.42122470571,1621.85530617643,6357.02764525757,1589.25691131439,NA,NA,5524.60948221865,1381.15237055466,5658.42448220135,1414.60612055034,"Julian Schmid",1348,100357,"M",1999,1,103.5,122.2,1759.26241024145,1751.03129058067,1258.4239288172,1450.49482730878,1464.58036806973,"Jenny Nowak",25,100696,FALSE,2002,2,94.5,105.2,1432.85252216727,1402.7635345565,NA,1322.77824525181,1331.81306258641,"Nathalie Armbruster",168,187104,FALSE,2006,3,93.5,95.3,1525.00850031126,1464.01657047904,NA,1340.17725423652,1395.76254086491,"Vinzenz Geiger",1182,100119,"M",1997,4,102.5,121.2,1770.29779198573,1739.21624964136,1258.4239288172,1411.15915542153,1466.26851068029,1
"AUSTRIA","AUT",3,"06/08/2025","Trondheim","Norway","Team","True","38:32.6","+1:55.1",101784,6267.39835476125,1566.84958869031,6203.68653579401,1550.9216339485,NA,NA,5509.57898629318,1377.3947465733,5555.10211225217,1388.77552806304,"Stefan Rettenegger",1775,100666,"M",2002,1,96.5,111.2,1697.99817126628,1690.02530887529,1258.4239288172,1430.88356740407,1458.2919188333,"Claudia Purker",177,187079,FALSE,1999,2,86.5,96.8,1267.59361627838,1261.19624706724,NA,1296.83766258015,1276.53651086334,"Lisa Hirner",52,101144,FALSE,2003,3,96.5,105,1483.48474228762,1464.91484051232,NA,1308.79676136933,1341.85938482722,"Johannes Lamparter",1469,100965,"M",2001,4,99.5,113.9,1818.32182492897,1787.55013933915,1258.4239288172,1473.06099493963,1478.41429772831,1
"JAPAN","JPN",4,"06/08/2025","Trondheim","Norway","Team","True","38:32.8","+1:55.3",101836,5994.6936178783,1498.67340446958,5912.67947044831,1478.16986761208,NA,NA,5397.06992800037,1349.26748200009,5362.99217818392,1340.74804454598,"Akito Watabe",3,1136,"M",1988,1,98.5,109.2,1475.83671218751,1491.78696146404,1304.64766133192,1336.06383815186,1303.13422267513,"Yuna Kasai",161,101204,FALSE,2004,2,94.5,96.7,1469.63945207832,1432.67619701124,NA,1343.44662340865,1332.47841728552,"Haruka Kasai",88,101203,FALSE,2004,3,100,118.5,1516.76142447388,1468.82824767686,NA,1339.61481938262,1383.17515630298,"Ryota Yamamoto",1154,100547,"M",1997,4,106,133.9,1532.4560291386,1519.38806429617,1258.4239288172,1377.94464705724,1344.20438192029,1
"FINLAND","FIN",5,"06/08/2025","Trondheim","Norway","Team","True","39:26.0","+2:48.5",101814,5830.04984947132,1457.51246236783,5803.82985168988,1450.95746292247,NA,NA,5388.55591688247,1347.13897922062,5409.30471560308,1352.32617890077,"Eero Hirvonen",1155,100439,"M",1996,1,75.5,60.3,1481.02083898783,1444.86827914402,1258.4239288172,1363.8002336638,1390.97955349719,"Minja Korhonen",200,187263,FALSE,2007,2,90.5,96.9,1381.45368932446,1356.79963827368,NA,1302.094022689,1345.95972484218,"Heta Hirvonen",218,187403,FALSE,2008,3,92,86.2,1254.47708860233,1277.54875192739,NA,1294.25595597682,1249.63613002186,"Ilkka Herola",97,100308,"M",1995,4,101,115.4,1713.09823255671,1724.61318234478,1258.4239288172,1428.40570455284,1422.72930724185,1
"FRANCE","FRA",6,"06/08/2025","Trondheim","Norway","Team","True","39:58.0","+3:20.5",101815,5455.23485833391,1363.80871458348,5389.45608669011,1347.36402167253,NA,NA,5219.28462914233,1304.82115728558,5266.25082415487,1316.56270603872,"Gael Blondeau",1485,100820,"M",2000,1,87,89.7,1262.22886698871,1222.33015752524,1258.4239288172,1254.89822546855,1300.20764934169,"Léna Brocard",53,101072,FALSE,2000,2,87.5,82.7,1388.62083544828,1357.42129698159,NA,1325.49982711455,1333.06013055061,"Marion Droz Vincent",229,187218,FALSE,2008,3,82,79.1,1265.16622001081,1278.17984976377,NA,1288.25595597682,1300,"Laurent Muhlethaler",1146,100434,"M",1997,4,94.5,108.4,1539.21893588612,1531.5247824195,1258.4239288172,1350.63062058241,1332.98304426257,1
"SLOVENIA","SLO",7,"06/08/2025","Trondheim","Norway","Team","True","39:58.6","+3:21.1",101876,5081.98533475343,1270.49633368836,5077.9747158146,1269.49367895365,NA,NA,5119.11974417956,1279.77993604489,5062.82233902315,1265.70558475579,"Vid Vrhovnik",1196,100395,"M",1999,1,90,88.7,1263.77172429741,1295.85205573586,1258.4239288172,1270.77083817609,1258.14561318583,"Ema Volavsek",49,101146,FALSE,2002,2,90.5,89.4,1420.14971806644,1389.54445793924,NA,1324.33401789668,1329.50476551322,"Tia Malovrh",221,187282,FALSE,2008,3,93,103.3,1305.87607552617,1308.66948472952,NA,1300,1300,"Gašper Brecl",1295,100398,"M",1999,4,89,93.2,1092.18781686342,1083.90871740998,1258.4239288172,1224.01488810679,1175.17196032411,1
"ITALY","ITA",8,"06/08/2025","Trondheim","Norway","Team","True","40:09.1","+3:31.6",101832,5079.48852607329,1269.87213151832,5033.12088201528,1258.28022050382,NA,NA,5141.61705181822,1285.40426295456,5178.01937235232,1294.50484308808,"Aaron Kostner",1193,100460,"M",1999,1,91,99.3,1353.03859216218,1337.38156433696,1258.4239288172,1280.21413830136,1316.04278047535,"Daniela Dejori",37,100683,FALSE,2002,2,78,71.1,1241.85613175042,1242.71362726667,NA,1284.1353139856,1308.74910901858,"Veronica Gianmoena",29,101198,FALSE,1995,3,81.5,69,1245.18359488321,1262.50030417887,NA,1292.11501169537,1271.00886046592,"Alessandro Pittin",8,1029,"M",1990,4,81,70.4,1239.41020727748,1190.52538623279,1288.81585544914,1285.1525878359,1282.21862239247,1
"UNITED STATES OF AMERICA","USA",9,"06/08/2025","Trondheim","Norway","Team","True","40:42.3","+4:04.8",101895,5232.33173164591,1308.08293291148,5205.11016413062,1301.27754103265,NA,NA,5157.60161942446,1289.40040485612,5208.93652951961,1302.2341323799,"Niklas Malacinski",1429,100908,"M",2003,1,89,96,1326.10161825037,1305.43574321219,1258.4239288172,1304.254730976,1306.71858474979,"Alexa Brabec",81,101376,FALSE,2004,2,102,106.9,1303.47626903447,1273.17329479081,NA,1292.82311867727,1318.99543694349,"Annika Malacinski",61,101377,FALSE,2001,3,86,86.8,1233.53079667993,1229.09144586049,NA,1285.87029612692,1300.49371123573,"Ben Loomis",1179,100423,"M",1998,4,95.5,104.1,1369.22304768113,1397.40968026713,1258.4239288172,1274.65347364426,1282.7287965906,1
"CZECHIA","CZE",10,"06/08/2025","Trondheim","Norway","Team","True","43:57.9","+7:20.4",101803,4771.67806794457,1192.91951698614,4858.29420248418,1214.57355062105,NA,NA,5093.68118410729,1273.42029602682,5012.1375919725,1253.03439799312,"Jan Vytrval",1239,100269,"M",1998,1,86.5,88.9,1264.58926746872,1249.24941159507,1258.4239288172,1277.95161770854,1244.55006057978,"Tereza Koldovska",89,101095,FALSE,2004,2,65,39.1,1080.44522693423,1131.21276671805,NA,1251.65457050729,1228.09544512066,"Jolana Hradilova",87,101236,FALSE,2004,3,65,30.6,1204.19701707849,1228.24116417861,NA,1287.05577581003,1273.75111014481,"Jiri Konvalinka",2037,101122,"M",2004,4,86.5,90.1,1222.44655646313,1249.59085999245,1258.4239288172,1277.01922008143,1265.74097612724,1
