"Team_Name","Nation","Team_Rank","Race_Date","City","Country","Race_Type","Is_Present","Race1_Prob","Team_Time","Team_TimeDiff","Team_Points","Total_Elo","Avg_Elo","Total_Individual_Elo","Avg_Individual_Elo","Total_Sprint_Elo","Avg_Sprint_Elo","Total_MassStart_Elo","Avg_MassStart_Elo","Total_IndividualCompact_Elo","Avg_IndividualCompact_Elo","Member_1","Member_1_ID","Member_1_FisCode","Member_1_Year","Member_1_Leg","Member_1_Jump","Member_1_Points","Member_1_Elo","Member_1_Individual_Elo","Member_1_Sprint_Elo","Member_1_MassStart_Elo","Member_1_IndividualCompact_Elo","Member_2","Member_2_ID","Member_2_FisCode","Member_2_Year","Member_2_Leg","Member_2_Jump","Member_2_Points","Member_2_Elo","Member_2_Individual_Elo","Member_2_Sprint_Elo","Member_2_MassStart_Elo","Member_2_IndividualCompact_Elo"
"NORWAY I","NOR",1,"05/25/2025","Trondheim","Norway","Team Sprint","True",1,"34:23.3","",74624,3392.31289371056,1696.15644685528,3415.61600044543,1707.80800022271,2516.84785763439,1258.4239288172,2811.94186995855,1405.97093497927,2911.98180831945,1455.99090415972,"Jens Lurås Oftebro",1329,100474,2000,1,117,105.1,1725.08207342019,1727.88247529167,1258.4239288172,1392.92531987937,1466.07320443093,"Jørgen Graabak",17,100002,1991,2,127,112.3,1667.23082029037,1687.73352515376,1258.4239288172,1419.01655007917,1445.90860388852
"AUSTRIA I","AUT",2,"05/25/2025","Trondheim","Norway","Team Sprint","True",1,"34:30.4","+7.1",102467,3531.48492752256,1765.74246376128,3477.57544821445,1738.78772410722,2516.84785763439,1258.4239288172,2903.9445623437,1451.97228117185,2936.7062165616,1468.3531082808,"Stefan Rettenegger",1775,100666,2002,1,111,92.3,1704.51216197382,1690.02530887529,1258.4239288172,1430.88356740407,1458.2919188333,"Johannes Lamparter",1469,100965,2001,2,135.5,132.3,1826.97276554874,1787.55013933915,1258.4239288172,1473.06099493963,1478.41429772831
"GERMANY II","GER",3,"05/25/2025","Trondheim","Norway","Team Sprint","True",1,"35:02.9","+39.6",74625,3400.5346578481,1700.26732892405,3335.37539871332,1667.68769935666,2516.84785763439,1258.4239288172,2868.39254997155,1434.19627498577,2909.83621403057,1454.91810701529,"Manuel Faißt",36,1600,1993,1,130.5,113.4,1618.20925651694,1596.15914907196,1258.4239288172,1457.23339455002,1443.56770335028,"Vinzenz Geiger",1182,100119,1997,2,129.5,118.2,1782.32540133117,1739.21624964136,1258.4239288172,1411.15915542153,1466.26851068029
"NORWAY II","NOR",4,"05/25/2025","Trondheim","Norway","Team Sprint","True",1,"35:09.3","+46.0",74628,2878.2700831001,1439.13504155005,2876.1119890834,1438.0559945417,2516.84785763439,1258.4239288172,2625.75362542332,1312.87681271166,2646.61134869778,1323.30567434889,"Espen Andersen",345,100025,1993,1,112.5,83.2,1427.66402358607,1470.46684665646,1258.4239288172,1314.47624698019,1281.03510121766,"Andreas Skoglund",1449,100566,2001,2,127,106.8,1450.60605951403,1405.64514242694,1258.4239288172,1311.27737844313,1365.57624748012
"AUSTRIA II","AUT",5,"05/25/2025","Trondheim","Norway","Team Sprint","True",1,"35:17.4","+54.1",74564,3033.72280161693,1516.86140080847,2984.8763372164,1492.4381686082,2516.84785763439,1258.4239288172,2700.96038507234,1350.48019253617,2673.64494463788,1336.82247231894,"Mario Seidl",88,1671,1992,1,132.5,118.9,1504.25007643239,1504.87344714803,1258.4239288172,1347.95902547606,1300,"Lukas Greiderer",1088,1674,1993,2,126,113.3,1529.47272518454,1480.00289006837,1258.4239288172,1353.00135959628,1373.64494463788
"UNITED STATES OF AMERICA I","USA",6,"05/25/2025","Trondheim","Norway","Team Sprint","True",1,"35:37.7","+1:14.4",133669,2527.6195659472,1263.8097829736,2457.22679517283,1228.61339758641,2516.84785763439,1258.4239288172,2532.93334980468,1266.46667490234,2609.10700271916,1304.55350135958,"Stephen Schumann",1237,100815,2000,1,113.5,101.4,1204.18357804973,1151.79105196064,1258.4239288172,1228.67861882868,1302.38841796937,"Niklas Malacinski",1429,100908,2003,2,116,93.9,1323.43598789746,1305.43574321219,1258.4239288172,1304.254730976,1306.71858474979
"FINLAND I","FIN",7,"05/25/2025","Trondheim","Norway","Team Sprint","True",1,"36:12.0","+1:48.7",74621,3199.62655482094,1599.81327741047,3169.4814614888,1584.7407307444,2516.84785763439,1258.4239288172,2792.20593821665,1396.10296910832,2813.70886073904,1406.85443036952,"Ilkka Herola",97,100308,1995,1,110.5,94.2,1720.41633510657,1724.61318234478,1258.4239288172,1428.40570455284,1422.72930724185,"Eero Hirvonen",1155,100439,1996,2,128,114.8,1479.21021971437,1444.86827914402,1258.4239288172,1363.8002336638,1390.97955349719
"FRANCE I","FRA",8,"05/25/2025","Trondheim","Norway","Team Sprint","True",1,"36:24.2","+2:00.9",133837,2656.58558703717,1328.29279351858,2616.7086256622,1308.3543128311,2516.84785763439,1258.4239288172,2648.88337794988,1324.44168897494,2604.86029200557,1302.43014600279,"Mael Tyrode",1318,100625,2000,1,104.5,77.7,1211.04337466818,1205.98541111859,1258.4239288172,1300,1263.38295673808,"Matteo Baud",1765,100756,2002,2,118,99.4,1445.54221236899,1410.7232145436,1258.4239288172,1348.88337794988,1341.47733526749
"GERMANY I","GER",9,"05/25/2025","Trondheim","Norway","Team Sprint","True",1,"36:53.4","+2:30.1",74622,3353.07222819736,1676.53611409868,3331.60418243542,1665.80209121771,2516.84785763439,1258.4239288172,2826.89660744919,1413.4483037246,2868.00038296911,1434.00019148456,"Terence Weber",1137,1821,1996,1,128,122.4,1583.63585180045,1580.57289185475,1258.4239288172,1376.40178014041,1403.42001489938,"Julian Schmid",1348,100357,1999,2,127.5,122.5,1769.4363763969,1751.03129058067,1258.4239288172,1450.49482730878,1464.58036806973
"ITALY II","ITA",10,"05/25/2025","Trondheim","Norway","Team Sprint","True",1,"37:13.4","+2:50.1",133676,2641.90720487057,1320.95360243528,2650.05502434914,1325.02751217457,2516.84785763439,1258.4239288172,2557.83087635174,1278.91543817587,2557.55975873401,1278.779879367,"Aaron Kostner",1193,100460,1999,1,115.5,97.4,1354.66841909962,1337.38156433696,1258.4239288172,1280.21413830136,1316.04278047535,"Raffaele Buzzi",1103,1774,1995,2,119,100,1287.23878577094,1312.67346001218,1258.4239288172,1277.61673805039,1241.51697825866
"FINLAND II","FIN",11,"05/25/2025","Trondheim","Norway","Team Sprint","True",1,"37:18.6","+2:55.3",74562,2645.63340466357,1322.81670233178,2681.91709040733,1340.95854520366,2516.84785763439,1258.4239288172,2545.40594355486,1272.70297177743,2553.80800417502,1276.90400208751,"Perttu Reponen",1463,100588,2002,1,107.5,72.4,1328.54511928633,1335.06107181615,1258.4239288172,1300,1300,"Otto Niittykoski",1347,100587,2001,2,115,98.3,1317.08828537723,1346.85601859117,1258.4239288172,1245.40594355486,1253.80800417502
"JAPAN I","JPN",12,"05/25/2025","Trondheim","Norway","Team Sprint","True",1,"37:20.8","+2:57.5",185082,3013.83044181889,1506.91522090944,3011.17502576021,1505.58751288011,2563.07159014911,1281.53579507456,2714.0084852091,1357.00424260455,2647.33860459542,1323.66930229771,"Ryota Yamamoto",1154,100547,1997,1,120.5,107.6,1534.16045137353,1519.38806429617,1258.4239288172,1377.94464705724,1344.20438192029,"Akito Watabe",3,1136,1988,2,118.5,112.7,1479.66999044536,1491.78696146404,1304.64766133192,1336.06383815186,1303.13422267513
"FRANCE II","FRA",13,"05/25/2025","Trondheim","Norway","Team Sprint","True",1,"37:41.0","+3:17.7",133836,2470.57929220503,1235.28964610252,2474.92786407096,1237.46393203548,2516.84785763439,1258.4239288172,2562.93469186588,1281.46734593294,2465.44256958879,1232.7212847944,"Antoine Gérard",1187,100323,1995,1,119.5,101.6,1228.40341763721,1217.53510131466,1258.4239288172,1295.10725584279,1271.24166666667,"Marco Heinis",1903,101168,2003,2,123.5,103.5,1242.17587456782,1257.3927627563,1258.4239288172,1267.82743602308,1194.20090292213
"ITALY I","ITA",14,"05/25/2025","Trondheim","Norway","Team Sprint","True",1,"38:15.7","+3:52.4",133667,2473.98777561296,1236.99388780648,2490.17371042513,1245.08685521257,2516.84785763439,1258.4239288172,2517.69113265571,1258.84556632785,2481.18444163965,1240.59222081983,"Samuel Costa",84,1562,1992,1,115,94.7,1383.32711065076,1385.02349679272,1258.4239288172,1277.3678759411,1312.58365352452,"Iacopo Bortolas",1768,100896,2003,2,125,123.1,1090.6606649622,1105.15021363241,1258.4239288172,1240.32325671461,1168.60078811513
