Nation,Season,Race,Place,Date,City,Country,Event,Sex,TeamSize,RaceType,Distance,MassStart,Team_Elo,Team_Individual_Elo,Team_IndividualCompact_Elo,Team_Sprint_Elo,Team_MassStart_Elo,Team_Pelo,Team_Individual_Pelo,Team_IndividualCompact_Pelo,Team_Sprint_Pelo,Team_MassStart_Pelo,Avg_Elo,Avg_Individual_Elo,Avg_IndividualCompact_Elo,Avg_Sprint_Elo,Avg_MassStart_Elo,Avg_Pelo,Avg_Individual_Pelo,Avg_IndividualCompact_Pelo,Avg_Sprint_Pelo,Avg_MassStart_Pelo,TeamMembers,MemberIDs,AvgAge,MaxAge,MinAge,AvgExp,MaxExp,MinExp
Norway,1988,7,1,1988-03-06,Lahti,Finland,World Cup,M,2,Team Sprint,N/A,0,2595.737381359615,2559.921687447206,2539.9903450853612,2546.6762470428644,2547.3880153664236,2559.969220666597,2545.898425241826,2571.4929661721553,2551.5474373779803,2600.0,1297.8686906798075,1279.960843723603,1269.9951725426806,1273.3381235214322,1273.6940076832118,1279.9846103332984,1272.949212620913,1285.7464830860777,1275.7737186889901,1300.0,"Bård Jørgen Elden,Trond Einar Elden","527,313",18.87748117727584,19.718001368925393,18.036960985626283,3.0,4,2
Finland,1988,7,2,1988-03-06,Lahti,Finland,World Cup,M,2,Team Sprint,N/A,0,2660.3976178625467,2635.637861834196,2539.9903450853612,2546.6762470428644,2547.3880153664236,2639.0997581816873,2601.3662396638924,2571.4929661721553,2551.5474373779803,2600.0,1330.1988089312733,1317.818930917098,1269.9951725426806,1273.3381235214322,1273.6940076832118,1319.5498790908437,1300.6831198319462,1285.7464830860777,1275.7737186889901,1300.0,"Jouko Karjalainen,Sami Leinonen","668,615",28.020533880903493,31.60848733744011,24.432580424366872,12.0,14,10
Finland,1988,7,3,1988-03-06,Lahti,Finland,World Cup,M,2,Team Sprint,N/A,0,2701.2971528159833,2697.5872697983636,2539.9903450853612,2546.6762470428644,2547.3880153664236,2693.02441652589,2634.564413574727,2571.4929661721553,2551.5474373779803,2600.0,1350.6485764079916,1348.7936348991818,1269.9951725426806,1273.3381235214322,1273.6940076832118,1346.512208262945,1317.2822067873635,1285.7464830860777,1275.7737186889901,1300.0,"Pasi Saapunki,Jukka Ylipulli","586,602",22.55441478439425,25.078713210130047,20.030116358658454,9.0,14,4
Czechia,1988,7,4,1988-03-06,Lahti,Finland,World Cup,M,2,Team Sprint,N/A,0,2603.4947908896293,2506.2117758454992,2539.9903450853612,2546.6762470428644,2547.3880153664236,2600.0,2511.1393146882815,2571.4929661721553,2551.5474373779803,2600.0,1301.7473954448146,1253.1058879227496,1269.9951725426806,1273.3381235214322,1273.6940076832118,1300.0,1255.5696573441408,1285.7464830860777,1275.7737186889901,1300.0,"Michal Pustejovsky,Radek Skopek","614,644",18.832306639288156,19.488021902806295,18.17659137577002,1.0,1,1
Norway,1988,7,5,1988-03-06,Lahti,Finland,World Cup,M,2,Team Sprint,N/A,0,2580.694504312291,2539.308608134589,2539.9903450853612,2546.6762470428644,2547.3880153664236,2586.428896658184,2539.3375634757167,2571.4929661721553,2551.5474373779803,2600.0,1290.3472521561455,1269.6543040672946,1269.9951725426806,1273.3381235214322,1273.6940076832118,1293.214448329092,1269.6687817378584,1285.7464830860777,1275.7737186889901,1300.0,"Jon Andersen,Knut Tore Apeland","645,312",21.12662559890486,23.019849418206707,19.23340177960301,1.5,2,1
Norway,1988,7,6,1988-03-06,Lahti,Finland,World Cup,M,2,Team Sprint,N/A,0,2509.3000139462383,2521.163317172805,2539.9903450853612,2546.6762470428644,2547.3880153664236,2521.3490760826976,2569.360774213288,2571.4929661721553,2551.5474373779803,2600.0,1254.6500069731192,1260.5816585864025,1269.9951725426806,1273.3381235214322,1273.6940076832118,1260.6745380413488,1284.680387106644,1285.7464830860777,1275.7737186889901,1300.0,"Ansgar Danielsen,John Riiber","616,620",22.288843258042437,22.836413415468858,21.741273100616016,4.5,7,2
Finland,1988,7,7,1988-03-06,Lahti,Finland,World Cup,M,1,Team Sprint,N/A,0,1201.77609806704,1209.6774365803572,1269.9951725426806,1273.3381235214322,1273.6940076832118,1209.9814489046666,1193.738160682773,1285.7464830860777,1275.7737186889901,1300.0,1201.77609806704,1209.6774365803572,1269.9951725426806,1273.3381235214322,1273.6940076832118,1209.9814489046666,1193.738160682773,1285.7464830860777,1275.7737186889901,1300.0,Kari Jääskeläinen,1743,24.019164955509925,24.019164955509925,24.019164955509925,3.0,3,3
Sweden,1988,7,7,1988-03-06,Lahti,Finland,World Cup,M,1,Team Sprint,N/A,0,1201.7263952346962,1209.7027202118395,1269.9951725426806,1273.3381235214322,1273.6940076832118,1209.928896658184,1193.7679061315757,1285.7464830860777,1275.7737186889901,1300.0,1201.7263952346962,1209.7027202118395,1269.9951725426806,1273.3381235214322,1273.6940076832118,1209.928896658184,1193.7679061315757,1285.7464830860777,1275.7737186889901,1300.0,Göran Andersson,1600,23.019849418206707,23.019849418206707,23.019849418206707,2.0,2,2
Finland,1988,7,8,1988-03-06,Lahti,Finland,World Cup,M,2,Team Sprint,N/A,0,2532.546012883713,2518.235869658003,2539.9903450853612,2546.6762470428644,2547.3880153664236,2567.1882536938465,2514.546106444439,2571.4929661721553,2551.5474373779803,2600.0,1266.2730064418565,1259.1179348290016,1269.9951725426806,1273.3381235214322,1273.6940076832118,1283.5941268469232,1257.2730532222195,1285.7464830860777,1275.7737186889901,1300.0,"Arto Immonen,Jyri Pelkonen","1752,629",22.10403832991102,22.206707734428473,22.001368925393567,3.0,5,1
Finland,2007,7,1,2007-01-03,Ruhpolding,Germany,World Cup,M,2,Team Sprint,7.5,0,3349.5123819306364,3364.653098817555,2539.9903450853612,3019.881478544461,2878.8953396726483,3336.5651959403694,3334.454418043365,2571.4929661721553,2984.720341495389,2832.3293957337205,1674.7561909653182,1682.3265494087775,1269.9951725426806,1509.9407392722305,1439.4476698363242,1668.2825979701847,1667.2272090216825,1285.7464830860777,1492.3601707476946,1416.1646978668603,"Anssi Koivuranta,Hannu Manninen","140,110",23.60848733744011,28.71457905544148,18.50239561943874,111.5,185,38
