Date,City,Country,Sex,Distance,Event,MS,Technique,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Pelo,Elo
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,1,Gaby Nestler,Germany,2542,1986,4,1967-02-16T00:00:00.000000,18.902121834360027,15,1300.0,1435.3709677419356
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,2,Carola Anding Jacob,Germany,2556,1986,4,1960-12-29T00:00:00.000000,25.034907597535934,21,1300.0,1431.8548387096773
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,3,Simone Opitz,Germany,1452,1986,4,1963-07-03T00:00:00.000000,22.527036276522928,8,1300.0,1428.3387096774193
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,4,Brit Pettersen Tofte,Norway,2534,1986,4,1961-11-24T00:00:00.000000,24.13141683778234,47,1300.0,1424.8225806451612
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,5,Anne Jahren,Norway,1000,1986,4,1963-06-20T00:00:00.000000,22.562628336755647,36,1300.0,1421.3064516129032
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,6,Alzbeta Havrancikova,Slovakia,1020,1986,4,1963-09-27T00:00:00.000000,22.29158110882957,20,1300.0,1417.7903225806451
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,7,Karin Lamberg-Skog,Sweden,2484,1986,4,1961-01-17T00:00:00.000000,24.982888432580424,27,1300.0,1414.274193548387
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,8,Evi Kratzer,Switzerland,2486,1986,4,1961-01-24T00:00:00.000000,24.9637234770705,45,1300.0,1410.758064516129
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,9,Marianne Dahlmo,Norway,1386,1986,4,1965-01-05T00:00:00.000000,21.01574264202601,10,1300.0,1407.241935483871
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,10,Marjo Matikainen-Kallström,Finland,2485,1986,4,1965-02-03T00:00:00.000000,20.93634496919918,16,1300.0,1403.725806451613
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,11,Guidina Dal Sasso,Italy,1168,1986,4,1958-01-16T00:00:00.000000,27.98631074606434,22,1300.0,1400.2096774193549
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,12,Nina Koroleva,Soviet,2548,1986,4,1962-03-24T00:00:00.000000,23.802874743326488,5,1300.0,1396.6935483870968
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,13,Marie Johansson,Sweden,2535,1986,4,1963-06-30T00:00:00.000000,22.535249828884325,30,1300.0,1393.1774193548388
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,14,Susann Kuhfittig,Germany,2492,1986,4,1965-09-01T00:00:00.000000,20.361396303901437,5,1300.0,1387.9032258064517
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,14,Berit Kvello Aunli,Norway,2549,1986,4,1956-06-09T00:00:00.000000,29.590691307323752,40,1300.0,1387.9032258064517
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,16,Tamara Tikhonova,Soviet,1537,1986,4,1964-06-13T00:00:00.000000,21.579739904175224,14,1300.0,1382.6290322580644
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,17,Angela Schmidt-Foster,Canada,1471,1986,4,1960-01-06T00:00:00.000000,26.015058179329227,26,1300.0,1379.1129032258063
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,18,Nina Gavriljuk,Soviet,366,1986,4,1965-04-13T00:00:00.000000,20.747433264887064,1,1300.0,1375.5967741935483
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,19,Anfisa Reztsova,Soviet,622,1986,4,1964-12-16T00:00:00.000000,21.07049965776865,16,1300.0,1372.0806451612902
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,20,Jana Mlakar,Slovenia,2630,1986,4,1962-05-11T00:00:00.000000,23.67145790554415,10,1300.0,1368.5645161290322
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,21,Catrin Larsson,Sweden,1457,1986,4,1961-01-01T00:00:00.000000,25.026694045174537,3,1300.0,1365.0483870967741
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,22,Ute Noack,Germany,2585,1986,4,1961-12-27T00:00:00.000000,24.041067761806982,35,1300.0,1361.532258064516
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,23,Karin Thomas,Switzerland,2518,1986,4,1961-10-03T00:00:00.000000,24.27378507871321,32,1300.0,1358.016129032258
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,24,Larissa Lazutina,Soviet,417,1986,4,1965-06-01T00:00:00.000000,20.61327857631759,4,1300.0,1354.5
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,25,Anna Janouskova,Czechia,1458,1986,4,1965-07-12T00:00:00.000000,20.501026694045173,3,1300.0,1350.983870967742
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,26,Eija Hyytiäinen Ristanen,Finland,2467,1986,4,1961-01-04T00:00:00.000000,25.01848049281314,33,1300.0,1347.467741935484
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,27,Pirkko Määttä,Finland,1325,1986,4,1959-03-07T00:00:00.000000,26.850102669404517,34,1300.0,1343.9516129032259
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,28,Marie-Andree Masson,Canada,2487,1986,4,1963-10-08T00:00:00.000000,22.261464750171115,13,1300.0,1340.4354838709678
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,29,Annika Dahlman,Sweden,2538,1986,4,1964-01-24T00:00:00.000000,21.965776865160848,15,1300.0,1336.9193548387098
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,30,Anette Bøe,Norway,2515,1986,4,1957-11-05T00:00:00.000000,28.18343600273785,43,1300.0,1333.4032258064517
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,31,Annelies Lengacher,Switzerland,2599,1986,4,1960-01-22T00:00:00.000000,25.971252566735114,11,1300.0,1328.1290322580646
1986-01-11,Les Saisies,France,L,10,World Cup,0,F,31,Bice Vanzetta,Italy,1373,1986,4,1961-03-07T00:00:00.000000,24.84873374401095,1,1300.0,1328.1290322580646
