Date,City,Country,Sex,Distance,Event,MS,Technique,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Pelo,Elo
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,1,Nina Gavriljuk,Russia,366,2000,8,1965-04-13 00:00:00.000000,34.704996577686515,154,1300.0,1358.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,2,Anita Moen,Norway,368,2000,8,1967-08-31 00:00:00.000000,32.323066392881586,130,1300.0,1356.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,3,Svetlana Nagejkina,Russia,286,2000,8,1965-02-02 00:00:00.000000,34.89664613278576,161,1300.0,1353.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,4,Marit Roaldseth,Norway,347,2000,8,1977-07-27 00:00:00.000000,22.417522245037645,13,1300.0,1350.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,5,Bente Skari,Norway,373,2000,8,1972-09-10 00:00:00.000000,27.293634496919918,108,1300.0,1348.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,6,Olga Danilova,Russia,406,2000,8,1970-06-10 00:00:00.000000,29.546885694729635,117,1300.0,1345.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,7,Guri Knotten Hetland,Norway,429,2000,8,1974-07-20 00:00:00.000000,25.437371663244353,44,1300.0,1342.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,8,Hilde Gjermundshaug Pedersen,Norway,238,2000,8,1964-11-08 00:00:00.000000,35.13210130047912,23,1300.0,1340.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,9,Gabriella Paruzzi,Italy,289,2000,8,1969-06-21 00:00:00.000000,30.5160848733744,173,1300.0,1337.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,10,Anfisa Reztsova,Russia,622,2000,8,1964-12-16 00:00:00.000000,35.0280629705681,60,1300.0,1334.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,11,Julija Tchepalova,Russia,212,2000,8,1976-12-23 00:00:00.000000,23.00889801505818,74,1300.0,1332.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,12,Manuela Henkel,Germany,182,2000,8,1974-12-04 00:00:00.000000,25.062286105407257,69,1300.0,1329.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,13,Irina Skladneva Lusina,Russia,413,2000,8,1974-02-04 00:00:00.000000,25.89185489390828,36,1300.0,1326.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,14,Tina Bay,Norway,380,2000,8,1973-05-30 00:00:00.000000,26.576317590691307,32,1300.0,1324.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,15,Maj Helen Nymoen Sorkmo,Norway,369,2000,8,1969-08-14 00:00:00.000000,30.368240930869266,101,1300.0,1321.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,16,Evi Sachenbacher-Stehle,Germany,61,2000,8,1980-11-27 00:00:00.000000,19.080082135523615,14,1300.0,1318.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,17,Andrea Huber,Switzerland,362,2000,8,1975-05-09 00:00:00.000000,24.635181382614647,58,1300.0,1316.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,18,Viola Bauer,Germany,251,2000,8,1976-12-13 00:00:00.000000,23.0362765229295,9,1300.0,1313.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,19,Isabel Klaus,Germany,334,2000,8,1978-04-27 00:00:00.000000,21.66735112936345,2,1300.0,1310.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,20,Irina Taranenko Terelia,Ukraine,384,2000,8,1966-03-31 00:00:00.000000,33.74127310061601,126,1300.0,1308.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,21,Kristina Smigun-Vähi,Estonia,140,2000,8,1977-02-23 00:00:00.000000,22.83915126625599,79,1300.0,1305.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,22,Nina Kemppel,USA,392,2000,8,1970-10-14 00:00:00.000000,29.201916495550993,105,1300.0,1302.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,23,Anita Hakala,Finland,621,2000,8,1971-09-15 00:00:00.000000,28.281998631074607,29,1300.0,1300.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,24,Sabina Valbusa,Italy,142,2000,8,1972-01-21 00:00:00.000000,27.931553730321696,111,1300.0,1297.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,25,Ramona Roth,Germany,438,2000,8,1977-03-07 00:00:00.000000,22.806297056810404,15,1300.0,1294.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,26,Andreja Mali,Slovenia,342,2000,8,1977-11-17 00:00:00.000000,22.10814510609172,34,1300.0,1292.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,27,Beckie Scott,Canada,291,2000,8,1974-08-01 00:00:00.000000,25.404517453798768,66,1300.0,1289.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,28,Andrea Senteler,Switzerland,388,2000,8,1977-04-28 00:00:00.000000,22.663928815879533,26,1300.0,1286.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,29,Anke Reschwamm Schulze,Germany,308,2000,8,1972-12-08 00:00:00.000000,27.04996577686516,83,1300.0,1284.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,30,Karin Moroder,Italy,157,2000,8,1974-11-30 00:00:00.000000,25.073237508555785,61,1300.0,1281.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,31,Valentina Shevchenko,Ukraine,20,2000,8,1975-10-02 00:00:00.000000,24.23545516769336,72,1300.0,1278.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,32,Antonina Ordina,Sweden,427,2000,8,1962-01-24 00:00:00.000000,37.921971252566735,123,1300.0,1276.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,33,Elin Ek,Sweden,294,2000,8,1973-08-31 00:00:00.000000,26.321697467488022,65,1300.0,1273.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,34,Annick Vaxelaire-Pierrel,France,372,2000,8,1974-07-19 00:00:00.000000,25.440109514031484,81,1300.0,1270.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,35,Laurence Rochat,Switzerland,166,2000,8,1979-08-01 00:00:00.000000,20.40520191649555,8,1300.0,1268.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,36,Brigitte Albrecht-Loretan,Switzerland,395,2000,8,1970-10-06 00:00:00.000000,29.22381930184805,144,1300.0,1265.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,37,Riikka Sirviö,Finland,371,2000,8,1974-04-11 00:00:00.000000,25.711156741957563,55,1300.0,1262.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,38,Karine Laurent Philippot,France,138,2000,8,1974-10-29 00:00:00.000000,25.16084873374401,54,1300.0,1260.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,39,Marit Bjørgen,Norway,2,2000,8,1980-03-21 00:00:00.000000,19.76728268309377,1,1300.0,1257.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,40,Larissa Lazutina,Russia,417,2000,8,1965-06-01 00:00:00.000000,34.57084188911704,191,1300.0,1254.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,41,Anna Santer,Italy,333,2000,8,1975-04-18 00:00:00.000000,24.692676249144423,25,1300.0,1252.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,42,Salla Juntunen,Finland,620,2000,8,1977-05-21 00:00:00.000000,22.600958247775495,9,1300.0,1249.3333333333333
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,43,Seraina Mischol,Switzerland,172,2000,8,1981-12-01 00:00:00.000000,18.069815195071868,1,1300.0,1246.6666666666667
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,44,Nicole Kunz,Switzerland,927,2000,8,1982-04-19 00:00:00.000000,17.689253935660506,1,1300.0,1244.0
1999-12-27,Engelberg,Switzerland,L,Sprint,World Cup,0,C,45,Kanoko Goto,Japan,398,2000,8,1975-08-23 00:00:00.000000,24.344969199178646,7,1300.0,1241.3333333333333
2000-02-28,Stockholm,Sweden,L,Sprint,World Cup,0,C,1,Bente Skari,Norway,373,2000,20,1972-09-10 00:00:00.000000,27.46611909650924,118,1348.0,1412.4233982932865
2000-02-28,Stockholm,Sweden,L,Sprint,World Cup,0,C,2,Pirjo Muranen,Finland,35,2000,20,1981-03-08 00:00:00.000000,18.976043805612594,10,1300.0,1371.9794397137052
2000-02-28,Stockholm,Sweden,L,Sprint,World Cup,0,C,3,Kati Venäläinen-Sundqvist,Finland,265,2000,20,1975-02-15 00:00:00.000000,25.034907597535934,66,1300.0,1369.3127730470385
2000-02-28,Stockholm,Sweden,L,Sprint,World Cup,0,C,4,Larissa Lazutina,Russia,417,2000,20,1965-06-01 00:00:00.000000,34.743326488706366,203,1254.6666666666667,1330.9292986843202
2000-02-28,Stockholm,Sweden,L,Sprint,World Cup,0,C,5,Lina Andersson,Sweden,48,2000,20,1981-03-18 00:00:00.000000,18.94866529774127,8,1300.0,1363.9794397137052
2000-02-28,Stockholm,Sweden,L,Sprint,World Cup,0,C,6,Maj Helen Nymoen Sorkmo,Norway,369,2000,20,1969-08-14 00:00:00.000000,30.54072553045859,111,1321.3333333333333,1378.0859158558799
2000-02-28,Stockholm,Sweden,L,Sprint,World Cup,0,C,7,Beckie Scott,Canada,291,2000,20,1974-08-01 00:00:00.000000,25.57700205338809,73,1289.3333333333333,1350.2580040345892
2000-02-28,Stockholm,Sweden,L,Sprint,World Cup,0,C,8,Riikka Sirviö,Finland,371,2000,20,1974-04-11 00:00:00.000000,25.883641341546884,59,1262.6666666666667,1326.5828986885995
2000-02-28,Stockholm,Sweden,L,Sprint,World Cup,0,C,9,Olga Danilova,Russia,406,2000,20,1970-06-10 00:00:00.000000,29.71937029431896,129,1345.3333333333333,1388.9861070990833
2000-02-28,Stockholm,Sweden,L,Sprint,World Cup,0,C,10,Olga Korneeva Savialova,Russia,77,2000,20,1972-08-24 00:00:00.000000,27.512662559890487,93,1300.0,1350.646106380372
2000-02-28,Stockholm,Sweden,L,Sprint,World Cup,0,C,11,Nina Gavriljuk,Russia,366,2000,20,1965-04-13 00:00:00.000000,34.87748117727584,166,1358.6666666666667,1394.1833865623012
2000-02-28,Stockholm,Sweden,L,Sprint,World Cup,0,C,12,Hilde Gjermundshaug Pedersen,Norway,238,2000,20,1964-11-08 00:00:00.000000,35.304585900068446,31,1340.0,1376.7810008515928
