Date,City,Country,Sex,Distance,Event,MS,Technique,Place,Skier,Nation,ID,Season,Race,Birthday,Age,Exp,Pelo,Elo
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,1,Fabio Maj,Italy,445,2000,8,1970-06-16T00:00:00.000000,29.530458590006845,120,1300.0,1405.3023255813953
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,2,Espen Bjervig,Norway,457,2000,8,1972-06-30T00:00:00.000000,27.49075975359343,36,1300.0,1402.6697674418604
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,3,Odd-Bjørn Hjelmeset,Norway,96,2000,8,1971-12-06T00:00:00.000000,28.057494866529773,51,1300.0,1400.0372093023257
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,4,Morten Brørs,Norway,471,2000,8,1973-07-28T00:00:00.000000,26.414784394250514,10,1300.0,1397.4046511627907
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,5,Tor Arne Hetland,Norway,221,2000,8,1974-01-12T00:00:00.000000,25.95482546201232,45,1300.0,1394.7720930232558
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,6,Achim Walcher,Austria,488,2000,8,1967-12-01T00:00:00.000000,32.07118412046543,62,1300.0,1392.139534883721
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,7,Silvio Fauner,Italy,420,2000,8,1968-11-01T00:00:00.000000,31.151266255989047,174,1300.0,1389.506976744186
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,8,Andrus Veerpalu,Estonia,72,2000,8,1971-02-08T00:00:00.000000,28.881587953456535,70,1300.0,1386.874418604651
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,9,Frode Estil,Norway,296,2000,8,1972-05-31T00:00:00.000000,27.57289527720739,46,1300.0,1384.2418604651164
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,10,Morgan Göransson,Sweden,479,2000,8,1972-01-01T00:00:00.000000,27.98631074606434,68,1300.0,1381.6093023255814
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,11,Markus Hasler,Liechtenstein,352,2000,8,1971-10-03T00:00:00.000000,28.23271731690623,107,1300.0,1378.9767441860465
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,12,Mathias Fredriksson,Sweden,85,2000,8,1973-02-11T00:00:00.000000,26.872005475701574,110,1300.0,1376.3441860465116
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,13,Sami Repo,Finland,402,2000,8,1971-11-08T00:00:00.000000,28.134154688569474,94,1300.0,1373.7116279069767
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,14,Vincent Vittoz,France,30,2000,8,1975-07-17T00:00:00.000000,24.44626967830253,60,1300.0,1371.0790697674418
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,15,Cristian Zorzi,Italy,170,2000,8,1972-08-14T00:00:00.000000,27.367556468172484,41,1300.0,1368.446511627907
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,16,Markus Gandler,Austria,532,2000,8,1966-08-20T00:00:00.000000,33.35249828884326,136,1300.0,1365.8139534883721
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,17,Håvard Bjerkeli,Norway,358,2000,8,1977-08-05T00:00:00.000000,22.392881587953458,6,1300.0,1363.1813953488372
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,18,Fulvio Valbusa,Italy,348,2000,8,1969-02-15T00:00:00.000000,30.861054072553046,137,1300.0,1360.5488372093023
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,19,Freddy Schwienbacher,Italy,292,2000,8,1975-08-03T00:00:00.000000,24.399726214921287,10,1300.0,1357.9162790697674
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,20,Håvard Solbakken,Norway,406,2000,8,1973-08-09T00:00:00.000000,26.38193018480493,14,1300.0,1355.2837209302324
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,21,Johann Mühlegg,Spain,486,2000,8,1970-11-08T00:00:00.000000,29.13347022587269,110,1300.0,1352.6511627906978
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,22,Jaak Mae,Estonia,102,2000,8,1972-02-25T00:00:00.000000,27.835728952772072,64,1300.0,1350.0186046511628
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,23,Rene Sommerfeldt,Germany,159,2000,8,1974-10-02T00:00:00.000000,25.234770704996578,66,1300.0,1347.386046511628
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,24,Urban Lindgren,Sweden,478,2000,8,1973-04-18T00:00:00.000000,26.691307323750856,23,1300.0,1344.753488372093
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,25,Jörgen Brink,Sweden,313,2000,8,1974-03-10T00:00:00.000000,25.79876796714579,19,1300.0,1342.120930232558
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,26,Marc Mayer,Austria,489,2000,8,1978-07-18T00:00:00.000000,21.44284736481862,6,1300.0,1339.4883720930231
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,27,Tore Bjonviken,Norway,377,2000,8,1975-01-02T00:00:00.000000,24.982888432580424,23,1300.0,1336.8558139534885
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,28,Marcus Nash,USA,533,2000,8,1971-04-01T00:00:00.000000,28.739219712525667,59,1300.0,1334.2232558139535
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,29,Vitaly Denisov,Russia,447,2000,8,1976-02-27T00:00:00.000000,23.83025325119781,29,1300.0,1331.5906976744186
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,30,Christoph Sumann,Austria,498,2000,8,1976-01-19T00:00:00.000000,23.93702943189596,20,1300.0,1328.9581395348837
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,31,Juan Jesus Gutierrez,Spain,356,2000,8,1969-06-26T00:00:00.000000,30.50239561943874,97,1300.0,1326.3255813953488
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,32,Justin Wadsworth,USA,458,2000,8,1968-08-14T00:00:00.000000,31.367556468172484,73,1300.0,1323.6930232558138
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,33,Bruno Carrara,Italy,400,2000,8,1977-02-01T00:00:00.000000,22.899383983572896,10,1300.0,1321.0604651162791
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,34,Ari Palolahti,Finland,380,2000,8,1968-09-09T00:00:00.000000,31.29637234770705,47,1300.0,1318.4279069767442
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,35,Stephan Kunz,Liechtenstein,449,2000,8,1972-01-31T00:00:00.000000,27.904175222450377,68,1300.0,1315.7953488372093
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,36,Matej Soklic,Slovenia,440,2000,8,1973-06-15T00:00:00.000000,26.532511978097194,21,1300.0,1313.1627906976744
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,37,Giorgio Di Centa,Italy,20,2000,8,1972-10-07T00:00:00.000000,27.21971252566735,74,1300.0,1310.5302325581395
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,38,Vasja Rupnik,Slovenia,468,2000,8,1977-06-06T00:00:00.000000,22.55715263518138,15,1300.0,1307.8976744186045
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,39,Nikolai Bolchakov,Russia,385,2000,8,1977-05-11T00:00:00.000000,22.628336755646817,7,1300.0,1305.2651162790698
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,40,Patrik Mächler,Switzerland,444,2000,8,1972-11-28T00:00:00.000000,27.07734428473648,44,1300.0,1302.632558139535
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,41,Keijo Kurttila,Finland,336,2000,8,1975-04-08T00:00:00.000000,24.720054757015742,1,1300.0,1300.0
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,42,Marko Kinnunen,Finland,441,2000,8,1971-03-29T00:00:00.000000,28.747433264887064,8,1300.0,1297.367441860465
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,43,Masaaki Kozu,Japan,157,2000,8,1974-11-19T00:00:00.000000,25.103353867214235,43,1300.0,1294.7348837209302
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,44,Reto Burgermeister,Switzerland,299,2000,8,1975-09-07T00:00:00.000000,24.303901437371664,27,1300.0,1292.1023255813955
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,45,Pavo Raudsepp,Estonia,490,2000,8,1973-10-09T00:00:00.000000,26.21492128678987,28,1300.0,1289.4697674418605
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,46,Alexei Prokourorov,Russia,482,2000,8,1964-03-25T00:00:00.000000,35.75633127994524,207,1300.0,1286.8372093023256
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,47,Jens Filbrich,Germany,19,2000,8,1979-03-13T00:00:00.000000,20.791238877481177,4,1300.0,1284.2046511627907
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,48,Dominik Walpen,Switzerland,2675,2000,8,1974-01-01T00:00:00.000000,25.984941820670773,2,1300.0,1281.5720930232558
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,49,Tobias Angerer,Germany,75,2000,8,1977-04-12T00:00:00.000000,22.707734428473646,7,1300.0,1278.9395348837209
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,50,Victor Revin,Russia,364,2000,8,1975-05-18T00:00:00.000000,24.61054072553046,3,1300.0,1276.3069767441862
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,51,Thomas Stöggl,Austria,307,2000,8,1977-05-01T00:00:00.000000,22.65571526351814,5,1300.0,1273.6744186046512
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,52,Gilles Marguet,France,540,2000,8,1967-12-03T00:00:00.000000,32.06570841889117,27,1300.0,1271.0418604651163
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,53,Gion Andrea Bundi,Switzerland,287,2000,8,1976-05-18T00:00:00.000000,23.60848733744011,22,1300.0,1268.4093023255814
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,54,Urs Graf,Switzerland,1909,2000,8,1975-12-11T00:00:00.000000,24.043805612594113,3,1300.0,1265.7767441860465
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,55,Sami Saari,Finland,535,2000,8,1975-04-15T00:00:00.000000,24.700889801505816,8,1300.0,1263.1441860465115
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,56,Ludovic Vandel,France,519,2000,8,1978-08-17T00:00:00.000000,21.360711841204655,1,1300.0,1260.5116279069769
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,57,Mikael Östberg,Sweden,281,2000,8,1977-05-21T00:00:00.000000,22.600958247775495,6,1300.0,1257.879069767442
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,58,Konstantin Gostiaev,Russia,534,2000,8,1978-02-24T00:00:00.000000,21.83709787816564,17,1300.0,1255.246511627907
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,59,Torald Rein,Germany,600,2000,8,1968-10-22T00:00:00.000000,31.17864476386037,91,1300.0,1252.613953488372
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,60,Patrick Rölli,Switzerland,496,2000,8,1972-10-30T00:00:00.000000,27.156741957563312,34,1300.0,1249.9813953488372
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,61,Christian Stolz,Switzerland,560,2000,8,1976-01-01T00:00:00.000000,23.98631074606434,14,1300.0,1247.3488372093022
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,62,Matej Jaksa,Slovenia,3543,2000,8,1980-04-27T00:00:00.000000,19.665982203969882,2,1300.0,1244.7162790697676
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,63,Raul Seema,Estonia,6316,2000,8,1976-01-08T00:00:00.000000,23.967145790554415,5,1300.0,1242.0837209302326
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,64,Christian Schocher,Switzerland,562,2000,8,1977-01-01T00:00:00.000000,22.98425735797399,7,1300.0,1239.4511627906977
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,65,Maurizio Pozzi,Italy,506,2000,8,1970-06-25T00:00:00.000000,29.505817932922657,73,1300.0,1236.8186046511628
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,66,Carl Swenson,USA,350,2000,8,1970-04-20T00:00:00.000000,29.686516084873375,12,1300.0,1234.1860465116279
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,67,Anders Södergren,Sweden,36,2000,8,1977-05-17T00:00:00.000000,22.611909650924023,6,1300.0,1231.553488372093
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,68,Christoph Schnider,Switzerland,417,2000,8,1976-12-28T00:00:00.000000,22.99520876112252,3,1300.0,1228.9209302325582
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,69,Lefteris Fafalis,Greece,312,2000,8,1976-02-17T00:00:00.000000,23.85763175906913,8,1300.0,1226.2883720930233
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,70,Wilhelm Aschwanden,Switzerland,405,2000,8,1969-12-18T00:00:00.000000,30.023271731690624,92,1300.0,1223.6558139534884
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,71,Thomas Muerner,Switzerland,6317,2000,8,1976-01-01T00:00:00.000000,23.98631074606434,1,1300.0,1221.0232558139535
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,72,Rolf Zurbrügg,Switzerland,6313,2000,8,1971-01-01T00:00:00.000000,28.985626283367555,4,1300.0,1218.3906976744186
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,73,Simon Hallenbarter,Switzerland,6318,2000,8,1979-03-05T00:00:00.000000,20.813141683778234,1,1300.0,1215.7581395348836
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,74,Peter Larsson,Sweden,252,2000,8,1978-11-10T00:00:00.000000,21.127994524298426,1,1300.0,1213.125581395349
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,75,Daniel Romanens,Switzerland,6319,2000,8,1966-01-01T00:00:00.000000,33.98494182067077,1,1300.0,1210.493023255814
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,76,Alexey Kuritsyn,Belarus,314,2000,8,1977-06-16T00:00:00.000000,22.529774127310063,2,1300.0,1207.860465116279
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,77,Christian Stebler,Switzerland,353,2000,8,1981-04-23T00:00:00.000000,18.677618069815196,1,1300.0,1205.2279069767442
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,78,Ron Spanuth,Germany,501,2000,8,1980-03-25T00:00:00.000000,19.756331279945243,2,1300.0,1202.5953488372093
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,79,Christoph Burckhardt,Switzerland,3768,2000,8,1977-01-01T00:00:00.000000,22.98425735797399,2,1300.0,1199.9627906976743
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,80,Peter von Allmen,Switzerland,163,2000,8,1978-01-21T00:00:00.000000,21.930184804928132,1,1300.0,1197.3302325581396
1999-12-27,Engelberg,Switzerland,M,Sprint,World Cup,0,C,81,Eugen Huser,Switzerland,3767,2000,8,1979-01-01T00:00:00.000000,20.985626283367555,1,1300.0,1194.6976744186047
2000-02-28,Stockholm,Sweden,M,Sprint,World Cup,0,C,1,Odd-Bjørn Hjelmeset,Norway,96,2000,20,1971-12-06T00:00:00.000000,28.229979466119097,58,1400.0372093023257,1468.2785031701583
2000-02-28,Stockholm,Sweden,M,Sprint,World Cup,0,C,2,Tore Bjonviken,Norway,377,2000,20,1975-01-02T00:00:00.000000,25.155373032169745,30,1336.8558139534885,1418.1980064499128
2000-02-28,Stockholm,Sweden,M,Sprint,World Cup,0,C,3,Håvard Solbakken,Norway,406,2000,20,1973-08-09T00:00:00.000000,26.55441478439425,21,1355.2837209302324,1429.3327656881622
