City,Country,Coordinates,Elevation
Summer,Break,0,0
Chamonix,France,"45.92756769206286, 6.8749764493559775",1039
Janské Lázně,Czechia,"50.63124077017347, 15.771863835857241",693
Lahti,Finland,"60.98303144873659, 25.634311478022294",99
Cortina d'Ampezzo,Italy,"46.574851445281496, 12.117286488334837",1296
St. Moritz,Switzerland,"46.484431944206534, 9.832913876327785",1787
Zakopane,Poland,"49.28013846461759, 19.964368344492076",897
Holmenkollen,Norway,"59.96463727638437, 10.671065271383515",335
Oberhof,Germany,"50.70750739285628, 10.694758384796685",823
"Lake Placid, NY",USA,"44.21916720967222, -73.92342968157332",618
Innsbruck,Austria,"47.27071677678427, 11.394908154531592",577
Sollefteå,Sweden,"63.16474717921418, 17.246730570393094",69
Vysoké Tatry,Slovakia,"49.16660701058589, 20.270513623741166",898
Garmisch-Partenkirchen,Germany,"47.481832310863055, 11.117341294954743",726
Falun,Sweden,"60.62112986521039, 15.665327974716588",240
"McKinney Creek, CA",USA,"39.19633928242253, -120.1085048098785",2016
Seefeld in Tirol,Austria,"47.323994533218034, 11.174771536746382",1182
Autrans,France,"45.23008686444196, 5.581772243612162",1312
Sapporo,Japan,"43.10041884868737, 141.211223606034",371
Reit im Winkl,Germany,"47.67485522665744, 12.46648200248147",678
Le Brassus,Switzerland,"46.57895344356973, 6.214110699706356",1064
Brusson,Italy,"45.75935073802846, 7.763767120842309",1843
Štrbské Pleso,Slovakia,"49.12808064480493, 20.060948042680877",1371
Castelrotto,Italy,"46.56828719410323, 11.56153283182218",1050
Davos,Switzerland,"46.79211035686405, 9.82200380399016",1538
Veliko Polje,Bosnia and Herzegovina,"43.74820425006765, 18.265133770247324",1180
Kavgolovo,Russia,"60.17764172325033, 30.5349871628941",86
"Anchorage, AK",USA,"61.1911562059772, -149.80372172696863",72
"Labrador City, NL",Canada,"52.976871276922054, -66.91906305958756",603
Ramsau am Dachstein,Austria,"47.419491848474635, 13.653676392989647",1108
"Fairbanks, AK",USA,"64.87054150817522, -147.64854699541797",282
Murmansk,Russia,"68.91986082055273, 33.107300639137556",90
Cogne,Italy,"45.60787478008442, 7.353754118154178",1535
Vitosha,Bulgaria,"42.58386521874292, 23.296607218327424",1714
Syktyvkar,Russia,"61.797392549478346, 50.73952071495069",90
"Bibawik, MN",USA,"47.57659197434097, -92.30319067119962",432
La Bresse,France,"48.053243016528725, 6.946952513248836",911
Bohinj,Slovenia,"46.34484485915284, 13.922139186207033",1342
Oberstdorf,Germany,"47.384598418154134, 10.284011486461695",835
"Canmore, AB",Canada,"51.09033710394753, -115.3855142578051",1426
La Clusaz,France,"45.920194331997486, 6.478671246255938",1410
Rovaniemi,Finland,"66.50172271261867, 25.72776109679825",91
Val di Sole,Italy,"46.28603248505134, 10.673068555515234",1200
Nové Město na Moravě,Czechia,"49.57861072643581, 16.05378680554837",647
"Soldier Hollow, UT",USA,"40.478782606556024, -111.4979190304848",1692
Moscow,Russia,"55.700960689898004, 37.51666597227838",193
Campra,Switzerland,"46.518883497822756, 8.883668397850762",1434
Val di Fiemme,Italy,"46.282729511971695, 11.522723717858431",903
Trondheim,Norway,"63.37651773180066, 10.310700183167896",186
Örnsköldsvik,Sweden,"63.288918147013, 18.699647396655436",88
Vang,Norway,"60.92224531705779, 11.222543770336072",638
Tauplitzalm,Austria,"47.59761353962074, 13.992613090548115",1624
Les Saisies,France,"45.760473806051095, 6.526409652253388",1605
Minsk,Bulgaria,"54.18849408411996, 27.80175474616596",257
"Silver Star, BC",Canada,"50.362597388605856, -119.10524029037522",1654
"Thunder Bay, ON",Canada,"48.32660863141908, -89.36159411145037",243
Funäsdalen,Sweden,"62.55480532547639, 12.558285142658061",643
Ulrichen,Switzerland,"46.50077918532215, 8.301962522627694",1342
Santa Caterina di Valfurva,Italy,"46.41103336294798, 10.497844253665887",1738
Toblach / Dobbiaco,Italy,"46.71887428241582, 12.223502247973604",1214
Lillehammer,Norway,"61.13454396544718, 10.507677505557902",487
Kiruna,Sweden,"67.84075177260652, 20.243869119215077",504
Sappada,Italy,"46.569823384883314, 12.701608855960467",1252
Östersund,Sweden,"63.19047980166746, 14.658998075483295",358
Vuokatti,Finland,"64.14252028817772, 28.30141381692989",150
Gällivare,Sweden,"67.1074514469968, 20.643776810317117",410
Hakuba,Japan,"36.68550753525242, 137.82916394041087",820
Sunne,Sweden,"59.80295054549915, 13.035393125342024",105
Beitostølen,Norway,"61.23768270630647, 8.916231979790881",824
Milano,Italy,"45.473223068243755, 9.176761575240045",115
Olos,Finland,"67.9329025177326, 23.813887016431877",335
Engelberg,Switzerland,"46.81802507773117, 8.404720530503662",1002
