Skier,ID,Nation,Ranking,Points
Jessie Diggins,131,USA,1,1563
Moa Ilar,1866,Sweden,2,1340
Maja Dahlqvist,1673,Sweden,3,1092
Teresa Stadlober,529,Austria,4,811
Johanna Matintalo,1761,Finland,5,810
Ebba Andersson,1789,Sweden,6,803
Jasmi Joensuu,1675,Finland,7,791
Karoline Simpson-Larsen,2300,Norway,8,786
Heidi Weng,60,Norway,9,774
Jonna Sundling,1486,Sweden,10,742
Nadine Fähndrich,1590,Switzerland,11,712
Anja Weber,6338,Switzerland,12,642
Julie Bjervig Drivenes,3357,Norway,13,623
Moa Lundgren,3211,Sweden,14,549
Helen Hoffmann,6691,Germany,15,547
Johanna Hagström,3212,Sweden,16,523
Julia Kern,1846,USA,17,512
Astrid Øyre Slind,115,Norway,18,508
Katerina Janatova,3198,Czechia,19,507
Emma Ribom,1844,Sweden,20,504
Dariya Nepryaeva,6555,Russia,21,486
Caterina Ganz,1721,Italy,22,484
Nora Sanness,6324,Norway,23,476
Nadja Kälin,6639,Switzerland,24,466
Frida Karlsson,3998,Sweden,25,446
Laura Gimmler,1495,Germany,26,436
Coletta Rydzek,3254,Germany,27,416
Pia Fink,4004,Germany,28,408
Kerttu Niskanen,37,Finland,29,384
Linn Svahn,3190,Sweden,30,382
Patricijia Eiduka,3240,Latvia,31,378
Kristin Austgulen Fosnæs,4268,Norway,32,364
Alison Mackie,10185,Canada,33,354
Vilma Ryytty,6607,Finland,34,352
Katherine Sauerbrey,1727,Germany,35,351
Sofie Krehl,1695,Germany,36,329
Vilma Nissinen,3034,Finland,36,329
Katharina Hennig Dotzler,1618,Germany,38,325
Iris De Martin Pinter,7422,Italy,39,316
Jasmin Kähärä,3528,Finland,40,305
Tiril Udnes Weng,1668,Norway,41,291
Mathilde Myhrvold,2298,Norway,42,290
Leonie Perry,10413,France,43,268
Milla Grosberghaugen Andreassen,10424,Norway,44,264
Federica Cassol,9082,Italy,45,259
Gina del Rio,10313,Andorra,46,230
Krista Pärmäkoski,13,Finland,47,219
Lea Fischer,2284,Switzerland,48,217
Anne Kjersti Kalvå,1498,Norway,49,208
Monika Skinder,6335,Poland,50,206
Kristine Stavås Skistad,3207,Norway,51,205
Nicole Monsorno,6631,Italy,52,198
Rosie Brennan,627,USA,53,193
Eva Ingebrigtsen,10145,Norway,54,192
Evelina Crusell,10880,Sweden,55,176
Ingrid Bergene Aabrekk,6828,Norway,56,171
Eliza Rucka-Michalek,6328,Poland,57,170
Kathrine Stewart-Jones,1676,Canada,58,165
Karoline Grøtting,6419,Norway,59,154
Hedda Bakkemo,6437,Norway,60,153
Hilla Niemelä,6296,Finland,61,151
Marina Kälin,7433,Switzerland,62,147
Märta Rosenberg,6689,Sweden,62,147
