Skier,ID,Nation,Ranking,Points
Johannes Høsflot Klæbo,5164,Norway,1,1996
Harald Østberg Amundsen,5449,Norway,2,1346
Federico Pellegrino,44,Italy,3,1136
Mattis Stenshagen,5165,Norway,4,1071
Lars Heggen,19104,Norway,5,1063
Gus Schumacher,9172,USA,6,949
Elia Barp,14042,Italy,7,869
Edvin Anger,14039,Sweden,8,828
Andreas Fjorden Ree,8678,Norway,9,825
Martin Løwstrøm Nyenget,2295,Norway,10,775
Emil Iversen,1467,Norway,11,766
Benjamin Moser,5989,Austria,12,728
Saveliy Korostelev,13188,Russia,13,725
Erik Valnes,5923,Norway,14,694
Jules Chappaz,12181,France,15,668
Hugo Lapalus,6018,France,16,637
Davide Graz,12165,Italy,17,627
Ben Ogden,9179,USA,18,552
Martino Carollo,19980,Italy,19,500
Arsi Ruuskanen,8120,Finland,20,493
Andrew Musgrave,277,Great Britain,21,475
Mika Vermeulen,12673,Austria,22,474
Lauri Vuorinen,2874,Finland,23,465
Oskar Opstad Vike,19279,Norway,24,460
Even Northug,3590,Norway,25,432
Theo Schely,12166,France,26,429
Jules Lapierre,3646,France,27,421
Antoine Cyr,9225,Canada,28,410
Janik Riebli,7725,Switzerland,29,402
Joni Mäki,3586,Finland,30,391
Gustaf Berglund,12178,Sweden,31,388
Iivo Niskanen,1470,Finland,32,385
Valerio Grond,12164,Switzerland,33,361
Ansgar Evensen,8246,Norway,34,360
Mathis Desloges,12767,France,35,347
Florian Notz,1488,Germany,36,346
Michal Novak,3655,Czechia,37,345
Simone Mocellini,12168,Italy,38,342
Jiri Tuz,17348,Czechia,39,334
Perttu Hyvärinen,1441,Finland,40,316
Lucas Chanavat,3582,France,41,312
Einar Hedegart,20631,Norway,42,303
George Ersson,12790,Sweden,43,302
Emil Liekari,12440,Finland,44,301
Johan Ekberg,13290,Sweden,45,296
Anton Grahn,18667,Sweden,46,287
Zak Ketterson,5988,USA,47,280
Jack Young,14687,USA,47,280
Alvar Myhlback,19652,Sweden,49,265
Joe Davies,14110,Great Britain,50,262
Simone Dapra,6019,Italy,51,261
Filip Skari,19114,Norway,52,253
Jaume Pueyo,12682,Spain,53,252
Niko Anttola,17474,Finland,54,251
Victor Lovera,17106,France,55,250
Simen Hegstad Krüger,2355,Norway,56,249
Remi Bourdin,17445,France,57,245
Jan Stölben,14033,Germany,57,245
Niilo Moilanen,12446,Finland,59,239
Janosch Brugger,3657,Germany,60,220
Markus Vuorela,5635,Finland,61,219
Petteri Koivisto,8104,Finland,62,218
James Clugnet,3615,Great Britain,63,209
James Clinton Schoonmaker,9201,USA,64,208
Håvard Moseby,6103,Norway,65,207
Mathias Holbæk,18960,Norway,66,206
Ondrej Cerny,8094,Czechia,67,200
