Date,Startlist,Sex,City,Country,Distance,Technique,MS,Period,Pursuit,Stage,Final_Climb,Elevation,Race,Championship
11/28/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49462,L,Ruka,Finland,10,C,0,1,0,0,0,337,1,0
11/28/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49463,M,Ruka,Finland,10,C,0,1,0,0,0,337,1,0
11/29/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49464,L,Ruka,Finland,Sprint,C,0,1,0,0,0,337,2,0
11/29/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49465,M,Ruka,Finland,Sprint,C,0,1,0,0,0,337,2,0
11/30/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49469,M,Ruka,Finland,20,F,1,1,0,0,0,337,3,0
11/30/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49468,L,Ruka,Finland,20,F,1,1,0,0,0,337,3,0
12/05/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49474,L,Trondheim,Norway,Sprint,C,0,1,0,0,0,186,4,0
12/05/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49475,M,Trondheim,Norway,Sprint,C,0,1,0,0,0,186,4,0
12/06/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49479,M,Trondheim,Norway,20,P,1,1,0,0,0,186,5,0
12/06/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49478,L,Trondheim,Norway,20,P,1,1,0,0,0,186,5,0
12/07/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49472,L,Trondheim,Norway,10,F,0,1,0,0,0,186,6,0
12/07/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49473,M,Trondheim,Norway,10,F,0,1,0,0,0,186,6,0
12/12/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49480,L,Davos,Switzerland,Ts,F,0,1,0,0,0,1538,7,0
12/12/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49481,M,Davos,Switzerland,Ts,F,0,1,0,0,0,1538,7,0
12/13/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49484,L,Davos,Switzerland,Sprint,F,0,1,0,0,0,1538,8,0
12/13/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49485,M,Davos,Switzerland,Sprint,F,0,1,0,0,0,1538,8,0
12/14/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49489,M,Davos,Switzerland,10,F,0,1,0,0,0,1538,9,0
12/14/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49488,L,Davos,Switzerland,10,F,0,1,0,0,0,1538,9,0
12/28/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49532,L,Toblach,Italy,Sprint,F,0,2,0,1,0,1214,10,0
12/28/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49533,M,Toblach,Italy,Sprint,F,0,2,0,1,0,1214,10,0
12/29/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49537,M,Toblach,Italy,10,C,0,2,0,1,0,1214,11,0
12/29/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49536,L,Toblach,Italy,10,C,0,2,0,1,0,1214,11,0
12/31/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49539,M,Toblach,Italy,5,F,1,2,0,1,0,1214,12,0
12/31/2025,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49538,L,Toblach,Italy,5,F,1,2,0,1,0,1214,12,0
01/01/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49541,M,Toblach,Italy,20,C,0,2,1,1,0,1214,13,0
01/01/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49540,L,Toblach,Italy,20,C,0,2,1,1,0,1214,13,0
01/03/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49542,L,Val Di Fiemme,Italy,Sprint,C,0,2,0,1,0,903,14,0
01/03/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49543,M,Val Di Fiemme,Italy,Sprint,C,0,2,0,1,0,903,14,0
01/04/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49547,M,Val Di Fiemme,Italy,10,F,1,2,0,1,1,903,15,0
01/04/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49546,L,Val Di Fiemme,Italy,10,F,1,2,0,1,1,903,15,0
01/17/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49490,L,Oberhof,Germany,Sprint,F,0,3,0,0,0,823,16,0
01/17/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49491,M,Oberhof,Germany,Sprint,F,0,3,0,0,0,823,16,0
01/18/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49495,M,Oberhof,Germany,10,C,0,3,0,0,0,823,17,0
01/18/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49494,L,Oberhof,Germany,10,C,0,3,0,0,0,823,17,0
01/23/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49496,L,Goms,Switzerland,Ts,F,0,3,0,0,0,1341,18,0
01/23/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49497,M,Goms,Switzerland,Ts,F,0,3,0,0,0,1341,18,0
01/24/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49500,L,Goms,Switzerland,Sprint,C,0,3,0,0,0,1341,19,0
01/24/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49501,M,Goms,Switzerland,Sprint,C,0,3,0,0,0,1341,19,0
01/25/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49504,L,Goms,Switzerland,20,C,1,3,0,0,0,1341,20,0
01/25/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49505,M,Goms,Switzerland,20,C,1,3,0,0,0,1341,20,0
02/07/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49722,L,Milano Cortina,Italy,20,P,1,4,0,0,0,903,21,1
02/08/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49723,M,Milano Cortina,Italy,20,P,1,4,0,0,0,903,21,1
02/10/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49724,L,Milano Cortina,Italy,Sprint,C,0,4,0,0,0,903,22,1
02/10/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49725,M,Milano Cortina,Italy,Sprint,C,0,4,0,0,0,903,22,1
02/12/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49728,L,Milano Cortina,Italy,10,F,0,4,0,0,0,903,23,1
02/13/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49729,M,Milano Cortina,Italy,10,F,0,4,0,0,0,903,23,1
02/14/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49730,L,Milano Cortina,Italy,Rel,N/A,0,4,0,0,0,903,24,1
02/15/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49731,M,Milano Cortina,Italy,Rel,N/A,0,4,0,0,0,903,24,1
02/18/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49732,L,Milano Cortina,Italy,Ts,F,0,4,0,0,0,903,25,1
02/18/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49733,M,Milano Cortina,Italy,Ts,F,0,4,0,0,0,903,25,1
02/21/2026,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=49736,M,Milano Cortina,Italy,50,C,1,4,0,0,0,903,26,1
