Date,Startlist,Sex,City,Country,Distance,Technique,MS,Period,Pursuit,Stage,Elevation
01/01/25,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46777,L,Toblach,Italy,15,C,0,2,1,1,1214
01/01/25,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46778,M,Toblach,Italy,15,C,0,2,1,1,1214
01/03/25,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46779,L,Val di Fiemme,Italy,Sprint,C,0,2,0,1,903
01/03/25,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46780,M,Val di Fiemme,Italy,Sprint,C,0,2,0,1,903
01/04/25,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46783,L,Val di Fiemme,Italy,20,,1,2,0,1,903
01/04/25,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46784,M,Val di Fiemme,Italy,20,,1,2,0,1,903
01/05/25,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46785,L,Val di Fiemme,Italy,10,F,1,2,0,1,903
01/05/25,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46786,M,Val di Fiemme,Italy,10,F,1,2,0,1,903
01/17/25,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46795,L,Morez,France,10,F,0,3,0,0,1127
01/17/25,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46796,M,Morez,France,10,F,0,3,0,0,1127
01/18/25,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46797,L,Morez,France,Sprint,C,0,3,0,0,1127
01/18/25,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46798,M,Morez,France,Sprint,C,0,3,0,0,1127
01/24/25,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46803,Mixed,Engadin,Switzerland,Rel,,0,3,0,0,1711
01/25/25,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46804,L,Engadin,Switzerland,Sprint,F,0,3,0,0,1711
01/25/25,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46805,M,Engadin,Switzerland,Sprint,F,0,3,0,0,1711
01/26/25,https://www.fis-ski.com/DB/general/results.html?sectorcode=CC&raceid=46808,L,Engadin,Switzerland,20,F,1,3,0,0,1711
