Russian_ID,FIS_ID
203799,5537
204569,6349
200643,58
201422,1631
205892,9171
204377,9276
205258,9176
205042,9431
204471,6700
203939,6145
204216,9169
205564,10293
205076,8699
204026,6509
205443,9466
205623,10292
204131,6372
205710,9185
206556,9272
204470,6555
202882,4969
202782,5012
205723,9266
206621,9438
204563,7921
203732,7020
206478,9265
202172,4019
204321,3475
200020,4949
201296,5029
203162,5545
209427,6539
204870,5516
200596,5611
207643,9280
206612,5556
207047,9196
206597,9212
207025,6670
209259,4945
207806,4953
209526,4341
209998,5510
209038,4984
207897,6182
207103,9038
205858,9231
209775,6140
207723,10318
207412,9064
207083,9178
206666,5841
206580,9189
209233,9221
206819,6504
209769,10053
207549,9070
206285,9188
205533,7010
207422,-207422
207805,-207805
207427,-207427
207752,-207752
207756,-207756
209472,-209472
207755,-207755
207257,-207257
207459,-207459
207416,-207416
209475,-209475
209029,-209029
209023,-209023
207298,-207298
207429,-207429
209027,-209027
207439,-207439
207965,-207965
207320,-207320
207814,-207814
207923,-207923
207754,-207754
209430,-209430
207951,-207951
207840,-207840
209829,-209829
207929,-207929
207430,-207430
207703,-207703
209717,-209717
207886,-207886
208037,-208037
207850,-207850
209500,-209500
209486,-209486
209230,-209230
207834,-207834
207744,-207744
207815,-207815
207766,-207766
209028,-209028
209545,-209545
209383,-209383
207835,-207835
209471,-209471
210008,-210008
209333,-209333
207874,-207874
207948,-207948
207967,-207967
207935,-207935
209223,-209223
209459,-209459
209803,-209803
209338,-209338
209370,-209370
207627,-207627
207803,-207803
209463,-209463
209236,-209236
209249,-209249
207804,-207804
209466,-209466
209432,-209432
209337,-209337
209993,-209993
209504,-209504
209797,-209797
209489,-209489
209467,-209467
210001,-210001
209402,-209402
209488,-209488
209529,-209529
209067,-209067
209883,-209883
209999,-209999
209189,-209189
209429,-209429
209433,-209433
210002,-210002
209411,-209411
207953,-207953
209268,-209268
209926,-209926
209352,-209352
209960,-209960
209544,-209544
209882,-209882
209444,-209444
209270,-209270
209240,-209240
209434,-209434
209959,-209959
209409,-209409
209947,-209947
209957,-209957
209216,-209216
209064,-209064
209796,-209796
209408,-209408
210009,-210009
207962,-207962
209372,-209372
209217,-209217
210011,-210011
209469,-209469
209468,-209468
209464,-209464
209961,-209961
209986,-209986
201731,-201731
205901,-205901
206336,-206336
207229,-207229
205577,-205577
200354,-200354
205356,-205356
206646,-206646
206251,-206251
