Skier,Nation,Price,ID,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Race1_Prob,Race2_Prob,Race3_Prob,Race4_Prob
Gina del Rio,Andorra,0.0,10313,1473.7750846796423,1395.1595355626707,1311.0553538715533,1365.367777859802,1452.2472335704947,1315.6505987502007,1492.6926263372525,1324.057990982918,1476.4350183945471,0.0,0.0,0.0,0.0
Agustina Groetzner,Argentina,0.0,7428,1252.2494462387374,1272.326188759877,1234.6298894095585,1271.1844650282392,1273.4411166149769,1278.9555495751447,1284.9596040972528,1280.174994825706,1262.91984749599,0.0,0.0,0.0,0.0
Nahiara Diaz Gonzalez,Argentina,0.0,10264,1223.0458087113134,1221.4478127683478,1244.701163593136,1263.7393757425248,1269.999541796941,1283.076761696357,1270.183083330614,1241.829492618187,1248.3941439387577,0.0,0.0,0.0,0.0
Katya Galstyan,Armenia,0.0,568,1090.9395876804713,1100.5469279486736,1160.158044941863,1179.1052337353328,1186.2346201345172,1175.4010389416048,1229.6570004422952,1129.0775584937337,1162.0249150674438,0.0,0.0,0.0,0.0
Phoebe Cridland,Australia,0.0,5184,1205.6377088025924,1210.0167231460282,1230.834667753748,1235.5793911569654,1247.502302903986,1220.190688787959,1260.9502123899515,1199.8327086521936,1230.9547937046798,0.0,0.0,0.0,0.0
Rosie Fordham,Australia,0.0,6450,1333.1947738014371,1330.8821834101743,1223.3666074726882,1347.5027398259654,1281.9005313372709,1269.565418885888,1279.1261210247844,1223.0212838016228,1373.831320181817,0.0,0.0,0.0,0.0
Maddie Hooker,Australia,0.0,10268,1114.2063743572492,1166.3723655461008,1257.6229803898177,1189.9746052913565,1194.7811382082896,1224.4374707988115,1218.2240194304072,1200.420730639611,1142.632872628462,0.0,0.0,0.0,0.0
Ellen Søhol Lie,Australia,0.0,6627,1116.3119020226068,1142.863729815737,1205.8993070603103,1185.2024522373806,1179.2228412603336,1187.7673962984015,1217.088135736933,1150.0145239786714,1156.2714344370636,0.0,0.0,0.0,0.0
Lisa Achleitner,Austria,0.0,3255,1203.943879184887,1201.9851224944464,1242.5462419267246,1242.3830474590145,1270.818134056489,1270.7043763109632,1246.6341794201812,1250.4982617054677,1221.507184575211,0.0,0.0,0.0,0.0
Katharina Brudermann,Austria,0.0,5040,1196.353047075018,1224.3945245513107,1209.238534600982,1307.8228156224743,1224.246252699837,1268.6782724061366,1191.2440020286856,1209.2041520352557,1248.32226517066,0.0,0.0,0.0,0.0
Heidi Bucher,Austria,0.0,10823,1318.3481787704764,1301.373977255088,1300.2815937577018,1299.354844091786,1313.8541360833376,1299.525710436709,1318.252666733131,1304.6768010465494,1319.0791336376212,0.0,0.0,0.0,0.0
Magdalena Scherz,Austria,0.0,6707,1408.838507722881,1266.332403067609,1269.2779101218418,1264.538454482853,1428.5049660266493,1314.8237543876942,1468.4064178076364,1311.3533229514055,1416.4325550665571,0.0,0.0,0.0,0.0
Teresa Stadlober,Austria,0.0,529,1682.9663427763128,1726.710821804851,1647.342881757781,1554.9777703802797,1289.557368159485,1263.079299186553,1303.166931468707,1599.8517554108496,1560.1006143383015,0.0,0.0,0.0,0.0
Hanna Karaliova,Belarus,0.0,3225,1166.962933805918,1160.3187489160644,1210.4741447643644,1209.9530521197275,1234.992696747766,1273.779447374553,1246.350445078146,1209.3299787523583,1189.377172929156,0.0,0.0,0.0,0.0
Teodora Delipara,Bosnia&Herzegovina,0.0,10330,1161.5233145100424,1241.5008451107803,1296.8107469332067,1241.3759734796747,1204.2916953624297,1277.7883649373616,1162.5772637115315,1290.667375167519,1139.2887760225376,0.0,0.0,0.0,0.0
Bruna Moura,Brazil,0.0,3180,1202.749003874451,1225.2443471377558,1266.7751334947925,1239.4706157433154,1241.5276446455675,1241.1960820892716,1270.8636051047586,1227.590864359108,1231.006369098385,0.0,0.0,0.0,0.0
Eduarda Ribera,Brazil,0.0,7448,1186.8007160765978,1248.779520442799,1252.1836453449607,1300.0,1219.8050731359087,1262.4707010902964,1223.7066168746976,1229.2919690712858,1224.1668444861875,0.0,0.0,0.0,0.0
Kalina Nedyalkova,Bulgaria,0.0,6737,1190.4213590584816,1230.1167043362625,1248.5444012608718,1229.1605675647982,1237.5993761811208,1239.2434710653215,1276.3290990467478,1243.5271969728212,1207.9055870387083,0.0,0.0,0.0,0.0
Olivia Bouffard-Nesbitt,Canada,0.0,1685,1261.0314008613286,1191.4841244294005,1183.8409975867844,1247.8787067410535,1337.0621182301063,1288.2306297721664,1363.1347123327123,1212.1503393516205,1318.573525078154,0.0,0.0,0.0,0.0
Jasmine Drolet,Canada,0.0,6656,1260.6118123244262,1280.6873567325842,1280.689739117715,1274.1880193570414,1229.0789052807431,1261.7462252329642,1213.5466218164945,1262.7693779323552,1248.7148244894945,0.0,0.0,0.0,0.0
Liliane Gagnon,Canada,0.0,7427,1328.577807677597,1293.1364428320182,1257.4112562789385,1299.315548441185,1339.3783008282248,1262.33319271785,1344.9283195164342,1259.0332564085386,1330.3804541954394,0.0,0.0,0.0,0.0
Alison Mackie,Canada,0.0,10185,1471.5001963634943,1463.085899663519,1344.6383955216324,1382.9411566801489,1306.8912917737334,1281.9844394670483,1334.873461557654,1332.780267900835,1447.0074625700695,0.0,0.0,0.0,0.0
Sonjaa Schmidt,Canada,0.0,7874,1306.4935240233888,1272.1847285640597,1261.131149220592,1305.7605559632186,1325.3090138270302,1249.2101069398404,1349.95060993238,1240.100927788446,1341.2648848364097,0.0,0.0,0.0,0.0
Kathrine Stewart-Jones,Canada,0.0,1676,1368.442247089224,1396.9984966603756,1370.4813572619737,1386.5478747907307,1233.400590072345,1200.386637613845,1252.2892625297347,1342.8056308171333,1362.0398944686758,0.0,0.0,0.0,0.0
Amelia Wells,Canada,0.0,7931,1172.4500800437545,1188.8220826296622,1246.2665370135207,1230.6327023840104,1243.0049756839967,1235.9077717209152,1256.7606764833813,1214.8140257036164,1214.6770824899145,0.0,0.0,0.0,0.0
Chunxue Chi,China,0.0,1660,1290.4374683242615,1292.0255962918425,1263.3274578655669,1256.8605251295926,1246.4842228216926,1188.3872248817688,1275.8753896591993,1240.2159371733212,1284.245974259851,0.0,0.0,0.0,0.0
Kaile He,China,0.0,12304,1187.814010662824,1219.453888272532,1271.6284171927678,1253.6353854164936,1254.6095114132263,1279.9855952645044,1268.4702996211245,1248.1746087770211,1230.3507878551834,0.0,0.0,0.0,0.0
Yundi Wang,China,0.0,12303,1218.365821221145,1248.6940432240426,1272.1421875496003,1281.2825559996595,1263.6054872970094,1286.992894534577,1271.7790553814932,1256.651276264566,1256.5201430196305,0.0,0.0,0.0,0.0
Dinigeer Yilamujiang,China,0.0,6575,1080.9436413800872,1121.0607516389516,1202.9597398340595,1165.4249639638394,1155.069175544528,1193.1556365516155,1169.98783967582,1151.6462988851963,1118.3331040832063,0.0,0.0,0.0,0.0
Tena Hadzic,Croatia,0.0,7430,1223.2469234489415,1224.8180552941633,1260.9132073887563,1248.8483294069883,1252.5884944812287,1274.5954168357252,1247.0685865036864,1250.0633337285808,1227.0903693379018,0.0,0.0,0.0,0.0
Ema Sobol,Croatia,0.0,10875,1292.945380405438,1245.5379723828378,1283.462662657442,1274.8900252848402,1295.962626642368,1277.7883649373616,1296.0559677336166,1280.4387849916975,1293.8474535975236,0.0,0.0,0.0,0.0
Barbora Antosova,Czechia,0.0,6633,1328.6531678957488,1220.3529365197076,1251.557229212038,1272.436155670587,1333.071621013996,1332.5593516877195,1306.3968752452113,1329.14509047188,1298.4398587369617,0.0,0.0,0.0,0.0
Tereza Beranova,Czechia,0.0,3618,1252.726239221509,1147.889116836659,1221.523987672444,1177.776088298638,1373.3954178231538,1404.9013970666365,1304.208118913228,1369.6681756678136,1196.8569717970945,0.0,0.0,0.0,0.0
Barbora Havlickova,Czechia,0.0,3216,1136.4014870426013,1153.9839054159145,1250.4443672788518,1164.653512266589,1221.2511570812585,1262.6104641130544,1203.6350050843623,1246.3278298532723,1131.5254160806792,0.0,0.0,0.0,0.0
Anna Marie Jaklova,Czechia,0.0,10190,1270.4931249982164,1272.6556780700696,1292.5325322884291,1276.7332197340768,1293.0380750977329,1296.463873091816,1293.3714010242236,1291.714029314457,1271.0911011348894,0.0,0.0,0.0,0.0
Katerina Janatova,Czechia,0.0,3198,1527.1434678956473,1532.3233756597865,1437.824461122305,1476.2464003624466,1454.087296327118,1349.9110589038853,1513.0367097722706,1427.8070975043452,1520.0961803366515,0.0,0.0,0.0,0.0
Anna Milerska,Czechia,0.0,10398,1252.3143848329423,1258.6229466007226,1271.795968140669,1282.068152555574,1286.5317121092698,1291.1677117372385,1283.86392901745,1269.7833654508404,1269.4300037850194,0.0,0.0,0.0,0.0
Sandra Schutzova,Czechia,0.0,560,1198.575983143724,1173.2655064332037,1219.5339646252987,1190.357823147905,1275.2766395156714,1253.2418469704585,1275.6747344577348,1219.9357335540635,1200.6093385308227,0.0,0.0,0.0,0.0
Kaidy Kaasiku,Estonia,0.0,4943,1222.135337307359,1259.0965700032775,1257.4872013051595,1256.1429189283012,1205.3469181356622,1225.5090225910535,1197.5797417399526,1228.1942903431802,1226.177909293303,0.0,0.0,0.0,0.0
Keidy Kaasiku,Estonia,0.0,4942,1219.919831250983,1258.235038340595,1255.6576027306123,1266.5632947937431,1182.3917879862818,1192.425602849007,1208.5684501663902,1204.0223844875293,1244.0833116142885,0.0,0.0,0.0,0.0
