FIS_Name,Skier,ID,Nation,In_FIS_List,Price,Elo,Distance_Elo,Distance_C_Elo,Distance_F_Elo,Sprint_Elo,Sprint_C_Elo,Sprint_F_Elo,Classic_Elo,Freestyle_Elo,Race_Elo,Race_Type,Race1_Prob,Recent_Competitor,City,Country,Distance,Technique,Race_Date
DIGGINS Jessie,Jessie Diggins,131,USA,True,16036,1802.3173610094907,1841.302189886108,1657.9787355645474,1720.6162758774751,1631.8913438161412,1529.546000680937,1629.777219690924,1660.56979003819,1740.1027318023991,1720.6162758774751,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
ILAR Moa,Moa Ilar,1866,Sweden,True,11184,1729.286726412012,1710.5599572218307,1591.6925585214603,1579.0616779719596,1579.4031724269023,1440.0612224476683,1585.4249731812736,1617.7106000253475,1650.8250586763645,1579.0616779719596,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
STADLOBER Teresa,Teresa Stadlober,529,Austria,True,8170,1698.0484346707003,1733.360682234074,1657.6219707319726,1569.2633770020752,1278.9875043393615,1260.6578604256126,1287.3279081578744,1611.8211924704294,1574.5430127199022,1569.2633770020752,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
SUNDLING Jonna,Jonna Sundling,1486,Sweden,True,11277,1791.2241981824216,1690.3027970431162,1533.6250152532846,1563.3456151259415,1745.72396432586,1626.370193306578,1706.5573420636272,1657.142167576582,1725.557465360161,1563.3456151259415,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
FINK Pia,Pia Fink,4004,Germany,True,2079,1588.9502238701566,1627.5534394483905,1506.0750823736428,1549.3008773409194,1384.2933926848862,1320.3044141694816,1394.7476770608482,1494.131009332611,1538.8956460547076,1549.3008773409194,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
PARMAKOSKI Krista,Krista Pärmäkoski,13,Finland,True,1442,1504.351520578001,1534.7533163205237,1468.8555384302745,1522.427777615101,1412.5353117007537,1425.7314299005886,1387.604871474557,1467.7135008665452,1503.3692017972244,1522.427777615101,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
JANATOVA Katerina,Katerina Janatova,3198,Czechia,True,1647,1574.9755462979526,1572.4737204969897,1457.3342246130712,1502.9084931859106,1495.247606444403,1385.2661001327576,1524.431691107993,1465.7821038282,1546.0684340766747,1502.9084931859106,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
DAHLQVIST Maja,Maja Dahlqvist,1673,Sweden,True,10326,1728.5701644178057,1571.723132817234,1445.8193418530536,1494.022496939382,1750.681157911083,1629.5632235089342,1739.1124114966346,1610.7455490768357,1678.3945911101275,1494.022496939382,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
WENG Tiril Udnes,Tiril Udnes Weng,1668,Norway,True,760,1475.2173701844154,1498.5916884062146,1459.2576033003168,1476.203425534918,1454.2564311479236,1407.0338170285595,1481.9833537930083,1436.5593075315862,1485.3767679830978,1476.203425534918,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
EIDUKA Patricija,Patricijia Eiduka,3240,Latvia,True,407,1515.738500145858,1483.5645716409897,1338.5380732638434,1476.026847605048,1429.8805221604043,1265.2223893688647,1512.7721956082485,1334.7065248400218,1543.2552237935447,1476.026847605048,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
WENG Lotta Udnes,Lotta Udnes Weng,1671,Norway,True,755,1533.8669999331155,1504.4735127000215,1441.1842436131594,1460.2833930937277,1516.329603694774,1428.4789035298556,1536.891421665416,1457.7381304720172,1528.3044299365474,1460.2833930937277,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
SVAHN Linn,Linn Svahn,3190,Sweden,True,4547,1715.6069842207232,1578.0194437915738,1517.372144067402,1446.125716179264,1713.518242231882,1614.617690809829,1655.3924148035076,1643.878302696447,1600.399797367629,1446.125716179264,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
GANZ Caterina,Caterina Ganz,1721,Italy,True,1160,1475.7217490962946,1480.4331610534416,1450.5650767977083,1428.608287814247,1428.1661010379796,1434.310394544901,1349.879485382628,1488.1671316355053,1426.5558001526108,1428.608287814247,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
DRIVENES Julie Bjervig,Julie Bjervig Drivenes,3357,Norway,True,3905,1598.4122064581788,1536.9253389895234,1427.5618804537887,1428.453793190963,1457.2792075695434,1389.4694603721834,1434.4411394383942,1469.2429198278223,1511.4096204022787,1428.453793190963,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
BRENNAN Rosie,Rosie Brennan,627,USA,True,1227,1393.454472208392,1410.9696592595783,1452.2950391182076,1421.2122639842555,1447.7606923426783,1449.5136882519523,1403.4066349170917,1453.5223188545217,1383.777602524552,1421.2122639842555,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
KERN Julia,Julia Kern,1846,USA,True,1197,1567.9809583247347,1475.534099023242,1344.3788085659385,1421.1926009558763,1582.2019394575614,1487.8253520423889,1581.2178646941643,1465.9566467534596,1535.752386085526,1421.1926009558763,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
FAEHNDRICH Nadine,Nadine Fähndrich,1590,Switzerland,True,5201,1612.17766575905,1471.0476906435476,1473.4357144607686,1396.0437773713245,1702.0930934366806,1601.0757007776465,1695.7074050377985,1590.6497307477794,1546.6044579744953,1396.0437773713245,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
KREHL Sofie,Sofie Krehl,1695,Germany,True,281,1469.0830727848547,1403.8459720963644,1354.5881387093596,1393.081693067291,1484.1443506696778,1391.6216115533732,1509.8967893877875,1406.9301863916787,1475.2418062022257,1393.081693067291,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
NISSINEN Vilma,Vilma Nissinen,3034,Finland,True,278,1431.5733277085396,1425.3410355815452,1360.856588439934,1385.072268452878,1308.525386828289,1290.5620165259224,1300.9978755879577,1359.6218533742403,1412.1760211175952,1385.072268452878,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
WEBER Anja,Anja Weber,6338,Switzerland,True,1169,1584.7182743863218,1477.8638126414155,1400.9239775255337,1380.1707482933,1586.446824890544,1468.823083663951,1580.709863470756,1494.948759777527,1530.202211418704,1380.1707482933,Sprintkm F,1.0,True,Lahti,Finland,Sprint,F,03/07/2026
